word,chinese_translation,frequency_18901,review_count_18901,example_context
lesley,lesley,130,86,"review_4727a30d8383a1fe808161df :: This is absolutely worth the money & the full 12+ hours tour!! To see everything by air, 4x4 truck, hike, rafting & bus ride. Our Navajo Guide Ricky was outstanding! Explaining his..."
dave,dave,127,94,review_4f414ca5ea37c5dbf9c560d4 :: What a great experience for us on our 25th anniversary!  Dave was our pilot and provided us a great tour from Seattle to the San Juan Islands and back.  Spent 1 1/2 hours in Friday...
meet,meet (名词),127,122,"review_fbcb6f293271b7267ca4afac :: Yes they have regularly scheduled service into Friday Harbor BUT can also run you to Roche Harbor direct which is awesome.
As always, super friendly pilots and staff, perfect safet..."
monument,monument (名词),127,87,review_cd6b9c66ff986b40c83cd15f :: My husband is a pilot and we love flying no matter the type or size of the airplane. This was our first floatplane flight ever and it totally exceeded our expectations. We were wit...
per,per,126,117,"review_9e2eeecffb6e74720d2860cd :: We happened by this on the way to Talkeetna and pulled in. Due to the immaculate condition of the facilities and grounds, we decided on the spot to book a half hour wildlife viewin..."
envi,envi,122,94,review_20e32646bde1714ce574572b :: John was amazing! Simply Beautiful flight and sights! I highly recommend this tour. Envi Adventures are the best!...
july,july (名词),122,114,"review_68b516a4bbe4e579f3a93415 :: I flew with these guys from Roche Harbor to Renton on Wednesday July 5th.  The other floaplane company had 7 planes stacked up and customers waiting okn the dock, and our pilot cou..."
alcatraz,alcatraz,120,97,"review_30320eb8a2a1126f03722e4a :: I would HIGHLY recommend taking this tour if you can. It is a wonderful experience seeing the bay area highlights - Alcatraz, Oracle Park and Golden Gate bridge to name a few - fro..."
june,june (名词),120,115,"review_6523d5d635208035ffc1f596 :: Absolutely to book in advance because you can't do without it.
We booked it a few days before and called to confirm the reservation.
In June 2023 we spent 164 euros each for the fl..."
val,val,118,97,review_d72411de8fd698a132048a5c :: I took my Husband John on the Adventure Tour to the Grand Canyon and it was absolutely AMAZING!  LINDSEY was so GREAT and answered all my questions and she also has a big heart. I ...
locations,locations (名词),116,112,"review_c8c7b840915ebe2020cc905a :: Great service.  The narrated fly over the Canyon was helpful, our pilot added great information and all went well.  The ground tour by Jeep/Hummer was very good.  Our guide was so ..."
fjord,fjord (名词),115,96,review_d1ee5c36027eed938cdfd81e :: Super fun plane ride today with pilot Chuck. He’s been flying this route for over 25 years. He provided local commentary to enhance the company audio and music. We felt very safe. ...
bird,bird (名词),115,113,review_64c7908f68d4f84efd504d41 :: Our family of 4 recently experienced this incredible flight around Mt. McKinley. It was a great experience to be so close to the ground and mountains where we could see the texture...
mount,mount (名词),115,107,"review_0e075f6c9e72f80f716f5434 :: My experience with Alaska Bush Float Plane Service was truly incredible!  Our pilot, Jason, took us deep into the Alaska Range, where we were able to view Mount McKinley, Mount Hun..."
seaplanes,seaplanes (名词),113,89,review_93413a739b52b4072106b5b5 :: I just wanted to say thank you for an amazing experience!! Our Delta airline flights were delayed by 8 hours and the first day of our trip to Friday Harbor was not what we had expe...
aloha,aloha (名词),113,110,review_282296d02679643afc1fc68d :: The pilot gave us an amazing personalized experience. Definitely worth  it and definitely doing it again next time. Aloha!...
america,america (名词),111,110,"review_b7c5483e800f6a63a0ad2a50 :: Denali is on the short-list of everybody's travel plans in Alaska. We decided to take this plane tour with glacier landing and although it was pricey, it was well worth it. You get..."
ensure,ensure (动词),104,99,review_2a8485ec6b1d000b7b581e6e :: This was one of the most exhilarating experiences I have had in my life! It is something that you need to experience for yourself - not something someone can tell you about. The wh...
tripadvisor,tripadvisor,104,101,review_1934e80130c30527e3d501ef :: This is a top-notch operation. Everyone who works for this company is professional and thorough from the desk personnel to the pilot. We took the seaplane's 40 minute ride from the...
jeff,jeff,103,87,review_a75b9e7d18c5e56b90366d3f :: We made a last minute decision to fly. We were rewarded with an outstanding part of our visit to Denali area. We were blessed with incredible views of Denali and the surrounding pe...
wok,wok (名词),102,65,review_dfbba9edcc924383c4a976c5 :: The plane ride was scenic and beautiful. Our pilot Marcus was personable and did an excellent job! He provided so much information with regard to the history and nature of the isla...
seattle,seattle (名词),101,83,review_183022f2eccbd30765a5fa83 :: What an awesome Company and such memorable adventure.   You must do this if ever in Seattle!   A Must!   Thank you Shane and Michelle for such a great trip.   You can bet I'll do t...
leslie,leslie,101,74,review_ac286b6c23e35ea9aba46f6a :: Fantastic service - Leslie in the office is an absolute treasure and our pilot was very professional and obliging. Superb views of the canyon - felt very safe & comfortable. Other ...
lihue,lihue,101,94,"review_26a7635289bc1f1f45c9b21f :: This may very well be the most beautiful place I have ever visited. We were in Oahu for one week and then Kauai.  Why did we not just go to Kauai for two weeks?
We had a small cond..."
molokai,molokai (名词),101,94,review_4deb0dc67f4bcf015626bc2d :: The flight was all encompassing beautiful view of Maui Molokai Lanaii and other islands. Truly unbelievable and fun. !...
john,john (名词),99,79,"review_f461b250a0363cd66aa3803e :: Very professional 
Boarded our 6-seater Cessna at 8am, wonderful flight over Sedona then off to Grand Canyon...
Peaceful flight over the awesome GC
Landed at GC airport
Jumped into..."
michael,michael (名词),98,83,"review_a647a96e5575b81abdf780b4 :: Two years in a row I've had nothing but outstanding service. The employee's are all very kind, professional and 'fun'.  My pilot 'Charles' this year was outstanding and very knowle..."
chuck,chuck (名词),98,62,review_d1ee5c36027eed938cdfd81e :: Super fun plane ride today with pilot Chuck. He’s been flying this route for over 25 years. He provided local commentary to enhance the company audio and music. We felt very safe. ...
unless,unless,98,95,"review_18d9056e3b7e93d9bb7b9ef4 :: The  flight was more then anticipated, you don't experience Alaska unless you fly and they are a great company to fly with. Saw lots of wildlife, glaciers and much more.  Everyone ..."
seem,seem (动词),98,92,"review_3df01e484595c86bdbe23345 :: The outfit was really laid-back, which was nice. They accommodated our schedule and shifted us around a couple times. It worked out. The pilot was nice, but not super-informative. ..."
except,except (动词),97,93,"review_b4aaf5f3109ed214c6ecdee6 :: We took this scenic flight from Friday Harbor.  The plane was great, the pilot was great, the views were great....except from the center seat where my wife wound up.  Her opinion i..."
fast,fast (名词),97,93,"review_def3d5a96c5a0f189ff8919b :: Best flight tour in Miami!! Great pilot and communication as well as the customer service super fast.
We really enjoyed and had a great time
Five Stars service⭐️⭐️⭐️⭐️⭐️Totally rec..."
movie,movie (名词),96,92,"review_7ca003e4cd5979555b9afcfc :: This helicopter trip around the island exceeded my expectations and was definitely an unforgettable journey! From beginning to end, every detail is very careful, so that you feel t..."
problems,problems (名词),95,91,review_d77cc0423b6d0db165b1f89f :: It was amazing. I was able to fly the plane in the pilots seat. We went to see a Birds Eye view and saw whales. The flight went with no problems and was perfect....
jurassic,jurassic (名词),93,85,review_2a8a2672c7589d74c447a903 :: BEAUTIFUL. Amazing job by the pilot and great views. Loved the crater and saw the beautiful cliffs. Jurassic world is something I love and I witnessed it. DONT MISS IT...
lives,lives (名词),92,91,"review_9b748bc8ca4344ffa1957274 :: Amazing experience! My little kiddos got to fly a plane.  Spectacular views from above of all of the islands! Will be some of the best memories of our lives! Thank you, Maui plane ..."
outfit,outfit (名词),92,89,review_552464983c23bee88efea1ff :: Very impressed with Westwind Tours - the lady who booked my flights is warm and friendly and they called the day before (on Thanksgiving) to re-confirm.  The tour ran smoothly and ...
mary,mary (名词),91,67,review_faa8b6672a3d66f1be95c796 :: My son and I did the Denali Flyer tour on April 13. It was such a treat and what a day to fly. It was a highlight of our trip. Thank you so very much. Mary Ott...
nate,nate,91,67,"review_7dcc7a98ad39bf45e3bfedcd :: Fabulous!  Simply FABULOUS!

Nathan was a wonderful pilot/guide, pointing out all of the highlights of our tour!  Incredibly memorable and an excellent time!  Nate was extremely pa..."
daniel,daniel (名词),91,75,"review_e705217989a544947ebccb93 :: I spent 10 days in Alaska with a friend,and our flightseeing tour was a definite highlight! Our pilot was very personable, knowledgeable, and safety conscious. We were supposed to ..."
august,august (名词),90,87,review_85d6499b677eea59208c09e0 :: We saw that the weather was going to be clear for the several days that we were in Talkeetna (late August '16) and booked a flight-seeing tour with this company.  The weather was p...
learn,learn (动词),90,88,"review_da5fbbe85f107bb817a4d119 :: It was a nice calm day, like no wind at all so it went smoothly.  We did a shorter flight.  Our favorite thing was seeing a Momma black bear with her 2 baby cubs.  Only bad thing w..."
narrating,narrating (动词),89,89,review_32927309827d8e87ea881a4f :: Don’t forget to take photos! You’ll be in awe with the scenery. The best bit of my Moab outdoor adventure for sure! Flying over inaccessible parts of Canyonlands NP. Connor did an ...
vast,vast (形容词),88,86,"review_dd77f2b400bf22341e553107 :: Giovanni was an excellent pilot and guide. He has a vast knowledge of the area, and landed the plane smoothly. I would definitely recommend this tour to anyone!..."
eyes,eyes (名词),88,87,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...
portland,portland (名词),88,78,review_19693a8f4fb08520882c25f4 :: Wings Over Kauai Tours was one of the highlights of our Kauai stay.  Bruce and Ellen were thoughtful and informative.  Their attention to details really shows.  The flight was spec...
bush,bush (名词),88,79,"review_3e1f182a7beaee2fff10d728 :: We used Alaska Bush to get to a remote camp. When we were due to leave, the area was under heavy fog and unflyable. The pilot went out of his way to stay on alert in case a small w..."
capt,capt,88,77,"review_5048b8d4bc0b0bdb7c4159a7 :: If you want first hand joy from the seat of an airplane, K2 is your mandatory stop.  Our pilot, Chris, gave us such a special tour and went beyond the call of duty looking for crit..."
patrick,patrick (名词),88,64,review_f46f91bfd12212ad73586586 :: It was the first trip to Alaska for my husband and me. We elected the option to fly over the three glaciers in order to get a close up look of the glaciers and surrounding mountain...
chip,chip (名词),86,68,"review_a5508b6b99f2ec47c5b8d94d :: Our trip to Alaska wouldn’t be the same if we hadn’t had the experience of flying over Denali National park and landing on a glacier at the foot of Mt. Denali.
Everything was top n..."
parks,parks (名词),85,75,"review_b272472640be4174c85d7aca :: About 14 years ago I was in the area and could enjoy just a glimpse of Canyonlands, things you could only see from the road. But I imagined that there will be much more and the onl..."
mark,mark (名词),85,61,review_2a8485ec6b1d000b7b581e6e :: This was one of the most exhilarating experiences I have had in my life! It is something that you need to experience for yourself - not something someone can tell you about. The wh...
kim,kim,85,49,review_c230f2fa7fef7bb4f5dc8d2c :: We only had a short time in the Grand Canyon so we chose a multi level tour and so glad we did! This is the best way to see the canyon! Views were spectacular. The plane ride got a...
las,las (名词),83,72,"review_7d5688924bc1d74dd6f343eb :: This tour is worth every cent.  We were picked up promptly from our hotel, then taken to the airfield.  Checked in and boarded our small plane to fly out to the South Rim of the Gr..."
effort,effort (名词),81,78,"review_f4c16e81a92fad2f64566f60 :: The flight itself is really spectacular if the weather is with you. We enjoyed walking along the coast at sunset.
Things to improve: a nominative welcome. There you wait and at the..."
andy,andy,81,65,"review_cfbf25a0b1a3bc09ef2b51e5 :: Michelle took good care of the three of us!  I'm an aviation expert with decades of engineering and mechanical, as well as airlines experience.  This team is bar none the best!  Al..."
stand,stand (名词),80,79,review_85d6499b677eea59208c09e0 :: We saw that the weather was going to be clear for the several days that we were in Talkeetna (late August '16) and booked a flight-seeing tour with this company.  The weather was p...
welcomed,welcomed (动词),79,79,"review_22269462646a101fdfb6cb0c :: Our 5 island discovery flight was simply incredible! Three of us flew with Laura, our pilot, and it couldn't have been any better. She is an excellent pilot and I felt very safe in..."
princess,princess (名词),79,65,"review_26f0541140416e4bdb7339bb :: We took this tour as an excursion on a Princess Off the Beaten Track land/sea tour, and it was beyond belief.  Our pilot, Chris, took us right between the summit of Denali and Mt. ..."
hoover,hoover (名词),79,75,"review_7d5688924bc1d74dd6f343eb :: This tour is worth every cent.  We were picked up promptly from our hotel, then taken to the airfield.  Checked in and boarded our small plane to fly out to the South Rim of the Gr..."
lesson,lesson (名词),78,65,"review_109335d64b95c8c7665d7fee :: Spectacular airplane ride, tour and non-stressful lesson! Great for any age from 10 up and a once in a lifetime experience. We have flewn many airlines but amazing experience!..."
desi,desi,77,60,"review_6a7587fa38f5b8da3a3569df :: Wow, this was amazing and so worth it!  My wife and I purchased this tour with a booking for a Tuesday morning trip.  Upon arrival at the airport and going through the preliminarie..."
clay,clay (名词),76,62,review_c3b2f7868459276e41eafbee :: Must do excursion when traveling to Denali.  The views are awesome and our pilot Clay did a fabulous job on the trip.  If you book the flight seeing trip you MUST include the glaci...
locals,locals (名词),74,73,"review_bdb70f63285a24327e12f548 :: We decided at the last moment to splurge and take this tour. After all, how often does one go to Denali? The weather was spectacular (we were told by many locals that it was unusua..."
gopro,gopro,74,66,review_349c80583be4be094f3fb517 :: Wow talk about breath taking! Such an amazing experience and time we had with Jason. A true pro at navigating the mountains around Denali and being a subject matter expert on every...
train,train (名词),73,57,review_2a6e0be4eff7d4bad8630a66 :: What a wonderful experience!  My husband Steve and I were in Moab with a few extra hours in the afternoon before starting our train trip though the  Rockies.   While an afternoon t...
alex,alex,72,64,review_b787be2fd51f9deb064b2a93 :: Alex our pilot shared so much information and answered all of our questions.  The scenery was unbelievable! We felt as if we were making a documentary for an imax theater. It was t...
surrounded,surrounded (动词),72,72,"review_8440145fbb3c7547df5b2cb4 :: It was an absolutely spectacular experience!! The glacier landing was epic.Being on the glacier, surrounded by majestic mountains was so intensely profound. K2 Aviation is excellen..."
guess,guess (名词),72,71,"review_6115b043ecb5123bc59db9e7 :: We gave it a shot and picked a day with 20% rain, turned out fine with cloud surrounding Mckinley but got to see the summit. TIp 1. Don't pick flight with the twin engine, if you a..."
among,among,70,67,"review_874d3d004ca2d69a954110e8 :: Our family took Northwest Seaplanes from Renton to Friday Harbor, then to Nootka Sound, and finally back to Renton.  Shane, our pilot from Renton to Friday Harbor, was excellent, p..."
shane,shane,69,54,review_183022f2eccbd30765a5fa83 :: What an awesome Company and such memorable adventure.   You must do this if ever in Seattle!   A Must!   Thank you Shane and Michelle for such a great trip.   You can bet I'll do t...
mid,mid (形容词),69,67,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
crystal,crystal (名词),69,69,"review_0f64fcd26f8ec1838fe744b8 :: The customer service and kindness of Meredith was outstanding!  She worked with us on the timing and also the safety of the trip, based on the weather which seems to change by the ..."
dori,dori,68,49,"review_c719da405c1d8a39f85584a8 :: This flight was a real highlight of our trip.  There were six of us, so we were able to have the six-passenger ""Air-Van"" all to ourselves at somewhat of a discount relative to the ..."
comments,comments (名词),68,68,"review_970e79c6957c0e95b32cfc7b :: The pilot was amazing, very smooth take off and landing is perfect. Great views and great comments from the pilots on locations...."
juan,juan,67,61,"review_d533d4bd5291303296035ead :: It was a beautiful clear day and we were able to see so many things! Views of downtown Seattle and the sky line, Puget Sound, San Juan Islands. On the way to Friday Harbour we saw ..."
chad,chad (名词),67,52,"review_06fe930fc752a207b547256e :: Holy COW!!  An experience that will leave you in constant wonder!  Other worldly, and awe inspiring. Landing on the glacier was truly incredible!  The views are something you’ll ne..."
toured,toured (动词),67,64,review_fac81d8d0af6198b7ccb6653 :: Our group of 6 recently took the trip from Scottsdale to the South Rim of the Grand Canyon.  We were all very happy with the experience.  It was apparent from the start that safety...
dehavilland,dehavilland,66,64,review_1e9f2da1fedda133fc97f78d :: My boat is located in the Islands for the summer and often receive guests for short stays and tours.  This is absolutely the best way to get from SeaTac to Friday Harbor and back.....
dan,dan,65,55,review_ef6e98ea9ae5ecf683f2c34a :: I feel sorry for people who don’t see the Moab area from the air.  It is amazing how different the canyons look from above.  Our Redtail Air Adventures pilot (Dan) did an exception...
