word,canonical_lemma,frequency_21215,chinese_translation,raw_vader_score,raw_vader_status
bad,bad,373,糟糕的 / 坏的,-2.5,Direct VADER Included
exciting,exciting,324,令人兴奋刺激的,2.2,Direct VADER Included
incredibly,incredibly,315,难以置信地 / 极其,0.0,Raw VADER Missed (0 Score)
pleasant,pleasant,306,令人愉快的 / 宜人的,2.3,Direct VADER Included
awe,awe,304,敬畏 / 震撼,0.0,Raw VADER Missed (0 Score)
unbelievable,unbelievable,302,难以置信的 / 震撼的,0.8,Direct VADER Included
funny,funny,301,幽默风趣的,1.9,Direct VADER Included
plenty,plenty,298,丰富的 / 充足的,0.0,Raw VADER Missed (0 Score)
hard,hard,297,困难的 / 艰辛的,-0.4,Direct VADER Included
regret,regret,293,遗憾 / 后悔,-1.8,Direct VADER Included
magnificent,magnificent,282,壮丽的 / 宏伟震撼的（Awe）,2.9,Direct VADER Included
exceptional,exceptional,276,卓越的 / 杰出的（顶级评价）,0.0,Raw VADER Missed (0 Score)
sick,sick,274,晕机的 / 身体不适的,-2.3,Direct VADER Included
lovely,lovely,266,令人愉悦的 / 可爱的,2.8,Direct VADER Included
terrific,terrific,260,极好的 / 太棒了,2.1,Direct VADER Included
calm,calm,259,镇定 / 平息情绪的,1.3,Direct VADER Included
impressed,impressed,255,感到深深被折服/留下深刻印象,2.1,Direct VADER Included
unfortunately,unfortunately,240,不幸的是 / 遗憾的是,-1.4,Direct VADER Included
fortunate,fortunate,235,幸运的 / 幸运地,1.9,Direct VADER Included
efficient,efficient,215,高效省心的,1.8,Direct VADER Included
welcome,welcome,212,受欢迎的 / 感受温暖的,2.0,Direct VADER Included
entertaining,entertaining,210,引人入胜生动有趣的,1.9,Direct VADER Included
inspiring,inspiring,210,令人启发震慑的,1.8,Direct VADER Included
cheaper,cheaper,208,更实惠的 / 较便宜的,0.0,Raw VADER Missed (0 Score)
phenomenal,phenomenal,200,现象级震撼的,0.0,Raw VADER Missed (0 Score)
superb,superb,196,极好精湛的,3.1,Direct VADER Included
surprised,surprised,196,感到惊喜惊讶的,0.9,Direct VADER Included
surprise,surprise,195,惊喜 / 意料之外的喜悦,1.1,Direct VADER Included
fine,fine,190,良好的 / 优秀的,0.8,Direct VADER Included
brilliant,brilliant,184,璀璨的 / 出色的,2.8,Direct VADER Included
forward,forward,183,期待（look forward）,0.0,Raw VADER Missed (0 Score)
reasonable,reasonable,179,合理的 / 公道的,0.0,Raw VADER Missed (0 Score)
ready,ready,171,准备就绪的 / 心安的,1.5,Direct VADER Included
excited,excited,167,兴奋的 / 激动的,1.4,Direct VADER Included
majestic,majestic,165,雄伟的 / 壮丽的,0.0,Raw VADER Missed (0 Score)
competent,competent,163,称职的 / 有能力的,1.3,Direct VADER Included
quiet,quiet,161,宁静的 / 幽雅安静的,0.0,Raw VADER Missed (0 Score)
relaxed,relaxed,159,放松的 / 从容的,2.2,Direct VADER Included
hope,hope,159,希望 / 期盼,1.9,Direct VADER Included
perfectly,perfectly,155,完美地 / 无可挑剔地,3.2,Direct VADER Included
concerned,concern,155,感到担心的,0.0,Raw VADER Missed (0 Score)
interested,interested,153,感兴趣的 / 充满好奇的,1.7,Direct VADER Included
pleasure,pleasure,153,乐趣 / 愉悦,2.7,Direct VADER Included
magical,magical,152,神奇的 / 魔幻般的,0.0,Raw VADER Missed (0 Score)
afraid,afraid,150,害怕的 / 恐惧的,0.0,Raw VADER Missed (0 Score)
worried,worried,149,感到担心的,-1.2,Direct VADER Included
scared,scared,144,感到恐惧害怕的,-1.9,Direct VADER Included
smoother,smoother,143,更平稳的 / 更顺畅的,0.0,Raw VADER Missed (0 Score)
fully,fully,143,完全地 / 充分地,0.0,Raw VADER Missed (0 Score)
wrong,wrong,137,出差错的 / 错误的（负面体验）,-2.1,Direct VADER Included
cheap,cheap,134,便宜的 / 廉价的,0.0,Raw VADER Missed (0 Score)
blessed,blessed,133,感到有福的 / 幸运的,2.9,Direct VADER Included
pleased,pleased,132,感到满意的,1.9,Direct VADER Included
safely,safely,132,安全平稳地,2.2,Direct VADER Included
exactly,exactly,130,精准地 / 正是,0.0,Raw VADER Missed (0 Score)
impressive,impressive,130,令人印象深刻的,2.3,Direct VADER Included
thrill,thrill,129,刺激 / 震慑感,1.5,Direct VADER Included
thrilling,thrilling,126,令人惊险刺激酣畅的,2.1,Direct VADER Included
humor,humor,125,幽默感,1.1,Direct VADER Included
dream,dream,124,梦寐以求的,1.0,Direct VADER Included
sorry,sorry,123,感到抱歉遗憾的,-0.3,Direct VADER Included
relaxing,relaxing,122,令人放松惬意的,2.2,Direct VADER Included
comfort,comfort,121,舒适 / 宽慰安心,1.5,Direct VADER Included
disappoint,disappoint,121,使失望,-1.7,Direct VADER Included
wonder,wonder,121,惊奇 / 赞叹,0.0,Raw VADER Missed (0 Score)
amazed,amazed,120,感到吃惊惊叹的,2.2,Direct VADER Included
fear,fear,120,恐惧 / 害怕,-2.2,Direct VADER Included
unable,unable,114,无法的 / 无能为力的,0.0,Raw VADER Missed (0 Score)
thrilled,thrilled,113,极度兴奋的,1.9,Direct VADER Included
confidence,confidence,112,信心 / 确信,2.3,Direct VADER Included
difficult,difficult,112,困难的 / 令人头疼的,-1.5,Direct VADER Included
expert,expert,112,专家级的 / 娴熟的,0.0,Raw VADER Missed (0 Score)
honestly,honestly,111,老实说 / 真诚地,2.0,Direct VADER Included
confident,confident,109,自信的 / 确信的,2.2,Direct VADER Included
willing,willing,108,乐意的 / 愿意的,0.0,Raw VADER Missed (0 Score)
worry,worry,106,担心 / 忧虑感,-1.9,Direct VADER Included
smoothest,smoothest,105,最平稳的,0.0,Raw VADER Missed (0 Score)
positive,positive,101,积极正面的,2.6,Direct VADER Included
surreal,surreal,98,超现实的 / 梦幻般的,0.0,Raw VADER Missed (0 Score)
reassuring,reassuring,97,令人安心放心的,1.7,Direct VADER Included
sweet,sweet,97,甜蜜的 / 甜美的,2.0,Direct VADER Included
concern,concern,96,担忧 / 关切（焦虑感）,0.0,Raw VADER Missed (0 Score)
luckily,luckily,96,幸运地 / 幸亏,2.3,Direct VADER Included
poor,poor,95,贫乏的 / 差劲的,-2.1,Direct VADER Included
scary,scary,94,令人害怕的 / 吓人的,-2.2,Direct VADER Included
enthusiastic,enthusiastic,93,热情的 / 充满激情的,2.2,Direct VADER Included
apprehensive,apprehensive,92,忧虑的 / 不安的,0.0,Raw VADER Missed (0 Score)
exhilarating,exhilarating,90,令人极为兴奋刺激的,1.7,Direct VADER Included
honest,honest,88,诚实的 / 坦诚的,2.3,Direct VADER Included
inaccessible,inaccessible,86,难以到达的 / 偏远秘境感,0.0,Raw VADER Missed (0 Score)
lucked,lucky,86,幸运地 (动词变体),1.9,Direct VADER Included
rushed,rushed,85,仓促的 / 匆忙的,0.0,Raw VADER Missed (0 Score)
capable,capable,84,有能力的 / 熟练精湛的,1.6,Direct VADER Included
prone,prone,84,易患（晕机）的,0.0,Raw VADER Missed (0 Score)
simple,simple,84,简单明了的 / 省心的,0.0,Raw VADER Missed (0 Score)
wonders,wonder,83,惊奇 / 奇观,0.0,Raw VADER Missed (0 Score)
fascinating,fascinating,83,令人入迷极具吸引力的,2.5,Direct VADER Included
grateful,grateful,80,感激的 / 感恩的,2.0,Direct VADER Included
delightful,delightful,80,令人欢欣的,2.8,Direct VADER Included
advantage,advantage,78,优势 / 极佳点,1.0,Direct VADER Included
assured,assured,78,安抚 / 确信,1.5,Direct VADER Included
famous,famous,77,著名的 / 享誉的,0.0,Raw VADER Missed (0 Score)
pride,pride,77,自豪 / 骄傲,1.4,Direct VADER Included
safer,safer,77,更安全的 / 更安心的,1.8,Direct VADER Included
neat,neat,76,整洁的 / 干练的,2.0,Direct VADER Included
worthwhile,worthwhile,75,值得的 / 划算的,1.4,Direct VADER Included
coolest,coolest,75,最酷爽震撼的,0.0,Raw VADER Missed (0 Score)
stable,stable,75,平稳安心的,1.2,Direct VADER Included
promptly,promptly,74,及时迅速地,0.0,Raw VADER Missed (0 Score)
concerns,concerns,73,担忧 / 关切,0.0,Raw VADER Missed (0 Score)
greatest,greatest,73,最伟大的 / 极佳的,3.2,Direct VADER Included
ideal,ideal,72,理想的 / 完美的,2.4,Direct VADER Included
peaceful,peaceful,72,平和宁静的,2.2,Direct VADER Included
understanding,understanding,70,体谅的 / 理解的,0.0,Raw VADER Missed (0 Score)
impossible,impossible,65,不可能的 / 难以置信的,0.0,Raw VADER Missed (0 Score)
tremendous,tremendous,64,震撼巨大的,0.0,Raw VADER Missed (0 Score)
passion,passion,64,热情 / 激情,2.0,Direct VADER Included
fears,fears,64,恐惧 / 忧虑,-1.8,Direct VADER Included
conscious,conscious,63,有意识的 / 讲究的,0.0,Raw VADER Missed (0 Score)
pristine,pristine,62,原始纯净的,0.0,Raw VADER Missed (0 Score)
dramatic,dramatic,61,戏剧性的 / 震撼的,0.0,Raw VADER Missed (0 Score)
extraordinary,extraordinary,61,非凡的 / 卓越的,0.0,Raw VADER Missed (0 Score)
gracious,gracious,61,亲切和蔼的,2.6,Direct VADER Included
moving,moving,61,令人动容感人的,0.0,Raw VADER Missed (0 Score)
passionate,passionate,61,充满激情的,2.4,Direct VADER Included
considerate,considerate,60,体贴周到的,1.9,Direct VADER Included
joy,joy,60,喜悦 / 快乐,2.8,Direct VADER Included
entertained,entertained,60,感到深受愉悦娱乐的,1.7,Direct VADER Included
complimentary,complimentary,59,赞赏的 / 赠送贴心的,1.9,Direct VADER Included
convenient,convenient,59,便捷省心的,0.0,Raw VADER Missed (0 Score)
excitement,excitement,59,兴奋 / 激动情绪,2.2,Direct VADER Included
intimate,intimate,59,温馨亲切的,0.0,Raw VADER Missed (0 Score)
nerves,nerves,59,紧张感 / 不安神经,-0.4,Direct VADER Included
unreal,unreal,59,如梦似幻的 / 震撼的,0.0,Raw VADER Missed (0 Score)
flawless,flawless,58,无瑕的 / 完美的,2.3,Direct VADER Included
fortunately,fortunately,58,幸运的是,0.0,Raw VADER Missed (0 Score)
disappointing,disappointing,58,令人失望的,-2.2,Direct VADER Included
lush,lush,57,郁郁葱葱宜人的,0.0,Raw VADER Missed (0 Score)
negative,negative,57,负面体验 / 消极评价,-2.7,Direct VADER Included
thankful,thankful,57,感激的 / 感恩的,2.7,Direct VADER Included
thoughtful,thoughtful,57,贴心周到的,1.6,Direct VADER Included
glorious,glorious,56,壮丽辉煌的,3.2,Direct VADER Included
uncomfortable,uncomfortable,56,感到不适的 / 不安的,-1.6,Direct VADER Included
fair,fair,55,公道的 / 划算的,1.3,Direct VADER Included
noisy,noisy,55,喧闹吵杂的,-0.7,Direct VADER Included
remarkable,remarkable,54,卓越令人瞩目的,2.6,Direct VADER Included
genuine,genuine,54,真诚的 / 地道的,0.0,Raw VADER Missed (0 Score)
cherish,cherish,54,珍视 / 珍惜铭记,1.6,Direct VADER Included
caring,caring,53,体贴入微关怀的,2.2,Direct VADER Included
appreciation,appreciation,52,感激 / 欣赏,2.3,Direct VADER Included
enthusiasm,enthusiasm,52,热情 / 积极性,1.9,Direct VADER Included
gentle,gentle,52,平稳柔和的,1.9,Direct VADER Included
strong,strong,52,强烈的,2.3,Direct VADER Included
trouble,trouble,52,麻烦 / 困扰,-1.7,Direct VADER Included
disappointment,disappointment,51,失望 / 遗憾失落情绪,-2.3,Direct VADER Included
nicer,nicer,51,更美好/更亲切的,1.9,Direct VADER Included
hoping,hoping,50,期盼 / 希望,1.8,Direct VADER Included
happier,happier,50,更快乐的 / 更满意的,2.4,Direct VADER Included
queasy,queasy,49,恶心反胃的,0.0,Raw VADER Missed (0 Score)
seamless,seamless,49,流畅无缝无摩擦的,0.0,Raw VADER Missed (0 Score)
satisfied,satisfied,49,感到满意的,1.8,Direct VADER Included
delight,delight,48,欣喜 / 愉快,2.9,Direct VADER Included
genuinely,genuinely,48,真诚地 / 确实,0.0,Raw VADER Missed (0 Score)
steady,steady,48,平稳的 / 稳健的,0.0,Raw VADER Missed (0 Score)
terrible,terrible,46,可怕的 / 糟糕的,-2.1,Direct VADER Included
warmly,warmly,46,温暖地 / 热情地,1.7,Direct VADER Included
unexpected,unexpected,46,意想不到的惊喜,0.0,Raw VADER Missed (0 Score)
sensitive,sensitive,46,敏感的,0.0,Raw VADER Missed (0 Score)
easier,easier,46,更容易的 / 更省心的,1.8,Direct VADER Included
decent,decent,45,尚可的 / 体面的,0.0,Raw VADER Missed (0 Score)
friendliness,friendliness,45,友善 / 亲和力,2.0,Direct VADER Included
loud,loud,45,吵闹的 / 噪音大的,0.0,Raw VADER Missed (0 Score)
relax,relax,45,放松 / 放轻松,1.9,Direct VADER Included
terrified,terrified,45,极度惊恐的,-3.0,Direct VADER Included
encouraged,encouraged,44,深受鼓舞的,1.5,Direct VADER Included
happily,happily,44,快乐地 / 欣然,2.6,Direct VADER Included
quieter,quieter,44,更安静宁静的,0.0,Raw VADER Missed (0 Score)
beautifully,beautifully,43,优美地 / 出色地,2.7,Direct VADER Included
calming,calming,42,令人平息平稳安心的（Calmness State）,1.7,Direct VADER Included
adventurous,adventurous,41,充满冒险刺激感的,1.4,Direct VADER Included
charming,charming,40,迷人讨喜的,2.8,Direct VADER Included
responsive,responsive,40,积极回应的 / 贴心的,1.5,Direct VADER Included
touched,touched,40,深受感动的,0.0,Raw VADER Missed (0 Score)
nicest,nicest,39,最美好的 / 最亲切的,2.2,Direct VADER Included
unsafe,unsafe,39,感觉不安全的 / 担惊受怕的,0.0,Raw VADER Missed (0 Score)
worst,worst,39,最糟糕的,-3.1,Direct VADER Included
handle,handle,39,善于处理 / 掌控感,0.0,Raw VADER Missed (0 Score)
enjoyment,enjoyment,39,乐趣 / 享受,2.6,Direct VADER Included
greater,greater,38,更宏大震撼的,1.5,Direct VADER Included
hospitable,hospitable,38,殷勤好客的,0.0,Raw VADER Missed (0 Score)
pleasantly,pleasantly,38,令人愉快地,2.1,Direct VADER Included
stress,stress,38,压力 / 紧张感,-1.8,Direct VADER Included
wonderfully,wonderfully,38,极其出色绝妙地,2.9,Direct VADER Included
worries,worry,38,担忧 / 挂虑,-1.8,Direct VADER Included
hopefully,hopefully,37,怀着希望地,1.7,Direct VADER Included
nicely,nicely,37,很好地 / 优雅地,1.9,Direct VADER Included
cared,cared,37,得到无微不至关怀的,1.8,Direct VADER Included
delicious,delicious,37,美味愉悦的,2.7,Direct VADER Included
nauseous,nauseous,36,恶心晕车的,0.0,Raw VADER Missed (0 Score)
reliable,reliable,36,可靠的 / 可信赖的,0.0,Raw VADER Missed (0 Score)
marvelous,marvelous,36,绝妙的 / 令人惊叹的,2.9,Direct VADER Included
humour,humour,35,幽默感,2.1,Direct VADER Included
superior,superior,35,优越顶尖的,2.5,Direct VADER Included
picturesque,picturesque,35,风景如画的,1.6,Direct VADER Included
surprisingly,surprisingly,35,出乎意料赞叹地,1.2,Direct VADER Included
humorous,humorous,35,幽默风趣的,1.6,Direct VADER Included
bother,bother,35,打扰 / 烦扰,-1.4,Direct VADER Included
anxious,anxious,35,焦虑不安的 / 挂虑的,-1.0,Direct VADER Included
anxiety,anxiety,34,焦虑 / 不安,-0.7,Direct VADER Included
generous,generous,34,大方的 / 慷慨的,2.3,Direct VADER Included
romantic,romantic,34,浪漫惬意的,1.7,Direct VADER Included
sadly,sadly,34,令人遗憾地 / 悲伤地,-1.8,Direct VADER Included
worse,worse,34,更糟糕的,-2.1,Direct VADER Included
airsick,airsick,33,晕机的,0.0,Raw VADER Missed (0 Score)
hassle,hassle,33,麻烦 / 烦心事,0.0,Raw VADER Missed (0 Score)
overwhelming,overwhelming,33,铺天盖地震撼的,0.0,Raw VADER Missed (0 Score)
turbulent,turbulent,32,颠簸不安的,0.0,Raw VADER Missed (0 Score)
upfront,upfront,32,直率透明的,0.0,Raw VADER Missed (0 Score)
skillful,skillful,32,技术精湛的,0.0,Raw VADER Missed (0 Score)
reassured,reassured,32,感到安心的,1.7,Direct VADER Included
cute,cute,31,可爱宜人的,2.0,Direct VADER Included
economical,economical,31,划算实惠的,0.0,Raw VADER Missed (0 Score)
breathtakingly,breathtakingly,30,令人屏息震撼地（Awe/Amazement Emotion）,0.0,Raw VADER Missed (0 Score)
kindly,kindly,30,体贴友善地,2.2,Direct VADER Included
unbelievably,unbelievably,29,难以置信地,0.0,Raw VADER Missed (0 Score)
stellar,stellar,29,璀璨顶尖级的,0.0,Raw VADER Missed (0 Score)
pure,pure,29,纯粹的 / 纯净震撼的,0.0,Raw VADER Missed (0 Score)
interactive,interactive,29,互动性强的,0.0,Raw VADER Missed (0 Score)
delighted,delighted,29,高高兴兴的,2.3,Direct VADER Included
convinced,convinced,29,深信不疑的 / 心服口服,1.7,Direct VADER Included
chatty,chatty,29,健谈热情的,0.0,Raw VADER Missed (0 Score)
gladly,gladly,29,乐意地 / 高兴地,1.4,Direct VADER Included
boring,boring,28,令人无聊乏味的,-1.3,Direct VADER Included
sad,sad,28,悲伤的 / 遗憾痛心的,-2.1,Direct VADER Included
serene,serene,28,宁静祥和的,2.0,Direct VADER Included
splendor,splendor,27,壮丽辉煌的奇观,3.0,Direct VADER Included
peace,peace,27,宁静 / 和平,2.5,Direct VADER Included
regrets,regrets,27,遗憾 / 后悔,-1.5,Direct VADER Included
aside,aside,27,撇开 / 排除,0.0,Raw VADER Missed (0 Score)
eager,eager,27,热切的 / 渴望的,1.5,Direct VADER Included
comforting,comforting,27,令人感到安慰抚慰的,1.7,Direct VADER Included
bang,bang,26,物超所值（bang for buck）,0.0,Raw VADER Missed (0 Score)
basic,basic,26,基础的 / 简陋的,0.0,Raw VADER Missed (0 Score)
cramped,cramped,26,拥挤狭窄不适的,0.0,Raw VADER Missed (0 Score)
hate,hate,26,憎恨 / 讨厌,-2.7,Direct VADER Included
mesmerizing,mesmerizing,26,令人目眩神迷为之倾倒的,0.0,Raw VADER Missed (0 Score)
upset,upset,26,感到沮丧难过的,-1.6,Direct VADER Included
bump,bump,25,颠簸不适的,0.0,Raw VADER Missed (0 Score)
communicative,communicative,25,善于沟通的,0.0,Raw VADER Missed (0 Score)
dangerous,dangerous,25,危险的,-2.1,Direct VADER Included
ill,ill,25,生病的 / 恶心呕吐的,-1.8,Direct VADER Included
laughing,laughing,25,欢声笑语 / 开心大笑,2.2,Direct VADER Included
inclement,inclement,24,恶劣的气候,0.0,Raw VADER Missed (0 Score)
magnificence,magnificence,24,壮丽震撼感,2.4,Direct VADER Included
impeccable,impeccable,23,无可挑剔的,0.0,Raw VADER Missed (0 Score)
talkative,talkative,23,健谈热情的,0.0,Raw VADER Missed (0 Score)
horrible,horrible,23,极度糟糕可怕的,-2.5,Direct VADER Included
shining,shining,22,璀璨夺目的,0.0,Raw VADER Missed (0 Score)
calmed,calmed,22,心情平静安稳下来的,1.6,Direct VADER Included
talented,talented,22,才华横溢精湛的,2.3,Direct VADER Included
skeptical,skeptical,22,怀疑的 / 存疑的,-1.3,Direct VADER Included
tough,tough,22,严苛倒霉的,-0.5,Direct VADER Included
lasting,lasting,22,持久的 / 深刻的,0.0,Raw VADER Missed (0 Score)
fearful,fearful,22,恐惧的 / 担心的,-2.2,Direct VADER Included
favourite,favourite,22,最喜爱的,0.0,Raw VADER Missed (0 Score)
bummed,bummed,21,感到扫兴遗憾失落的,0.0,Raw VADER Missed (0 Score)
mild,mild,21,轻微适度的（颠簸/舒适）,0.0,Raw VADER Missed (0 Score)
refreshing,refreshing,21,令人神清气爽耳目一新的,0.0,Raw VADER Missed (0 Score)
spoil,spoil,21,破坏 / 毁掉（好心情）,0.0,Raw VADER Missed (0 Score)
surprises,surprise,21,惊喜 / 意料之外,0.9,Direct VADER Included
unbeatable,unbeatable,21,无可比拟的 / 无敌的,0.0,Raw VADER Missed (0 Score)
successful,successful,20,成功的 / 满意的,2.8,Direct VADER Included
mood,mood,20,心情 / 情绪,0.0,Raw VADER Missed (0 Score)
spiritual,spiritual,20,精神神圣的,0.0,Raw VADER Missed (0 Score)
cheerful,cheerful,20,欢快愉悦的,2.5,Direct VADER Included
amusing,amusing,20,风趣风趣令人发笑的,1.6,Direct VADER Included
astonishing,astonishing,20,令人惊叹的,0.0,Raw VADER Missed (0 Score)
exquisite,exquisite,19,精美的 / 绝妙的,0.0,Raw VADER Missed (0 Score)
suitable,suitable,19,合适的 / 满意的,0.0,Raw VADER Missed (0 Score)
inspired,inspired,19,灵感大发 / 深受震撼的,2.2,Direct VADER Included
touching,touching,19,令人动容流泪的,0.0,Raw VADER Missed (0 Score)
comfy,comfy,19,舒适惬意的,0.0,Raw VADER Missed (0 Score)
chilly,chilly,19,寒冷不适的,0.0,Raw VADER Missed (0 Score)
awestruck,awestruck,19,充满敬畏震撼的,0.0,Raw VADER Missed (0 Score)
handy,handy,18,实用的 / 贴心的,0.0,Raw VADER Missed (0 Score)
wondered,wonder,18,感到惊奇惊叹 (动词变体),0.0,Raw VADER Missed (0 Score)
witty,witty,18,风趣幽默的,0.0,Raw VADER Missed (0 Score)
soothing,soothing,18,舒缓抚慰人心的,1.3,Direct VADER Included
secret,secret,18,秘境 / 私密独享感,0.0,Raw VADER Missed (0 Score)
marvel,marvel,18,惊叹 / 奇迹,1.8,Direct VADER Included
keen,keen,18,热情的 / 敏锐的,1.5,Direct VADER Included
honesty,honesty,18,真诚 / 诚信解说,2.2,Direct VADER Included
smart,smart,18,聪慧的 / 明智的,1.7,Direct VADER Included
haha,haha,18,哈哈（欢快情绪）,2.0,Direct VADER Included
easiest,easiest,18,最省心的 / 最容易的,1.8,Direct VADER Included
danger,danger,18,危险 / 威胁,-2.4,Direct VADER Included
amazement,amazement,18,惊叹 / 惊奇,2.5,Direct VADER Included
chill,chill,18,惬意轻松的,0.0,Raw VADER Missed (0 Score)
charm,charm,18,顺畅 / 令人满意,1.7,Direct VADER Included
astounding,astounding,18,令人无比震撼惊叹的,1.8,Direct VADER Included
effective,effective,18,有效划算的,2.1,Direct VADER Included
hopes,hopes,17,期盼 / 希望,1.8,Direct VADER Included
overwhelmed,overwhelmed,17,被震撼/感动深深淹没的,0.2,Direct VADER Included
valuable,valuable,17,珍贵的 / 有价值的,2.1,Direct VADER Included
energetic,energetic,17,精力充沛的,1.9,Direct VADER Included
discomfort,discomfort,17,身体/心理不适感,-1.8,Direct VADER Included
cordial,cordial,17,热情亲切礼貌的,0.0,Raw VADER Missed (0 Score)
claustrophobic,claustrophobic,16,感到幽闭恐惧压抑的,0.0,Raw VADER Missed (0 Score)
insane,insane,16,疯狂震撼的 / 极端的,-1.7,Direct VADER Included
leery,leery,16,提防警惕 / 顾虑重重的,0.0,Raw VADER Missed (0 Score)
loving,loving,16,热爱的 / 充满了爱的,2.9,Direct VADER Included
sensational,sensational,16,绝佳轰动震撼的,0.0,Raw VADER Missed (0 Score)
sudden,sudden,16,突然的 / 猝不及防的,0.0,Raw VADER Missed (0 Score)
uncertain,uncertain,16,不确定的 / 顾虑的,-1.2,Direct VADER Included
worthy,worthy,16,非常值的 / 值得的,1.9,Direct VADER Included
hilarious,hilarious,15,爆笑幽默搞笑的,1.7,Direct VADER Included
warmth,warmth,15,温暖安心感,2.0,Direct VADER Included
unprofessional,unprofessional,15,不专业的,-2.3,Direct VADER Included
respectful,respectful,15,充满敬意的,2.0,Direct VADER Included
immaculate,immaculate,15,完美无瑕洁净的,0.0,Raw VADER Missed (0 Score)
annoying,annoying,15,令人烦躁恼火的（Annoyance/Irritation Emotion）,-1.7,Direct VADER Included
fuss,fuss,15,大惊小怪 / 争吵骚动,0.0,Raw VADER Missed (0 Score)
awful,awful,15,极其糟糕的,-2.0,Direct VADER Included
awed,awed,15,感到为之肃然起敬震撼的,0.0,Raw VADER Missed (0 Score)
bubbly,bubbly,15,活泼热情的,0.0,Raw VADER Missed (0 Score)
praise,praise,14,称赞 / 高度赞扬,2.6,Direct VADER Included
trustworthy,trustworthy,14,值得信赖靠谱的,2.6,Direct VADER Included
satisfaction,satisfaction,14,满意感,1.9,Direct VADER Included
ruined,ruined,14,毁掉行程的 / 扫兴糟心的,-2.1,Direct VADER Included
proud,proud,14,感到自豪骄傲的,2.1,Direct VADER Included
marvellous,marvellous,14,令人叹为观止的,0.0,Raw VADER Missed (0 Score)
intrusive,intrusive,14,突兀扰人的 / 煞风景的,0.0,Raw VADER Missed (0 Score)
glowing,glowing,14,极度赞赏口碑极佳的,0.0,Raw VADER Missed (0 Score)
frustrating,frustrating,14,令人挫败的 / 烦人的,-1.9,Direct VADER Included
bothered,bothered,14,困扰的 / 烦心的,-1.3,Direct VADER Included
authentic,authentic,14,地道的 / 真实无伪的,0.0,Raw VADER Missed (0 Score)
tricky,tricky,13,棘手不安的,-0.6,Direct VADER Included
worldly,worldly,13,超凡脱俗的,0.0,Raw VADER Missed (0 Score)
vibrant,vibrant,13,生机勃勃色彩斑斓的,2.4,Direct VADER Included
