review_id,rating,tour_name,pos_word_count,neg_word_count,total_emotion_words,found_pos_words,found_neg_words,review_text
60,5.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,2,2,4,"great, sweet","fearful, sick",I had a great time on the flight. I was able to ride shotgun both ways since I was a solo traveler. Bryce was very knowledgeable about the area and was super sweet when I got air sick. He was also very attuned to when I became fearful because of turbulence. I would not have had as great of a time if it wasn't for his attentiveness. He deserves major kudos for being so intuitive to his passengers.
70,1.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,14,13,27,"awesome, basic, comfortable, dramatic, glad, happy, harrowing, honestly, humor, lucky, nicer, turbulent, unable, unsafe","aggressively, bad, disappointing, ill, nervous, scared, scary, sick, sickening, skeptical, terrible, worse, worst","I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experiences on our flight over the Grand Canyon from Page Airport. My flight (which I'll refer to as plane 1), which was supposedly the NON-executive plane, had an awesome pilot named Mark, who communicated with us throughout the flight, pointing out where to look (and there's a lot you won't see/notice if you're not directed) and forewarning us of turbulence. His humor and constant, clear communication made a semi-scary extremely turbulent flight as comfortable as it could possibly be. A few of us threw up from the bumpiness, but we felt very safe in Mark's hands and were all happy with our experience.

Our other plane of 8 people however (plane 2), had an entirely different experience. This plane we were told was the ""executive plane"" - nicer seats, etc. However, unlike plane 1 which had secure shoulder straps and individual seats for each person, this plane only had waist belts, the last row of the plane was a bench, and their seats were not in a fixed position and so were aggressively sliding back and forth throughout the flight. This constant movement, paired with turbulence, resulted in everyone slamming their heads into the ceiling multiple times (confirmed by every passenger) and 5 of the 8 passengers vomiting throughout the flight (so much vomit that my mom (the guest of honor) had to clean out the plane after they landed while the pilot stood by watching).  One person got so sick they had to go to the hospital afterwards and 3 others were ill for the rest of the day and unable to participate in the activities we had planned. Of the 8 people on plane 2, only TWO people actually saw the Grand Canyon because the others were so sick, or scared that they couldn't look. 

To make matters worse, their captain, unlike ours, did not speak once throughout the entire flight. Not only did this mean they weren't getting told where to look (which you think would be a no-brainer for a tour like this), but it also made everyone incredibly nervous as they continued to hit worse and worse turbulence. Honestly, when I initially heard how terrible a time they had, I thought they were being dramatic, but when I heard THESE details (seats sliding around, heads slamming into the ceiling, and a captain who did not speak the entire 1.5 hour flight) and they were confirmed by every single passenger, I was furious. 

Upon landing, as the majority of our group was throwing up outside the airport, the captains told us that that was the worst conditions they've ever flown through and that they were cancelling the rest of the flights for that day. While I'm of course glad that I (and the lucky others on plane 1 were able to see the Grand Canyon, I'm also a little skeptical of Westwind's judgment to 1) fly us in such bad conditions and 2) fly half of our group on a plane that seems incredibly unsafe and with a pilot who apparently doesn't have basic communication skills.  That's not just ""bad conditions,"" that is bad judgement and completely unacceptable and infuriating when lifes are on the line. And finally, it's really disappointing that a once in a lifetime experience was turned into a harrowing, sickening flight from hell."
79,5.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,6,1,7,"amazing, awesome, friendly, great, nice, worth",regret,"Great experience ! Worth the try and you won’t regret it . Diego was awesome , super nice and friendly . The view was amazing and ride was smooth."
84,3.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,4,2,6,"afraid, excited, nice, stable","uncomfortable, worst","When we got there it was sort of confusing on where to go but we were able to find it eventually. We were excited for the tour but as we got in the plane, it was a bit small uncomfortable and you can tell the plane was older. Once we were in the air, the doors weren't very stable and i was afraid they would open at any moment. The worst part was probably the fact that there was no sort of A/C or at least a fan inside so it was HOT. The tour overall was nice but i think there should be some upgrades on some of these things."
86,5.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,3,1,4,"happy, kind, nice",unfortunately,"We had a nice and fast check-in, waited for about 10 mins before heading out to the aircraft.  Our pilot Sergio was very kind and explained a lot of the things we saw while flying over Miami. Unfortunately we had to head back to the airport due to an incoming storm. But we are still happy that we had this kind of experience."
87,5.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,1,1,2,fun,nervous,I took my boyfriend for his birthday and we had a lot of fun. It was a little rocky but we came back safe and sound. Only thing that made me nervous was the pilot keep looking at his phone. Im not sure if his phone was guiding him or if he was texting. Would definitely do this again. And I also recommend my friends and family to try it at least once.
100,5.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,2,1,3,"amazing, friendly",fear,It was amazing the guys was really friendly even helping me with my fear of heights will definitely come back !!!
136,5.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,3,1,4,"awesome, great, spectacular",disappoint,Awesome experience flying through Miami. Definitely recommend for anyone checking out the city. It will not disappoint. Flight time is 30 minutes but definitely felt way longer than that. View was also spectacular! The pilot gave a great narrative as we flew through the different spots. 10/10!
164,5.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,1,1,2,great,scared,"I was scared at first, this is my first time and I didn’t know what to expect but it was a great experience and I’d definitely do it again. I’ll come back for sure!"
174,5.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,3,1,4,"great, greatest, spectacular",disappointed,"The greatest experience!!! 
I highly recommend doing this, you won’t be disappointed, we flew at night and really the view was spectacular!!! 

Sergio was our pilot and he was great!!!!"
181,5.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,2,1,3,"beautiful, love",scary,To see how beautiful Miami is. Flying over the water was a lil scary tho🤣🤣. It's my BF bday. Love.
193,1.0,11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,1,1,2,honestly,hard,"Even due to weather, they wont even do a refund or is able to do a voucher for one year. Honestly very upsetting. It was raining really hard and super cloudy and they made no circumstances. Even if it is sprinkling, absolutely no refund."
204,3.0,38_77_Alaska Bush Float Plane Service_2025-03-04,4,1,5,"beautiful, better, honestly, nice",hard,"The outfit was really laid-back, which was nice. They accommodated our schedule and shifted us around a couple times. It worked out. The pilot was nice, but not super-informative. Seemed like a new business. This was a wildlife viewing tour, but honestly, it’s really hard to see animals that far away at those speeds. Also, the pilot didn’t seem to know much about the patterns or movement of animals, although he had several trips before us. I would think he would have a better idea of where they are to spot them.
Beautiful views of the Talkeetna mountains and it was clear enough to see the Denali."
208,4.0,38_77_Alaska Bush Float Plane Service_2025-03-04,7,1,8,"best, cared, comfortable, good, grateful, hassles, wonderful",unfortunately,"Our family booked the 30 minute seaplane adventure as part of our cruisetour.  Due to rainy weather, we were not able to take the tour but I wanted to acknowledge the wonderful customer service provided.  The company reached out the day before to let us know the weather did not look good for our flight but they would keep us informed.  We had booked a morning flight.  They contacted us in the morning to confirm we would have to cancel but offered to postpone to another day.  Unfortunately we were leaving the next day to go to Denali so they offered to wait until afternoon and see if the weather cleared.  We were contacted again at noon time and weather was still not cooperating so they had to cancel.  Our payment was refunded in full with no headaches.  Although we obviously would have preferred to be able to take the seaplane flight, weather is the determining factor on adventures like these.  I was so grateful for the wonderful customer service.  I felt the company cared and really tried to find a way for us to enjoy our excursion.  
For anyone planning an Alaskan adventure, feel comfortable booking with this company knowing they try there best to fulfill their commitment and when they are not able to, you will be refunded quickly and without any hassles."
210,4.0,38_77_Alaska Bush Float Plane Service_2025-03-04,6,1,7,"amazing, awesome, delightful, gratitude, promptly, wonderful",disappointing,"This is a bit of a mixed experience for us.  The floatplane ride to Caribou lodge was wonderful - the guided hike from Caribou Lodge at Boomerang Lake was really awesome - Zack showed us amazing tundra plant life - his family at Caribou lodge opened our eyes with their lifestyle and their hospitality.  So full points to them for our delightful hiking experience.  But due to cloudy conditions  the flight service to view Denali National Park from the air was canceled (the float plane service reimbursed us very promptly for the missed portion of the trip).  Here's my issue - the blurb states ""Experience Denali National Park from the air and at ground level""  The clouds made us miss the ""from the air portion"" and we accept with gratitude what Mother Nature grants us, but there was *never* a chance of experiencing Denali NP ""at ground level.""  So by following this ad, we missed out on visiting Denali National Park on a once in a lifetime trip to Alaska, and that was disappointing indeed.  The ad needs to be clear that there is NEVER a chance to experience Denali National Park *at ground level* with this service. If the weather permits, you see DNP from the air, but you never get to DNP at ground level, no matter what."
217,5.0,38_77_Alaska Bush Float Plane Service_2025-03-04,2,1,3,"competent, great",unfortunately,"We had a great time sightseeing with Jason. He is a super competent pilot which made us all feel at ease. 
Unfortunately, we didn’t see any wildlife but that was beyond anyone’s control. Next time."
223,4.0,38_77_Alaska Bush Float Plane Service_2025-03-04,8,3,11,"beautiful, better, calm, cool, friendly, good, loved, nice","bad, hard, poor","It was a nice calm day, like no wind at all so it went smoothly.  We did a shorter flight.  Our favorite thing was seeing a Momma black bear with her 2 baby cubs.  Only bad thing was we were higher than I wish we were.  No way to get a good picture.  Our poor son (10) was doing ok then we turned in the sky and it turned his tummy.  You never know what its like til you try it.  It was cool, just wish they flew lower so you could see the black bears better.  Nice pilot very friendly & kept us informed what areas we were seeing and how close we were back to try and calm our son down.  The area is beautiful, we were just driving by and turned around to take pictures and they said they had flights open and it seemed affordable, we paid $440 for the 4 of us for 30min I think........can't remember for sure.  It was a cool life experience. Our son will never do it again but our 13yr old daughter loved it.  They have a nice public restroom that is not a portapotty which is hard to come by as you will learn the longer you visit lol"
226,2.0,38_77_Alaska Bush Float Plane Service_2025-03-04,6,1,7,"amazing, better, honest, moving, nice, worth",hard,"They sold me on flying low and being able to see lots of wildlife close up . . . 
We flew at about 500 - 650 feet above the grounds so any wildlife you see is minimum  600 fret away, more like 1000 feet away, basically not worth it for a wildlife viewing . . . 
People are very nice but not totally honest - over sold it big time  !
We saw 3 black bears or 3 black dots moving and Caribou. Again, it was very hard to see and we had an amazing clear sunny day. . . 
Better to go look at the Glaciers and the mountains which are 600 Feet away - looks like you are right there as they are massive  . . ."
231,5.0,38_77_Alaska Bush Float Plane Service_2025-03-04,3,1,4,"good, spectacular, worth",disappointed,"We saw that the weather was going to be clear for the several days that we were in Talkeetna (late August '16) and booked a flight-seeing tour with this company.  The weather was probably as good as could be hoped for-- blue skies, few clouds, little to no wind, temperatures in the upper 60's.  We departed at noon, with the sun overhead. My wife and I thoroughly enjoyed the experience.  The flight path took us thru some of the most spectacular vistas that we've ever seen.  We opted for the lake landing, and were not disappointed.  The aircraft had a smooth landing, and when it came to a stop the aircraft was pointed directly at Mt. Denali.  The pilot asked us if we wanted to get out of the aircraft and stand on the landing pontoons (which I did).  Took some video and photos from this location.  The pilot took a photo of me standing on the pontoon and holding onto the wing strut, with Denali in the background.  My wife and I both agree that this was the highlight of our Alaska trip.  The cost was a bit pricey, but we thought it was worth it (most likely a once in a lifetime experience)."
232,2.0,38_77_Alaska Bush Float Plane Service_2025-03-04,3,1,4,"friendly, good, wonderful",disappointed,"While the flight was safe and we did see what was expected, we were really disappointed overall. When I asked to use the bathroom they explained their bathroom was out of service and I could use the woods behind the fuel truck filling up - um, okay. Next they strongly suggested I leave a tip on the $840 price tag - we opted to see how the flight went first. 
I understand a father and son own the plane company and we were sent out with the son as our pilot. While he was clean cut and appeared to be a good pilot he lacked personality. The entire flight was mostly spent in silence, he didn't provide any info about the area, history and briefly described what we saw. When I inquired about the history of Talkeenta he suggested I visit the history museum in town. 
Our friends flew on K2 Avaition next door and said they had a wonderful time and their pilot was super friendly and provided a ton of information. My suggestion would be to see if you can book with them first. We definitely wouldn't recommend this company if you're looking for more than just a plane ride. Oh, and we certainly didn't leave a tip."
233,5.0,38_77_Alaska Bush Float Plane Service_2025-03-04,7,1,8,"basic, better, chatty, good, nice, pleasant, positive",unfortunately,"Unfortunately, this was the one cloudy and overcast day on our trip to Denali.  Would have been so much better on a clear day!  That being said, it wasn't the fault of this company and they did a good job and we had a positive experience.  It is very easy to find - just turn right onto the road to Talkeetna, and it will soon be on your right side.  We selected Alaska Bush Float Plane over K2 or Talkeetna Air Taxi because we wanted to go in a float plane - taking off and landing on the water was a new experience for us!  We did the basic tour and thought that was just the right amount of time.  We did get to see the top of Denali when we got above the clouds, and were able to see glaciers.  Like others have said - the pilot (Jason, I think?) is not overly chatty.  We found him to be nice and pleasant - not rude at all - just a quite guy.  If you want a lot of personality in your pilot and lots of narration, this one probably isn't for you.  I weighed that against the float plane option and just went into it knowing what to expect.   He was very professional and we felt completely safe."
234,5.0,38_77_Alaska Bush Float Plane Service_2025-03-04,1,1,2,excellent,bad,"We booked a Denali flight and requested a pick-up from Talkeetna Alaskan Lodge in top Aug 2016. On that day, the flight has to be cancelled for bad weather but they still arrived the hotel in 5 minutes before pick-up time and asked us in person whether do we want to change the flight or we can just cancel it. We chose to cancel it for free. No deposit was required before which is different from other companies. Excellent service!"
235,1.0,38_77_Alaska Bush Float Plane Service_2025-03-04,2,2,4,"exciting, willing","racist, terrible","I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed to be more of the lets get it over with attitude. In addition he also seemed to be a bit racist (we are Indians) and insulting to our family.

 The tour was supposed to provide sighting of wildlife but we did not spot any. The lake landing was an added 65$ per person, but it was overcast and the pilot simply landed in a different lake than the conventional one without asking us first. The new lake hardly had any beach and the pilot did not provide us enough support to actually get to the beach from the plane without getting wet. 

In all the experience was very underwhelming with simply a take off and landing sequence. I would recommend trying some other activity since this isn't something you should rather do in Alaska. There are several other services that provide much more exciting experiences for a moderate higher cost."
236,4.0,38_77_Alaska Bush Float Plane Service_2025-03-04,4,1,5,"beautiful, bummed, neat, worth",sick,"We really enjoyed our flight with Alaska Bush Float plane service. Although Denali was clouded in, the pilot still took us as close as he could. He narrated the whole time and pointed out neat glaciers and lots of wildlife. His driving was smooth and we didn't feel motion sick at all! The tour lasted a full hour which was plenty of time to see the beautiful valley. We were bummed that we couldn't see Denali but the trip was well worth our time and money!"
238,5.0,38_77_Alaska Bush Float Plane Service_2025-03-04,5,3,8,"awesome, beautiful, glad, great, safely","fear, frightened, terrible","I am a terrible flier. As in PETRIFIED.  Somehow, though, this clean, well kept little dock caught my eye as my husband and I drove into Talkeetna for one overnight. Despite my fear, I thought about it all night and when we pulled out the following afternoon, there it was, calling to me.  I would like to say that I got over my fear but I didn't... I pushed through and boarded the tiniest little float plane with my husband, another frightened lady, and the pilot who was in his early 20's and had been flying solo since he was 16.  I remained petrified and with my eyes closed for the first 10 minutes, he did offer to turn back (maybe he heard me hyperventilating?) but I stuck it out.  Wildlife didn't cooperate, no bears or eagles to be seen, but the 30 minute flight was handled safely and professionally, with beautiful scenery and a blue sky day.  I had faith in the pilot, who really was awesome, and he landed us down on the lake smooth as glass. I think I can cross this off my bucket list and am glad I had this experience with such a great organization..."
255,5.0,38_77_Alaska Bush Float Plane Service_2025-03-04,4,1,5,"amazing, great, interesting, perfect",nervous,"The one hour flight to Mt. McKinley was truly an amazing adventure.  We also picked the perfect day - not a cloud in the sky.  It is amazing how different the mountains and glaciers look when flying between the mountain peaks.  It was also interesting to look at the flat terrain on the way to the mountains and see various remote cabins where the ""bush"" people live.  Our pilot, Jason, did a great job explaining the various points of interest along the way.  I must admit that the thought of flying in a small plane made me a little nervous, but once we were on our way I felt completely safe.  I would fly with Alaska Bush Floatplane again in a heartbeat and will be recommending it to others."
260,5.0,38_77_Alaska Bush Float Plane Service_2025-03-04,16,1,17,"amazing, best, breathtaking, comfortable, curiosity, fantastic, glad, impossible, incredible, magnificent, nice, perfect, quiet, scenic, surprisingly, worth",hard,"My cousin told us that the very best use of our money in Alaska would be on a scenic flight around Mt. McKinley. Even though they are expensive, she told us they are worth every penny. So, I went inside to check out K2 Aviation. There were so many options: the McKinley Experience, the McKinley Flyer, or as long as you're spending that much money, do you go all out for the Denali Grand Tour? And then should we add a glacier landing? There wasn't much of a discount for kids; they actually recommend having parents take turns and go one at a time while the other parent stays with the kids and plays on the playground. I didn't like that idea at all, and it was raining. And then I realized we had missed the first flight on the schedule and would have to wait for the next one, a few hours later in the afternoon. And if it was raining in Talkeetna, would we even be able to see Mt. McKinley? We drove away and started to leave Talkeetna. But then my husband spotted the float planes and decided we needed to stop and check them out. 

He has a thing for float planes (from watching Northern Exposure); he's also attracted to buildings with vegetation growing on the roof. The sign says Mt. McKinley Scenic, but the business is called The Alaska Bush Float Plane Service. 

My husband was sold with the idea of landing on a lake. And Molly, the woman who sets up the flights couldn't have been more accommodating. The planes only hold five passengers, but Molly quickly offered to babysit our youngest while the rest of us went on a flight. Perfect! (She told us kids under the age of five usually fell asleep anyway.) She went and talked to the pilot and came back with a reasonable discounted family price. I couldn't decide whether to take the Explore Denali 1.0 Tour or the Explore Denali 1.2 Tour. (The 1.2 Tour is about fifteen minutes longer, takes you over the Climber's Base Camp area, and offers a view of the West Buttress Route that is used by most climbers.) So Molly told me we could decide in the air. Perfect again! 

We flew over the Talkeetna airport, over some rivers, up and over the clouds, and then we were in the mountains. I could not believe the view! The glacier lakes were incredible. It looked like someone had dropped blue food coloring onto the snow. We flew right by the south face of Mt. McKinley. But without our pilot, we really wouldn't have been able to identify which one it was. All of the mountains were magnificent. And we were so close! 

It was probably ten minutes into our flight before I realized I had a two-way radio on my headset. Our three kids didn't know they had radios until the end of the flight; we didn't tell them because I didn't want them all trying to talk to the pilot at once. I had them raise their hands when they wanted to talk, and then I passed them my microphone. 

We should have prepped the kids with some information before the trip because they were full of curiosity. I tried to limit their questions to the pilot because I didn't want them to distract him. Jason, how deep is that snow? Jason, which one is Moose's Tooth? Jason, which one is a glacier?

Without an aerial tour, it is impossible to comprehended the staggering depth of the Alaska Range. There were so many things to see that it was hard to decide which direction to look. The view was surprisingly clear. (Mt. McKinley is so large that it creates its own localized weather.) We decided to fly over the Climber's Base Camp. We were also able to (barely) spot some climbers on the mountain.

The questions continued. Jason, how many people climb Mt. McKinley? (About 1200 per year; roughly half succeed.) Jason, how long does it take to climb Mt. McKinley? (About two or three weeks.) Jason, has anyone ever died trying to climb Mt. McKinley? (120. . . and counting. Four Japanese climbers died in an avalanche just one week after our visit.)

By the way, I just looked these answers up myself. I couldn't remember his responses because I was too busy trying to keep my girls quiet. Our pilot was nice, but he didn't seem accustomed  to endless questions from eight and nine-year-olds.

That is one thing they could have improved on. Also, they had my kids sit on life jackets to boost them up to be able to see out of the plane windows. Real booster seats would have been more comfortable. 

The views were breathtaking. It was another pinch-yourself-I-can't-believe-we-are-really-doing-this-moment. And then our landing on Fish Lake was fantastic. 

What an amazing experience! And how glad I am that we stopped to check out The Alaska Bush Float Plane Service. They are a small, family-owned business and were able to personalize the trip just for us. I'm pretty sure that was the most expensive ""impulse purchase"" I've ever made, but it was well worth the price."
268,5.0,38_77_Alaska Bush Float Plane Service_2025-03-04,10,1,11,"amazing, authentic, beautiful, best, excellent, helpful, loved, nice, pleasant, promptly",worried,"My family and I decided to take the longer Denali Flightseeing tour after many phone calls with Alaska Bush Floatplane's office staff. I spoke to both Molly and Nancy on different occasions and they were very pleasant and helpful in gearing me towards the flight tour that we would all enjoy. They have six tours to choose from and they also offer hiking and fishing trips that vary in time and price. We arrived early in the morning with coffee in hand from the nearby bakery and we sat on their deck while watching the swans swim in the lake. I had seen photos on their Facebook page of others enjoying the deck and the swans, so we made sure to arrive early to do the same. It is by far the most beautiful place in Talkeetna. They have dahlias blooming in every corner, and the log cabin is a nice authentic touch!  The pilot offered a detailed safety briefing before we loaded the plane, and we were promptly on our way to see Denali on a very beautiful day. I was worried about my first flight in a small plane but it was very smooth, especially in comparison to my flight into Anchorage on a large commercial jet. We all loved being able to see out of every window and in every direction. Flying over glaciers and around the mountains of Denali National Park was amazing. The pilot was very informative and we all learned a thing or two about living in Alaska's bush. My entire experience with this company was excellent and it was the best tour we took while in Alaska.  I do recommend using this tour company while in Alaska."
269,1.0,38_77_Alaska Bush Float Plane Service_2025-03-04,1,4,5,pleasant,"aggressively, fearful, hostile, ill","This company does not deliver pleasant experiences.

This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to become fearful of their personal safety."
271,5.0,38_77_Alaska Bush Float Plane Service_2025-03-04,2,1,3,"charming, nice",stress,"Very nice flight around the wilderness, see 10 bears 3 mooses and caribous
flying out of the heavy crowded of talkeetna is very charming! no stress, very nice approach
over a small lake!"
