word,canonical_lemma,frequency_21215,chinese_translation,strict_raw_category_id,strict_raw_category_name
kind,kind,587,亲切的 / 友善的,0. Direct NRC,Direct NRC Included (358 Words)
memorable,memorable,580,令人终生难忘的,0. Direct NRC,Direct NRC Included (358 Words)
happy,happy,555,高兴的 / 快乐的,0. Direct NRC,Direct NRC Included (358 Words)
stunning,stunning,552,令人目眩震撼的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
nervous,nervous,513,紧张的 / 焦虑不安的,0. Direct NRC,Direct NRC Included (358 Words)
fabulous,fabulous,508,绝妙的 / 极好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
disappointed,disappointed,488,感到失望的 / 遗憾的,0. Direct NRC,Direct NRC Included (358 Words)
outstanding,outstanding,462,杰出出色的,0. Direct NRC,Direct NRC Included (358 Words)
enjoyable,enjoyable,460,令人愉快的 / 趣味盎然的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unforgettable,unforgettable,459,令人难忘的 / 铭心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
love,love,450,喜爱 / 极度热爱的,0. Direct NRC,Direct NRC Included (358 Words)
unique,unique,435,独一无二的 / 独特的,0. Direct NRC,Direct NRC Included (358 Words)
gorgeous,gorgeous,414,极其漂亮的 / 绚丽的,0. Direct NRC,Direct NRC Included (358 Words)
scenic,scenic,400,风景优美的 / 宜人的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
bad,bad,373,糟糕的 / 坏的,0. Direct NRC,Direct NRC Included (358 Words)
exciting,exciting,324,令人兴奋刺激的,0. Direct NRC,Direct NRC Included (358 Words)
incredibly,incredibly,315,难以置信地 / 极其,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
pleasant,pleasant,306,令人愉快的 / 宜人的,0. Direct NRC,Direct NRC Included (358 Words)
awe,awe,304,敬畏 / 震撼,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
unbelievable,unbelievable,302,难以置信的 / 震撼的,0. Direct NRC,Direct NRC Included (358 Words)
funny,funny,301,幽默风趣的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
plenty,plenty,298,丰富的 / 充足的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hard,hard,297,困难的 / 艰辛的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
regret,regret,293,遗憾 / 后悔,0. Direct NRC,Direct NRC Included (358 Words)
magnificent,magnificent,282,壮丽的 / 宏伟震撼的（Awe）,0. Direct NRC,Direct NRC Included (358 Words)
exceptional,exceptional,276,卓越的 / 杰出的（顶级评价）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
sick,sick,274,晕机的 / 身体不适的,0. Direct NRC,Direct NRC Included (358 Words)
lovely,lovely,266,令人愉悦的 / 可爱的,0. Direct NRC,Direct NRC Included (358 Words)
terrific,terrific,260,极好的 / 太棒了,0. Direct NRC,Direct NRC Included (358 Words)
calm,calm,259,镇定 / 平息情绪的,0. Direct NRC,Direct NRC Included (358 Words)
impressed,impressed,255,感到深深被折服/留下深刻印象,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unfortunately,unfortunately,240,不幸的是 / 遗憾的是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fortunate,fortunate,235,幸运的 / 幸运地,0. Direct NRC,Direct NRC Included (358 Words)
efficient,efficient,215,高效省心的,0. Direct NRC,Direct NRC Included (358 Words)
welcome,welcome,212,受欢迎的 / 感受温暖的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
entertaining,entertaining,210,引人入胜生动有趣的,0. Direct NRC,Direct NRC Included (358 Words)
inspiring,inspiring,210,令人启发震慑的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cheaper,cheaper,208,更实惠的 / 较便宜的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
phenomenal,phenomenal,200,现象级震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
superb,superb,196,极好精湛的,0. Direct NRC,Direct NRC Included (358 Words)
surprised,surprised,196,感到惊喜惊讶的,0. Direct NRC,Direct NRC Included (358 Words)
surprise,surprise,195,惊喜 / 意料之外的喜悦,0. Direct NRC,Direct NRC Included (358 Words)
fine,fine,190,良好的 / 优秀的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
brilliant,brilliant,184,璀璨的 / 出色的,0. Direct NRC,Direct NRC Included (358 Words)
forward,forward,183,期待（look forward）,0. Direct NRC,Direct NRC Included (358 Words)
reasonable,reasonable,179,合理的 / 公道的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
ready,ready,171,准备就绪的 / 心安的,0. Direct NRC,Direct NRC Included (358 Words)
excited,excited,167,兴奋的 / 激动的,0. Direct NRC,Direct NRC Included (358 Words)
majestic,majestic,165,雄伟的 / 壮丽的,0. Direct NRC,Direct NRC Included (358 Words)
competent,competent,163,称职的 / 有能力的,0. Direct NRC,Direct NRC Included (358 Words)
quiet,quiet,161,宁静的 / 幽雅安静的,0. Direct NRC,Direct NRC Included (358 Words)
relaxed,relaxed,159,放松的 / 从容的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hope,hope,159,希望 / 期盼,0. Direct NRC,Direct NRC Included (358 Words)
perfectly,perfectly,155,完美地 / 无可挑剔地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
concerned,concern,155,感到担心的,0. Direct NRC,Direct NRC Included (358 Words)
interested,interested,153,感兴趣的 / 充满好奇的,0. Direct NRC,Direct NRC Included (358 Words)
pleasure,pleasure,153,乐趣 / 愉悦,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
magical,magical,152,神奇的 / 魔幻般的,0. Direct NRC,Direct NRC Included (358 Words)
afraid,afraid,150,害怕的 / 恐惧的,0. Direct NRC,Direct NRC Included (358 Words)
worried,worried,149,感到担心的,0. Direct NRC,Direct NRC Included (358 Words)
scared,scared,144,感到恐惧害怕的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
smoother,smoother,143,更平稳的 / 更顺畅的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fully,fully,143,完全地 / 充分地,0. Direct NRC,Direct NRC Included (358 Words)
wrong,wrong,137,出差错的 / 错误的（负面体验）,0. Direct NRC,Direct NRC Included (358 Words)
cheap,cheap,134,便宜的 / 廉价的,0. Direct NRC,Direct NRC Included (358 Words)
blessed,blessed,133,感到有福的 / 幸运的,0. Direct NRC,Direct NRC Included (358 Words)
pleased,pleased,132,感到满意的,0. Direct NRC,Direct NRC Included (358 Words)
safely,safely,132,安全平稳地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
exactly,exactly,130,精准地 / 正是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
impressive,impressive,130,令人印象深刻的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
thrill,thrill,129,刺激 / 震慑感,0. Direct NRC,Direct NRC Included (358 Words)
thrilling,thrilling,126,令人惊险刺激酣畅的,0. Direct NRC,Direct NRC Included (358 Words)
humor,humor,125,幽默感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
dream,dream,124,梦寐以求的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
sorry,sorry,123,感到抱歉遗憾的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
relaxing,relaxing,122,令人放松惬意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
comfort,comfort,121,舒适 / 宽慰安心,0. Direct NRC,Direct NRC Included (358 Words)
disappoint,disappoint,121,使失望,0. Direct NRC,Direct NRC Included (358 Words)
wonder,wonder,121,惊奇 / 赞叹,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
amazed,amazed,120,感到吃惊惊叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fear,fear,120,恐惧 / 害怕,0. Direct NRC,Direct NRC Included (358 Words)
unable,unable,114,无法的 / 无能为力的,0. Direct NRC,Direct NRC Included (358 Words)
thrilled,thrilled,113,极度兴奋的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
confidence,confidence,112,信心 / 确信,0. Direct NRC,Direct NRC Included (358 Words)
difficult,difficult,112,困难的 / 令人头疼的,0. Direct NRC,Direct NRC Included (358 Words)
expert,expert,112,专家级的 / 娴熟的,0. Direct NRC,Direct NRC Included (358 Words)
honestly,honestly,111,老实说 / 真诚地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
confident,confident,109,自信的 / 确信的,0. Direct NRC,Direct NRC Included (358 Words)
willing,willing,108,乐意的 / 愿意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
worry,worry,106,担心 / 忧虑感,0. Direct NRC,Direct NRC Included (358 Words)
smoothest,smoothest,105,最平稳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
positive,positive,101,积极正面的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
surreal,surreal,98,超现实的 / 梦幻般的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
reassuring,reassuring,97,令人安心放心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
sweet,sweet,97,甜蜜的 / 甜美的,0. Direct NRC,Direct NRC Included (358 Words)
concern,concern,96,担忧 / 关切（焦虑感）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
luckily,luckily,96,幸运地 / 幸亏,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
poor,poor,95,贫乏的 / 差劲的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
scary,scary,94,令人害怕的 / 吓人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
enthusiastic,enthusiastic,93,热情的 / 充满激情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
apprehensive,apprehensive,92,忧虑的 / 不安的,0. Direct NRC,Direct NRC Included (358 Words)
exhilarating,exhilarating,90,令人极为兴奋刺激的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
honest,honest,88,诚实的 / 坦诚的,0. Direct NRC,Direct NRC Included (358 Words)
inaccessible,inaccessible,86,难以到达的 / 偏远秘境感,0. Direct NRC,Direct NRC Included (358 Words)
lucked,lucky,86,幸运地 (动词变体),1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
rushed,rushed,85,仓促的 / 匆忙的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
capable,capable,84,有能力的 / 熟练精湛的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
prone,prone,84,易患（晕机）的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
simple,simple,84,简单明了的 / 省心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
wonders,wonder,83,惊奇 / 奇观,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fascinating,fascinating,83,令人入迷极具吸引力的,0. Direct NRC,Direct NRC Included (358 Words)
grateful,grateful,80,感激的 / 感恩的,0. Direct NRC,Direct NRC Included (358 Words)
delightful,delightful,80,令人欢欣的,0. Direct NRC,Direct NRC Included (358 Words)
advantage,advantage,78,优势 / 极佳点,0. Direct NRC,Direct NRC Included (358 Words)
assured,assured,78,安抚 / 确信,0. Direct NRC,Direct NRC Included (358 Words)
famous,famous,77,著名的 / 享誉的,0. Direct NRC,Direct NRC Included (358 Words)
pride,pride,77,自豪 / 骄傲,0. Direct NRC,Direct NRC Included (358 Words)
safer,safer,77,更安全的 / 更安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
neat,neat,76,整洁的 / 干练的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
worthwhile,worthwhile,75,值得的 / 划算的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
coolest,coolest,75,最酷爽震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
stable,stable,75,平稳安心的,0. Direct NRC,Direct NRC Included (358 Words)
promptly,promptly,74,及时迅速地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
concerns,concerns,73,担忧 / 关切,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
greatest,greatest,73,最伟大的 / 极佳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
ideal,ideal,72,理想的 / 完美的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
peaceful,peaceful,72,平和宁静的,0. Direct NRC,Direct NRC Included (358 Words)
understanding,understanding,70,体谅的 / 理解的,0. Direct NRC,Direct NRC Included (358 Words)
impossible,impossible,65,不可能的 / 难以置信的,0. Direct NRC,Direct NRC Included (358 Words)
tremendous,tremendous,64,震撼巨大的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
passion,passion,64,热情 / 激情,0. Direct NRC,Direct NRC Included (358 Words)
fears,fears,64,恐惧 / 忧虑,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
conscious,conscious,63,有意识的 / 讲究的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
pristine,pristine,62,原始纯净的,0. Direct NRC,Direct NRC Included (358 Words)
dramatic,dramatic,61,戏剧性的 / 震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
extraordinary,extraordinary,61,非凡的 / 卓越的,0. Direct NRC,Direct NRC Included (358 Words)
gracious,gracious,61,亲切和蔼的,0. Direct NRC,Direct NRC Included (358 Words)
moving,moving,61,令人动容感人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
passionate,passionate,61,充满激情的,0. Direct NRC,Direct NRC Included (358 Words)
considerate,considerate,60,体贴周到的,0. Direct NRC,Direct NRC Included (358 Words)
joy,joy,60,喜悦 / 快乐,0. Direct NRC,Direct NRC Included (358 Words)
entertained,entertained,60,感到深受愉悦娱乐的,0. Direct NRC,Direct NRC Included (358 Words)
complimentary,complimentary,59,赞赏的 / 赠送贴心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
convenient,convenient,59,便捷省心的,0. Direct NRC,Direct NRC Included (358 Words)
excitement,excitement,59,兴奋 / 激动情绪,0. Direct NRC,Direct NRC Included (358 Words)
intimate,intimate,59,温馨亲切的,0. Direct NRC,Direct NRC Included (358 Words)
nerves,nerves,59,紧张感 / 不安神经,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unreal,unreal,59,如梦似幻的 / 震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
flawless,flawless,58,无瑕的 / 完美的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fortunately,fortunately,58,幸运的是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
disappointing,disappointing,58,令人失望的,0. Direct NRC,Direct NRC Included (358 Words)
lush,lush,57,郁郁葱葱宜人的,0. Direct NRC,Direct NRC Included (358 Words)
negative,negative,57,负面体验 / 消极评价,0. Direct NRC,Direct NRC Included (358 Words)
thankful,thankful,57,感激的 / 感恩的,0. Direct NRC,Direct NRC Included (358 Words)
thoughtful,thoughtful,57,贴心周到的,0. Direct NRC,Direct NRC Included (358 Words)
glorious,glorious,56,壮丽辉煌的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
uncomfortable,uncomfortable,56,感到不适的 / 不安的,0. Direct NRC,Direct NRC Included (358 Words)
fair,fair,55,公道的 / 划算的,0. Direct NRC,Direct NRC Included (358 Words)
noisy,noisy,55,喧闹吵杂的,0. Direct NRC,Direct NRC Included (358 Words)
remarkable,remarkable,54,卓越令人瞩目的,0. Direct NRC,Direct NRC Included (358 Words)
genuine,genuine,54,真诚的 / 地道的,0. Direct NRC,Direct NRC Included (358 Words)
cherish,cherish,54,珍视 / 珍惜铭记,0. Direct NRC,Direct NRC Included (358 Words)
caring,caring,53,体贴入微关怀的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
appreciation,appreciation,52,感激 / 欣赏,0. Direct NRC,Direct NRC Included (358 Words)
enthusiasm,enthusiasm,52,热情 / 积极性,0. Direct NRC,Direct NRC Included (358 Words)
gentle,gentle,52,平稳柔和的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
strong,strong,52,强烈的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
trouble,trouble,52,麻烦 / 困扰,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
disappointment,disappointment,51,失望 / 遗憾失落情绪,0. Direct NRC,Direct NRC Included (358 Words)
nicer,nicer,51,更美好/更亲切的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hoping,hoping,50,期盼 / 希望,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
happier,happier,50,更快乐的 / 更满意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
queasy,queasy,49,恶心反胃的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
seamless,seamless,49,流畅无缝无摩擦的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
satisfied,satisfied,49,感到满意的,0. Direct NRC,Direct NRC Included (358 Words)
delight,delight,48,欣喜 / 愉快,0. Direct NRC,Direct NRC Included (358 Words)
genuinely,genuinely,48,真诚地 / 确实,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
steady,steady,48,平稳的 / 稳健的,0. Direct NRC,Direct NRC Included (358 Words)
terrible,terrible,46,可怕的 / 糟糕的,0. Direct NRC,Direct NRC Included (358 Words)
warmly,warmly,46,温暖地 / 热情地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unexpected,unexpected,46,意想不到的惊喜,0. Direct NRC,Direct NRC Included (358 Words)
sensitive,sensitive,46,敏感的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
easier,easier,46,更容易的 / 更省心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
decent,decent,45,尚可的 / 体面的,0. Direct NRC,Direct NRC Included (358 Words)
friendliness,friendliness,45,友善 / 亲和力,0. Direct NRC,Direct NRC Included (358 Words)
loud,loud,45,吵闹的 / 噪音大的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
relax,relax,45,放松 / 放轻松,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
terrified,terrified,45,极度惊恐的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
encouraged,encouraged,44,深受鼓舞的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
happily,happily,44,快乐地 / 欣然,0. Direct NRC,Direct NRC Included (358 Words)
quieter,quieter,44,更安静宁静的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
beautifully,beautifully,43,优美地 / 出色地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
calming,calming,42,令人平息平稳安心的（Calmness State）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
adventurous,adventurous,41,充满冒险刺激感的,0. Direct NRC,Direct NRC Included (358 Words)
charming,charming,40,迷人讨喜的,0. Direct NRC,Direct NRC Included (358 Words)
responsive,responsive,40,积极回应的 / 贴心的,0. Direct NRC,Direct NRC Included (358 Words)
touched,touched,40,深受感动的,0. Direct NRC,Direct NRC Included (358 Words)
nicest,nicest,39,最美好的 / 最亲切的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unsafe,unsafe,39,感觉不安全的 / 担惊受怕的,0. Direct NRC,Direct NRC Included (358 Words)
worst,worst,39,最糟糕的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
handle,handle,39,善于处理 / 掌控感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
enjoyment,enjoyment,39,乐趣 / 享受,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
greater,greater,38,更宏大震撼的,0. Direct NRC,Direct NRC Included (358 Words)
hospitable,hospitable,38,殷勤好客的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
pleasantly,pleasantly,38,令人愉快地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
stress,stress,38,压力 / 紧张感,0. Direct NRC,Direct NRC Included (358 Words)
wonderfully,wonderfully,38,极其出色绝妙地,0. Direct NRC,Direct NRC Included (358 Words)
worries,worry,38,担忧 / 挂虑,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
hopefully,hopefully,37,怀着希望地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
nicely,nicely,37,很好地 / 优雅地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cared,cared,37,得到无微不至关怀的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
delicious,delicious,37,美味愉悦的,0. Direct NRC,Direct NRC Included (358 Words)
nauseous,nauseous,36,恶心晕车的,0. Direct NRC,Direct NRC Included (358 Words)
reliable,reliable,36,可靠的 / 可信赖的,0. Direct NRC,Direct NRC Included (358 Words)
marvelous,marvelous,36,绝妙的 / 令人惊叹的,0. Direct NRC,Direct NRC Included (358 Words)
humour,humour,35,幽默感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
superior,superior,35,优越顶尖的,0. Direct NRC,Direct NRC Included (358 Words)
picturesque,picturesque,35,风景如画的,0. Direct NRC,Direct NRC Included (358 Words)
surprisingly,surprisingly,35,出乎意料赞叹地,0. Direct NRC,Direct NRC Included (358 Words)
humorous,humorous,35,幽默风趣的,0. Direct NRC,Direct NRC Included (358 Words)
bother,bother,35,打扰 / 烦扰,0. Direct NRC,Direct NRC Included (358 Words)
anxious,anxious,35,焦虑不安的 / 挂虑的,0. Direct NRC,Direct NRC Included (358 Words)
anxiety,anxiety,34,焦虑 / 不安,0. Direct NRC,Direct NRC Included (358 Words)
generous,generous,34,大方的 / 慷慨的,0. Direct NRC,Direct NRC Included (358 Words)
romantic,romantic,34,浪漫惬意的,0. Direct NRC,Direct NRC Included (358 Words)
sadly,sadly,34,令人遗憾地 / 悲伤地,0. Direct NRC,Direct NRC Included (358 Words)
worse,worse,34,更糟糕的,0. Direct NRC,Direct NRC Included (358 Words)
airsick,airsick,33,晕机的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
hassle,hassle,33,麻烦 / 烦心事,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
overwhelming,overwhelming,33,铺天盖地震撼的,0. Direct NRC,Direct NRC Included (358 Words)
turbulent,turbulent,32,颠簸不安的,0. Direct NRC,Direct NRC Included (358 Words)
upfront,upfront,32,直率透明的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
skillful,skillful,32,技术精湛的,0. Direct NRC,Direct NRC Included (358 Words)
reassured,reassured,32,感到安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cute,cute,31,可爱宜人的,0. Direct NRC,Direct NRC Included (358 Words)
economical,economical,31,划算实惠的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
