word,canonical_lemma,chinese_translation,emotion_category,affect_type,frequency_21215,review_count_21215,nrc8_emotions,nrc_polarities,nrc_all_tags
lovely,lovely,令人愉悦的 / 可爱的,Unclassified,E1_E2_Candidate,266,248,"anticipation, joy, sadness, surprise, trust",positive,"anticipation, joy, positive, sadness, surprise, trust"
terrific,terrific,极好的 / 太棒了,Unclassified,E1_E2_Candidate,260,247,sadness,,sadness
efficient,efficient,高效省心的,Unclassified,E1_E2_Candidate,215,211,"anticipation, trust",positive,"anticipation, positive, trust"
entertaining,entertaining,引人入胜生动有趣的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),210,208,"anticipation, joy",positive,"anticipation, joy, positive"
surprised,surprised,感到惊喜惊讶的,Unclassified,E1_State (Direct Internal Affective State),196,194,surprise,,surprise
surprise,surprise,惊喜 / 意料之外的喜悦,Unclassified,E1_State (Direct Internal Affective State),195,181,"fear, joy, surprise",positive,"fear, joy, positive, surprise"
brilliant,brilliant,璀璨的 / 出色的,Unclassified,E1_E2_Candidate,184,169,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
ready,ready,准备就绪的 / 心安的,Unclassified,E1_E2_Candidate,171,168,anticipation,,anticipation
excited,excited,兴奋的 / 激动的,Unclassified,E1_State (Direct Internal Affective State),167,160,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
majestic,majestic,雄伟的 / 壮丽的,Unclassified,E1_E2_Candidate,165,165,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
competent,competent,称职的 / 有能力的,Unclassified,E1_E2_Candidate,163,163,trust,positive,"positive, trust"
quiet,quiet,宁静的 / 幽雅安静的,Unclassified,E1_E2_Candidate,161,159,sadness,positive,"positive, sadness"
hope,hope,希望 / 期盼,Hope,E1_State (Direct Internal Affective State),159,158,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
concerned,concern,感到担心的,Worry / Concern,E1_State (Direct Internal Affective State),155,151,"fear, sadness",,"fear, sadness"
interested,interested,感兴趣的 / 充满好奇的,Unclassified,E1_E2_Candidate,153,146,"disgust, sadness",positive,"disgust, positive, sadness"
magical,magical,神奇的 / 魔幻般的,Unclassified,E1_E2_Candidate,152,149,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
afraid,afraid,害怕的 / 恐惧的,Unclassified,E1_State (Direct Internal Affective State),150,141,fear,negative,"fear, negative"
worried,worried,感到担心的,Unclassified,E1_State (Direct Internal Affective State),149,146,sadness,negative,"negative, sadness"
fully,fully,完全地 / 充分地,Unclassified,E1_E2_Candidate,143,137,trust,positive,"positive, trust"
blessed,blessed,感到有福的 / 幸运的,Unclassified,E1_State (Direct Internal Affective State),133,131,joy,positive,"joy, positive"
pleased,pleased,感到满意的,Unclassified,E1_E2_Candidate,132,129,joy,positive,"joy, positive"
thrill,thrill,刺激 / 震慑感,Unclassified,E1_E2_Candidate,129,126,"anticipation, fear, joy, surprise",positive,"anticipation, fear, joy, positive, surprise"
thrilling,thrilling,令人惊险刺激酣畅的,Excitement / Thrill,E2_Appraisal (Stimulus/Service Attribute),126,123,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
comfort,comfort,舒适 / 宽慰安心,Unclassified,E1_E2_Candidate,121,116,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
disappoint,disappoint,使失望,Disappointment,E1_State (Direct Internal Affective State),121,119,"anger, disgust, sadness",negative,"anger, disgust, negative, sadness"
fear,fear,恐惧 / 害怕,Fear,E1_State (Direct Internal Affective State),120,116,"anger, fear",negative,"anger, fear, negative"
unable,unable,无法的 / 无能为力的,Unclassified,E1_E2_Candidate,114,110,sadness,negative,"negative, sadness"
confidence,confidence,信心 / 确信,Unclassified,E1_E2_Candidate,112,109,"fear, joy, trust",positive,"fear, joy, positive, trust"
difficult,difficult,困难的 / 令人头疼的,Unclassified,E1_E2_Candidate,112,111,fear,,fear
expert,expert,专家级的 / 娴熟的,Unclassified,E1_E2_Candidate,112,106,trust,positive,"positive, trust"
confident,confident,自信的 / 确信的,Unclassified,E1_E2_Candidate,109,109,"joy, trust",positive,"joy, positive, trust"
worry,worry,担心 / 忧虑感,Anxiety / Worry,E1_State (Direct Internal Affective State),106,103,"anticipation, fear, sadness",negative,"anticipation, fear, negative, sadness"
sweet,sweet,甜蜜的 / 甜美的,Unclassified,E1_E2_Candidate,97,93,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
apprehensive,apprehensive,忧虑的 / 不安的,Unclassified,E1_E2_Candidate,92,91,"anticipation, fear",negative,"anticipation, fear, negative"
honest,honest,诚实的 / 坦诚的,Unclassified,E1_E2_Candidate,88,81,"anger, disgust, fear, joy, sadness, trust",positive,"anger, disgust, fear, joy, positive, sadness, trust"
lucked,lucky,幸运地 (动词变体),Good Fortune / Joy,E1_State (Direct Internal Affective State),86,86,"joy, surprise",positive,"joy, positive, surprise"
delightful,delightful,令人欢欣的,Unclassified,E1_E2_Candidate,80,79,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
assured,assured,安抚 / 确信,Unclassified,E1_State (Direct Internal Affective State),78,76,trust,positive,"positive, trust"
pride,pride,自豪 / 骄傲,Unclassified,E1_State (Direct Internal Affective State),77,76,joy,positive,"joy, positive"
stable,stable,平稳安心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),75,75,trust,positive,"positive, trust"
peaceful,peaceful,平和宁静的,Unclassified,E1_E2_Candidate,72,71,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
understanding,understanding,体谅的 / 理解的,Unclassified,E1_E2_Candidate,70,70,trust,positive,"positive, trust"
impossible,impossible,不可能的 / 难以置信的,Unclassified,E1_E2_Candidate,65,65,sadness,negative,"negative, sadness"
passion,passion,热情 / 激情,Unclassified,E1_E2_Candidate,64,60,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
passionate,passionate,充满激情的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),61,60,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
considerate,considerate,体贴周到的,Kindness / Reassurance,E2_Appraisal (Stimulus/Service Attribute),60,60,trust,positive,"positive, trust"
entertained,entertained,感到深受愉悦娱乐的,Joy / Amusement,E1_State (Direct Internal Affective State),60,60,joy,positive,"joy, positive"
joy,joy,喜悦 / 快乐,Unclassified,E1_State (Direct Internal Affective State),60,60,joy,positive,"joy, positive"
excitement,excitement,兴奋 / 激动情绪,Unclassified,E1_E2_Candidate,59,57,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
intimate,intimate,温馨亲切的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),59,58,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
disappointing,disappointing,令人失望的,Unclassified,E1_E2_Candidate,58,57,sadness,negative,"negative, sadness"
lush,lush,郁郁葱葱宜人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),57,56,"disgust, sadness",negative,"disgust, negative, sadness"
negative,negative,负面体验 / 消极评价,Unclassified,E2_Appraisal (Stimulus/Service Attribute),57,54,sadness,negative,"negative, sadness"
thankful,thankful,感激的 / 感恩的,Unclassified,E1_State (Direct Internal Affective State),57,57,joy,positive,"joy, positive"
thoughtful,thoughtful,贴心周到的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),57,57,trust,positive,"positive, trust"
noisy,noisy,喧闹吵杂的,Unclassified,E1_E2_Candidate,55,54,anger,negative,"anger, negative"
cherish,cherish,珍视 / 珍惜铭记,Unclassified,E1_State (Direct Internal Affective State),54,53,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
genuine,genuine,真诚的 / 地道的,Unclassified,E1_E2_Candidate,54,52,trust,positive,"positive, trust"
remarkable,remarkable,卓越令人瞩目的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),54,53,"joy, surprise, trust",positive,"joy, positive, surprise, trust"
appreciation,appreciation,感激 / 欣赏,Unclassified,E1_State (Direct Internal Affective State),52,51,"joy, trust",positive,"joy, positive, trust"
enthusiasm,enthusiasm,热情 / 积极性,Unclassified,E1_E2_Candidate,52,52,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
disappointment,disappointment,失望 / 遗憾失落情绪,Unclassified,E1_State (Direct Internal Affective State),51,48,"disgust, sadness",negative,"disgust, negative, sadness"
satisfied,satisfied,感到满意的,Satisfaction / Contentment,E1_State (Direct Internal Affective State),49,49,joy,positive,"joy, positive"
delight,delight,欣喜 / 愉快,Unclassified,E1_State (Direct Internal Affective State),48,48,"anticipation, joy",positive,"anticipation, joy, positive"
steady,steady,平稳的 / 稳健的,Unclassified,E1_E2_Candidate,48,47,"surprise, trust",,"surprise, trust"
terrible,terrible,可怕的 / 糟糕的,Unclassified,E1_E2_Candidate,46,44,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
unexpected,unexpected,意想不到的惊喜,Unclassified,E1_E2_Candidate,46,46,"anticipation, fear, joy, surprise","negative, positive","anticipation, fear, joy, negative, positive, surprise"
friendliness,friendliness,友善 / 亲和力,Unclassified,E1_E2_Candidate,45,45,"joy, trust",positive,"joy, positive, trust"
happily,happily,快乐地 / 欣然,Unclassified,E1_E2_Candidate,44,43,joy,positive,"joy, positive"
responsive,responsive,积极回应的 / 贴心的,Unclassified,E1_E2_Candidate,40,40,"anticipation, trust",positive,"anticipation, positive, trust"
unsafe,unsafe,感觉不安全的 / 担惊受怕的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),39,35,fear,negative,"fear, negative"
wonderfully,wonderfully,极其出色绝妙地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),38,38,"joy, surprise",positive,"joy, positive, surprise"
worries,worry,担忧 / 挂虑,Anxiety / Worry,E1_State (Direct Internal Affective State),38,38,"anticipation, fear, sadness",negative,"anticipation, fear, negative, sadness"
delicious,delicious,美味愉悦的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),37,35,joy,positive,"joy, positive"
marvelous,marvelous,绝妙的 / 令人惊叹的,Unclassified,E1_E2_Candidate,36,34,joy,positive,"joy, positive"
nauseous,nauseous,恶心晕车的,Unclassified,E1_E2_Candidate,36,33,"disgust, sadness",negative,"disgust, negative, sadness"
reliable,reliable,可靠的 / 可信赖的,Unclassified,E1_E2_Candidate,36,36,trust,positive,"positive, trust"
anxious,anxious,焦虑不安的 / 挂虑的,Unclassified,E1_State (Direct Internal Affective State),35,33,"anticipation, fear",negative,"anticipation, fear, negative"
humorous,humorous,幽默风趣的,Unclassified,E1_E2_Candidate,35,35,joy,positive,"joy, positive"
picturesque,picturesque,风景如画的,Unclassified,E1_E2_Candidate,35,35,joy,positive,"joy, positive"
surprisingly,surprisingly,出乎意料赞叹地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),35,35,"anticipation, surprise",,"anticipation, surprise"
anxiety,anxiety,焦虑 / 不安,Unclassified,E1_E2_Candidate,34,33,"anger, anticipation, fear, sadness",negative,"anger, anticipation, fear, negative, sadness"
generous,generous,大方的 / 慷慨的,Unclassified,E1_E2_Candidate,34,34,"joy, trust",positive,"joy, positive, trust"
romantic,romantic,浪漫惬意的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),34,31,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
sadly,sadly,令人遗憾地 / 悲伤地,Unclassified,E1_E2_Candidate,34,32,sadness,negative,"negative, sadness"
worse,worse,更糟糕的,Unclassified,E1_E2_Candidate,34,31,"fear, sadness",negative,"fear, negative, sadness"
skillful,skillful,技术精湛的,Unclassified,E1_E2_Candidate,32,32,trust,positive,"positive, trust"
turbulent,turbulent,颠簸不安的,Unclassified,E1_E2_Candidate,32,30,fear,negative,"fear, negative"
convinced,convinced,深信不疑的 / 心服口服,Unclassified,E1_State (Direct Internal Affective State),29,29,trust,,trust
delighted,delighted,高高兴兴的,Unclassified,E1_State (Direct Internal Affective State),29,29,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
serene,serene,宁静祥和的,Unclassified,E1_E2_Candidate,28,28,trust,negative,"negative, trust"
eager,eager,热切的 / 渴望的,Unclassified,E1_E2_Candidate,27,26,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
peace,peace,宁静 / 和平,Unclassified,E1_E2_Candidate,27,27,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
splendor,splendor,壮丽辉煌的奇观,Unclassified,E2_Appraisal (Stimulus/Service Attribute),27,27,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
bang,bang,物超所值（bang for buck）,Unclassified,E1_E2_Candidate,26,26,"anger, disgust, fear, sadness, surprise",negative,"anger, disgust, fear, negative, sadness, surprise"
hate,hate,憎恨 / 讨厌,Hate / Dislike,E1_State (Direct Internal Affective State),26,26,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
upset,upset,感到沮丧难过的,Distress / Sadness,E1_State (Direct Internal Affective State),26,23,"anger, sadness",negative,"anger, negative, sadness"
dangerous,dangerous,危险的,Unclassified,E1_E2_Candidate,25,25,fear,negative,"fear, negative"
ill,ill,生病的 / 恶心呕吐的,Unclassified,E1_E2_Candidate,25,23,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
laughing,laughing,欢声笑语 / 开心大笑,Unclassified,E1_State (Direct Internal Affective State),25,24,joy,positive,"joy, positive"
magnificence,magnificence,壮丽震撼感,Awe / Grandeur,E2_Appraisal (Stimulus/Service Attribute),24,24,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
horrible,horrible,极度糟糕可怕的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),23,22,"anger, disgust, fear",negative,"anger, disgust, fear, negative"
impeccable,impeccable,无可挑剔的,Unclassified,E1_E2_Candidate,23,23,trust,positive,"positive, trust"
fearful,fearful,恐惧的 / 担心的,Unclassified,E1_E2_Candidate,22,22,"fear, sadness",negative,"fear, negative, sadness"
shining,shining,璀璨夺目的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),22,22,"anticipation, joy",positive,"anticipation, joy, positive"
tough,tough,严苛倒霉的,Unclassified,E1_E2_Candidate,22,22,sadness,negative,"negative, sadness"
spoil,spoil,破坏 / 毁掉（好心情）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),21,20,disgust,negative,"disgust, negative"
surprises,surprise,惊喜 / 意料之外,Surprise,E2_Appraisal (Stimulus/Service Attribute),21,21,"fear, joy, surprise",positive,"fear, joy, positive, surprise"
amusing,amusing,风趣风趣令人发笑的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),20,20,joy,positive,"joy, positive"
cheerful,cheerful,欢快愉悦的,Joy,E1_State (Direct Internal Affective State),20,20,"joy, surprise",positive,"joy, positive, surprise"
successful,successful,成功的 / 满意的,Unclassified,E1_E2_Candidate,20,20,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
exquisite,exquisite,精美的 / 绝妙的,Unclassified,E1_E2_Candidate,19,19,joy,positive,"joy, positive"
inspired,inspired,灵感大发 / 深受震撼的,Unclassified,E1_State (Direct Internal Affective State),19,19,"joy, surprise, trust",positive,"joy, positive, surprise, trust"
danger,danger,危险 / 威胁,Unclassified,E1_E2_Candidate,18,15,"fear, sadness",negative,"fear, negative, sadness"
effective,effective,有效划算的,Unclassified,E1_E2_Candidate,18,18,trust,positive,"positive, trust"
honesty,honesty,真诚 / 诚信解说,Unclassified,E2_Appraisal (Stimulus/Service Attribute),18,18,trust,positive,"positive, trust"
marvel,marvel,惊叹 / 奇迹,Amazement / Awe,E2_Appraisal (Stimulus/Service Attribute),18,17,surprise,positive,"positive, surprise"
secret,secret,秘境 / 私密独享感,Unclassified,E2_Appraisal (Stimulus/Service Attribute),18,18,trust,,trust
soothing,soothing,舒缓抚慰人心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),18,18,"joy, trust",positive,"joy, positive, trust"
witty,witty,风趣幽默的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),18,18,joy,positive,"joy, positive"
discomfort,discomfort,身体/心理不适感,Unclassified,E1_State (Direct Internal Affective State),17,17,sadness,negative,"negative, sadness"
overwhelmed,overwhelmed,被震撼/感动深深淹没的,Unclassified,E1_State (Direct Internal Affective State),17,17,sadness,negative,"negative, sadness"
insane,insane,疯狂震撼的 / 极端的,Unclassified,E1_E2_Candidate,16,16,"anger, fear",negative,"anger, fear, negative"
leery,leery,提防警惕 / 顾虑重重的,Unclassified,E1_State (Direct Internal Affective State),16,16,surprise,,surprise
loving,loving,热爱的 / 充满了爱的,Love / Affection,E1_State (Direct Internal Affective State),16,16,"joy, trust",positive,"joy, positive, trust"
sensational,sensational,绝佳轰动震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),16,15,joy,positive,"joy, positive"
sudden,sudden,突然的 / 猝不及防的,Unclassified,E1_E2_Candidate,16,15,surprise,,surprise
uncertain,uncertain,不确定的 / 顾虑的,Unclassified,E1_E2_Candidate,16,16,"anger, disgust, fear, surprise",negative,"anger, disgust, fear, negative, surprise"
worthy,worthy,非常值的 / 值得的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),16,16,trust,positive,"positive, trust"
annoying,annoying,令人烦躁恼火的（Annoyance/Irritation Emotion）,Unclassified,E1_State (Direct Internal Affective State),15,15,anger,negative,"anger, negative"
awful,awful,极其糟糕的,Unclassified,E1_E2_Candidate,15,14,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
fuss,fuss,大惊小怪 / 争吵骚动,Unclassified,E1_E2_Candidate,15,15,"anger, sadness",negative,"anger, negative, sadness"
hilarious,hilarious,爆笑幽默搞笑的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),15,15,"joy, surprise",positive,"joy, positive, surprise"
immaculate,immaculate,完美无瑕洁净的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),15,15,"joy, trust",positive,"joy, positive, trust"
respectful,respectful,充满敬意的,Unclassified,E1_E2_Candidate,15,15,trust,positive,"positive, trust"
authentic,authentic,地道的 / 真实无伪的,Unclassified,E1_E2_Candidate,14,14,"joy, trust",positive,"joy, positive, trust"
intrusive,intrusive,突兀扰人的 / 煞风景的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),14,14,"anger, disgust, fear, surprise",negative,"anger, disgust, fear, negative, surprise"
praise,praise,称赞 / 高度赞扬,Unclassified,E2_Appraisal (Stimulus/Service Attribute),14,14,"joy, trust",positive,"joy, positive, trust"
proud,proud,感到自豪骄傲的,Pride,E1_State (Direct Internal Affective State),14,14,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
ruined,ruined,毁掉行程的 / 扫兴糟心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),14,14,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
apologetic,apologetic,诚恳抱歉致歉的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),13,13,trust,positive,"positive, trust"
pleasurable,pleasurable,令人愉快的,Unclassified,E1_E2_Candidate,13,13,joy,positive,"joy, positive"
precious,precious,弥足珍贵的 memory,Unclassified,E2_Appraisal (Stimulus/Service Attribute),13,12,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
responsible,responsible,负责任的,Unclassified,E1_E2_Candidate,13,13,trust,positive,"positive, trust"
uneasy,uneasy,心神不宁感到不安的,Unclassified,E1_State (Direct Internal Affective State),13,13,"disgust, fear",negative,"disgust, fear, negative"
admire,admire,钦佩赞赏,Admiration,E1_State (Direct Internal Affective State),11,11,trust,positive,"positive, trust"
inviting,inviting,引人入胜令人愉悦的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11,11,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
mad,mad,发怒的 / 生气的,Unclassified,E1_E2_Candidate,11,11,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
nervousness,nervousness,紧张不安的情绪,Unclassified,E1_State (Direct Internal Affective State),11,11,fear,,fear
surprising,surprising,令人出乎意料惊喜的,Surprise,E2_Appraisal (Stimulus/Service Attribute),11,11,surprise,,surprise
trepidation,trepidation,惊恐战栗 / 不安,Unclassified,E1_E2_Candidate,11,10,"anticipation, fear, surprise",negative,"anticipation, fear, negative, surprise"
wary,wary,警惕顾虑的,Unclassified,E1_E2_Candidate,11,11,fear,,fear
badly,badly,严重地 / 糟糕地,Unclassified,E1_E2_Candidate,10,9,sadness,negative,"negative, sadness"
conscientious,conscientious,认真负责的,Unclassified,E1_E2_Candidate,10,10,trust,positive,"positive, trust"
ecstatic,ecstatic,狂喜的 / 极度兴奋的,Unclassified,E1_E2_Candidate,10,10,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
improvement,improvement,体验改善 / 提升,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,10,"joy, trust",positive,"joy, positive, trust"
jealous,jealous,令人羡慕嫉妒的,Unclassified,E1_State (Direct Internal Affective State),10,9,"anger, disgust",negative,"anger, disgust, negative"
quaint,quaint,古朴宜人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,10,"joy, trust",positive,"joy, positive, trust"
raving,raving,赞不绝口极力推荐的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,10,"anger, anticipation, fear, joy, surprise",negative,"anger, anticipation, fear, joy, negative, surprise"
stunned,stunned,感到目瞪口呆震撼的,Surprise / Amazement,E1_State (Direct Internal Affective State),10,9,"fear, surprise",negative,"fear, negative, surprise"
unfortunate,unfortunate,不幸遗憾的,Unclassified,E1_E2_Candidate,10,10,sadness,negative,"negative, sadness"
wonderfull,wonderful,令人惊叹绝妙的 (错别字变体),Joy / Wonder,E2_Appraisal (Stimulus/Service Attribute),10,10,"joy, surprise, trust",positive,"joy, positive, surprise, trust"
bummer,bummer,令人扫兴扫兴的事,Unclassified,E2_Appraisal (Stimulus/Service Attribute),9,9,"anger, disgust",negative,"anger, disgust, negative"
compliment,compliment,赞美 / 赞赏评价,Unclassified,E2_Appraisal (Stimulus/Service Attribute),9,9,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
miserable,miserable,极度痛苦糟糕的,Unclassified,E1_State (Direct Internal Affective State),9,8,"anger, disgust, sadness",negative,"anger, disgust, negative, sadness"
terribly,terribly,极度负面地 / 抱歉,Unclassified,E1_E2_Candidate,9,9,sadness,,sadness
cherished,cherish,珍视铭记的,Love / Affection,E1_State (Direct Internal Affective State),8,8,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
dissapointed,disappointed,感到失望的（错别字变体）,Disappointment,E1_State (Direct Internal Affective State),8,7,"anger, disgust, sadness",negative,"anger, disgust, negative, sadness"
exhausted,exhausted,精疲力竭极为疲惫的,Unclassified,E1_State (Direct Internal Affective State),8,8,sadness,negative,"negative, sadness"
exhilaration,exhilaration,极度兴奋快感,Unclassified,E1_State (Direct Internal Affective State),8,8,"joy, surprise",positive,"joy, positive, surprise"
frightened,frightened,感到受惊吓害怕的,Fear,E1_State (Direct Internal Affective State),8,8,"fear, surprise",negative,"fear, negative, surprise"
frustration,frustration,挫败感 / 烦恼,Unclassified,E1_E2_Candidate,8,8,anger,negative,"anger, negative"
unstable,unstable,不稳定摇晃令人担心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),8,7,"fear, surprise",negative,"fear, negative, surprise"
confusion,confusion,困惑 / 混乱,Unclassified,E1_E2_Candidate,7,7,"anger, fear",negative,"anger, fear, negative"
hopeful,hopeful,怀抱希望的,Unclassified,E1_E2_Candidate,7,7,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
