word,canonical_lemma,frequency_21215,chinese_translation,strict_raw_category_id,strict_raw_category_name,class_taxonomy,nrc_emotion
loved,loved,1473,喜爱 / 热爱（体验）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
comfortable,comfortable,1446,舒适的 / 安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
breathtaking,breathtaking,1346,令人屏息震撼的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
helpful,helpful,1157,热心有帮助的 / 周到解说,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
glad,glad,897,感到高兴放心的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
interesting,interesting,886,引人入胜的 / 趣味盎然的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
cool,cool,652,酷的 / 爽快的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
special,special,631,特别的 / 珍贵的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
lucky,lucky,607,感到幸运的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
kind,kind,587,亲切的 / 友善的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
memorable,memorable,580,令人终生难忘的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
happy,happy,555,高兴的 / 快乐的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
stunning,stunning,552,令人目眩震撼的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
nervous,nervous,513,紧张的 / 焦虑不安的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fabulous,fabulous,508,绝妙的 / 极好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
disappointed,disappointed,488,感到失望的 / 遗憾的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
outstanding,outstanding,462,杰出出色的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
enjoyable,enjoyable,460,令人愉快的 / 趣味盎然的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
love,love,450,喜爱 / 极度热爱的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
gorgeous,gorgeous,414,极其漂亮的 / 绚丽的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
scenic,scenic,400,风景优美的 / 宜人的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
bad,bad,373,糟糕的 / 坏的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
exciting,exciting,324,令人兴奋刺激的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
pleasant,pleasant,306,令人愉快的 / 宜人的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
awe,awe,304,敬畏 / 震撼,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
unbelievable,unbelievable,302,难以置信的 / 震撼的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
funny,funny,301,幽默风趣的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
hard,hard,297,困难的 / 艰辛的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
regret,regret,293,遗憾 / 后悔,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
magnificent,magnificent,282,壮丽的 / 宏伟震撼的（Awe）,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
exceptional,exceptional,276,卓越的 / 杰出的（顶级评价）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
sick,sick,274,晕机的 / 身体不适的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
lovely,lovely,266,令人愉悦的 / 可爱的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
terrific,terrific,260,极好的 / 太棒了,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
calm,calm,259,镇定 / 平息情绪的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
impressed,impressed,255,感到深深被折服/留下深刻印象,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
unfortunately,unfortunately,240,不幸的是 / 遗憾的是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fortunate,fortunate,235,幸运的 / 幸运地,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
efficient,efficient,215,高效省心的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
welcome,welcome,212,受欢迎的 / 感受温暖的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
entertaining,entertaining,210,引人入胜生动有趣的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
inspiring,inspiring,210,令人启发震慑的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
phenomenal,phenomenal,200,现象级震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
superb,superb,196,极好精湛的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
surprised,surprised,196,感到惊喜惊讶的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
surprise,surprise,195,惊喜 / 意料之外的喜悦,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fine,fine,190,良好的 / 优秀的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
brilliant,brilliant,184,璀璨的 / 出色的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
ready,ready,171,准备就绪的 / 心安的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
excited,excited,167,兴奋的 / 激动的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
majestic,majestic,165,雄伟的 / 壮丽的,0. Direct NRC,Direct NRC Included (358 Words),2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
competent,competent,163,称职的 / 有能力的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
quiet,quiet,161,宁静的 / 幽雅安静的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
relaxed,relaxed,159,放松的 / 从容的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
hope,hope,159,希望 / 期盼,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
perfectly,perfectly,155,完美地 / 无可挑剔地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
concerned,concern,155,感到担心的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
interested,interested,153,感兴趣的 / 充满好奇的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
pleasure,pleasure,153,乐趣 / 愉悦,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
magical,magical,152,神奇的 / 魔幻般的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
afraid,afraid,150,害怕的 / 恐惧的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
worried,worried,149,感到担心的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
scared,scared,144,感到恐惧害怕的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fully,fully,143,完全地 / 充分地,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
wrong,wrong,137,出差错的 / 错误的（负面体验）,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
cheap,cheap,134,便宜的 / 廉价的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
blessed,blessed,133,感到有福的 / 幸运的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
pleased,pleased,132,感到满意的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
safely,safely,132,安全平稳地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
exactly,exactly,130,精准地 / 正是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
impressive,impressive,130,令人印象深刻的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
thrill,thrill,129,刺激 / 震慑感,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
thrilling,thrilling,126,令人惊险刺激酣畅的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
humor,humor,125,幽默感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
dream,dream,124,梦寐以求的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
sorry,sorry,123,感到抱歉遗憾的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
relaxing,relaxing,122,令人放松惬意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
comfort,comfort,121,舒适 / 宽慰安心,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
disappoint,disappoint,121,使失望,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
wonder,wonder,121,惊奇 / 赞叹,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
amazed,amazed,120,感到吃惊惊叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fear,fear,120,恐惧 / 害怕,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
unable,unable,114,无法的 / 无能为力的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
thrilled,thrilled,113,极度兴奋的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
confidence,confidence,112,信心 / 确信,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
difficult,difficult,112,困难的 / 令人头疼的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
expert,expert,112,专家级的 / 娴熟的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
honestly,honestly,111,老实说 / 真诚地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
confident,confident,109,自信的 / 确信的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
willing,willing,108,乐意的 / 愿意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
worry,worry,106,担心 / 忧虑感,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
smoothest,smoothest,105,最平稳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
positive,positive,101,积极正面的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
surreal,surreal,98,超现实的 / 梦幻般的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
reassuring,reassuring,97,令人安心放心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
sweet,sweet,97,甜蜜的 / 甜美的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
concern,concern,96,担忧 / 关切（焦虑感）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
luckily,luckily,96,幸运地 / 幸亏,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
poor,poor,95,贫乏的 / 差劲的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
scary,scary,94,令人害怕的 / 吓人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
enthusiastic,enthusiastic,93,热情的 / 充满激情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
apprehensive,apprehensive,92,忧虑的 / 不安的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
exhilarating,exhilarating,90,令人极为兴奋刺激的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
honest,honest,88,诚实的 / 坦诚的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
inaccessible,inaccessible,86,难以到达的 / 偏远秘境感,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
lucked,lucky,86,幸运地 (动词变体),1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
rushed,rushed,85,仓促的 / 匆忙的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
capable,capable,84,有能力的 / 熟练精湛的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
prone,prone,84,易患（晕机）的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
simple,simple,84,简单明了的 / 省心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
wonders,wonder,83,惊奇 / 奇观,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fascinating,fascinating,83,令人入迷极具吸引力的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
grateful,grateful,80,感激的 / 感恩的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
delightful,delightful,80,令人欢欣的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
advantage,advantage,78,优势 / 极佳点,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
assured,assured,78,安抚 / 确信,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
famous,famous,77,著名的 / 享誉的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
pride,pride,77,自豪 / 骄傲,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
safer,safer,77,更安全的 / 更安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
neat,neat,76,整洁的 / 干练的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
worthwhile,worthwhile,75,值得的 / 划算的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
coolest,coolest,75,最酷爽震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
stable,stable,75,平稳安心的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
promptly,promptly,74,及时迅速地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
concerns,concerns,73,担忧 / 关切,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
greatest,greatest,73,最伟大的 / 极佳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
