word,vader_score,star_rating,freq,nrc_group,color
fearful,-2.2,4.818181818181818,22,Sadness,#546e7a
surprises,0.9,4.666666666666667,21,Joy,#2e7d32
successful,2.8,4.55,20,Joy,#2e7d32
cheerful,2.5,5.0,20,Joy,#2e7d32
amusing,1.6,4.95,20,Joy,#2e7d32
inspired,2.2,5.0,19,Joy,#2e7d32
soothing,1.3,4.888888888888889,18,Joy,#2e7d32
marvel,1.8,4.9411764705882355,17,Surprise,#7b1fa2
keen,1.5,4.611111111111111,18,Joy,#2e7d32
honesty,2.2,4.555555555555555,18,Trust,#1976d2
smart,1.7,4.777777777777778,18,Joy,#2e7d32
haha,2.0,5.0,18,Joy,#2e7d32
easiest,1.8,4.944444444444445,18,Joy,#2e7d32
danger,-2.4,4.666666666666667,15,Sadness,#546e7a
amazement,2.5,5.0,18,Joy,#2e7d32
charm,1.7,4.882352941176471,17,Joy,#2e7d32
astounding,1.8,4.888888888888889,18,Joy,#2e7d32
effective,2.1,5.0,18,Trust,#1976d2
hopes,1.8,4.294117647058823,17,Joy,#2e7d32
overwhelmed,0.2,5.0,17,Sadness,#546e7a
valuable,2.1,4.529411764705882,17,Joy,#2e7d32
energetic,1.9,5.0,17,Joy,#2e7d32
discomfort,-1.8,4.411764705882353,17,Sadness,#546e7a
claustrophobic,0.0,5.0,16,CATE [Domain Lexicon],#ffd600
insane,-1.7,4.625,16,Fear,#d32f2f
loving,2.9,4.9375,16,Joy,#2e7d32
uncertain,-1.2,5.0,16,Disgust,#6d4c41
worthy,1.9,4.6875,16,Trust,#1976d2
hilarious,1.7,5.0,15,Joy,#2e7d32
warmth,2.0,4.933333333333334,15,Joy,#2e7d32
unprofessional,-2.3,1.36,11,Sadness,#546e7a
respectful,2.0,5.0,15,Trust,#1976d2
annoying,-1.7,4.133333333333334,15,Anger,#b71c1c
awful,-2.0,2.286,14,Disgust,#6d4c41
awed,0.0,4.933333333333334,15,CATE [Domain Lexicon],#ffd600
praise,2.6,4.928571428571429,14,Joy,#2e7d32
trustworthy,2.6,5.0,14,Joy,#2e7d32
satisfaction,1.9,4.5,14,Joy,#2e7d32
ruined,-2.1,3.28,14,Disgust,#6d4c41
proud,2.1,4.857142857142857,14,Joy,#2e7d32
frustrating,-1.9,3.23,13,Sadness,#546e7a
bothered,-1.3,3.642857142857143,14,Sadness,#546e7a
tricky,-0.6,5.0,12,Sadness,#546e7a
vibrant,2.4,5.0,13,Joy,#2e7d32
uneasy,-1.6,4.6923076923076925,13,Disgust,#6d4c41
precious,2.7,3.3333333333333335,12,Joy,#2e7d32
safest,1.7,5.0,13,Joy,#2e7d32
responsible,1.3,5.0,13,Trust,#1976d2
pleasurable,2.4,4.846153846153846,13,Joy,#2e7d32
bored,-1.1,4.5,12,Sadness,#546e7a
satisfying,2.0,4.909090909090909,11,Joy,#2e7d32
surprising,1.1,5.0,11,Surprise,#7b1fa2
rewarding,2.4,5.0,11,Joy,#2e7d32
nervousness,-1.2,4.909090909090909,11,Fear,#d32f2f
mad,-2.2,4.363636363636363,11,Disgust,#6d4c41
inviting,1.3,5.0,11,Joy,#2e7d32
admire,2.1,4.7272727272727275,11,Trust,#1976d2
unfortunate,-2.0,3.6,10,Sadness,#546e7a
stunningly,0.0,5.0,10,CATE [Domain Lexicon],#ffd600
stunned,-0.4,5.0,9,Fear,#d32f2f
jealous,-2.0,5.0,9,Disgust,#6d4c41
improving,1.8,5.0,10,Joy,#2e7d32
improvement,2.0,4.2,10,Joy,#2e7d32
friendlier,2.0,4.8,10,Joy,#2e7d32
emotional,0.6,4.6,10,Joy,#2e7d32
ecstatic,2.3,5.0,10,Joy,#2e7d32
badly,-2.1,4.666666666666667,9,Sadness,#546e7a
terribly,-2.6,3.888888888888889,9,Sadness,#546e7a
miserable,-2.2,4.375,8,Disgust,#6d4c41
compliment,2.1,4.888888888888889,9,Joy,#2e7d32
claustrophobia,0.0,5.0,9,CATE [Domain Lexicon],#ffd600
cheerfully,2.1,5.0,8,Joy,#2e7d32
bummer,-1.6,4.111111111111111,9,Disgust,#6d4c41
awkward,-0.6,4.444444444444445,9,Sadness,#546e7a
yummy,2.4,4.625,8,Joy,#2e7d32
unstable,-1.5,4.714285714285714,7,Fear,#d32f2f
shocked,-1.3,4.875,8,Sadness,#546e7a
grace,1.8,4.75,8,Joy,#2e7d32
frustration,-2.1,3.5,8,Anger,#b71c1c
frightened,-1.9,5.0,8,Fear,#d32f2f
exhausted,-1.5,4.375,8,Sadness,#546e7a
cherished,2.3,5.0,8,Joy,#2e7d32
annoyed,-1.6,4.428571428571429,7,Sadness,#546e7a
strange,-0.8,4.0,7,Sadness,#546e7a
ridiculous,-1.5,3.857142857142857,7,Disgust,#6d4c41
rudely,-2.2,2.8333333333333335,6,Sadness,#546e7a
relieved,1.6,4.142857142857143,7,Joy,#2e7d32
suffered,-2.2,5.0,7,Sadness,#546e7a
unhappy,-1.8,3.857142857142857,7,Disgust,#6d4c41
unpleasant,-2.1,3.7142857142857144,7,Disgust,#6d4c41
powerful,1.8,5.0,7,Disgust,#6d4c41
worrying,-1.4,4.857142857142857,7,Sadness,#546e7a
weird,-0.7,4.857142857142857,7,Disgust,#6d4c41
painful,-1.9,2.6666666666666665,6,Disgust,#6d4c41
panic,-2.3,4.333333333333333,6,Fear,#d32f2f
laughter,2.2,5.0,7,Joy,#2e7d32
hopeful,2.3,4.571428571428571,7,Joy,#2e7d32
hesitating,-1.4,5.0,7,Sadness,#546e7a
enthusiastically,2.6,4.714285714285714,7,Joy,#2e7d32
curious,1.3,4.857142857142857,7,Joy,#2e7d32
confusion,-1.2,4.142857142857143,7,Fear,#d32f2f
classy,1.9,4.857142857142857,7,Joy,#2e7d32
captivated,1.6,5.0,7,Joy,#2e7d32
alas,-1.1,4.142857142857143,7,Sadness,#546e7a
reassurance,1.5,4.833333333333333,6,Trust,#1976d2
inspirational,2.3,5.0,6,Joy,#2e7d32
jovial,1.9,4.833333333333333,6,Joy,#2e7d32
gratitude,2.3,4.833333333333333,6,Joy,#2e7d32
relief,2.1,3.8333333333333335,6,Joy,#2e7d32
sublime,0.0,5.0,6,CATE [Domain Lexicon],#ffd600
timid,-1.0,4.833333333333333,6,Sadness,#546e7a
warmest,1.7,4.833333333333333,6,Joy,#2e7d32
hug,2.1,5.0,5,Joy,#2e7d32
amaze,2.5,4.6,5,Surprise,#7b1fa2
frightening,-2.2,4.5,6,Sadness,#546e7a
calmer,1.5,5.0,6,Joy,#2e7d32
blind,-1.7,4.333333333333333,6,Sadness,#546e7a
fascinated,2.1,4.833333333333333,6,Joy,#2e7d32
casual,0.8,4.833333333333333,6,Joy,#2e7d32
discouraged,-1.7,4.6,5,Sadness,#546e7a
joyful,2.9,5.0,5,Joy,#2e7d32
wowed,2.6,5.0,5,Joy,#2e7d32
stressful,-2.3,4.2,5,Sadness,#546e7a
shock,-1.6,4.6,5,Fear,#d32f2f
scare,-2.2,4.8,5,Fear,#d32f2f
overwhelmingly,-0.5,5.0,5,Sadness,#546e7a
pity,-1.2,5.0,4,Sadness,#546e7a
jitters,0.0,5.0,5,CATE [Domain Lexicon],#ffd600
hates,-1.9,4.8,5,Sadness,#546e7a
hated,-3.2,3.2,5,Sadness,#546e7a
gloomy,-0.6,4.0,4,Sadness,#546e7a
faultless,2.0,5.0,5,Trust,#1976d2
envy,-1.1,5.0,5,Sadness,#546e7a
comforted,1.8,5.0,5,Joy,#2e7d32
apprehension,-2.1,5.0,4,Fear,#d32f2f
intimidating,-1.9,4.8,5,Sadness,#546e7a
tranquil,0.2,5.0,4,Joy,#2e7d32
spellbinding,0.0,5.0,4,CATE [Domain Lexicon],#ffd600
thrills,1.5,5.0,4,Joy,#2e7d32
unnerving,0.0,5.0,4,CATE [Domain Lexicon],#ffd600
tranquility,1.8,5.0,4,Joy,#2e7d32
unfair,-2.1,2.3333333333333335,3,Disgust,#6d4c41
unfriendly,-1.5,1.75,4,Disgust,#6d4c41
wicked,-2.4,5.0,4,Fear,#d32f2f
regretting,-1.7,5.0,4,Sadness,#546e7a
nasty,-2.6,2.6666666666666665,3,Disgust,#6d4c41
pleasing,2.4,4.75,4,Joy,#2e7d32
frustrated,-2.4,4.25,4,Anger,#b71c1c
phobia,-1.6,5.0,3,CATE [Domain Lexicon],#ffd600
dreaded,-2.7,5.0,4,Sadness,#546e7a
dreading,-2.4,5.0,4,Sadness,#546e7a
exhilarated,3.0,5.0,4,Joy,#2e7d32
embarrassed,-1.5,4.5,4,Sadness,#546e7a
giddy,-0.6,4.0,4,Sadness,#546e7a
irritated,-2.0,3.5,4,Sadness,#546e7a
irritating,-2.0,3.25,4,Disgust,#6d4c41
ominous,-1.4,5.0,3,Fear,#d32f2f
peacefulness,2.1,5.0,4,Joy,#2e7d32
reassure,1.4,5.0,3,Trust,#1976d2
heartfelt,2.5,4.666666666666667,3,Sadness,#546e7a
horribly,-2.4,4.0,3,Sadness,#546e7a
joking,0.9,3.3333333333333335,3,Joy,#2e7d32
overjoyed,2.7,5.0,3,Joy,#2e7d32
peacefully,2.4,5.0,3,Joy,#2e7d32
sympathy,1.5,3.6666666666666665,3,Sadness,#546e7a
remorse,-1.1,4.0,3,Sadness,#546e7a
scaring,-1.9,5.0,3,Sadness,#546e7a
securely,1.4,5.0,3,Joy,#2e7d32
sickening,-2.4,2.6666666666666665,3,Disgust,#6d4c41
uneasiness,-1.6,4.666666666666667,3,Sadness,#546e7a
unsettled,-1.3,4.333333333333333,3,Disgust,#6d4c41
happiness,2.6,4.333333333333333,3,Joy,#2e7d32
guilty,-1.8,5.0,3,Sadness,#546e7a
carefree,1.7,5.0,3,Joy,#2e7d32
ecstasy,2.9,5.0,3,Joy,#2e7d32
aggressively,-1.3,1.6666666666666667,3,Sadness,#546e7a
ambivalent,0.5,5.0,3,Joy,#2e7d32
apprehensions,-0.9,5.0,3,Sadness,#546e7a
astonished,1.6,5.0,3,Joy,#2e7d32
beneficial,1.9,5.0,3,Joy,#2e7d32
astounded,1.8,5.0,3,Joy,#2e7d32
cheer,2.3,5.0,3,Joy,#2e7d32
compassion,2.0,3.6666666666666665,3,Fear,#d32f2f
disappointingly,-1.9,3.0,3,Sadness,#546e7a
dissatisfied,-1.6,1.3333333333333333,3,Sadness,#546e7a
compassionate,2.2,5.0,3,Joy,#2e7d32
threaten,-1.6,1.5,2,Fear,#d32f2f
suffering,-2.1,4.5,2,Disgust,#6d4c41
rigid,-0.5,5.0,2,Sadness,#546e7a
positively,2.4,5.0,2,Joy,#2e7d32
offensive,-2.0,2.0,2,Disgust,#6d4c41
desperate,-1.3,5.0,2,Sadness,#546e7a
darling,2.8,5.0,2,Joy,#2e7d32
clever,2.0,5.0,2,Joy,#2e7d32
bothering,-1.6,5.0,2,Sadness,#546e7a
agreeable,1.8,5.0,2,Trust,#1976d2
exhausting,-1.5,5.0,2,Sadness,#546e7a
racist,-3.0,4.85,1,Sadness,#546e7a
regrettably,-2.0,4.85,1,Sadness,#546e7a
reward,2.7,4.85,1,Joy,#2e7d32
truthful,2.0,4.85,1,Trust,#1976d2
hostile,-1.6,4.85,1,Disgust,#6d4c41
harsh,-1.9,4.85,1,Sadness,#546e7a
grandest,2.4,4.85,1,Joy,#2e7d32
gloom,-2.6,4.85,1,Sadness,#546e7a
dismay,-1.8,4.85,1,Sadness,#546e7a
