user_name,user_location,rating,rating_text,review_title,review_text,trip_type,helpful_votes,published_date,tour_name,has_photo,language,is_english,user_city,user_state,user_country,is_us_domestic,review_word_count,review_char_count,title_word_count,exclamation_count,uppercase_ratio,sentiment_polarity,sentiment_pos,sentiment_neg,safety_mention,helicopter_comparison,price_value_mention,coast_mention,canyon_mention,waterfall_mention,wildlife_mention,weather_mention,flight_crew_mention,ground_staff_mention,companion_mention,pilot_mention,staff_service_mention,guide_mention,pilot_service_mention,special_occasion,aircraft_type,aspects_found,aspect_count,aspect_Scenery,aspect_Pilot,aspect_GroundStaff,aspect_CabinComfort,aspect_Safety,aspect_Weather,aspect_PriceValue,aspect_ServiceRecovery,aspect_Companion,aspect_LifetimeExperience,incongruence_type
SIauNaturale,"Reading, PA",5,,"Spectacular Trip with stunning views of the Grand Canyon, as well as several other places along the way!","This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very informative and also a very experienced pilot who made us all feel very comfortable. The flight went over Sedona, and Flagstaff and then there it was - the Grand Canyon! Pictures will never do it justice. You have to see it with your own eyes to appreciate the raw beauty. After touring the Grand Canyon from the air we landed at the Grand Canyon airport and went into the Grand Canyon National Park through the East entrance. We were taken to several lookout points on the South Rim, and experienced several more moments of wow from the ground. The tour guide we had on the ground gave us some interesting facts along the way. We highly recommend this trip for anyone not wishing to take a helicopter, or not wishing to drive 4 hours one way, from the Scottsdale area. We reported at 7:30 am, took off at 8, and returned around 2:30 pm. The return flight took a more western route back so there were more places to see. Definitely one of those bucket list items!",Unknown,0,2024-02-21,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,Reading,PA,United States,1,207,1138,18,3,0.0272407732864674,0.9906,0.196,0.026,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'PriceValue', 'LifetimeExperience']",5,1,1,1,0,0,0,1,0,0,1,Minor Local Noise
Andy L,,5,Jan 2024 • Couples,Amazing,"This is the third time I have taken this trip and it never ceases to amaze. You cannot appreciate the Grand Canyon from just seeing pictures and flying over and through. It gives a great perspective. I recommend that anyone visiting the Phoenix area spend a day taking this trip, even if they have been to the Canyon before, as I was on a one week rafting trip. 
The views of Sedona are amazing also.",Couples,0,2024-01-29,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,,,Unknown,0,75,400,1,0,0.03,0.5875,0.128,0.094,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Other/Unspecified,['Scenery'],1,1,0,0,0,0,0,0,0,0,0,Type 1: Local Friction - Overall Positive
Freedom721440,,5,Dec 2023 • Couples,Only way to see the Grand Canyon!,"This is a must go trip! The experience was top-notch. You will never experience the views of the Grand Canyon or Sedona without a aerial trip. Carla our captain, experience not only as a pilot, but as a tour guide in the air.  It was lovely to have the headset with a guided tour and acoustic music- not engine noise. The hummer ride with Trey to all the great spots for phots and information made this a whole experience that my husband and I will never forget.",Couples,0,2023-12-30,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,87,462,7,1,0.0238095238095238,0.9446,0.166,0.0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'CabinComfort', 'Companion']",4,1,1,0,1,0,0,0,0,1,0,Pure Positive Baseline
Robert G,,5,Nov 2023 • Family,The “Grand” Adventure,"The aerial tour of Sedona, Flagstaff and, of course, the Grand Canyon was fabulous. This was further enhanced by the south rim Hummer tour. This was all followed up with a bonus, delightful  IMAX film about the evolution of the Grand Canyon. Everyone at Westwind was very helpful, friendly and professional. Pedro, our pilot, was a delightful pleasure. Besides the fabulous visual experience, the highlight of the trip for me was the opportunity to sit in the copilot’s seat for the return flight. I felt like a kid again.",Family,0,2023-11-30,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,89,522,3,0,0.0363984674329501,0.9911,0.368,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,Other/Unspecified,"['Scenery', 'Pilot', 'CabinComfort', 'LifetimeExperience']",4,1,1,0,1,0,0,0,0,0,1,Pure Positive Baseline
stevenloyens,"London, UK",5,Nov 2023 • Couples,Not just a pretty view after all,"Evidently, the view is amazing, but it's the friendliness and top notch customer service that stands out. Pearl is amazing! The whole team go the extra mile to make sure your experience, not just the view, is unforgettable.",Couples,0,2023-11-13,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,London,,United Kingdom,0,38,223,7,1,0.0134529147982062,0.952,0.341,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other/Unspecified,"['Scenery', 'GroundStaff', 'LifetimeExperience']",3,1,0,1,0,0,0,0,0,0,1,Pure Positive Baseline
Leslie,"Ontario, Canada",5,Sep 2023 • Couples,Plane Hummer Canyon wow wow wow,"My husband I thoroughly enjoyed our plane ride to the Canyon with the pilot making sure we saw the beautiful canyon from above . Could not stop taking photos. When we arrived at the Canyon we took a prearranged hummer tour of the Canyon from the ground which was excellent! 
What a fantastic experience from beginning to end . Strongly recommend this bundled tour",Couples,0,2023-09-25,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,Ontario,,Canada,0,64,363,6,1,0.024793388429752,0.9715,0.319,0.0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'Companion']",4,1,1,1,0,0,0,0,0,1,0,Pure Positive Baseline
Frank W,"Dublin, OH",5,May 2023 • Couples,Westwind Signature Grand Canyon Tour Exceeds Expectations,"This was my anniversary gift for my wife and it exceeded every expectation. The staff, pilots and our tour guide on the ground (different company by Westwind coordinates for you) were all outstanding. 

The plane seats 10 (I think). You need to be comfortable in a small plane with minor turbulence. The narration was very informative. 

Make sure you order lunch beforehand. If you book through your hotel (like we did) make sure you tell them to order you lunch. Bring a lot of water. It isn’t a very physical tour but you will want to stay hydrated. If you go in the spring or fall don’t forget that it is noticeably cooler up at the Grand Canyon than it is in Phoenix. Caden our pilot and Gigi our tour guide did an outstanding job!",Couples,0,2023-05-16,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,Dublin,OH,United States,1,135,736,7,1,0.0230978260869565,0.9521,0.146,0.016,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'CabinComfort', 'Companion']",5,1,1,1,1,0,0,0,0,1,0,Pure Positive Baseline
dawn,"Jacksonville, NC",5,,Way more than imagined!!,This was an experience and way more than imagined!  Such an easy day because Westwind Tours took care of everything. Easy flights thanks to Caden and Carla and an amazing experience with the Hummer Tour with Buckwild Tours and Tre Soule.  The right amount of time and expert commentary as we went to amazing overviews of the canyon with guidance of where we were in comparison to other areas of the canyon. The flyover of the canyon was simply spectacular.  We highly recommend this tour and Westwind alongside Buckwild Hummer Tours!!,Unknown,0,2023-04-21,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,Jacksonville,NC,United States,1,91,534,4,3,0.0374531835205992,0.9725,0.216,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Other/Unspecified,['Scenery'],1,1,0,0,0,0,0,0,0,0,0,Pure Positive Baseline
Rebecca C,,5,,Family trip to GC,"Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacular. We are so glad we made this decision instead of driving!!!",Unknown,0,2023-04-10,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,40,243,4,3,0.0246913580246913,0.9598,0.367,0.038,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'Safety', 'Companion']",4,1,1,0,0,1,0,0,0,1,0,Minor Local Noise
Cathy S,,5,Apr 2023,Amazing,This was my second time flying with West Wind and they are fantastic! I couldn’t be happier. Flying over the Grand Canyon with Carson our pilot was an amazing experience and I can’t wait to fly with them again.,Unknown,0,2023-04-04,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,39,210,1,1,0.0428571428571428,0.9336,0.299,0.0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'CabinComfort', 'Weather']",4,1,1,0,1,0,1,0,0,0,0,Pure Positive Baseline
lovingabe,"Hamilton, OH",5,Mar 2023 • Friends,Well worth the cost,"This was a great day. The pilot did an awesome job after we hit severe turbulence over the Grand Canyon. The ground tour was great as well and in spite of less than perfect weather, we saw great beauty and had great fun. Even the optional box lunch was very good. I’d highly recommend this tour.",Friends,0,2023-03-11,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,Hamilton,OH,United States,1,56,295,4,0,0.023728813559322,0.9892,0.473,0.067,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'Weather']",4,1,1,1,0,0,1,0,0,0,0,Type 1: Local Friction - Overall Positive
Alicia M,,5,Jan 2023,A grand way to to the Grand Canyon,"This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ground portion was chilly given it was super snowy and the Hummer was more suited to warmer weather. They had plenty of blankets. Our guide was friendly and shared his Navajo culture with us.

The arial trip over the Canyon was spectacular. I can't think of a better way to see the Grand Canyon. Especially since it was my first time seeing it. With this overview you can decide what else you want to see.",Unknown,0,2023-03-07,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,102,585,8,0,0.0324786324786324,0.9782,0.245,0.02,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,Other/Unspecified,"['Scenery', 'GroundStaff', 'Weather', 'PriceValue']",4,1,0,1,0,0,1,1,0,0,0,Minor Local Noise
Wendy K,"Macon, GA",5,Dec 2022,Best tour of the whole trip!,"We had an amazing time with Westwinds.  Carla was an amazing pilot and a joy to spend time with in the air.  Seeing the Canyon from the air was a special experience and unforgettable.  The ground tour with Buck Wild and our guide Gerry was also fantastic.  He was knowledgeable and a Navajo tribe member, so he shared many facts about the history and tribe territory of the Grand Canyon park. I would have loved more time there but we only had a day! This trip made the most of the time we had to spend. Seeing Sedona from the air after taking a ground tour was amazing since we could identity so many of the sites we had visited just a few days earlier.",Unknown,0,2023-01-01,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,Macon,GA,United States,1,125,654,6,1,0.0259938837920489,0.9644,0.175,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'LifetimeExperience']",4,1,1,1,0,0,0,0,0,0,1,Pure Positive Baseline
Emily L,,5,Sep 2022,Perfect Grand Canyon experience!,"My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from Sedona and enjoyed a GORGEOUS flight to the Grand Canyon. It was so nice to avoid the drive time and traffic from Sedona. Upon arrival to the Grand Canyon, we walked out of the airport and right onto our Wild Buck Hummer tour. We were able to avoid the long entry line into the National Park and cruised right into our first stop. We were able to stop at a few gift shops and see several different viewing areas of the Grand Canyon. We then had a lovely picnic lunch with a beautiful view of the Grand Canyon. It was a memorable day! Thank you to Captain Carla and our Wild Buck tour guide for the fantastic day!",Unknown,0,2022-09-06,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,151,793,4,3,0.0554854981084489,0.9961,0.326,0.066,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'Safety', 'Companion']",4,1,1,0,0,1,0,0,0,1,0,Type 1: Local Friction - Overall Positive
Mrblaw,"Miami Lakes, FL",5,,Cool as $….,This was a last-minute reservation which was a great adventure. A one of a kind type of tour that was worth every single penny. Everyone had a great view from the plane and a great pilot/guide who was very informative. #karla. Everyone at this place is super nice very accommodating and made this probably one of the most amazing tours I’ve ever taken. The teenagers absolutely loved it – partly because of the private plane ride – as well as the entire experience.,Unknown,0,2022-08-14,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,Miami Lakes,FL,United States,1,83,465,3,0,0.0129032258064516,0.9891,0.366,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'PriceValue']",3,1,1,0,0,0,0,1,0,0,0,Pure Positive Baseline
JaniceFC1,"Holmdel, NJ",5,Apr 2022,Awe inspiring way to experience The Grand Canyon!,"We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. If not today, when, was part of my logic. 

My husband and I arrived at Sedona Airport and watched our plane arrive and I was happy to see the size of the plane. The captain came through the gate, introduced herself  and asked if I was her guest! I told her I was and I was scared Sh**less:) Captain Carla was so kind and professional and assured me I would have a wonderful day and would be able to enjoy the flight. I was comforted by her kindness and assurances. 

Upon boarding the plane with 8 wide comfortable seats for guests I knew if I sat and buckled up I would not turn back:) I did it!

The flight to the Grand Canyon was extremely calm and I found the guide information and soothing background music of the headset extremely calming! Captain Carla interupped the voice tour multiple times to point out various additional points of initerest! Captain even checked on how I was doing mid flight which was so kind!

The first view of the Grand Canyon in the distance is awesome! As we flew around the Canyon, the pictures and videos do not do it justice of the awe you feel viewing it from above! I am so very thankful I was able to complete the tour and feel I was able to do it because of Captain Carla. The Carla Touch:)

We were transferred to BuckWild Hummer Tour for the ground portion. I will review them on their page as well. Tom was our driver, the hummer was exceptionally comfortable, we traveled with a total of 12 guests. The rows of seats are stepped so the view from each row was great, not effected at all by persons in front of you! Great set up. Tom our driver was professional, and  extremely knowledgable of all things related to The Grand Canyon park. It was a pleasure to get to know him during our 3 hour tour. He obviously loves his job and shares that feeling with his guests!

Our return flight to Sedona was a not as calm as outgoing  but Captain Carla tried to find some smoother air but it was impossible. Even with the slight occassional bumps the flight was awesome, the views are just indescribable!

Thank you to Lindsey for arranging our reservation with kindness, and professionalism. Thank you to Captain Carla, without her calming, professionalism and expertise I don't know if I could have done it. Thank you to Tom for sharing his knowledge with us and his insights to The  Grand Canyon as well as his wife who arranged all the lunches for our gourp! 

I wish I could give this tour higher than a 5*!",Unknown,0,2022-04-09,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,Holmdel,NJ,United States,1,489,2630,8,12,0.0326996197718631,0.9994,0.271,0.025,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'CabinComfort', 'Safety', 'Companion', 'LifetimeExperience']",7,1,1,1,1,1,0,0,0,1,1,Type 3: Fear Transformation / Arousal
Baily L,,5,Aug 2021,Once in a lifetime experience!,"This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of us on the tour, it was private which was nice but if you have a fear of flying this would not be for you. Paul, our pilot was awesome and helped us to feel safe based on his experience.  I loved how this tour included both the aerial view and the scenery of the Canyon on the ground. My husband and I were in Arizona for a short time and wanted to make sure to make the most of our trip. This tour really allowed us to see something unique and fit into our travel plans nicely. I would highly recommend this to others if you are looking for a once in a lifetime experience to see the Grand Canyon from above, the views were priceless!",Unknown,0,2021-08-31,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,161,815,5,2,0.0196319018404908,0.9858,0.193,0.024,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'CabinComfort', 'Safety', 'Companion', 'LifetimeExperience']",7,1,1,1,1,1,0,0,0,1,1,Type 3: Fear Transformation / Arousal
GlobalTraveler8085,"Destin, FL",5,Aug 2021,Grand Canyon Signature Tour from Sedona,"We did the Grand Canyon Signature tour from Sedona.  Our pilot was Max, and he was excellent.  We spent 30 minutes flying over the Grand Canyon, and then had a three hour Jeep tour of the Grand Canyon National Park.  Everyone was professional, interesting and accommodating.  We would recommend this tour through Westwinds.",Unknown,0,2021-08-20,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,Destin,FL,United States,1,53,323,6,0,0.0557275541795665,0.9509,0.28,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot']",2,1,1,0,0,0,0,0,0,0,0,Pure Positive Baseline
GeauxHolly,,5,Jul 2021 • Family,10 out of 10!,Best part of this trip was the smooth and peaceful plane ride over the canyon!  Felt safe with our professional pilot Tom!,Family,0,2021-07-09,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,,,Unknown,0,22,122,4,2,0.0245901639344262,0.8975,0.364,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'Safety']",3,1,1,0,0,1,0,0,0,0,0,Pure Positive Baseline
Caryn W,,5,Jun 2021,Great flight with Westwind!,Our family of four had a great flight over the Grand Canyon. Everyone from Westwind was great - from booking with Denienne to the amazing flight with Paul. We each had our own windows to enjoy the beautiful views. It was a perfect way to see so much of the canyon in our limited time there. Would fly with them again any time.,Unknown,0,2021-06-09,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,,,Unknown,0,63,326,4,0,0.0306748466257668,0.9774,0.324,0.024,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Companion']",2,1,0,0,0,0,0,0,0,1,0,Minor Local Noise
Mike G,"Pennsylvania Dutch Country, PA",5,May 2021,Great experience with flight and ground tour - Can highly recommend,"Great service.  The narrated fly over the Canyon was helpful, our pilot added great information and all went well.  The ground tour by Jeep/Hummer was very good.  Our guide was so helpful not just at stopping at spots to see but then taking us to unique locations within the sites to see the best views and avoid the larger groups.  

Definitely can recommend the combo flight and ground tour.",Unknown,0,2021-05-13,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,Pennsylvania Dutch Country,PA,United States,1,69,393,11,0,0.0203562340966921,0.9664,0.303,0.032,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff']",3,1,1,1,0,0,0,0,0,0,0,Minor Local Noise
Ccutrish,,5,May 2021 • Couples,Great day trip,This tour had it all. Team was very professional. Started at Deer Valley Airport flew to Sedona then to the South Rim took a helicopter to bottom of the canyon boarded a pontoon for a trip down the Colorado River could not have asked for more!!! Max our Pilot took wonderful care of us and delivered us expertly back to Phoenix.,Couples,0,2021-05-10,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,61,328,3,3,0.0426829268292682,0.8306,0.122,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff']",3,1,1,1,0,0,0,0,0,0,0,Pure Positive Baseline
