tour_name,rating,fear_words,has_pilot,fear_sentence,pilot_sentence,full_text
38_77_Alaska Bush Float Plane Service_2025-03-04,5,"fear, scared, frightened",1,"Scared to Death but WORTH IT | Despite my fear, I thought about it all night and when we pulled out the following afternoon, there it was, calling to me","I pushed through and boarded the tiniest little float plane with my husband, another frightened lady, and the pilot who was in his early 20's and had been flying solo since he was 16 | I had faith in the pilot, who really was awesome, and he landed us down on the lake smooth as glass","Scared to Death but WORTH IT! . I am a terrible flier. As in PETRIFIED.  Somehow, though, this clean, well kept little dock caught my eye as my husband and I drove into Talkeetna for one overnight. Despite my fear, I thought about it all night and when we pulled out the following afternoon, there it..."
38_77_Alaska Bush Float Plane Service_2025-03-04,5,nervous,1,"I must admit that the thought of flying in a small plane made me a little nervous, but once we were on our way I felt completely safe","Our pilot, Jason, did a great job explaining the various points of interest along the way",Wonderful experience! . The one hour flight to Mt. McKinley was truly an amazing adventure.  We also picked the perfect day - not a cloud in the sky.  It is amazing how different the mountains and glaciers look when flying between the mountain peaks.  It was also interesting to look at the flat terr...
42_260_Northwest Seaplanes_2025-03-06,5,nervous,1,I was a bit nervous and I tend to get motion sickness and he made the flight very enjoyable and even checked in with me during the flight to see how I was feeling,I was really impressed by our pilot and how well he flew the plane,Amazing experience! . I just wanted to say thank you for an amazing experience!! Our Delta airline flights were delayed by 8 hours and the first day of our trip to Friday Harbor was not what we had expected. We got stuck in Seattle and missed our original transportation by car and ferry but Friday H...
42_260_Northwest Seaplanes_2025-03-06,5,nervous,0,Even though we were initially nervous because it was our first time and the plane is small the takeoff and landing were incredibly smooth,,Seaplane Adventure . My husband and I had a most amazing time on our seaplane ride! It actually was a last minute booking since the Clipper was sold out going to Friday Harbor and we already had hotel reservations on San Juan Island. Even though we were initially nervous because it was our first tim...
42_260_Northwest Seaplanes_2025-03-06,5,nervous,0,My kids LOVED the experience; they were initially pretty nervous about flying in such a small plane but ended up completely loving the entire experience (including their use of the headsets over a radio channel),,Beautiful planes with beautiful views . Our family flew with Friday Harbor Seaplanes from Renton/Seattle to and from San Juan Island. The planes are beautifully maintained and the pilots we had were top notch.  This was my first seaplane flight and I was amazed by the smooth takeoff/landing (which m...
42_260_Northwest Seaplanes_2025-03-06,5,"scared, afraid",1,"Our flight was pleasant, even though I am usually afraid of flying- I was not scared at all",Our pilot was a gentleman who seemed like he really knew what he was doing,"Took the seaplane drom San Juan Island to the main land . . Our flight was pleasant, even though I am usually afraid of flying- I was not scared at all. Our pilot was a gentleman who seemed like he really knew what he was doing.

We had to make 2 stops to pick up 2 more people. thus we got back to t..."
42_260_Northwest Seaplanes_2025-03-06,5,nervous,1,"Was pretty nervous initially about flying on a seaplane, but I forgot all about being nervous","A great experience, awesome scenery both ways and the pilot pointed out cool points of interest","Awesome experience! . Round trip to Friday Harbor was awesome! Was pretty nervous initially about flying on a seaplane, but I forgot all about being nervous!  A great experience, awesome scenery both ways and the pilot pointed out cool points of interest.  Bonus was we circled a bit on the way back ..."
30_115_Grand Canyon Landmarks Tour by Airplane with Optional Hummer Tour2025-03-01,5,nervous,1,"I am a nervous flyer but the pilots were really nice and I felt safe during the hour, even thought this was the smallest plane I've ever been on",,The VIEWS! . Took the 50  minute tour and it was beautiful.We were able to see so much of the canyon and some of the seasonal controlled burn in the North Rim. It was well worth the price for the flight. Each seat on the plane had access to a window. I am a nervous flyer but the pilots were really n...
43_33_Canyonlands National Park Airplane Tour_2025-03-06,5,nervous,1,Our pilot was James who was very sympathetic towards nervous passengers and explained everything,Our pilot was James who was very sympathetic towards nervous passengers and explained everything,Wonderful flight . We went on this flight as an optional Riviera trip. It was amazing and I would recommend it to everyone. We were on a small 4 seater aircraft. Our pilot was James who was very sympathetic towards nervous passengers and explained everything. We were in touch with each other during ...
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,afraid,0,"I am afraid of heights, get motion sickness and claustrophobic",,"Amazing! . What a fantastic ride with Riley. 
I am afraid of heights, get motion sickness and claustrophobic.
So why do it? My granddaughter said I need to face my fears.
I am SO glad I did.
The flight was smooth and absolutely breathtaking!
We were the 1st group of the day to be able to see the pea..."
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,1,"I went back and forth about doing this tour, both due to the cost and because I'm a slightly nervous flyer","Our pilot has been flying since he was 6 ( | He let our 9 year old son sit in the co-pilot's seat, which I am sure my son will talk about nonstop for years","Favorite thing we did in Alaska . I went back and forth about doing this tour, both due to the cost and because I'm a slightly nervous flyer. Our original date was cancelled due to weather. I almost ended up taking the refund, but am so glad I rescheduled instead. This ended up being the favorite th..."
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,1,"My wife was very nervous, but our pilot, Jack, who also sevred as Stewardess, photgrapher, tour guide, and all the rest was unbelievable","My wife was very nervous, but our pilot, Jack, who also sevred as Stewardess, photgrapher, tour guide, and all the rest was unbelievable","MUST DO! . My wife and I did this today and had the most magical experience. My wife was very nervous, but our pilot, Jack, who also sevred as Stewardess, photgrapher, tour guide, and all the rest was unbelievable. He went above and beyond, and on top of it all he was funny and had a great personali..."
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,1,"I was nervous about being in a small plane, but take off and landing were smooth",Our pilot was so knowledgeable,"Sky beauty. . Our pilot was so knowledgeable.  I was nervous about being in a small plane, but take off and landing were smooth.  The views were amazing...."
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,1,"I was so nervous going into the flight,  but it was 100 times better than I thought it would be",Mitch was an awesome pilot and knowledgeable about the area,"Highlight of our trip. . I was so nervous going into the flight,  but it was 100 times better than I thought it would be.  Mitch was an awesome pilot and knowledgeable about the area...."
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,1,I was nervous about flying in a small plane but am so glad I went,Our pilot Phil was very knowledgeable about the area and answered all our questions,Do not miss! . Do not pass up this amazing experience! I was nervous about flying in a small plane but am so glad I went. The pilots are very experienced and fly all the time. Denali Park is so vast that you cannot begin to see it all. Flying made it possible to get a better glimpse at the millions ...
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,scared,1,"I am usually a little scared of flying and felt great, highly recommend",Plane was great and our pilot was also experienced and knowledgeable,"Just do the flight with K2, you won’t regret!! . Our Denali Experience Flight with K2 was one of our favorite things in Alaska, you can’t miss it! The flight is absoluteky amazing, views are stunning and we felt very safe. Plane was great and our pilot was also experienced and knowledgeable. I am us..."
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,1,I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot was GREAT,I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot was GREAT,Breathtaking Opportunity! . My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot was GREAT!  He informed us about the flying experience before we headed outside to the plane....
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,0,Even my spouse who gets nervous on commercial flight landings was confident,,Spectacular way to see Denali . This was a spectacular flight and glacier landing. We booked the day before for June 2 because the weather looked good. The skies were blue which made contrast with snow all the more scenic. We had done the same tour about 10 years ago and so happy to be able to do it...
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,fear,1,He was calm taking away any of my fear of flying in a small plane,"Patrick, our tour pilot, was very good | It’s obvious that he is an experienced pilot, told us what to expect on the flight, will tell us in advance if he will make some turns and the time to","Amazing tour, highly recommended . I had a flightseeing tour with glacier landing with K2 Aviation and it was AMAZING. That was the highlight of my Alaska trip. Seeing the mountains so close as if you could touch them and landing on the glacier was once in a lifetime experience—and the K2 Aviation d..."
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,afraid,1,I am even afraid of heights but you forget it all when viewing the mountains,The views were stunning and the pilot was very nice and knowledgeable,Beautiful Views! . This was the high of our trip! The views were stunning and the pilot was very nice and knowledgeable. Absolutely loved this experience and would highly recommend to anyone! I am even afraid of heights but you forget it all when viewing the mountains....
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,1,"My kids ( 16,14 & 12 ) were a little nervous at start, but after the first 10 minutes got used to the small plane and couldn’t stop taking pictures","Captain Wilbur ensured a safe and smooth flight, pointing out all the highlights along the way | Thanks captain Will and K2 for an amazing, unforgettable experience","Must Do . Decided to spend the money on a flight tour of Denali. For a family of 5, it’s quite expensive...but...
worth every penny.  My God, the scenery from above cannot be out matched. Sooooo beautiful!! Captain Wilbur ensured a safe and smooth flight, pointing out all the highlights along the wa..."
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,1,If you feel nervous - you are in safe hands,"Stan was a knowledgeable, interesting guide and a great pilot","Astounding beauty, One of a kind experience . I literally cried a little - it was so awesome and breathtaking! Landing on the glacier (though I have been on many) was thrilling and stunningly beautiful - don't miss it. Stan was a knowledgeable, interesting guide and a great pilot. If you feel nervou..."
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,fear,1,My fear of heights and motion sickness are the biggest factors,"We were issued boots and then greeted by our pilot, Stan | The views were truly amazing and I managed to get numerous pictures as our pilot wound his way around the numerous mountain peaks",It was an amazing experience! . I am not a big fan of flying. My fear of heights and motion sickness are the biggest factors. My wife and I were doing a Princess Cruise and she really wanted to see Denali up close and personal. We went out to the airport at Talkeetna and looked at the various differ...
5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,5,nervous,1,"Although I had not previously flown in a small plane, I was not at all nervous with him in the cockpit","Our pilot, Mike, was extremely competent and knowledgeable","Spectacular! . Wow!  This flightseeing experience was simply amazing!  The rugged beauty of Denali and the Alaskan Range is quite striking when you are flying so close to it.  Our pilot, Mike, was extremely competent and knowledgeable.  Although I had not previously flown in a small plane, I was not..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,I was so nervous and he did his best to make me feel comfortable,,Once in a Lifetime . Eric was knowledgeable and also very kind. I was so nervous and he did his best to make me feel comfortable. It's truly a once in a lifetime!...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,I was nervous at first but the pilot put me right and ease and was so wonderful,I was nervous at first but the pilot put me right and ease and was so wonderful,Wonderful views and wonderful trip! . This was such an amazing experience!! I was nervous at first but the pilot put me right and ease and was so wonderful! This made our 25th Anniversary extra special! Thank you Maui Plane Rides!...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,Our pilot was very accommodating and helpful with my mom who was a little nervous,Our pilot was very accommodating and helpful with my mom who was a little nervous,Highlight of our trip! . Highlight of our trip!  The scenery is breathtaking and I loved learning about the history of the islands.  Our pilot was very accommodating and helpful with my mom who was a little nervous.  Wonderful!...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,Eric was amazing at making the experience magical and comforting (from a first time small aircraft flyer) I was nervous at first but so glad we did this for our anniversary,,Amazing . Eric was amazing at making the experience magical and comforting (from a first time small aircraft flyer) I was nervous at first but so glad we did this for our anniversary....
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,"This is my first time trying it and it was awesome, little nervous from the beginning but he did our tour really nice and smooth",,"Amazing . This is my first time trying it and it was awesome, little nervous from the beginning but he did our tour really nice and smooth..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,I was slightly nervous but the pilot made me feel at ease,I was slightly nervous but the pilot made me feel at ease,Must do!! . Great experience! I was slightly nervous but the pilot made me feel at ease! Beautiful way to see the island! Must do!!!!...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,I was really nervous about flying but our pilot Eric made me feel so comfortable about it,I was really nervous about flying but our pilot Eric made me feel so comfortable about it,Once in a Lifetime View . I was really nervous about flying but our pilot Eric made me feel so comfortable about it. It was honestly the best experience and would do it again with no hesitation! This was the best way to start our wedding vacation! We saw all of the island and whales in the ocean. On...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,My fiancée is a nervous flyer and he took amazing care of us,"We had an absolutely amazing time Our pilot Eric was amazing, and gave us a spectacular view of the islands","What a time! . We had an absolutely amazing time Our pilot Eric was amazing, and gave us a spectacular view of the islands! My fiancée is a nervous flyer and he took amazing care of us!..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,I thought I would be nervous but our tour guide put us as ease,The views were spectaular and our guide was very informative about the views we were looking at | I thought I would be nervous but our tour guide put us as ease,"This is a spectacular tour.  This was the highlight of our trip to Maui. . This was one of our favorite tours.  The views were spectaular and our guide was very informative about the views we were looking at.  I thought I would be nervous but our tour guide put us as ease.   My daughter, husband and..."
32_2137_Maui Plane Rides_2025-03-04,5,afraid,1,I am afraid of flights but this was a smooth ride & the pilot was very helpful for people afraid of heights,I am afraid of flights but this was a smooth ride & the pilot was very helpful for people afraid of heights,ONCE IN A LIFETIME . This is THE BEST FLIGHT EXPERIENCE EVER! This flight was the cherry on top to culminate our enchanting honeymoon experience win Maui!! The views were spectacular and the narration of every place was a great touch. I am afraid of flights but this was a smooth ride & the pilot was...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,"Great views, great pilot, great photos, great for nervous flyers","Great views, great pilot, great photos, great for nervous flyers","Flight . Great views, great pilot, great photos, great for nervous flyers. Enjoyed the whole flight. Would recommend...."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,"The best part was that our pilot walked us through every dip and turn, so even though I was nervous, he put me right at ease","The best part was that our pilot walked us through every dip and turn, so even though I was nervous, he put me right at ease","Magic! . Amazing!!!!! Perspectives I’ve never seen, and unreal views. I literally felt like I was flying. The best part was that our pilot walked us through every dip and turn, so even though I was nervous, he put me right at ease. Must do if you visit Maui!!!..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,"My boyfriend and I went together, he’s 6’8 and we were a little nervous about his size,  but he fit perfectly and we had the best time",,"Incredible! . Such an amazing experience! Can’t recommend this enough, you will see the island like no other! My boyfriend and I went together, he’s 6’8 and we were a little nervous about his size,  but he fit perfectly and we had the best time! If you have any reservations about this experience don..."
32_2137_Maui Plane Rides_2025-03-04,5,terrified,0,As a person who Is terrified of heights this was amazing,,Absolutely amazing . As a person who Is terrified of heights this was amazing!! 10/10 would recommend this was absolutely incredible!!! I loved it and I don’t think I will ever forget this!!!...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,Was nervous to begin but I happy I did it,,Amazing! . Just being able to see from above the many colors and sights. Eric was knowledgeable and great. Was nervous to begin but I happy I did it....
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,"I was initially nervous going on a small plane in winds, but the guide was knowledgeable and made us feel comfortable throughout the trip","I was initially nervous going on a small plane in winds, but the guide was knowledgeable and made us feel comfortable throughout the trip | I would advise dramamine, but if you star to feel nauseous the guide helps ease any nausea symptoms","Great flight! . The flight was spectacular with unobstructed views! I was initially nervous going on a small plane in winds, but the guide was knowledgeable and made us feel comfortable throughout the trip. I would advise dramamine, but if you star to feel nauseous the guide helps ease any nausea sy..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,"Even for anyone nervous for flying, this is worth the trip",Laura was a fantastic pilot and was very polite and informative,"Amazing trip! Would do again!! . We all had an absolutely wonderful time!! Laura was a fantastic pilot and was very polite and informative. We didn't expect to see as much as we did! SO WORTH IT! We saw a ship wreck, flew over the crater, saw sea cliffs, beautiful corals, and some stunning structure..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,My wife was so nervous she checked my life insurance but I survived just fine haha,Pilot Laura was great,Just do it it’s amazing . The whole experience was amazing. Get on the tarmac and up in the sky within ten minutes. Fly past beautiful sheer cliffs with waterfalls looking into valleys. Soar over Molokai. Pilot Laura was great. My wife was so nervous she checked my life insurance but I survived just...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,"I admit, I get super nervous when flying but Laura our flight instructor was so incredible and she inspires me to get my pilot license someday","I admit, I get super nervous when flying but Laura our flight instructor was so incredible and she inspires me to get my pilot license someday","Maui from the Skies - Memories to Last a Lifetime . My husband surprised me with a discovery flight and it is something that I will cherish for the rest of my life. I admit, I get super nervous when flying but Laura our flight instructor was so incredible and she inspires me to get my pilot license ..."
32_2137_Maui Plane Rides_2025-03-04,5,scared,1,She even let him take control for a few seconds up there (he was scared stiff but loved the experience,"Lora was our pilot and she was friendly, and courteous and welcoming and very encouraging towards our very introverted 13y old :) who wants to be a pilot one day","Highly Recommend A+++ . This was a fantastic experience for all of us this morning. Lora was our pilot and she was friendly, and courteous and welcoming and very encouraging towards our very introverted 13y old :) who wants to be a pilot one day! She even let him take control for a few seconds up th..."
32_2137_Maui Plane Rides_2025-03-04,5,scared,1,our pilot eric was amazing and helped me when i was scared of the strings winds rocking the plane,our pilot eric was amazing and helped me when i was scared of the strings winds rocking the plane,phenomenal . my favorite part of this plane ride was the opportunity to take pictures that no one else will take. our pilot eric was amazing and helped me when i was scared of the strings winds rocking the plane....
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,My wife was nervous and he did a great job of reassuring her,,"Amazing memory . Would highly recommend Maui plane rides.

We had some time before our flight at 10pm and Eric fit us in at the last minute for a flight just before sunset.

As soon as he met my kids, they were smiling, laughing and engaged. He’s great with kids. My wife was nervous and he did a gre..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,First time on a small plane and I was little nervous at first but Eric made it all better | First time on a small plane and I was little nervous at first but Eric made it all better,,It was fabulous. First time on a small plane and I was little nervous at first but Eric made it all better . It was fabulous. First time on a small plane and I was little nervous at first but Eric made it all better....
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,"Very comfortable, considering that flying makes me nervous",,"Unique . Unique experience.  Very comfortable, considering that flying makes me nervous. Recommend for all ages...."
32_2137_Maui Plane Rides_2025-03-04,5,fear,1,"Even if you have a fear of flying, must do",Very scenic and smooth and awesome pilot,"Amazing views! . Amazing views from 10,000 feet above! Even if you have a fear of flying, must do. Very scenic and smooth and awesome pilot!!!..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,Very calming piolet for us nervous ones,,"Breathtaking . Very calming piolet for us nervous ones.
Awesome views and incredible stories.
And would highly recommend this to anyone...."
32_2137_Maui Plane Rides_2025-03-04,5,terrified,0,I’m terrified to fly and I never felt more comfortable in my life he was very calming and made me feel safe,,Safe! . This was amazing! I’m terrified to fly and I never felt more comfortable in my life he was very calming and made me feel safe.....
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,I was nervous before but it was smooth and just so fun,Steve was our pilot and he was great,Maui plane ride! . This was a great experience!! I was nervous before but it was smooth and just so fun! Lots of beautiful things we couldn’t see unless by plane. Loved it! Steve was our pilot and he was great!...
32_2137_Maui Plane Rides_2025-03-04,5,scared,1,"Even before you geel little scared, Eric will assure you and make you feel comfortable",Steve is a very cool pilot and an Eric is almost 4 times experienced copilot,"Wanna some thrill and adventure in your life? Take this ride. . Steve is a very cool pilot and an Eric is almost 4 times experienced copilot. You will like both. Even before you geel little scared, Eric will assure you and make you feel comfortable..."
32_2137_Maui Plane Rides_2025-03-04,5,afraid,1,I'm afraid of heights and he made the experience smooth and enjoyable,,Fantastic experience! . Steve was fantastic! I'm afraid of heights and he made the experience smooth and enjoyable. 100% recommend!...
32_2137_Maui Plane Rides_2025-03-04,5,scared,0,I’m even a bit scared of heights and flying but it was great,,Amazing . What a life-changing experience! We had an amazing time. Views that you will never forget! This tour is a MUST!! I’m even a bit scared of heights and flying but it was great!...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,Was nervous at first and loved every minute of it,,Spectacular . Excellent personal experience. Eric is terrific. Excellent knowledge of the island. Exceptional photo opportunities. Service couldn’t be better. Was nervous at first and loved every minute of it....
32_2137_Maui Plane Rides_2025-03-04,5,afraid,1,I’m afraid of heights but with Eric I felt safe and really enjoyed my ride,Eric is the smoothest pilot,"Breath taking . Eric is the smoothest pilot !!! I’m afraid of heights but with Eric I felt safe and really enjoyed my ride 
I highly recommend this to anyone visiting Maui..."
32_2137_Maui Plane Rides_2025-03-04,5,scared,0,I am scared of heights but Eric made me feel very comfortable,,"Mind blowing! . Amazing! I am scared of heights but Eric made me feel very comfortable! We saw whales, beautiful hawaiian islands, volcanos. I highly recommend the tour!..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,Our pilot was very encouraging when I was nervous,Our pilot was very encouraging when I was nervous,Maui plane ride . The plane ride and views were amazing! This is definitely worth doing! Our pilot was very encouraging when I was nervous!...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,"I was a little nervous taking a small plane around the islands, but once we started flying we kept being assured that everything was going smoothly and I definitely felt safe during this flight",Our pilot was awesome and so so sweet,"Awesome! . I was a little nervous taking a small plane around the islands, but once we started flying we kept being assured that everything was going smoothly and I definitely felt safe during this flight! Our pilot was awesome and so so sweet! He flew us around and taught us a great deal about the ..."
32_2137_Maui Plane Rides_2025-03-04,5,terrified,1,I was very terrified at first to get in the plane and fly over the ocean ect,He is a very experienced pilot who is living his dream,Honeymoon . Wow! This truly was a once in a lifetime experience. Flying over these volcanos made me feel like I was on an assignment for National Geographic of filming Planet Earth. I was very terrified at first to get in the plane and fly over the ocean ect. but Eric talked me though everything and...
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,"The pilot was very friendly and reassuring, as I was a bit nervous","The pilot was very friendly and reassuring, as I was a bit nervous | The pilot's commentary was a wonderful addition","Breathtaking! . The pilot was very friendly and reassuring, as I was a bit nervous... initially! But within minutes, I felt more than comfortable! Seeing Maui from this bird's-eye view was incredible! The pilot's commentary was a wonderful addition. What a breathtaking, amazing, fun activity! Maui v..."
32_2137_Maui Plane Rides_2025-03-04,5,fear,0,Eric promptly greeted us and removed the fear we maybe in the wrong place,,"Birthday party . I'm the guy trying to go everywhere once. Today was to fly over the volcano for my lady's birthday.  Concerned we would miss it , we pulled up a few minutes early. Eric promptly greeted us and removed the fear we maybe in the wrong place. From beginning to end he was so nice to us, ..."
32_2137_Maui Plane Rides_2025-03-04,5,scared,0,My husband was scared to sit in the front so I sat with Eric and was able to do the take off and help fly,,"Best birthday present for husbands! . What a wonderful time we had with Eric! I called the day before and he added us in quickly! I then made the reservation online on the website and was done. 

The tour was amazing. My husband was scared to sit in the front so I sat with Eric and was able to do th..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,0,Eric was fantastic with our nervous daughter (and me too,,Unreal trip! . We had an incredible experience with our crater flight. I can’t say thank you enough. Eric was fantastic with our nervous daughter (and me too!) All the little touches made the trip. We loved it so much we booked a second flight during our visit!...
32_2137_Maui Plane Rides_2025-03-04,5,afraid,1,"We felt a little uneasy about being in a small plane (partly because with age, I've become more afraid of heights), but Eric always made us feel at ease, and he was a great pilot","We felt a little uneasy about being in a small plane (partly because with age, I've become more afraid of heights), but Eric always made us feel at ease, and he was a great pilot | He was an excellent guide, and did a great job explaining the history of the areas we were seeing","Took a flight after our wedding . Had a spectacular flight with Eric a day after we got married. He made sure to make it extra special for us. We felt a little uneasy about being in a small plane (partly because with age, I've become more afraid of heights), but Eric always made us feel at ease, and..."
32_2137_Maui Plane Rides_2025-03-04,5,nervous,1,"At first we were nervous, but Eric was great about giving instructions and made us feel comfortable with both flying the plane and enjoying the ride",,"Amazing views with an amazing instructor! . We had a wonderful time on this plane tour. We chose this tour specifically because it would be small and my husband really wanted to personally fly the plane. We were the only two people in the plane besides Eric, our instructor. We flew to the sea cliffs..."
