word,raw_label,count,mean_rating,mean_polarity,dimension
inaccessible,inaccessible (陆路不可达的),87,4.9655172413793105,0.9115413793103451,Cabin Facilities & Flight Comfort
glacial,glacial (冰川的/冰河地貌),94,4.957446808510638,0.8846659574468085,Tourist Delight & Emotional Memory
spirit,spirit (精神/氛围),90,4.844444444444444,0.802231111111111,Cabin Facilities & Flight Comfort
fascinating,fascinating (引人入胜的),85,4.882352941176471,0.9507564705882353,Tourist Delight & Emotional Memory
grateful,grateful (感激的),82,4.926829268292683,0.9278878048780488,Tourist Delight & Emotional Memory
priceless,priceless (无价的/极为珍贵),85,5.0,0.8757141176470586,Value & Booking Assurance
ability,ability (飞行技术/能力),77,4.805194805194805,0.8862597402597405,Tourist Delight & Emotional Memory
balance,balance (平衡/稳健平稳),73,4.575342465753424,0.8775986301369865,Cabin Facilities & Flight Comfort
delayed,delayed (延迟/因天气顺延),74,4.445945945945946,0.7314945945945946,Friction & Service Defects
crystal,crystal (清澈的/晶莹剔透),73,4.972602739726027,0.9446,Aerial Scenery & Environment
epic,epic (史诗级的/壮丽的),105,4.9714285714285715,0.9043838095238097,Tourist Delight & Emotional Memory
famous,famous (著名的/地标景点),72,4.833333333333333,0.8800305555555555,Tourist Delight & Emotional Memory
princess,princess (公主邮轮/连动游),73,4.712328767123288,0.8748465753424658,Tourist Delight & Emotional Memory
grandeur,grandeur (壮丽/雄伟地貌),76,4.907894736842105,0.9160697368421054,Aerial Scenery & Environment
attraction,attraction (景点/观光项目),74,4.77027027027027,0.912987837837838,Tourist Delight & Emotional Memory
pristine,pristine (原始纯净的),62,5.0,0.913791935483871,Tourist Delight & Emotional Memory
extraordinary,extraordinary (非凡的/卓越的),75,4.973333333333334,0.8912213333333333,Tourist Delight & Emotional Memory
convenient,convenient (方便快捷的),61,4.704918032786885,0.8555639344262295,Tourist Delight & Emotional Memory
gracious,gracious (亲切体贴的),61,4.967213114754099,0.9423852459016394,Pilot & Service Quality
hospitality,hospitality (热情好客),63,4.984126984126984,0.9579714285714284,Pilot & Service Quality
fair,fair (公道的/合理定价),58,4.5344827586206895,0.8594586206896551,Value & Booking Assurance
uncomfortable,uncomfortable (身体不适/颠簸),55,3.981818181818182,0.5334763636363637,Friction & Service Defects
rugged,rugged (崎岖壮观的峰峦),50,4.94,0.9063019999999998,Aerial Scenery & Environment
hidden,hidden (隐秘的/秘境瀑布),50,4.92,0.90142,Aerial Scenery & Environment
equally,equally (同样精彩的),46,4.804347826086956,0.9014891304347826,Tourist Delight & Emotional Memory
lack,lack (缺乏/美中不足),46,3.847826086956522,0.5218826086956523,Friction & Service Defects
careful,careful (谨慎平稳驾驶),46,4.586956521739131,0.8300260869565215,Pilot & Service Quality
twin,twin (双发飞机/双胞胎),43,4.72093023255814,0.8770000000000001,Tourist Delight & Emotional Memory
flexibility,flexibility (灵活协调/退改),43,4.8604651162790695,0.9248999999999999,Value & Booking Assurance
decent,decent (尚可的/体面的),42,4.309523809523809,0.8367785714285713,Value & Booking Assurance
agriculture,agriculture (农田/平原景观),41,4.951219512195122,0.8939780487804877,Tourist Delight & Emotional Memory
spacious,spacious (宽敞舒适的客舱),40,4.875,0.9703499999999998,Tourist Delight & Emotional Memory
seasoned,seasoned (经验丰富的),40,5.0,0.952755,Pilot & Service Quality
charming,charming (迷人的),40,4.95,0.9452300000000001,Tourist Delight & Emotional Memory
adventurous,adventurous (富有冒险精神的),39,4.846153846153846,0.9487948717948718,Tourist Delight & Emotional Memory
extensive,extensive (丰富的飞行经验),39,4.897435897435898,0.9120538461538461,Tourist Delight & Emotional Memory
touched,touched (感动/深有感触),42,4.904761904761905,0.9062452380952379,Tourist Delight & Emotional Memory
chosen,chosen (选择/首选公司),39,4.794871794871795,0.8805384615384612,Tourist Delight & Emotional Memory
wise,wise (明智的决定),38,4.894736842105263,0.9382447368421051,Tourist Delight & Emotional Memory
greater,greater (更优质的视角),39,4.82051282051282,0.845846153846154,Tourist Delight & Emotional Memory
kindness,kindness (友善体贴),37,4.891891891891892,0.9090270270270271,Pilot & Service Quality
impression,impression (深刻印象),39,4.538461538461538,0.789251282051282,Tourist Delight & Emotional Memory
superior,superior (优越的/顶级的),42,4.904761904761905,0.8888619047619047,Pilot & Service Quality
solid,solid (扎实的/可靠的技术),37,4.891891891891892,0.9344864864864865,Pilot & Service Quality
rear,rear (后排座位/视角),34,4.529411764705882,0.8637029411764706,Tourist Delight & Emotional Memory
overwhelming,overwhelming (震撼人心/极具冲击),34,4.852941176470588,0.8677941176470588,Tourist Delight & Emotional Memory
determined,determined (决意飞行/果断),33,4.545454545454546,0.9182818181818182,Tourist Delight & Emotional Memory
shape,shape (地形山脉形状),32,4.6875,0.897809375,Tourist Delight & Emotional Memory
discovery,discovery (探索发现),40,4.8,0.9382550000000001,Tourist Delight & Emotional Memory
classic,classic (经典路线/项目),35,4.885714285714286,0.9223685714285713,Tourist Delight & Emotional Memory
cute,cute (可爱/温馨客舱),30,4.8,0.96728,Tourist Delight & Emotional Memory
educated,educated (讲解知识渊博的),29,5.0,0.9142965517241378,Pilot & Service Quality
pressure,pressure (无施压/气压稳定),30,4.933333333333334,0.8844933333333332,Tourist Delight & Emotional Memory
chatty,chatty (健谈风趣的飞行员),29,4.896551724137931,0.9557482758620689,Pilot & Service Quality
silk,silk (如丝般顺滑的起降),30,5.0,0.9320066666666666,Cabin Facilities & Flight Comfort
younger,younger (适合年轻/儿童),28,4.928571428571429,0.9013749999999999,Tourist Delight & Emotional Memory
timely,timely (准时起飞/按时),29,4.793103448275862,0.8119413793103448,Pilot & Service Quality
minimum,minimum (最低要求/起飞标准),28,4.392857142857143,0.7972500000000001,Tourist Delight & Emotional Memory
stellar,stellar (星级优秀的),29,4.793103448275862,0.8024275862068966,Pilot & Service Quality
maximum,maximum (最大化体验),32,4.5625,0.700234375,Tourist Delight & Emotional Memory
carefully,carefully (小心谨慎平稳飞行),29,4.724137931034483,0.9215689655172414,Pilot & Service Quality
boring,boring (平淡/无聊),28,3.642857142857143,0.5740678571428571,Friction & Service Defects
split,split (分拆/两人分坐),26,4.461538461538462,0.8602461538461538,Tourist Delight & Emotional Memory
tower,tower (塔台/机场设施),26,4.884615384615385,0.9337115384615384,Tourist Delight & Emotional Memory
communicative,communicative (沟通顺畅体贴),25,5.0,0.8650520000000002,Pilot & Service Quality
cramped,cramped (空间拥挤的),26,4.538461538461538,0.7331615384615383,Friction & Service Defects
inclement,inclement (恶劣天气),24,4.75,0.7633791666666667,Tourist Delight & Emotional Memory
halfway,halfway (中途/半程),25,4.44,0.759084,Tourist Delight & Emotional Memory
proper,proper (正规/妥善安排),23,4.521739130434782,0.7797217391304347,Tourist Delight & Emotional Memory
comprehensive,comprehensive (全面详尽的解说),25,4.96,0.907536,Pilot & Service Quality
diverse,diverse (多样化的景观地貌),23,5.0,0.7072347826086955,Aerial Scenery & Environment
graciously,graciously (礼貌地/热情地),22,4.954545454545454,0.9490999999999999,Pilot & Service Quality
skeptical,skeptical (起初怀有疑虑的),22,4.818181818181818,0.8287818181818181,Tourist Delight & Emotional Memory
