word_or_phrase,total_mentions,review_count,review_percentage
totally,595,554,2.49
high,594,560,2.52
south,594,514,2.31
enjoy,591,561,2.52
early,583,536,2.41
place,582,550,2.47
office,581,510,2.29
several,581,528,2.37
extra,580,541,2.43
whales,580,540,2.43
making,579,552,2.48
value,578,517,2.33
let,576,542,2.44
cessna,573,504,2.27
happy,570,535,2.41
picked,568,546,2.46
places,567,521,2.34
called,565,503,2.26
et,563,231,1.04
asked,563,499,2.24
overall,562,550,2.47
person,562,501,2.25
expensive,562,533,2.4
opportunity,558,533,2.4
der,554,231,1.04
pointed,549,532,2.39
san,548,423,1.9
cannot,546,513,2.31
thought,545,519,2.33
motion,543,457,2.06
week,540,498,2.24
que,540,218,0.98
look,535,503,2.26
sit,534,499,2.24
sea,533,471,2.12
including,532,510,2.29
bay,530,399,1.79
friends,529,500,2.25
always,528,493,2.22
start,528,499,2.24
na,527,480,2.16
sickness,526,465,2.09
lake,524,421,1.89
team,522,464,2.09
half,521,493,2.22
accommodating,521,517,2.33
pilot guide,520,512,2.3
worth money,520,509,2.29
nervous,519,488,2.19
disappointed,519,495,2.23
wait,518,470,2.11
however,517,475,2.14
mt mckinley,517,416,1.87
unique,517,469,2.11
especially,516,495,2.23
ship,516,403,1.81
came,516,479,2.15
offered,515,478,2.15
45,513,480,2.16
k2 aviation,512,422,1.9
bucket,510,465,2.09
bus,509,341,1.53
ruth,509,461,2.07
photo,507,454,2.04
away,506,478,2.15
national,505,438,1.97
pali,505,459,2.06
felt safe,503,499,2.24
found,502,466,2.1
el,502,134,0.6
highlights,501,489,2.2
range,501,430,1.93
bucket list,501,457,2.06
tat,501,335,1.51
wir,497,205,0.92
customer service,496,443,1.99
napali,495,445,2.0
enjoyable,494,474,2.13
quite,493,447,2.01
misty fjords,492,376,1.69
explained,491,466,2.1
steve,491,335,1.51
love,489,459,2.06
scenic,489,429,1.93
kauai air,485,445,2.0
less,484,451,2.03
na pali,483,441,1.98
nothing,482,458,2.06
kids,480,390,1.75
actually,480,435,1.96
throughout,478,459,2.06
chance,476,449,2.02
words,476,454,2.04
peaks,476,427,1.92
chose,474,449,2.02
boat,473,372,1.67
gorgeous,471,449,2.02
aerial,471,407,1.83
try,468,441,1.98
simply,465,425,1.91
ruth glacier,464,427,1.92
new,464,431,1.94
float,464,335,1.51
sites,463,429,1.93
possible,462,439,1.97
given,462,419,1.88
ketchikan,461,347,1.56
later,460,416,1.87
helicopter ride,457,408,1.83
return,457,423,1.9
birthday,457,386,1.74
viewing,454,393,1.77
waimea,452,437,1.97
may,452,418,1.88
areas,450,426,1.92
co,450,417,1.88
conditions,447,388,1.74
motion sickness,445,391,1.76
second,445,419,1.88
never forget,445,433,1.95
plus,445,414,1.86
although,443,424,1.91
moment,443,406,1.83
alaskan,442,406,1.83
pretty,441,392,1.76
hotel,441,371,1.67
reviews,437,406,1.83
land glacier,436,409,1.84
es,434,245,1.1
remember,431,424,1.91
ease,430,419,1.88
daughter,430,359,1.61
showed,429,416,1.87
base,427,376,1.69
beyond,426,408,1.83
world,426,401,1.8
picture,424,389,1.75
pick,424,371,1.67
waimea canyon,423,415,1.87
scheduled,421,393,1.77
personable,421,418,1.88
met,420,372,1.67
helicopter tours,420,382,1.72
find,416,398,1.79
denali glacier,414,388,1.74
experiences,413,403,1.81
kevin,412,289,1.3
20,410,378,1.7
ask,410,382,1.72
car,410,377,1.7
north,409,383,1.72
helped,407,382,1.72
need,407,370,1.66
knowledgable,406,403,1.81
business,406,375,1.69
napali coast,405,369,1.66
pilot friendly,403,401,1.8
chris,403,322,1.45
marcus,402,297,1.34
video,402,340,1.53
bad,401,356,1.6
kept,400,383,1.72
work,398,383,1.72
windows,397,359,1.61
dvd,396,335,1.51
music,396,366,1.65
walk,396,368,1.66
harry,396,303,1.36
narration,395,384,1.73
pali coast,395,370,1.66
excellent pilot,395,392,1.76
exciting,393,372,1.67
summit,387,297,1.34
breath,387,369,1.66
stop,385,348,1.57
anything,384,369,1.66
passenger,384,353,1.59
use,383,360,1.62
francisco,383,293,1.32
nous,381,149,0.67
sunny,380,369,1.66
three,379,348,1.57
answered,378,373,1.68
san francisco,378,289,1.3
wing,376,312,1.4
camera,376,326,1.47
sides,375,371,1.67
etc,375,346,1.56
free,374,339,1.52
run,373,353,1.59
seawind,372,230,1.03
option,371,343,1.54
tell,369,356,1.6
pilot informative,369,369,1.66
activity,369,343,1.54
island kauai,369,347,1.56
care,368,354,1.59
memories,367,353,1.59
crew,367,350,1.57
national park,365,322,1.45
favorite,363,344,1.55
co pilot,360,338,1.52
unbelievable,360,349,1.57
local,360,342,1.54
around denali,359,334,1.5
year old,356,312,1.4
surrounding,354,346,1.56
city,353,289,1.3
warm,352,328,1.48
missed,352,343,1.54
lunch,352,300,1.35
flown,352,334,1.5
refund,351,286,1.29
plan,350,320,1.44
turned,350,324,1.46
staff friendly,348,348,1.57
beautiful island,348,339,1.52
talk,346,327,1.47
due weather,346,338,1.52
four,345,324,1.46
war,345,193,0.87
magnificent,344,320,1.44
valley,344,257,1.16
around island,344,324,1.46
cancelled,344,295,1.33
man,343,238,1.07
spend,341,325,1.46
est,341,161,0.72
cloudy,341,316,1.42
drive,341,306,1.38
bear,341,217,0.98
completely,340,326,1.47
describe,340,330,1.48
allowed,339,327,1.47
call,339,291,1.31
stay,339,322,1.45
beautiful views,337,330,1.48
cliffs,337,318,1.43
float plane,337,254,1.14
awe,337,324,1.46
biplane,336,223,1.0
afternoon,335,298,1.34
bears,334,199,0.89
operation,334,313,1.41
else,334,320,1.44
blue,333,309,1.39
window seat,332,318,1.43
might,331,308,1.39
giving,330,317,1.43
entire island,329,309,1.39
instead,329,314,1.41
course,329,320,1.44
reservation,328,299,1.34
adventures,328,280,1.26
even though,327,316,1.42
sunset,327,269,1.21
phone,326,278,1.25
colorado,325,285,1.28
longer,323,311,1.4
touch,322,312,1.4
100,321,306,1.38
travel,321,299,1.34
near,321,308,1.39
incredibly,321,306,1.38
exceptional,321,304,1.37
regret,321,314,1.41
facts,320,317,1.43
bruce ellen,320,277,1.25
rain,319,280,1.26
town,319,293,1.32
started,317,291,1.31
seemed,316,298,1.34
headphones,316,301,1.35
open,316,276,1.24
offer,315,306,1.38
home,315,295,1.33
notch,315,301,1.35
almost,315,299,1.34
looked,314,295,1.33
top notch,313,299,1.34
checked,313,305,1.37
breath taking,312,301,1.35
views spectacular,312,308,1.39
pleasant,312,299,1.34
route,311,287,1.29
beaches,311,296,1.33
low,310,287,1.29
parts,310,298,1.34
rides,309,277,1.25
15,309,283,1.27
friendly knowledgeable,309,307,1.38
guys,307,277,1.25
pointing,307,307,1.38
help,307,295,1.33
rest,307,298,1.34
best part,305,285,1.28
west,305,240,1.08
feet,303,265,1.19
others,302,286,1.29
probably,302,293,1.32
funny,302,300,1.35
expected,301,282,1.27
learned,301,293,1.32
informed,300,283,1.27
cruise ship,300,268,1.21
hard,299,287,1.29
appreciated,299,293,1.32
plenty,298,280,1.26
late,298,267,1.2
mit,298,171,0.77
paul,298,240,1.08
grand denali,298,269,1.21
terrific,297,278,1.25
folks,295,268,1.21
waiting,293,253,1.14
expectations,293,279,1.25
owner,292,278,1.25
south rim,291,232,1.04
lovely,290,268,1.21
name,290,279,1.25
landscape,289,269,1.21
keep,289,277,1.25
ein,288,172,0.77
shared,287,281,1.26
il,287,136,0.61
already,286,275,1.24
breathtaking views,286,277,1.25
absolute,286,269,1.21
westwind,285,201,0.9
yes,285,254,1.14
gift,284,257,1.16
den,284,163,0.73
van,281,222,1.0
included,281,265,1.19
hands,280,270,1.21
skies,280,269,1.21
real,279,268,1.21
headsets,279,267,1.2
thoroughly,278,276,1.24
visited,278,276,1.24
deal,278,263,1.18
shuttle,278,234,1.05
memory,278,264,1.19
reschedule,277,252,1.13
eye,276,269,1.21
soon,275,268,1.21
available,275,256,1.15
camp,275,234,1.05
sick,275,240,1.08
via,275,254,1.14
les,275,156,0.7
smooth ride,274,269,1.21
canyons,273,260,1.17
points,272,261,1.17
mt denali,272,227,1.02
canyonlands,271,202,0.91
beach,271,240,1.08
bring,271,255,1.15
show,270,256,1.15
flug,270,160,0.72
young,270,254,1.14
process,269,259,1.16
choice,268,257,1.16
mind,268,253,1.14
ray,268,176,0.79
wind,268,242,1.09
highlight alaska,267,258,1.16
pilot excellent,267,267,1.2
landed glacier,266,262,1.18
middle,266,242,1.09
class,265,241,1.08
hear,265,246,1.11
ended,264,255,1.15
info,264,254,1.14
vegas,263,193,0.87
worked,262,254,1.14
cloud,261,244,1.1
impressed,261,252,1.13
last minute,261,242,1.09
spectacular views,261,255,1.15
guy,261,246,1.11
believe,260,248,1.12
calm,260,252,1.13
best ever,260,250,1.12
friendly helpful,260,257,1.16
true,260,248,1.12
min,259,222,1.0
bumpy,259,241,1.08
explaining,258,248,1.12
large,258,244,1.1
friend,258,241,1.08
wish,257,247,1.11
per,257,195,0.88
prior,256,230,1.03
welcoming,255,254,1.14
finish,255,252,1.13
hawaiian,255,236,1.06
sightseeing,254,230,1.03
provide,253,242,1.09
coming,253,251,1.13
visibility,253,232,1.04
das,253,159,0.72
phenomenal,253,243,1.09
base camp,253,221,0.99
used,253,243,1.09
take landing,252,252,1.13
answered questions,252,251,1.13
ago,252,244,1.1
clean,252,237,1.07
gets,251,237,1.07
schedule,251,231,1.04
turbulence,250,234,1.05
50,249,231,1.04
greeted,249,240,1.08
du,248,145,0.65
golden,247,216,0.97
inspiring,246,235,1.06
much better,246,231,1.04
appreciate,245,239,1.07
gate,245,218,0.98
skilled,244,240,1.08
weight,244,203,0.91
superb,243,226,1.02
courteous,243,240,1.08
harbor,242,160,0.72
bruce pilot,242,237,1.07
paid,242,226,1.02
gives,241,234,1.05
makes,240,233,1.05
unfortunately,240,230,1.03
board,239,222,1.0
quickly,239,233,1.05
choose,239,228,1.03
driver,238,203,0.91
needed,237,230,1.03
fortunate,237,233,1.05
sat,237,220,0.99
total,237,221,0.99
las,237,165,0.74
zu,236,146,0.66
least,236,227,1.02
dock,236,186,0.84
une,236,144,0.65
mahalo,235,225,1.01
review,235,205,0.92
returned,235,221,0.99
beginning,235,232,1.04
ride smooth,235,235,1.06
fixed,235,196,0.88
sehr,235,154,0.69
des,235,173,0.78
super friendly,235,231,1.04
whole island,234,227,1.02
kaua,234,151,0.68
added,234,231,1.04
today,233,228,1.03
walking,233,226,1.02
finally,231,210,0.94
upon,231,214,0.96
bridge,231,186,0.84
set,231,226,1.02
interest,231,228,1.03
cockpit,230,200,0.9
received,230,214,0.96
brilliant,229,199,0.89
certainly,229,220,0.99
views pilot,229,225,1.01
planned,228,210,0.94
island air,228,224,1.01
friday,228,155,0.7
various,228,217,0.98
feel comfortable,228,226,1.02
ist,228,128,0.58
takeoff,227,218,0.98
anniversary,227,196,0.88
quick,227,217,0.98
pilot gave,227,226,1.02
hike,226,164,0.74
très,224,143,0.64
organized,224,219,0.98
mike,224,176,0.79
past,223,210,0.94
line,223,208,0.94
surprise,223,202,0.91
earlier,222,214,0.96
desk,222,213,0.96
decision,222,214,0.96
feeling,222,210,0.94
taquan,222,159,0.72
talking,222,218,0.98
coastline,221,210,0.94
much fun,221,208,0.94
efficient,221,214,0.96
problem,221,211,0.95
flyer,221,207,0.93
take pictures,221,209,0.94
start finish,221,218,0.98
plane pilot,220,218,0.98
golden gate,220,194,0.87
auf,220,141,0.63
12,220,203,0.91
sun,219,206,0.93
weeks,219,205,0.92
landmarks,219,212,0.95
party,218,198,0.89
cheaper,218,212,0.95
seater,217,202,0.91
road,217,196,0.88
expect,216,204,0.92
five,216,199,0.89
fixed wing,216,179,0.81
fact,216,204,0.92
welcome,215,211,0.95
pour,215,139,0.63
landings,215,201,0.9
jill,215,172,0.77
sides plane,215,215,0.97
whale,214,196,0.88
colorado river,214,191,0.86
clearly,214,206,0.93
ventures hawaii,214,179,0.81
options,214,204,0.92
incredible views,214,213,0.96
sense,214,206,0.93
behind,213,198,0.89
add,213,202,0.91
cover,213,205,0.92
trips,213,199,0.89
entertaining,213,211,0.95
con,212,107,0.48
arches,212,169,0.76
pay,212,200,0.9
spots,210,196,0.88
falls,210,198,0.89
pilote,210,178,0.8
spot,210,202,0.91
views denali,209,200,0.9
advance,209,191,0.86
originally,209,207,0.93
11,208,194,0.87
treat,208,205,0.92
sight,206,198,0.89
hat,206,142,0.64
companies,206,186,0.84
eye view,206,203,0.91
valleys,206,199,0.89
drove,206,199,0.89
moab,206,154,0.69
uns,204,117,0.53
details,204,200,0.9
se,203,148,0.67
mountains glaciers,203,197,0.89
takes,202,192,0.86
awe inspiring,202,193,0.87
case,202,195,0.88
honeymoon,202,182,0.82
idea,201,193,0.87
pre,201,186,0.84
side plane,201,184,0.83
change,201,188,0.85
leave,201,191,0.86
easily,199,191,0.86
gorge,199,158,0.71
sitting,199,185,0.83
share,198,193,0.87
pilot professional,198,198,0.89
surprised,198,196,0.88
otherwise,197,193,0.87
covered,197,188,0.85
showing,197,195,0.88
majestic,197,193,0.87
best kauai,197,185,0.83
di,196,64,0.29
number,196,180,0.81
pilot seat,196,189,0.85
overview,195,186,0.84
across,195,177,0.8
friendly professional,195,194,0.87
weather perfect,195,195,0.88
fine,194,178,0.8
email,194,179,0.81
beaver,194,177,0.8
otter,194,182,0.82
waited,193,175,0.79
una,193,112,0.5
yet,193,186,0.84
narrated,193,190,0.85
features,192,178,0.8
driving,192,182,0.82
charge,192,170,0.76
rather,191,179,0.81
star,191,170,0.76
stars,191,181,0.81
feel safe,191,191,0.86
walked,191,184,0.83
based,191,182,0.82
ocean,190,184,0.83
weather conditions,190,181,0.81
reasonable,190,187,0.84
über,190,121,0.54
fantastic pilot,190,190,0.85
friday harbor,190,120,0.54
von,189,123,0.55
knowledgeable island,189,188,0.85
circled,189,184,0.83
blast,188,185,0.83
peak,188,170,0.76
au,188,115,0.52
light,188,181,0.81
someone,188,183,0.82
understand,188,182,0.82
maui plane,188,166,0.75
magical,187,172,0.77
forest,187,171,0.77
denali national,187,173,0.78
talked,187,180,0.81
hiking,187,173,0.78
tony,187,111,0.5
immediately,187,177,0.8
nicht,186,112,0.5
pilot job,186,185,0.83
nature,186,183,0.82
communication,185,176,0.79
boarded,185,157,0.71
natural,184,178,0.8
worth price,184,180,0.81
online,184,174,0.78
anchorage,184,166,0.75
location,184,173,0.78
captain bruce,184,142,0.64
six,184,172,0.77
allow,183,180,0.81
forward,183,178,0.8
tip,183,160,0.72
every minute,183,182,0.82
closer,182,172,0.77
maybe,182,175,0.79
first class,182,168,0.76
tried,182,169,0.76
journey,182,166,0.75
stories,182,181,0.81
ahead,182,175,0.79
huge,181,177,0.8
antelope,181,127,0.57
beautiful scenery,180,176,0.79
despite,180,173,0.78
brought,180,175,0.79
within,180,173,0.78
noise,180,166,0.75
monument,180,112,0.5
friendly pilot,180,179,0.81
knowledgeable friendly,179,178,0.8
cold,179,170,0.76
say enough,179,179,0.81
pilot chris,178,175,0.79
best thing,178,166,0.75
thoroughly enjoyed,178,177,0.8
watching,178,160,0.72
site,178,166,0.75
eric pilot,178,174,0.78
planning,177,168,0.76
amount,177,174,0.78
treated,177,171,0.77
live,176,168,0.76
sedona,176,137,0.62
single,176,170,0.76
please,176,159,0.72
ready,175,171,0.77
del,175,107,0.48
briefing,175,169,0.76
jt,175,144,0.65
telling,174,172,0.77
knows,174,168,0.76
pilot nice,173,173,0.78
whether,173,167,0.75
outside,173,163,0.73
pilot bruce,173,172,0.77
seawind aviation,173,136,0.61
flew around,172,171,0.77
affordable,172,162,0.73
da,172,123,0.55
airventures,171,142,0.64
plane rides,171,151,0.68
imagine,171,169,0.76
floatplane,171,135,0.61
vol,171,118,0.53
non,170,127,0.57
flying around,170,169,0.76
heard,170,167,0.75
maintained,169,168,0.76
fly plane,169,163,0.73
excited,169,162,0.73
friendly staff,168,166,0.75
read,168,160,0.72
key,168,141,0.63
45 minute,168,161,0.72
windy,168,159,0.72
complete,168,165,0.74
smoothly,168,167,0.75
providing,168,164,0.74
friendly informative,167,166,0.75
pas,167,111,0.5
dream,167,150,0.67
arrival,167,158,0.71
ever done,167,159,0.72
knowledgeable area,167,167,0.75
antelope canyon,167,120,0.54
40,167,157,0.71
competent,166,166,0.75
opted,166,162,0.73
rock,166,158,0.71
mount,166,146,0.66
bay area,166,141,0.63
twice,166,160,0.72
alaska range,166,145,0.65
taquan air,165,126,0.57
views breathtaking,165,165,0.74
years ago,165,163,0.73
months,165,159,0.72
lady,165,152,0.68
best views,165,164,0.74
exceeded,165,163,0.73
doug,165,115,0.52
reason,165,157,0.71
either,164,160,0.72
al,164,95,0.43
onto,164,150,0.67
wear,164,148,0.67
phoenix,164,127,0.57
night,164,151,0.68
quiet,163,161,0.72
bird,163,157,0.71
lucky enough,163,159,0.72
hope,163,162,0.73
level,162,153,0.69
recently,162,160,0.72
redtail,162,119,0.54
totally worth,162,155,0.7
alcatraz,162,130,0.58
bi,161,118,0.53
boots,161,140,0.63
forever,161,157,0.71
turn,160,153,0.69
climbers,160,138,0.62
experienced pilot,159,158,0.71
different perspective,159,157,0.71
dam,159,138,0.62
considering,159,159,0.72
right side,159,129,0.58
terrain,159,152,0.68
relaxed,159,158,0.71
customers,159,146,0.66
auch,159,111,0.5
skywalk,158,105,0.47
answer,158,152,0.68
anyone visiting,158,157,0.71
quality,158,144,0.65
pilot fantastic,158,157,0.71
dropped,158,151,0.68
thrilling,157,145,0.65
background,157,156,0.7
able land,157,146,0.66
si,157,117,0.53
engine,157,149,0.67
headset,156,150,0.67
important,156,152,0.68
ok,156,143,0.64
hesitate,156,154,0.69
perfectly,156,150,0.67
extremely knowledgeable,156,155,0.7
port,156,139,0.63
70,156,153,0.69
together,156,146,0.66
para,156,81,0.36
package,155,136,0.61
concerned,155,151,0.68
staff pilot,155,153,0.69
pleasure,155,150,0.67
bi plane,154,112,0.5
heartbeat,154,154,0.69
pilot eric,154,153,0.69
interested,154,146,0.66
afraid,154,144,0.65
compared,154,149,0.67
45 minutes,153,150,0.67
running,153,140,0.63
kauai pilot,153,153,0.69
winds,153,142,0.64
000,153,136,0.61
für,153,101,0.45
smooth pilot,152,152,0.68
pricey,152,148,0.67
trying,152,146,0.66
vistas,152,136,0.61
rate,152,146,0.66
patient,152,146,0.66
island pilot,152,151,0.68
lodge,152,126,0.57
pilot josh,152,151,0.68
ice,152,142,0.64
avec,152,112,0.5
nos,151,80,0.36
loved every,151,150,0.67
fjord,151,119,0.54
mother,151,139,0.63
views incredible,151,151,0.68
avons,151,93,0.42
size,150,143,0.64
00,150,128,0.58
limited,150,139,0.63
future,150,146,0.66
take photos,150,144,0.65
rivers,150,142,0.64
host,150,148,0.67
pics,149,127,0.57
worried,149,146,0.66
landing smooth,149,149,0.67
must kauai,149,146,0.66
fantastic views,149,145,0.65
engaging,149,145,0.65
25,149,146,0.66
using,149,149,0.67
geology,149,149,0.67
flexible,148,139,0.63
thrill,148,142,0.64
miles,148,137,0.62
haben,148,107,0.48
view island,148,139,0.63
room,148,143,0.64
row,147,114,0.51
de la,147,109,0.49
narrative,147,145,0.65
liked,147,145,0.65
fully,147,140,0.63
terminal,147,130,0.58
envi,146,110,0.49
pass,146,130,0.58
mins,146,129,0.58
lesley,146,96,0.43
rainy,146,136,0.61
landing ruth,146,141,0.63
nous avons,145,93,0.42
muy,145,88,0.4
lived,145,141,0.63
children,145,137,0.62
prepared,145,142,0.64
scared,145,138,0.62
smoother,145,144,0.65
july,144,132,0.59
seated,144,134,0.6
thinking,144,141,0.63
erlebnis,144,114,0.51
wildlife,144,130,0.58
guides,144,135,0.61
seattle,144,109,0.49
previous,143,135,0.61
checking,143,141,0.63
ellen bruce,143,130,0.58
30 minutes,143,135,0.61
views island,143,141,0.63
hand,143,137,0.62
tips,142,138,0.62
issue,142,127,0.57
impressive,142,140,0.63
cancel,142,131,0.59
circle,142,135,0.61
sf,142,117,0.53
meet,142,137,0.62
las vegas,142,115,0.52
professional friendly,142,142,0.64
por,142,67,0.3
opportunities,142,141,0.63
eine,142,94,0.42
thank much,142,142,0.64
oh,142,136,0.61
everyone window,141,139,0.63
stunning views,141,138,0.62
instructor,141,123,0.55
drop,141,133,0.6
los,141,79,0.36
difference,141,135,0.61
knowledgeable pilot,141,140,0.63
able fly,141,140,0.63
june,141,136,0.61
bonus,141,141,0.63
suggest,140,136,0.61
blessed,140,134,0.6
airlines,140,121,0.54
dave,140,106,0.48
handled,140,137,0.62
cleared,140,136,0.61
shore,140,120,0.54
view denali,140,137,0.62
een,140,49,0.22
needs,140,134,0.6
personalized,140,126,0.57
mom,140,105,0.47
discount,140,127,0.57
wants,140,139,0.63
smaller,140,134,0.6
val,139,113,0.51
wrong,139,134,0.6
videos,139,135,0.61
seating,139,122,0.55
air kauai,139,136,0.61
even better,139,132,0.59
red,138,119,0.54
josh pilot,138,138,0.62
tripadvisor,138,125,0.56
note,138,134,0.6
rundflug,138,93,0.42
able take,138,135,0.61
knowledge island,138,138,0.62
activities,138,135,0.61
birds,138,135,0.61
lower,138,130,0.58
answering,137,136,0.61
champagne,137,121,0.54
control,137,135,0.61
close personal,137,136,0.61
stuff,137,134,0.6
worth cost,137,136,0.61
date,136,120,0.54
well maintained,136,136,0.61
reservations,136,135,0.61
