word,chinese_translation,affect_type,frequency,review_count,example_context
greater,更宏大震撼的,E2_Appraisal (Stimulus/Service Attribute),5,5,"review_d0b50a89028b16af69ba8a3e :: The greater bay area Seaplane tour enables its passengers to get a spectacular view from the air, to see the scale and beauty of San Francisco. My family members and I thoroughly e..."
inspired,灵感大发 / 深受震撼的,E1_State (Direct Internal Affective State),5,5,review_7e1965ab9e7219480bcfc869 :: My cousin and I flew to a remote lake with K2’s Beaver on floats. The weather wasn’t great at our scheduled departure time so we delayed our trip. Jen was very friendly in making s...
intrusive,突兀扰人的 / 煞风景的,E2_Appraisal (Stimulus/Service Attribute),5,5,"review_3c17998e1f55e06446f35026 :: First off let me say that taking an air tour in a small airplane is much better than doing it in a helicopter. It's quieter, smoother and much less intrusive to the spirit of Mana...."
moving,令人动容感人的,E2_Appraisal (Stimulus/Service Attribute),5,4,"review_3c3c26b554a263c0b5b10b29 :: All I can say is Wow!!!!  I was amazed when I viewed the canyon from the South Rim, but I was blown away from what I saw on this tour.   The majesty of the canyon is brought to the..."
remarkable,卓越令人瞩目的,E2_Appraisal (Stimulus/Service Attribute),5,5,review_e7d041cefffecba964ada226 :: Thank you to all those at Talkeetna Air Taxi! I had a remarkable time. I felt very safe. I was co pilot in the landing on Mt. McKinley when we went. Great energy from the pilot. Fr...
touched,深受感动的,E1_State (Direct Internal Affective State),5,5,review_53e4e7ec9c8062674e06d0dc :: My wife and I went on this trip with a touchdown in the rain forest. It was spectacular. Jake was our pilot and he was awesome. We had confidence in his abilities and he put our mi...
charming,迷人讨喜的,E2_Appraisal (Stimulus/Service Attribute),4,4,"review_2437be8aa60056f18e560577 :: Our flight over Kaua'i with our charming, skillful pilot was the best experience of our island vacation. She gave a most interesting and helpful account of what we could see below,..."
sad,悲伤的 / 遗憾痛心的,E1_State (Direct Internal Affective State),4,4,review_641866daade55fe429557808 :: Unfortunately Denali was socked in with weather. Also the glaciers had degraded to the point of no landings. We were very sad. K2 offered us an option to Knik. It was UNBELIEVABLE!...
splurge,挥霍犒赏自己（特别体验）,E1_State (Direct Internal Affective State),4,4,"review_eda1a4bce0aac45015172f03 :: We heard so much about how beautiful Kauai was, but after driving around the entire island, we weren't that impressed. Mind you, we had just seen all the major sights of Maui, so w..."
stuck,卡住被困的（焦虑）,E1_State (Direct Internal Affective State),4,4,"review_6df5ede0e4f38741f16273cc :: A fantastic flyover of the island.  A beautiful land with mountains, waterfalls, plantations, golf courses and the Napali Coast.  JT, the pilot was excellent and provided insight t..."
suffer,遭受痛苦/晕机,E1_State (Direct Internal Affective State),4,4,review_5b5f5f21f1453f7f0c8229bf :: We did Wings Over Kauai on our first day on the island.  Bruce was an excellent pilot and shared lots of interesting information about Kauai.  The clouds passing over allowing the ...
thoughtful,贴心周到的,E2_Appraisal (Stimulus/Service Attribute),4,4,review_afe3c66ee7b7c941929e9cfa :: In June 2010 4 of us took the Grand Denali Tour.  Booking this tour on our own separate from the cruise line was a bit tricky but saved us a great deal.  Elaine from K2 was most pl...
unsafe,感觉不安全的 / 担惊受怕的,E2_Appraisal (Stimulus/Service Attribute),4,4,review_9fa767c0524e34fd96ef3ff4 :: Not a typical I loved it review. But I was very impressed with K2 and the way they run their business. We were booked for a glacier landing tour today but unfortunately the weather...
witty,风趣幽默的,E2_Appraisal (Stimulus/Service Attribute),4,4,"review_85b8dedf61096ea65b0cf853 :: We took our six children on this flight, and Dan was not just a good pilot. He was knowledgeable, had a witty personality, and educated us a lot about the landscapes, logging, and ..."
wonderfully,极其出色绝妙地,E2_Appraisal (Stimulus/Service Attribute),4,4,"review_4a7f3da7f6659561289690b5 :: Although we had to re-schedule our original reservation because of constant rainfall after having driven an hour to the destination, we were accommodated with a different date and ..."
adventurous,充满冒险刺激感的,E1_E2_Polysemous (State & Appraisal),3,3,review_433ee9cdb612a1be49d51792 :: Wow! A must do when you are even near the Miami area. I moved to Miami in 1984 and I now live about 90 miles north of Miami. This is a must do and do yourself a favor and take the ...
anxious,焦虑不安的 / 挂虑的,E1_State (Direct Internal Affective State),3,3,"review_74168f066a91714dc278f85e :: Amazing views of Denali- we were fortunate to have a clear day. Leighan, our pilot, was amazing. The flight was smooth, landing on the glacier was awe-inspiring, and her commentary..."
astonishing,令人惊叹的,E2_Appraisal (Stimulus/Service Attribute),3,3,"review_7bbe5f17c5ccf78fd605ad3d :: From the front reception area to preparing for take off to our amazing pilot from the Arctic, this tour was astonishing. We were blessed with a beautiful sunny day with big white p..."
cherish,珍视 / 珍惜铭记,E1_State (Direct Internal Affective State),3,3,"review_20bafb242eb918bb14d9309d :: We really enjoyed our tour! Staff were very friendly and our pilot, Doug, provided us with a safe, interesting and enjoyable flight. We would definitely recommend Wings Over Kauai...."
discomfort,身体/心理不适感,E1_State (Direct Internal Affective State),3,3,review_b3611bb117be728e25d5ddec :: We had booked the 11 am tour online even before we reached Kauai. We called ahead and the person who answered told us we could come by 10:45 am or so. We reached round about then o...
safest,最安全平稳的,E2_Appraisal (Stimulus/Service Attribute),3,3,"review_fe566c581798d89f19f642e5 :: My husband and I were rained or otherwise ""bad-weathered"" out of every adventure we planned on Kauai.  Couldn't hike Kalalau due to the river crossing being flooded. 
Couldn't kaya..."
sensational,绝佳轰动震撼的,E2_Appraisal (Stimulus/Service Attribute),3,3,"review_69b44dac34b50350cfb373aa :: Steve, our pilot was sensational.   We were greeted by name, promptness, and courtesy.  They took our bags and explained the flight procedure.   Steve pointed out areas of interest..."
superbly,出类拔萃完美地,E2_Appraisal (Stimulus/Service Attribute),3,3,"review_bcedc98e43ad7edec05befa8 :: There isn't much to say here, except the experience was fantastic. Seeing the landscape from the air was breathtaking, and landing and taking off from the glacier was a hoot. Our p..."
worthy,非常值的 / 值得的,E2_Appraisal (Stimulus/Service Attribute),3,3,"review_d38fb233c92c34b779e4871c :: Wow - what an experience! I had the opportunity to take two separate flights - one in their Cessna and one in their incredible cherry red biplane (the only one on the island). 

On..."
amusing,风趣风趣令人发笑的,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_c953e7d03bf994fca6d74d5d :: A helicopter trip is the best way to really appreciate the scale of the Grand Canyon and Maverick are a very professional outfit. Our pilot, Mike, was friendly, amusing, knowledgab..."
apologetic,诚恳抱歉致歉的,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_8bf531e554f4eb9eb061f4ee :: We booked a Denali flight, and when we arrived in Talkeetna by Alaska Rail from Anchorage, the weather was so bad that they canceled it.  They were very professional and apologetic..."
astounding,令人无比震撼惊叹的,E2_Appraisal (Stimulus/Service Attribute),2,2,review_bfd57d15a7e6de7e1824ebd8 :: The wife and I would rate this experience was one of our all time bests. Air Ventures is very professional and appreciative and treats everyone like royalty. We did a helicopter to...
awestruck,充满敬畏震撼的,E1_State (Direct Internal Affective State),2,2,"review_f85c9d7aa58920de9855549a :: Our entire experience was fabulous!  From Austin, our shuttle driver who took great care of us and our backpacks to and from their site (and had us laughing with his jokes), to our..."
bummed,感到扫兴遗憾失落的,E1_State (Direct Internal Affective State),2,2,review_9fa767c0524e34fd96ef3ff4 :: Not a typical I loved it review. But I was very impressed with K2 and the way they run their business. We were booked for a glacier landing tour today but unfortunately the weather...
bummer,令人扫兴扫兴的事,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_f5388b1e976e59c78115bdce :: We came for a flight seeing tour of Denali but due to weather weren’t able to fly that day. I wish I had known to check my email on the morning of the trip, it would have saved me ..."
calmed,心情平静安稳下来的,E1_State (Direct Internal Affective State),2,2,review_63c95c18f52ebddff67df7b4 :: We had a wonderful experience flying with Chuck when we were in Ketchikan. He calmed our nerves and we could tell he was very experienced. His plane was absolutely perfect. He gave...
captivated,被深深吸引着迷的,E1_State (Direct Internal Affective State),2,2,"review_53fcd6e518ab4f8fb6d54d7d :: Unforgettable!  Views stunning, excellent pilot. We were captivated by all of it...views of Denali and surrounding mountains, glaciers, moose, sheep, trumpet swans. Landing on glac..."
cordial,热情亲切礼貌的,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_a6425ff1171e21e3392aa88c :: The personnel at Air Ventures cordial, helpful and polite.  I would recommend their services to anyone wanting to get a great aerial view of the Island of Kawaii.

Our pilot, rob, ..."
curiosity,好奇心 / 探索欲,E1_State (Direct Internal Affective State),2,2,"review_49cf9647abacf6af128bd5f4 :: Everything about Talkeetna Air Taxi oozes experience and professionalism.  From the initial decision process on which flight to take, to the actual flight itself, I could not have ..."
discouraged,感到灰心气馁的,E1_State (Direct Internal Affective State),2,2,review_8fc23fecb45ba0ee94242f62 :: We are a family with 4 children ages 12 to 19 and spent a week on Kauai.  We really wanted to do an air tour with our kids but the cost of a helicopter flight would have been well ...
dizziness,头晕目眩不适,E1_State (Direct Internal Affective State),2,2,"review_1639755de3ddcfd10c619c0b :: We originally scheduled the flight in Talkeetna. But due to the weather, our flight got cancelled. The people in the office were very patient and tried to help us to re-schedule. T..."
exhausted,精疲力竭极为疲惫的,E1_State (Direct Internal Affective State),2,2,"review_1fe7b796395cf2ecac91e147 :: Our family of 4 booked this trip due to limited time during our vacation to see the Grand Canyon.  I thought it would the perfect solution and sounded like fun.  I have two girls, ..."
faultless,无可挑剔完美的,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_77341391cb13d175af149c1d :: My wife is not a good flyer, even on a 767, let alone a little Cessna or the like. There was no way I could get her on a helicopter tour, so the doors off experience wasn't going t..."
glowing,极度赞赏口碑极佳的,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_b5268b40d3aafe7496fcb498 :: If you are visiting the Grand Canyon, the only way to take in it's full majesty is to do it by Helicopter. Maverick Helicopter were fantastic. You must take a flight with them, wel..."
happiness,幸福快乐感,E1_State (Direct Internal Affective State),2,2,review_c8c04aed9cd305332764808f :: I encouraged my husband to take the biplane flight/tour. I had no intention of going. My husband and the pilot Mark encouraged me to go along. The front seat holds two. I decided t...
horrible,极度糟糕可怕的,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_ebb70b11c29e696fbd1d4b9d :: Both K2 and Talkeetna Air Taxi (TAT) get my highest recommendation. Follow along with the bouncing ball, kids, as our tale unfolds:

Pre-booked directly with TAT about a month befo..."
hospitable,殷勤好客的,E2_Appraisal (Stimulus/Service Attribute),2,2,review_1a8c661361e1a55ed4a0ed52 :: The service provided by the Wings Over Kauai tours was very well done.  Ellen was very hospitable while waiting for our scheduled flight.  Capt. Josh has a very clear passion for a...
joyful,充满喜悦欢快的,E1_State (Direct Internal Affective State),2,2,"review_27ee31e44dec37dd44a492ba :: Eric, the pilot, is a amazing guy doing a great job! He said we are sharing his dream, actually he was making my dream come true by letting my little girl driving a little bit! Sou..."
peacefully,宁静和平地,E2_Appraisal (Stimulus/Service Attribute),2,2,review_09687f3c5332ab59381de30a :: It was perfect and we would go again with this same company. A small fixed wing plane seating a pilot and 2 riders. Things to keep in mind if you pick this small plane-If you are v...
precious,弥足珍贵的 memory,E2_Appraisal (Stimulus/Service Attribute),2,2,review_02d9b6799d194eb3a407125d :: Just got back from Kauai - went on a 1 hour airplane tour over Kauai - very nice experience over the island of Kauai - pilot tells you the sites that you are going over; at the end...
raving,赞不绝口极力推荐的,E2_Appraisal (Stimulus/Service Attribute),2,2,review_1758d760d6f52438c4d85cce :: Bruce the pilot was great with our 2 nervous flyers.  He gave a great talk while we were flying and patiently answered any/all questions.  All of us were raving about the tour long...
refreshing,令人神清气爽耳目一新的,E2_Appraisal (Stimulus/Service Attribute),2,2,review_8343a9e5e6828bbdfdd832af :: We are 'local' (Anchorage) and had scheduled a trip on Saturday. Friday's trip to Talkeetna was beautiful....Denali visible from our home all the way to Talkeetna. Sarah worked wit...
romantic,浪漫惬意的,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_ec2216c5191fd0c8ebfb9e1d :: amazing experience thanks a lot.
highly recommended 
max was amazing 
very romantic 
the view was perfect..."
ruined,毁掉行程的 / 扫兴糟心的,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_2d3f2a00e6ef98ca5161d902 :: The pilots are excellent, friendly, knowledgeable, and skilled. 

But, don’t get your weight estimate wrong or Keith at the front desk will talk down to you as if you lied on purpo..."
satisfying,令人称心满意的,E2_Appraisal (Stimulus/Service Attribute),2,2,review_10fbd937c93c8e5b1ea0bd58 :: I traveled to Alaska for my 50th birthday and my experience with K2 sits on the top of my list and we did ALOT. We flew around Denali Mtn. on the 2 hour glacier landing trip. I lov...
scare,吓人 / 引发恐慌的,E2_Appraisal (Stimulus/Service Attribute),2,2,review_5d94a7bb9a8a4324e9b57891 :: We chose the South face Tour with Glacier Landing. The check in was fast and easy. The staff was super nice. You have to weigh yourself and your belongings and they determine how t...
seamless,流畅无缝无摩擦的,E2_Appraisal (Stimulus/Service Attribute),2,2,review_0f34dc86f2887a73f98dad09 :: We were 2 couples traveling on the Pride of America. Pilot Marcus took us on a spectacular flight over Kauai. It was a highlight of our cruise. His commentary was very interesting ...
seasick,晕船 / 晕眩恶心的,E1_State (Direct Internal Affective State),2,2,"review_b4defed8dabe04d3de367e4c :: Awesome service. Our pilot, Bruce, made a point to keep track of all our names and interacted with each of us by name throughout the flight. A very nice touch. We actually flew thr..."
unstable,不稳定摇晃令人担心的,E2_Appraisal (Stimulus/Service Attribute),2,2,review_905ea7ae4640bfc3d91b8080 :: This trip around Mt Denali was breath taking and our pilot was awsome on knowledge and making sure we all had great views for pictures. The sky around the mountain was clear but th...
vibrant,生机勃勃色彩斑斓的,E2_Appraisal (Stimulus/Service Attribute),2,2,"review_bcf320da42532060b35e73fc :: Absolutely incredible experience flying over the stunning landscapes of Kauai! From breathtaking views of the Na Pali Coast to the vibrant greenery of Waimea Canyon, every moment o..."
bothering,打扰令人烦心的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_4527b031d210aa6a5f73a0b7 :: There are 2 companies side by side that offer this, we went with Air Adventures do to availability (the other co I found first but they were booked .. this co was rated exactly the..."
calmer,更平静安心的,E1_State (Direct Internal Affective State),1,1,"review_86bd6193f824d794bcf2deb5 :: When you pick an aerial solution to fly over Kauai, you have basically two choices - helicopters or fixed wing aircraft.

Air ventures represents the best solution on Kauai for the..."
carefree,无忧无虑自在的,E1_State (Direct Internal Affective State),1,1,"review_e79cf3a7f8937f62d92afb5c :: A full day adventure visiting the west side of the Grand Canyon. Ryan, our pilot and guide, was very knowledgeable and super nice. Seeing a part of Arizona from above was interesti..."
cheerfully,欢快愉悦地,E1_State (Direct Internal Affective State),1,1,"review_0eb891565b48a8217c71c654 :: K-2 Aviation is the best.   They are friendly and fun, while being professional at the same time.  Making a reservation was easy, and I called back a couple of times to confirm, si..."
classy,高端优雅的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_666e1f42eced3751f3747622 :: 5STARS ALL THE WAY: once in a lifetime moment! OK but so this is really a response to another  4 star review that honestly I had a problem with reading because everyone is such a c...
claustrophobic,感到幽闭恐惧压抑的,E1_State (Direct Internal Affective State),1,1,review_aa13884aeefdbbcacd63a44a :: We were scheduled to do a different tour and ended up not being able to do it.  (Due to bad knees).  We came across a brochure for Wings Over Kauai Air Tours.  We decided to try it...
clever,聪明睿智的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_bb3a9cb8ec67e136fcaefc32 :: Had a great time! Cool vintage plane! Perfect amount of time and narration. Oren was a clever guide. Highly recommend. Our teenager loved it....
curious,好奇求知的,E1_State (Direct Internal Affective State),1,1,review_5d9eea119504a77b7f64c33f :: So the BF and I were debating whether to view the Na Pali Coast by water or air.  I made the executive decision to do both.  We did the cheaper sunset cruise with Captain Andy's th...
desperate,感到绝望迫切的,E1_State (Direct Internal Affective State),1,1,review_93002c7973ba2bb5ce9edb94 :: My husband and I were desperate to take a flight over Kauai but were concerned we wouldn't be able to because of our children being so young (3yrs and 1yr). We stumbled across Wing...
embarrassed,感到尴尬难堪的,E1_State (Direct Internal Affective State),1,1,review_46ddfd4445283a6a81911504 :: Booked the Grand Canyon Discovery Tour and very unimpressed with how short the flight time was (less than ten minutes total) with a short photo op stop on a ridge in the canyon.  O...
enthralled,被深深吸引迷住的,E1_State (Direct Internal Affective State),1,1,"review_eb0c2bb6de3d5ffa9eac3e15 :: We took the around Denali flight over an hour on a beautiful day. Perfect weather ,great pilot ""Nick"". When we got there there were some questions as to if we should take this more..."
enthusiastically,热情高涨地,E1_State (Direct Internal Affective State),1,1,review_8294fe79e0415f552542ed94 :: The flight was enjoyable but not earth shattering like promoted! Pilot Patrick was doing a job not actively enthusiastically participating so I’d rate that part as average. Without...
exhilaration,极度兴奋快感,E1_State (Direct Internal Affective State),1,1,review_23bc28108b7fc9fb77931ab6 :: From the shuttle driver the book..In procedure to the professionalism of the pilot and the beautiful scenery and the exhilaration of landing on the glacier this is a must do tour...
frightening,令人惊恐吓人的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_ad4c129d7431549c0c82f1a8 :: Three of us signed up for the plane ride about a month in advance. There were really high winds that day (40 mph+), but the company didn't cancel so we went for the ride. 15 minute..."
hilarious,爆笑幽默搞笑的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_af9c2e4c708b6ef1ddffbdef :: We booked this as part of a Viator package to see Alcatraz and it completely blew us away.  We were a party of 4 - two adults, a ten year old and a 4 year old.  Despite a total fea..."
intimidating,令人胆怯令人畏惧的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_366a0217246d209bb9329b77 :: How do you describe something that takes your words away and leaves you speechless?  This was meant to be a Floatplane and Alaskan Bear excursion.  We definitely saw the floatplane...
inviting,引人入胜令人愉悦的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_39496617c0521efe63e69b0a :: Our trip was a blast! The Pilot was knowledgeable about the area and made the whole experience fun! The flight was smooth and the scenes were beautiful! The office gals were friend...
irritated,感到恼火烦躁的,E1_State (Direct Internal Affective State),1,1,review_b226b58865dcbe2109b81484 :: We recently took a flight seeing trip to Misty Fjords with Taquan Air.  We chose this company because of the B1G1 free coupon offered in the Toursaver coupon book.  I really didn't...
jealous,令人羡慕嫉妒的,E1_State (Direct Internal Affective State),1,1,review_21f52836b887ea5e81a636ac :: Everyone that does the open door helicopter tour will tell you to DO IT. I am telling you try something different and do the BIPLANE. It was fantastic. The tour lasted longer than ...
jovial,欢快风趣的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_e5850680238945a96a3caa96 :: This flightseeing tour with subsequent glacier landing was one of the coolest things I have ever done in my life, and one of the few activities where the views and experience is wo..."
marvelously,奇妙极其出色地,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_8b9e0dc5c5d87b98d2a06acb :: Great professionalism and unsurpassed scenery.  Pay the extra fee for the glacier landing. I grew up in Alaska and have visited Denali Park at least 30 times. Nevertheless, I'd nev..."
nauseated,感到恶心反胃不适的,E1_State (Direct Internal Affective State),1,1,"review_ad4c129d7431549c0c82f1a8 :: Three of us signed up for the plane ride about a month in advance. There were really high winds that day (40 mph+), but the company didn't cancel so we went for the ride. 15 minute..."
nervousness,紧张不安的情绪,E1_State (Direct Internal Affective State),1,1,review_ff282b470223120e69c6a4b8 :: This flightseeing trip was the pinnacle of 2 weeks of amazing experiences.  Words and pictures fail to convey what a flight around McKinley is like. I thought that upon landing my ...
overwhelmed,被震撼/感动深深淹没的,E1_State (Direct Internal Affective State),1,1,review_b0feded8c30b74f0a67e42f9 :: We absolutely loved our sunset trip. I was overwhelmed with how much the lady was willing to help me set up our trip. I had lots of scheduling issues and they saved the day!...
overwhelmingly,压倒性震撼地,E2_Appraisal (Stimulus/Service Attribute),1,1,review_b5b0e8c69a1888eb640268f9 :: The folks at Talkeetna Air Taxi made our entire experience very enjoyable.  The weather had been overcast for days prior to our flight and the staff was very patient and understand...
pumped,兴奋激动的 / 跃跃欲试,E1_State (Direct Internal Affective State),1,1,review_ed11136814c2ac8d48de6594 :: My husband and I were so pumped with our private Cessna adventure with Kevin as our pilot!  The flight was beautiful and informative and a super value - probably our favorite excur...
quaint,古朴宜人的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_6b17f5b0218c6e596e18af08 :: Took a noon flight to Friday harbor. Great flight great views!!  Smooth ride.  Friday harbor was lovely.  Quaint shops and restaurants. Took an afternoon flight back.  Also great f...
quell,镇定 / 平息（恐惧）,E1_State (Direct Internal Affective State),1,1,"review_f5388b1e976e59c78115bdce :: We came for a flight seeing tour of Denali but due to weather weren’t able to fly that day. I wish I had known to check my email on the morning of the trip, it would have saved me ..."
regrettably,遗憾地 / 抱歉,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_aa76425694a5e2a07140dc28 :: We were scheduled to fly over Denali, but weather did not cooperate and pilots had to regrettably cancel flights.  The folks at K2 were very apologetic and understood our disappoin..."
relieved,宽慰的 / 松了一口气,E1_State (Direct Internal Affective State),1,1,"review_0fd62b59dfddedcc4ce37b1b :: We arrived in good time and after  paying and being weighed for the correct distribution within the helicopter, we sat and waited for the 3 other passengers. The area you sit and w..."
rewarding,非常有成就感/物超所值的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_20a5d0a4abc1952fcfbb43d0 :: Had a flight seeing tour with K2. We couldn't do the glacier landing due to weather conditions but nevermind, we still very much enjoyed that our. We saw dramatic landscape, glacie..."
