word,canonical_lemma,chinese_translation,our_emotion_category,affect_type,frequency_21215,in_nrc_lexicon,nrc_8_emotions,nrc_polarities,nrc_raw_list
surprise,surprise,惊喜 / 意料之外的喜悦,Unclassified,E1_State (Direct Internal Affective State),195,True,"fear, joy, surprise",positive,"['fear', 'joy', 'positive', 'surprise']"
fine,fine,良好的 / 优秀的,Unclassified,E1_E2_Candidate,190,False,Unmapped in NRC,Unmapped in NRC,[]
brilliant,brilliant,璀璨的 / 出色的,Unclassified,E1_E2_Candidate,184,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
forward,forward,期待（look forward）,Unclassified,E1_E2_Candidate,183,True,Unmapped in NRC,positive,['positive']
reasonable,reasonable,合理的 / 公道的,Unclassified,E1_E2_Candidate,179,False,Unmapped in NRC,Unmapped in NRC,[]
ready,ready,准备就绪的 / 心安的,Unclassified,E1_E2_Candidate,171,True,anticipation,Unmapped in NRC,['anticipation']
excited,excited,兴奋的 / 激动的,Unclassified,E1_State (Direct Internal Affective State),167,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
majestic,majestic,雄伟的 / 壮丽的,Unclassified,E1_E2_Candidate,165,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
competent,competent,称职的 / 有能力的,Unclassified,E1_E2_Candidate,163,True,trust,positive,"['positive', 'trust']"
quiet,quiet,宁静的 / 幽雅安静的,Unclassified,E1_E2_Candidate,161,True,sadness,positive,"['positive', 'sadness']"
hope,hope,希望 / 期盼,Hope,E1_State (Direct Internal Affective State),159,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
relaxed,relaxed,放松的 / 从容的,Unclassified,E1_State (Direct Internal Affective State),159,False,Unmapped in NRC,Unmapped in NRC,[]
concerned,concern,感到担心的,Worry / Concern,E1_State (Direct Internal Affective State),155,True,"fear, sadness",Unmapped in NRC,"['fear', 'sadness']"
perfectly,perfectly,完美地 / 无可挑剔地,Unclassified,E1_E2_Candidate,155,False,Unmapped in NRC,Unmapped in NRC,[]
interested,interested,感兴趣的 / 充满好奇的,Unclassified,E1_E2_Candidate,153,True,"disgust, sadness",positive,"['disgust', 'positive', 'sadness']"
pleasure,pleasure,乐趣 / 愉悦,Unclassified,E1_E2_Candidate,153,False,Unmapped in NRC,Unmapped in NRC,[]
magical,magical,神奇的 / 魔幻般的,Unclassified,E1_E2_Candidate,152,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
afraid,afraid,害怕的 / 恐惧的,Unclassified,E1_State (Direct Internal Affective State),150,True,fear,negative,"['fear', 'negative']"
worried,worried,感到担心的,Unclassified,E1_State (Direct Internal Affective State),149,True,sadness,negative,"['negative', 'sadness']"
scared,scared,感到恐惧害怕的,Fear,E1_State (Direct Internal Affective State),144,False,Unmapped in NRC,Unmapped in NRC,[]
fully,fully,完全地 / 充分地,Unclassified,E1_E2_Candidate,143,True,trust,positive,"['positive', 'trust']"
smoother,smoother,更平稳的 / 更顺畅的,Unclassified,E1_E2_Candidate,143,False,Unmapped in NRC,Unmapped in NRC,[]
wrong,wrong,出差错的 / 错误的（负面体验）,Unclassified,E1_E2_Candidate,137,True,Unmapped in NRC,negative,['negative']
cheap,cheap,便宜的 / 廉价的,Unclassified,E1_E2_Candidate,134,True,Unmapped in NRC,negative,['negative']
blessed,blessed,感到有福的 / 幸运的,Unclassified,E1_State (Direct Internal Affective State),133,True,joy,positive,"['joy', 'positive']"
pleased,pleased,感到满意的,Unclassified,E1_E2_Candidate,132,True,joy,positive,"['joy', 'positive']"
safely,safely,安全平稳地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),132,False,Unmapped in NRC,Unmapped in NRC,[]
exactly,exactly,精准地 / 正是,Unclassified,E1_E2_Candidate,130,False,Unmapped in NRC,Unmapped in NRC,[]
impressive,impressive,令人印象深刻的,Unclassified,E1_E2_Candidate,130,False,Unmapped in NRC,Unmapped in NRC,[]
thrill,thrill,刺激 / 震慑感,Unclassified,E1_E2_Candidate,129,True,"anticipation, fear, joy, surprise",positive,"['anticipation', 'fear', 'joy', 'positive', 'surprise']"
thrilling,thrilling,令人惊险刺激酣畅的,Excitement / Thrill,E2_Appraisal (Stimulus/Service Attribute),126,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
humor,humor,幽默感,Unclassified,E1_E2_Candidate,125,False,Unmapped in NRC,Unmapped in NRC,[]
dream,dream,梦寐以求的,Unclassified,E1_E2_Candidate,124,False,Unmapped in NRC,Unmapped in NRC,[]
sorry,sorry,感到抱歉遗憾的,Pity / Regret,E1_State (Direct Internal Affective State),123,False,Unmapped in NRC,Unmapped in NRC,[]
relaxing,relaxing,令人放松惬意的,Relaxation / Calmness,E2_Appraisal (Stimulus/Service Attribute),122,False,Unmapped in NRC,Unmapped in NRC,[]
comfort,comfort,舒适 / 宽慰安心,Unclassified,E1_E2_Candidate,121,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
disappoint,disappoint,使失望,Disappointment,E1_State (Direct Internal Affective State),121,True,"anger, disgust, sadness",negative,"['anger', 'disgust', 'negative', 'sadness']"
wonder,wonder,惊奇 / 赞叹,Amazement / Wonder,E2_Appraisal (Stimulus/Service Attribute),121,False,Unmapped in NRC,Unmapped in NRC,[]
amazed,amazed,感到吃惊惊叹的,Amazement,E1_State (Direct Internal Affective State),120,False,Unmapped in NRC,Unmapped in NRC,[]
fear,fear,恐惧 / 害怕,Fear,E1_State (Direct Internal Affective State),120,True,"anger, fear",negative,"['anger', 'fear', 'negative']"
unable,unable,无法的 / 无能为力的,Unclassified,E1_E2_Candidate,114,True,sadness,negative,"['negative', 'sadness']"
thrilled,thrilled,极度兴奋的,Unclassified,E1_State (Direct Internal Affective State),113,False,Unmapped in NRC,Unmapped in NRC,[]
confidence,confidence,信心 / 确信,Unclassified,E1_E2_Candidate,112,True,"fear, joy, trust",positive,"['fear', 'joy', 'positive', 'trust']"
difficult,difficult,困难的 / 令人头疼的,Unclassified,E1_E2_Candidate,112,True,fear,Unmapped in NRC,['fear']
expert,expert,专家级的 / 娴熟的,Unclassified,E1_E2_Candidate,112,True,trust,positive,"['positive', 'trust']"
honestly,honestly,老实说 / 真诚地,Unclassified,E1_E2_Candidate,111,False,Unmapped in NRC,Unmapped in NRC,[]
confident,confident,自信的 / 确信的,Unclassified,E1_E2_Candidate,109,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
willing,willing,乐意的 / 愿意的,Unclassified,E1_E2_Candidate,108,False,Unmapped in NRC,Unmapped in NRC,[]
worry,worry,担心 / 忧虑感,Anxiety / Worry,E1_State (Direct Internal Affective State),106,True,"anticipation, fear, sadness",negative,"['anticipation', 'fear', 'negative', 'sadness']"
smoothest,smoothest,最平稳的,Unclassified,E1_E2_Candidate,105,False,Unmapped in NRC,Unmapped in NRC,[]
positive,positive,积极正面的,Unclassified,E1_E2_Candidate,101,False,Unmapped in NRC,Unmapped in NRC,[]
surreal,surreal,超现实的 / 梦幻般的,Unclassified,E1_E2_Candidate,98,False,Unmapped in NRC,Unmapped in NRC,[]
reassuring,reassuring,令人安心放心的,Relief / Reassurance,E2_Appraisal (Stimulus/Service Attribute),97,False,Unmapped in NRC,Unmapped in NRC,[]
sweet,sweet,甜蜜的 / 甜美的,Unclassified,E1_E2_Candidate,97,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
concern,concern,担忧 / 关切（焦虑感）,Unclassified,E1_E2_Candidate,96,False,Unmapped in NRC,Unmapped in NRC,[]
luckily,luckily,幸运地 / 幸亏,Unclassified,E1_E2_Candidate,96,False,Unmapped in NRC,Unmapped in NRC,[]
poor,poor,贫乏的 / 差劲的,Unclassified,E1_E2_Candidate,95,False,Unmapped in NRC,Unmapped in NRC,[]
scary,scary,令人害怕的 / 吓人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),94,False,Unmapped in NRC,Unmapped in NRC,[]
enthusiastic,enthusiastic,热情的 / 充满激情的,Unclassified,E1_E2_Candidate,93,False,Unmapped in NRC,Unmapped in NRC,[]
apprehensive,apprehensive,忧虑的 / 不安的,Unclassified,E1_E2_Candidate,92,True,"anticipation, fear",negative,"['anticipation', 'fear', 'negative']"
exhilarating,exhilarating,令人极为兴奋刺激的,Exhilaration / Excitement,E2_Appraisal (Stimulus/Service Attribute),90,False,Unmapped in NRC,Unmapped in NRC,[]
honest,honest,诚实的 / 坦诚的,Unclassified,E1_E2_Candidate,88,True,"anger, disgust, fear, joy, sadness, trust",positive,"['anger', 'disgust', 'fear', 'joy', 'positive', 'sadness', 'trust']"
inaccessible,inaccessible,难以到达的 / 偏远秘境感,Unclassified,E2_Appraisal (Stimulus/Service Attribute),86,True,Unmapped in NRC,negative,['negative']
lucked,lucky,幸运地 (动词变体),Good Fortune / Joy,E1_State (Direct Internal Affective State),86,True,"joy, surprise",positive,"['joy', 'positive', 'surprise']"
rushed,rushed,仓促的 / 匆忙的,Unclassified,E1_E2_Candidate,85,False,Unmapped in NRC,Unmapped in NRC,[]
capable,capable,有能力的 / 熟练精湛的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),84,False,Unmapped in NRC,Unmapped in NRC,[]
prone,prone,易患（晕机）的,Unclassified,E1_E2_Candidate,84,False,Unmapped in NRC,Unmapped in NRC,[]
simple,simple,简单明了的 / 省心的,Unclassified,E1_E2_Candidate,84,False,Unmapped in NRC,Unmapped in NRC,[]
fascinating,fascinating,令人入迷极具吸引力的,Fascination,E2_Appraisal (Stimulus/Service Attribute),83,True,Unmapped in NRC,positive,['positive']
wonders,wonder,惊奇 / 奇观,Amazement / Wonder,E2_Appraisal (Stimulus/Service Attribute),83,False,Unmapped in NRC,Unmapped in NRC,[]
delightful,delightful,令人欢欣的,Unclassified,E1_E2_Candidate,80,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
grateful,grateful,感激的 / 感恩的,Unclassified,E1_State (Direct Internal Affective State),80,True,Unmapped in NRC,positive,['positive']
advantage,advantage,优势 / 极佳点,Unclassified,E2_Appraisal (Stimulus/Service Attribute),78,True,Unmapped in NRC,positive,['positive']
assured,assured,安抚 / 确信,Unclassified,E1_State (Direct Internal Affective State),78,True,trust,positive,"['positive', 'trust']"
famous,famous,著名的 / 享誉的,Unclassified,E1_E2_Candidate,77,True,Unmapped in NRC,positive,['positive']
pride,pride,自豪 / 骄傲,Unclassified,E1_State (Direct Internal Affective State),77,True,joy,positive,"['joy', 'positive']"
safer,safer,更安全的 / 更安心的,Unclassified,E1_E2_Candidate,77,False,Unmapped in NRC,Unmapped in NRC,[]
neat,neat,整洁的 / 干练的,Unclassified,E1_E2_Candidate,76,False,Unmapped in NRC,Unmapped in NRC,[]
coolest,coolest,最酷爽震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),75,False,Unmapped in NRC,Unmapped in NRC,[]
stable,stable,平稳安心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),75,True,trust,positive,"['positive', 'trust']"
worthwhile,worthwhile,值得的 / 划算的,Unclassified,E1_E2_Candidate,75,False,Unmapped in NRC,Unmapped in NRC,[]
promptly,promptly,及时迅速地,Unclassified,E1_E2_Candidate,74,False,Unmapped in NRC,Unmapped in NRC,[]
concerns,concerns,担忧 / 关切,Unclassified,E1_E2_Candidate,73,False,Unmapped in NRC,Unmapped in NRC,[]
greatest,greatest,最伟大的 / 极佳的,Unclassified,E1_E2_Candidate,73,False,Unmapped in NRC,Unmapped in NRC,[]
ideal,ideal,理想的 / 完美的,Unclassified,E1_E2_Candidate,72,False,Unmapped in NRC,Unmapped in NRC,[]
peaceful,peaceful,平和宁静的,Unclassified,E1_E2_Candidate,72,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
understanding,understanding,体谅的 / 理解的,Unclassified,E1_E2_Candidate,70,True,trust,positive,"['positive', 'trust']"
impossible,impossible,不可能的 / 难以置信的,Unclassified,E1_E2_Candidate,65,True,sadness,negative,"['negative', 'sadness']"
fears,fears,恐惧 / 忧虑,Unclassified,E1_E2_Candidate,64,False,Unmapped in NRC,Unmapped in NRC,[]
passion,passion,热情 / 激情,Unclassified,E1_E2_Candidate,64,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
tremendous,tremendous,震撼巨大的,Unclassified,E1_E2_Candidate,64,False,Unmapped in NRC,Unmapped in NRC,[]
conscious,conscious,有意识的 / 讲究的,Unclassified,E1_E2_Candidate,63,False,Unmapped in NRC,Unmapped in NRC,[]
pristine,pristine,原始纯净的,Unclassified,E1_E2_Candidate,62,True,Unmapped in NRC,positive,['positive']
dramatic,dramatic,戏剧性的 / 震撼的,Unclassified,E1_E2_Candidate,61,False,Unmapped in NRC,Unmapped in NRC,[]
extraordinary,extraordinary,非凡的 / 卓越的,Unclassified,E1_E2_Candidate,61,True,Unmapped in NRC,positive,['positive']
gracious,gracious,亲切和蔼的,Unclassified,E1_E2_Candidate,61,True,Unmapped in NRC,positive,['positive']
moving,moving,令人动容感人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),61,False,Unmapped in NRC,Unmapped in NRC,[]
passionate,passionate,充满激情的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),61,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
considerate,considerate,体贴周到的,Kindness / Reassurance,E2_Appraisal (Stimulus/Service Attribute),60,True,trust,positive,"['positive', 'trust']"
entertained,entertained,感到深受愉悦娱乐的,Joy / Amusement,E1_State (Direct Internal Affective State),60,True,joy,positive,"['joy', 'positive']"
joy,joy,喜悦 / 快乐,Unclassified,E1_State (Direct Internal Affective State),60,True,joy,positive,"['joy', 'positive']"
complimentary,complimentary,赞赏的 / 赠送贴心的,Unclassified,E1_E2_Candidate,59,False,Unmapped in NRC,Unmapped in NRC,[]
convenient,convenient,便捷省心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),59,True,Unmapped in NRC,positive,['positive']
excitement,excitement,兴奋 / 激动情绪,Unclassified,E1_E2_Candidate,59,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
intimate,intimate,温馨亲切的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),59,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
nerves,nerves,紧张感 / 不安神经,Unclassified,E1_E2_Candidate,59,False,Unmapped in NRC,Unmapped in NRC,[]
unreal,unreal,如梦似幻的 / 震撼的,Unclassified,E1_E2_Candidate,59,False,Unmapped in NRC,Unmapped in NRC,[]
disappointing,disappointing,令人失望的,Unclassified,E1_E2_Candidate,58,True,sadness,negative,"['negative', 'sadness']"
flawless,flawless,无瑕的 / 完美的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),58,False,Unmapped in NRC,Unmapped in NRC,[]
fortunately,fortunately,幸运的是,Unclassified,E1_E2_Candidate,58,False,Unmapped in NRC,Unmapped in NRC,[]
lush,lush,郁郁葱葱宜人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),57,True,"disgust, sadness",negative,"['disgust', 'negative', 'sadness']"
negative,negative,负面体验 / 消极评价,Unclassified,E2_Appraisal (Stimulus/Service Attribute),57,True,sadness,negative,"['negative', 'sadness']"
thankful,thankful,感激的 / 感恩的,Unclassified,E1_State (Direct Internal Affective State),57,True,joy,positive,"['joy', 'positive']"
thoughtful,thoughtful,贴心周到的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),57,True,trust,positive,"['positive', 'trust']"
glorious,glorious,壮丽辉煌的,Unclassified,E1_E2_Candidate,56,False,Unmapped in NRC,Unmapped in NRC,[]
uncomfortable,uncomfortable,感到不适的 / 不安的,Unclassified,E1_State (Direct Internal Affective State),56,True,Unmapped in NRC,negative,['negative']
fair,fair,公道的 / 划算的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),55,True,Unmapped in NRC,positive,['positive']
noisy,noisy,喧闹吵杂的,Unclassified,E1_E2_Candidate,55,True,anger,negative,"['anger', 'negative']"
cherish,cherish,珍视 / 珍惜铭记,Unclassified,E1_State (Direct Internal Affective State),54,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
genuine,genuine,真诚的 / 地道的,Unclassified,E1_E2_Candidate,54,True,trust,positive,"['positive', 'trust']"
remarkable,remarkable,卓越令人瞩目的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),54,True,"joy, surprise, trust",positive,"['joy', 'positive', 'surprise', 'trust']"
caring,caring,体贴入微关怀的,Warmth / Kindness,E2_Appraisal (Stimulus/Service Attribute),53,False,Unmapped in NRC,Unmapped in NRC,[]
appreciation,appreciation,感激 / 欣赏,Unclassified,E1_State (Direct Internal Affective State),52,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
enthusiasm,enthusiasm,热情 / 积极性,Unclassified,E1_E2_Candidate,52,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
gentle,gentle,平稳柔和的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),52,False,Unmapped in NRC,Unmapped in NRC,[]
strong,strong,强烈的,Unclassified,E1_E2_Candidate,52,False,Unmapped in NRC,Unmapped in NRC,[]
