word,raw,count,mean_rating,mean_polarity,dimension
bother,bother (困扰/打扰),35,4.514285714285714,0.8376771428571428,Psychological Thrill & Service Friction
overwhelming,overwhelming (震撼人心/极具冲击),34,4.852941176470588,0.8677941176470588,Psychological Thrill & Service Friction
cute,cute (可爱/温馨客舱),30,4.8,0.96728,Psychological Thrill & Service Friction
educated,educated (讲解知识渊博的),29,5.0,0.9142965517241378,Pilot & Service Quality
chatty,chatty (健谈风趣的飞行员),29,4.896551724137931,0.9557482758620689,Pilot & Service Quality
silk,silk (如丝般顺滑的起降),30,5.0,0.9320066666666666,Cabin Facilities & Comfort
timely,timely (准时起飞/按时),28,4.785714285714286,0.8186214285714285,Pilot & Service Quality
stellar,stellar (星级优秀的),29,4.793103448275862,0.8024275862068966,Pilot & Service Quality
carefully,carefully (小心谨慎平稳飞行),29,4.724137931034483,0.9215689655172414,Pilot & Service Quality
boring,boring (平淡/无聊),28,3.642857142857143,0.5740678571428571,Psychological Thrill & Service Friction
communicative,communicative (沟通顺畅体贴),25,5.0,0.8650520000000002,Pilot & Service Quality
cramped,cramped (空间拥挤的),26,4.538461538461538,0.7331615384615383,Psychological Thrill & Service Friction
soak,soak (沉浸在美景中),23,4.956521739130435,0.9749521739130437,Psychological Thrill & Service Friction
comprehensive,comprehensive (全面详尽的解说),24,4.958333333333333,0.9193124999999999,Pilot & Service Quality
diverse,diverse (多样化的景观地貌),23,5.0,0.7072347826086955,Aerial Scenery & Environment
graciously,graciously (礼貌地/热情地),22,4.954545454545454,0.9490999999999999,Pilot & Service Quality
skeptical,skeptical (起初怀有疑虑的),22,4.818181818181818,0.8287818181818181,Psychological Thrill & Service Friction
inexpensive,inexpensive (性价比高/便宜),26,4.846153846153846,0.9162076923076922,Perceived Value & Flexibility
cherry,cherry (锦上添花/绝佳点缀),21,4.761904761904762,0.8593000000000001,Psychological Thrill & Service Friction
refreshing,refreshing (令人耳目一新的),21,4.904761904761905,0.9471619047619049,Psychological Thrill & Service Friction
courtesy,courtesy (礼貌赠送/体贴),21,4.476190476190476,0.7810047619047619,Pilot & Service Quality
tired,tired (疲惫/玩累了),20,4.5,0.712285,Psychological Thrill & Service Friction
immense,immense (巨大的震撼/雄伟),21,5.0,0.9401952380952379,Aerial Scenery & Environment
chilly,chilly (高空凉爽/偏冷),19,4.842105263157895,0.9315473684210529,Psychological Thrill & Service Friction
suitable,suitable (适合全家/适合老人),19,4.526315789473684,0.8707052631578946,Psychological Thrill & Service Friction
granted,granted (理所当然/顺理成章),20,4.8,0.8328099999999999,Psychological Thrill & Service Friction
leisurely,leisurely (悠闲舒适的飞行),18,4.944444444444445,0.9603166666666666,Cabin Facilities & Comfort
valuable,valuable (有价值的物超所值),18,4.555555555555555,0.9170444444444443,Perceived Value & Flexibility
suffer,suffer (受晕机困扰/耐受),17,4.9411764705882355,0.8210235294117647,Psychological Thrill & Service Friction
energetic,energetic (充满活力的解说),17,5.0,0.9445470588235295,Pilot & Service Quality
charm,charm (独特魅力),19,4.894736842105263,0.9584421052631581,Aerial Scenery & Environment
comprehend,comprehend (领略/理解壮美),16,5.0,0.84175625,Psychological Thrill & Service Friction
hooked,hooked (入迷/沉迷其中),16,5.0,0.939275,Psychological Thrill & Service Friction
essential,essential (必备体验/不容错过),16,4.875,0.9165125000000001,Perceived Value & Flexibility
balanced,balanced (平稳平衡的飞行),15,4.8,0.8780666666666666,Cabin Facilities & Comfort
