word,raw_label,count,mean_rating,raw_vader_score
hospitality,hospitality (热情好客的),63,4.984126984126984,0.0
culture,culture (文化与历史解说),57,5.0,0.0
fair,fair (公道合理的/定价公平的),56,4.553571428571429,1.3
uncomfortable,uncomfortable (身体不适/颠簸反感),55,3.981818181818182,-1.6
lack,lack (缺乏/美中不足的),46,3.847826086956522,-1.3
careful,careful (谨慎平稳驾驶的),46,4.586956521739131,0.6
flexibility,flexibility (体验与服务维度词),43,4.8604651162790695,1.4
decent,decent (体验与服务维度词),42,4.309523809523809,0.0
seasoned,seasoned (体验与服务维度词),40,5.0,0.0
charming,charming (体验与服务维度词),40,4.95,2.8
adventurous,adventurous (体验与服务维度词),39,4.846153846153846,1.4
extensive,extensive (体验与服务维度词),39,4.897435897435898,0.0
touched,touched (体验与服务维度词),42,4.904761904761905,0.0
stress,stress (体验与服务维度词),39,4.923076923076923,-1.8
greater,greater (体验与服务维度词),39,4.82051282051282,1.5
kindness,kindness (体验与服务维度词),37,4.891891891891892,2.0
impression,impression (体验与服务维度词),36,4.5,0.9
superior,superior (体验与服务维度词),41,4.902439024390244,2.5
solid,solid (体验与服务维度词),37,4.891891891891892,0.6
bother,bother (体验与服务维度词),35,4.514285714285714,-1.4
overwhelming,overwhelming (体验与服务维度词),34,4.852941176470588,0.0
cute,cute (体验与服务维度词),30,4.8,2.0
educated,educated (体验与服务维度词),29,5.0,0.0
chatty,chatty (体验与服务维度词),29,4.896551724137931,0.0
silk,silk (体验与服务维度词),30,5.0,0.0
timely,timely (及时高效的),29,4.793103448275862,0.0
stellar,stellar (顶尖出色的),29,4.793103448275862,0.0
carefully,carefully (体验与服务维度词),29,4.724137931034483,0.5
boring,boring (枯燥乏味无聊的),28,3.642857142857143,-1.3
communicative,communicative (体验与服务维度词),25,5.0,0.0
cramped,cramped (客舱狭窄拥挤的),26,4.538461538461538,0.0
soak,soak (体验与服务维度词),23,4.956521739130435,0.0
comprehensive,comprehensive (体验与服务维度词),25,4.96,1.0
diverse,diverse (体验与服务维度词),19,5.0,0.0
graciously,graciously (体验与服务维度词),22,4.954545454545454,2.3
skeptical,skeptical (体验与服务维度词),22,4.818181818181818,-1.3
inexpensive,inexpensive (体验与服务维度词),26,4.846153846153846,0.0
cherry,cherry (体验与服务维度词),21,4.761904761904762,0.0
refreshing,refreshing (令人耳目一新的),21,4.904761904761905,0.0
courtesy,courtesy (体验与服务维度词),21,4.476190476190476,1.5
tired,tired (体验与服务维度词),20,4.5,-1.9
immense,immense (体验与服务维度词),21,5.0,0.0
chilly,chilly (体验与服务维度词),19,4.842105263157895,0.0
suitable,suitable (体验与服务维度词),19,4.526315789473684,0.0
granted,granted (体验与服务维度词),20,4.8,1.0
leisurely,leisurely (悠闲从容的),18,4.944444444444445,0.0
valuable,valuable (体验与服务维度词),18,4.555555555555555,2.1
suffer,suffer (体验与服务维度词),17,4.9411764705882355,-2.5
energetic,energetic (体验与服务维度词),17,5.0,1.9
charm,charm (体验与服务维度词),19,4.894736842105263,1.7
comprehend,comprehend (体验与服务维度词),16,5.0,0.0
hooked,hooked (体验与服务维度词),16,5.0,0.0
essential,essential (体验与服务维度词),16,4.875,0.0
balanced,balanced (体验与服务维度词),15,4.8,0.0
