word,frequency,review_count,example_context,is_emotion,reason
other,175,152,"review_028c21bc90a0dfe1f6761d46 :: We chose plane due to size of the Grand Canyon. Very happy with the choice as plane gives better coverage. Yes you can get helicopter rides covering same distance, which are 2x the...",True,sentiwordnet_score
been,168,142,review_d7363ca04bb287d27e5ef437 :: We had a great flight - very smooth and comfortable.  My husband took lots of amazing pictures and we learned a lot about Kauai.  We saw many areas we wouldn't have been able to se...,True,sentiwordnet_score
then,164,123,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre...",True,sentiwordnet_score
must,159,148,"review_6452ff39710f49ed945a7407 :: You must take a tour over Denali with K2.  Excellent service, smiling friendly and helpful. Patrick was our pilot and he did a super job of pointing everything out and educating us...",True,sentiwordnet_score
through,144,123,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre...",True,sentiwordnet_score
being,101,91,"review_0328629dc3c9cd6b2e373080 :: This was a 10 out of 10 experience! Our pilot, Sol, is a native to the area, very experienced, and he had some great stories to tell while we were flying over the Misty Fjords. I c...",True,sentiwordnet_score
too,98,91,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2...",True,sentiwordnet_score
down,94,88,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre...",True,sentiwordnet_score
am,88,77,"review_88502161ff9ad68f73b4c322 :: Took the Canyon Adventure tour that consisted of a plane ride early AM over the canyon, walk into Antelope Slot, and float ride down the Colorado River.  Expensive, but hands down ...",True,sentiwordnet_score
doing,81,73,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre...",True,sentiwordnet_score
same,59,52,"review_3cc4ed7d33bbae3a208bc0a9 :: These guys were great! Super competent, professional and fun. It was clear that this was at the same time a very well organization but also light hearted and relaxed....",True,sentiwordnet_score
josh,47,36,"review_4e0c84b1fe480dcc319f91b4 :: My family of 5 recently took an AirVan ride touring the island of Kauai. We got there early, and were offered books to peruse while we waited. Josh was our pilot. He was very knowl...",True,sentiwordnet_score
having,45,44,review_aca56d56abe7689fe282c16c :: My girlfriend and I thought this would be the first thing to do before engaging in any activities on the ground.  This tour was amazing and worth every penny!  Even with some cloud...,True,sentiwordnet_score
harry,44,33,review_6670c79b00ad8815fd89f5fb :: My wife and I had a fabulous flight with Captain Harry in the Waco biplane. It was a really comfortable flight and a super memorable way to see Kauai with views that few get the ch...,True,wordnet_verb.emotion
now,43,40,"review_e95947a30a92f66dfcbf6859 :: My husband was so excited about this flight as he has his Pilot's License, but I have never had the nerve to fly with him in a light aircraft before now. Bruce, who flew the little...",True,sentiwordnet_score
ruth,39,36,review_71d3b5c406bc5de406a1061a :: My sister and I took a flight tour to the Ruth Glacier with Talkeetna Air Taxi during our recent trip to Alaska. We had booked in advance but the day of our flight was rained out. ...,True,wordnet_noun.feeling
won,38,38,"review_a5656605bf7e6118c9e9cc30 :: I'm a local, and I won this flight off of the radio.
Making reservations was a breeze, they had plenty of seats available. Their webcam made it easy for me to monitor the weather b...",True,sentiwordnet_score
might,37,34,"review_3fabab1c18329fdb94e0581c :: The day before my Air Ventures Hi flight, I had an amazing conversation with a helicopter tour across the street. I was the 1st for the next tour which required 6 passengers. No on...",True,sentiwordnet_score
near,34,32,review_69d2ee2c90b82e6f3a13ef09 :: They were able to take me last minute and the flight was spectacular as was the weather.   Very competent and obviously experience pilot (and I am one) took us safely very near the...,True,sentiwordnet_score
harbor,24,19,"review_d579c7ce2ec144775d909031 :: My family and I booked a package tour with Friday Harbor Seaplanes and Western Prince Explorer Whale Watching. We all had a great and comfortable time on the flight, which felt saf...",True,wordnet_verb.emotion
arch,21,17,"review_1776233371627a92b0294119 :: This was an awesome tour! Canyonlands National Park is very large and diverse, so the best way to see it is by air. The plane we were in held 6 passengers which was a perfect size....",True,sentiwordnet_score
climber,19,13,"review_9cfafef161c9d56897a0bdb3 :: Highly recommend K2 Aviation.  We were scheduled to fly a day later, but woke up yesterday morning to sunny, blue skies so we called K2, and they got us on the first flight out on ...",True,sentiwordnet_score
bird,18,18,"review_6d4db7769c6c8818002f8065 :: I chose this because we had a party of six including three generations. Though the helicopters go lower and closer, we loved the bird’s eye view and smooth ride. The pilot was grea...",True,sentiwordnet_score
fast,16,16,"review_c602155441c88a5da2dca24a :: Company was referred to us by another, who could not accommodate plus size. These folks picked up up at Anchor Cove Mall (free shuttle from cruise ship), fast ride to airport. 
Eri...",True,sentiwordnet_score
mark,16,11,review_0711f8313927cd22c4a60167 :: This was one of the highlights of our trip k2 were awesome what an amazing thing to do was land on the glacier  thanks again mark and debora andrews...,True,sentiwordnet_score
despite,15,15,"review_aae7f27fc47da51db570690e :: Expensive but well worth while flight from Talkeetna with glacier landing . We were surprised how despite the clouds around Talkeetna, we had almost prefect blue sky above the moun...",True,wordnet_noun.feeling
seem,15,15,review_366a0217246d209bb9329b77 :: How do you describe something that takes your words away and leaves you speechless?  This was meant to be a Floatplane and Alaskan Bear excursion.  We definitely saw the floatplane...,True,sentiwordnet_score
meet,14,14,"review_aeffe92844e0341d0482bf45 :: A truly exceptional experience to fly above one of out planet's greatest wonders.
They are a highly professional team and courteous to boot.
With trepidation I embarked on the jour...",True,sentiwordnet_score
chip,13,10,"review_88502161ff9ad68f73b4c322 :: Took the Canyon Adventure tour that consisted of a plane ride early AM over the canyon, walk into Antelope Slot, and float ride down the Colorado River.  Expensive, but hands down ...",True,sentiwordnet_score
assured,12,12,"review_5f25933d61b76b7852dc85ff :: We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from t...",True,sentiwordnet_score
august,12,12,"review_bf22e910f8c4fe6ed61226b0 :: My family and I took a plane ride with Air Ventures in August 2013.  If you are visiting Kauai, I would highly you recommend you see it by air.  Or you will be missing most of the ...",True,sentiwordnet_score
daniel,12,9,"review_c8283946e76f2d1fdcd82511 :: Daniel was our captain, we really enjoyed our tour. The weather was not great but it did not effect the visibility...",True,sentiwordnet_score
hat,12,11,review_e4a469b780cceb735250f4c2 :: Flight was excellent.had been postponed at 8am due to forest fires but we got in the air at 3pm.only 30 mins but still worth it.i had bought a maverick hat that morning and after t...,True,sentiwordnet_score
beaver,11,11,"review_3cfb0433f33054f57b4a3f37 :: This tour actually was our back-up choice, and I have to say I was very pleased. The views of practically virgin forest and mountains were breathtaking. Taking a ride in a piece of...",True,sentiwordnet_score
guess,11,10,"review_92feae8df99634151f60199b :: The helicopter tour was so memorable and such a good experience that it is definitely worth the price! Words can describe the whole experience, but I guess it really did make a dee...",True,sentiwordnet_score
heartbeat,11,11,"review_a5656605bf7e6118c9e9cc30 :: I'm a local, and I won this flight off of the radio.
Making reservations was a breeze, they had plenty of seats available. Their webcam made it easy for me to monitor the weather b...",True,sentiwordnet_score
stand,11,11,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre...",True,sentiwordnet_score
under,11,11,"review_6b4f55a23869141d6e9fcb5b :: We are long time Alaskans and have viewed Denali from the air as well as the road system on several occasions.  Our K2 Aviation flightseeing trip topped them all. 

The phone reser...",True,sentiwordnet_score
wall,11,9,"review_6b4f55a23869141d6e9fcb5b :: We are long time Alaskans and have viewed Denali from the air as well as the road system on several occasions.  Our K2 Aviation flightseeing trip topped them all. 

The phone reser...",True,sentiwordnet_score
fair,10,10,"review_028c21bc90a0dfe1f6761d46 :: We chose plane due to size of the Grand Canyon. Very happy with the choice as plane gives better coverage. Yes you can get helicopter rides covering same distance, which are 2x the...",True,sentiwordnet_score
matt,10,7,review_9bcc3b4640f056e8a8bdd665 :: Wonderful sightseeing plane ride. Matt was great pilot and host. Boys said it was the best activity on the trip....,True,sentiwordnet_score
negative,10,9,"review_94c0e25e28df8a8368c9de83 :: only negative thing was the late pick up. there was a delay of about forty minutes.
other than that the experience was great.
the seaplane was great, something we havent done befor...",True,sentiwordnet_score
sign,10,9,"review_2a67dff0977ab1e1a6ec02e2 :: Kauai really can only be appreciated in its entirety from the air.  Ellen's ""Wings Over Kauai"" accomplishes the mission with safety, competence, and a keen appreciation for the cus...",True,sentiwordnet_score
thumb,10,10,"review_fddeddd070695dbffc97ba33 :: My husband and I did the Cessna tour today with Wings Over Kauai. This is an amazing trip - we saw waterfalls, canyons, coastline and parts of the island that you can't see from th...",True,sentiwordnet_score
accessible,9,9,review_01d0b19d3759aa76d580639d :: Took a 1 hr flight around island of Kauai around noon with 4 other family members during our stay on 4/14/2010. So glad we decided to do this as a family. Saw so many waterfalls an...,True,sentiwordnet_score
capable,9,9,"review_92808e0670a773acd1539ab9 :: Amazing unforgettable experience. Glacial landing is incredible and pilot is super capable and reliable. Would do this a million times. 
K2 has a long line checking in but were ver...",True,sentiwordnet_score
effort,9,9,review_366a0217246d209bb9329b77 :: How do you describe something that takes your words away and leaves you speechless?  This was meant to be a Floatplane and Alaskan Bear excursion.  We definitely saw the floatplane...,True,sentiwordnet_score
handle,9,9,"review_a621d61d85c6d1941fd94167 :: Our Misty Fjords tour was a boat ride from Ketchican to the fjords, with a return by small plane.  The guides on the boat were informative and nice.  

The pilot seemed highly skil...",True,sentiwordnet_score
nearby,9,8,"review_681ebe64c98f4b8a5b4c4097 :: Our flight last month (August 11) with Talkeetna Air Taxi was spectacular.

Starting with our making the reservation back in March, their friendly service made everything easy.  We...",True,sentiwordnet_score
pacific,9,9,"review_3cfb0433f33054f57b4a3f37 :: This tour actually was our back-up choice, and I have to say I was very pleased. The views of practically virgin forest and mountains were breathtaking. Taking a ride in a piece of...",True,sentiwordnet_score
saving,9,9,"review_e2940b09c10f3b8283f89abb :: Where do you start? We were fortunate to have Bruce as our Pilot and Guide for our flight over Kauai, We chose a plane because the better half has a issue with motion sickness, Bru...",True,sentiwordnet_score
convenient,8,8,"review_57e504ac91381786433046cd :: Fantastic views and great experience! Easy, convenient to get to. Terrific, knowledge and friendly pilot. Do it!...",True,sentiwordnet_score
learn,8,8,"review_c707a808f642abfa36f36c84 :: Me,my wife and my 10 year old daughter booked a plane ride with Maui Plane Rides from New York for the second leg of our Hawaii trip.The plan was that my daughter could learn how t...",True,sentiwordnet_score
pride,8,8,"review_e4cc1730f464a4d0c89f027d :: We took the Pride of AMERICA Cruise around the islands and this was far and away the best of the five excursions we took.  Our pilot, Kevin, was fantastic.  I would do this again t...",True,wordnet_noun.feeling
training,8,8,"review_3bb066612c7c6f256d55cf79 :: We saw the most awesome sights today on our Mavericks helicopter flight!   

Our 17 year old son had never seen the canyon and we are on a short trip.  We figured an overhead persp...",True,sentiwordnet_score
typical,8,8,"review_1e4f30778888d2ffd6e3bf13 :: Great way to see the island of Kauai. Booked this for the first day we got there, Bruce is a great host typical of Kauai hospitality. He shares his knowledge of the plane, places t...",True,sentiwordnet_score
unless,8,8,review_06f44b75e93e9aec89beb026 :: Lived in Marin all my life. Always loved seeing the Dehavilland Beaver flying overhead. I finally snapped out of it and scheduled a ride for my wife and me for our 17 year annivers...,True,affect_suffix
appreciation,7,7,"review_2a67dff0977ab1e1a6ec02e2 :: Kauai really can only be appreciated in its entirety from the air.  Ellen's ""Wings Over Kauai"" accomplishes the mission with safety, competence, and a keen appreciation for the cus...",True,seed_match
bump,7,7,"review_1e4f30778888d2ffd6e3bf13 :: Great way to see the island of Kauai. Booked this for the first day we got there, Bruce is a great host typical of Kauai hospitality. He shares his knowledge of the plane, places t...",True,sentiwordnet_score
bush,7,6,"review_cba152ca9e0415f893367579 :: Elbert and Jason were a few of the very first pilots I had ever flown with, and they are such amazing men. Amazing pilots, friendly, and they know the bush of Alaska like the back ...",True,sentiwordnet_score
colour,7,6,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre...",True,sentiwordnet_score
definite,7,7,"review_5f96de28f51acd93418b0b57 :: This flight was amazing from the greeting at the airport to the DVD of the flight. Dad and Daughter greeted us and we were soon on the plane. It was roomy, cool and a nice ride...u...",True,sentiwordnet_score
ed,7,5,"review_9cfafef161c9d56897a0bdb3 :: Highly recommend K2 Aviation.  We were scheduled to fly a day later, but woke up yesterday morning to sunny, blue skies so we called K2, and they got us on the first flight out on ...",True,sentiwordnet_score
fee,7,7,"review_0ededb1858d9abb48c99e31a :: At the spur of the moment, my friend and I️ decided to take a helicopter tour of the Grand Canyon with Maverick Helicopters. While on a day tour, with Detours of Phoenix, to Sedona...",True,sentiwordnet_score
granite,7,7,"review_95bc2c8f514c7369ecb0bc7e :: I was blessed to be able to send my husband, and my boys, on a flight that they never would have treated themselves to. The pilot arrived on time, let me snap some pictures, and an...",True,sentiwordnet_score
hoover,7,7,"review_084acea0cb7d3d6be4f0a2f2 :: Excellently organised, from pick up, tour and drop off. Booked afternoon Delux tour 1055-2000! Pick up via bus to Bolder airport (30 mins), flight over Hoover Dam and west Rim (I t...",True,sentiwordnet_score
inaccessible,7,7,"review_49d3db9eba1fafce587178d0 :: Although we had to reschedule the tour to a morning due to high wind, this tour exceeds all my expectations. Canyonlands is notoriously inaccessible due to the lack of paved roads ...",True,sentiwordnet_score
intimate,7,7,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2...",True,sentiwordnet_score
passionate,7,6,"review_bcf320da42532060b35e73fc :: Absolutely incredible experience flying over the stunning landscapes of Kauai! From breathtaking views of the Na Pali Coast to the vibrant greenery of Waimea Canyon, every moment o...",True,sentiwordnet_score
quieter,7,7,review_01d0b19d3759aa76d580639d :: Took a 1 hr flight around island of Kauai around noon with 4 other family members during our stay on 4/14/2010. So glad we decided to do this as a family. Saw so many waterfalls an...,True,sentiwordnet_score
train,7,6,"review_681ebe64c98f4b8a5b4c4097 :: Our flight last month (August 11) with Talkeetna Air Taxi was spectacular.

Starting with our making the reservation back in March, their friendly service made everything easy.  We...",True,sentiwordnet_score
advantage,6,6,"review_c602155441c88a5da2dca24a :: Company was referred to us by another, who could not accommodate plus size. These folks picked up up at Anchor Cove Mall (free shuttle from cruise ship), fast ride to airport. 
Eri...",True,sentiwordnet_score
cared,6,6,"review_b2efaa9291444575c3c228d3 :: Had a beautiful flight aboard from Ketchikan, AK to Misty Fijords In a well cared for DeHaviland Beaver Airplane.  The entire staff at the Ketchikan office took very good care of u...",True,wordnet_verb.emotion
coolest,6,6,review_bbb1066a4cdd83c8fff0d4a4 :: On my first trip to Alaska I had an amazing flightseeing trip with the folks at Talkeetna Air.  The flight and glacier landing were 2 of the coolest things I have ever done!...,True,sentiwordnet_score
cramped,6,5,review_8405aa4c5aaa1a8476e0746a :: We took the Grand canyon Airlines scenic tours from the Papillon Helicopter rides.  We opted for the all day airplane ride vs the helicopter as we wanted to be able to walk around ...,True,seed_match
delight,6,6,"review_52d182aff567976e01729b2a :: Our first experience with small aircraft in Alaska was fantastic. The flight was so magnificent and the views defy description. Shiloh was our southern dream. From Jacksonville, he...",True,wordnet_noun.feeling
encouraged,6,5,review_6d2e6bb73c4b8bc5c6d144b0 :: We were picked up at our cruise ship dock by a driver with a van and taken to the take-off site.  Senior pilot Mike took us on an approximately 70 minute round-trip into the fiords...,True,wordnet_verb.emotion
enjoys,6,6,"review_01a15aeaba8572c72e48282b :: We did so many amazing things during our time at the Grand Canyon, but this was by far the best.  Our pilot, Dave, was fantastic.  He really took the time to point out the many poi...",True,wordnet_verb.emotion
experiencing,6,6,review_c3d18e9e58951c652c7c5ca0 :: This was one of the best birthday experience!  The views are unbelievable. To see the landscape with my own eyes from the plane was beyond beautiful! Steve was great! He is very kn...,True,wordnet_verb.emotion
hesitation,6,6,"review_f3cad2d0d28657d2e80ee4d8 :: This was always going to rate highly for me. I love flying, I love nature, so I had high expectations. All of them were met and exceeded. 

Rivers, the pilot, was a professional th...",True,sentiwordnet_score
instrument,6,6,review_a39c32072fbe8ff523e714e4 :: Our early morning departure was canceled due to weather but we stayed near the airport in case there was an improvement. Lucky us - we got a call as we finished lunch went though a...,True,sentiwordnet_score
overhead,6,6,"review_6eafcea945c403a8babdd020 :: Several friends from England recommended that we take this helicopter tour if we were going to visit the Grand Canyon, and we are sure glad we did.  It is fairly pricey, but we can...",True,sentiwordnet_score
somewhat,6,5,"review_eda1a4bce0aac45015172f03 :: We heard so much about how beautiful Kauai was, but after driving around the entire island, we weren't that impressed. Mind you, we had just seen all the major sights of Maui, so w...",True,sentiwordnet_score
stable,6,6,"review_204946c26466eb6ee99eca6e :: I'd been hoping to rent a single engine airplane during our recent trip to Kauai.  I'm a private pilot, and my wonderful wife was looking for a way to see the island while allowing...",True,sentiwordnet_score
truck,6,3,review_c2990eb96fa76c7a2e8341d4 :: We just completed our first Grand Canyon visit and the Scenic River Canyon Tour was the absolute best part of the trip. The entire tour could not have ran smoother. We arrived at t...,True,sentiwordnet_score
upper,6,4,"review_52cf67751f41cd7b4da16d13 :: When I started researching Denali tour operators last fall I narrowed it down to two.  Talkeetna Air was my first choice, having lived in Alaska, both my choices have been operatin...",True,sentiwordnet_score
broke,5,5,"review_9cdcdffc0670f64815799563 :: Great experience, John the pilot was superb and his knowledge during the tour was exceptional. On the day the shuttle service broke diwn and we was asked to get a taxi and the cost...",True,sentiwordnet_score
constant,5,5,"review_4a7f3da7f6659561289690b5 :: Although we had to re-schedule our original reservation because of constant rainfall after having driven an hour to the destination, we were accommodated with a different date and ...",True,sentiwordnet_score
contrast,5,5,"review_1ca9aaf183856fcc19dc934a :: After having taken a Denali flight in 2001, I decided I wanted to do a repeat flight out of Talkeetna on my recent visit to Anchorage, Alaska for an airport conference.  With the l...",True,sentiwordnet_score
convinced,5,5,"review_8521974e4abf03fc17012e4e :: This experience was amazing.  By far my favorite thing we did in Alaska!  Everything was great!  I felt very safe with our pilot, and he was kind and professional.  We had a clear ...",True,sentiwordnet_score
delicious,5,5,"review_ee1e6eb8bb9bfbf0a568f295 :: We did the Grand Canyon Scenic Airlines ""Scenic Canyon River Adventure"" 12.5 hour full day tour with the entire family. The all day adventure from beginning to end was incredible. ...",True,sentiwordnet_score
depth,5,5,"review_bcf320da42532060b35e73fc :: Absolutely incredible experience flying over the stunning landscapes of Kauai! From breathtaking views of the Na Pali Coast to the vibrant greenery of Waimea Canyon, every moment o...",True,sentiwordnet_score
discovery,5,5,"review_b0f34c63770cd33dc3f5de34 :: We took the air tour on the STOL (short take off and landing) aircraft and were not disappointed.  We did the Grand Discovery Air Tour, a 45 minute narrated run about the Canyon th...",True,sentiwordnet_score
drew,5,4,review_e92605a8f219f4fb7113e7cc :: My new husband and I were in Kauai for the second half of our honeymoon. My one thing that I had to do was go on an air-tour of the Island. Honestly what initially drew me to Wings...,True,wordnet_verb.emotion
fire,5,5,"review_028c21bc90a0dfe1f6761d46 :: We chose plane due to size of the Grand Canyon. Very happy with the choice as plane gives better coverage. Yes you can get helicopter rides covering same distance, which are 2x the...",True,wordnet_noun.feeling
further,5,5,"review_536b1b9234e23b6b16bb16d9 :: We booked the River Adventure with Scenic Airlines, which consisted of a flight over The Grand Canyon, a jeep trip to Antelope Canyon, and then a gentle river raft down the Colorad...",True,sentiwordnet_score
gentle,5,4,review_26d7697caed5463ed13d62a6 :: Our pilot was provided a gentle ride with incredible views. Many of the sights could not have been from the rim. He was knowledgeable about the formations and history. I would defi...,True,wordnet_verb.emotion
greater,5,5,"review_d0b50a89028b16af69ba8a3e :: The greater bay area Seaplane tour enables its passengers to get a spectacular view from the air, to see the scale and beauty of San Francisco. My family members and I thoroughly e...",True,sentiwordnet_score
greeting,5,5,"review_1a970ea50d3321757afbc32c :: We were all very impressed with the entire experience, from our welcome greeting to our well wishes when leaving. Our pilot was amazing - he obviously loves Kauai and is excited to...",True,sentiwordnet_score
hospitality,5,5,"review_deb3fd2494ae63efe7e4959b :: We took the Wings Over Kauai flight tour and it was a wonderful experience at about half the price of the helicopter tours.
The flight was as smooth as glass and the views were to ...",True,sentiwordnet_score
inspired,5,5,review_7e1965ab9e7219480bcfc869 :: My cousin and I flew to a remote lake with K2’s Beaver on floats. The weather wasn’t great at our scheduled departure time so we delayed our trip. Jen was very friendly in making s...,True,wordnet_verb.emotion
intrusive,5,5,"review_3c17998e1f55e06446f35026 :: First off let me say that taking an air tour in a small airplane is much better than doing it in a helicopter. It's quieter, smoother and much less intrusive to the spirit of Mana....",True,sentiwordnet_score
james,5,4,"review_46b2badfb928341beb645cfb :: James was our pilot and guide, he was great. Being able to see the vastness and beauty of both Park's from the air with no long lines was incredible. I highly recommend this for ad...",True,sentiwordnet_score
license,5,5,"review_e95947a30a92f66dfcbf6859 :: My husband was so excited about this flight as he has his Pilot's License, but I have never had the nerve to fly with him in a light aircraft before now. Bruce, who flew the little...",True,sentiwordnet_score
maximize,5,5,"review_4c7909b8a8bbaa352bb6b211 :: We were visiting Phoenix and wanted to catch Grand Canyon without the long drive.
Charter flight was smooth and we immediately boarded helicopters and then boats.
Choppers back up ...",True,sentiwordnet_score
moving,5,4,"review_3c3c26b554a263c0b5b10b29 :: All I can say is Wow!!!!  I was amazed when I viewed the canyon from the South Rim, but I was blown away from what I saw on this tour.   The majesty of the canyon is brought to the...",True,sentiwordnet_score
organization,5,5,"review_4c604ac573a5ee974b8076dc :: My friends and I -(4) were picked up at the Sedona airport by Colby, our pilot.
He stayed with us throughout the whole experience and we couldn´t have hoped for a more pleasant, go...",True,sentiwordnet_score
randy,5,3,"review_c6e6b26cd45ce306ef1d0723 :: Talkeetna Air Taxi came highly recommended by our Knik Glacier Tour guide Randy. I am glad we listened and added this to our itinerary. 

Yes, it is expensive, but the stunning vie...",True,sentiwordnet_score
remarkable,5,5,review_e7d041cefffecba964ada226 :: Thank you to all those at Talkeetna Air Taxi! I had a remarkable time. I felt very safe. I was co pilot in the landing on Mt. McKinley when we went. Great energy from the pilot. Fr...,True,sentiwordnet_score
rule,5,5,"review_1fa7165b9d72f62ae2c32edd :: The family and I took the Denali flight which landed on the glacier near the pilots house on the mountain. Stunning views of course and we got lucky with a beautiful sunny day. 

T...",True,sentiwordnet_score
seasoned,5,5,"review_1ca9aaf183856fcc19dc934a :: After having taken a Denali flight in 2001, I decided I wanted to do a repeat flight out of Talkeetna on my recent visit to Anchorage, Alaska for an airport conference.  With the l...",True,sentiwordnet_score
shower,5,4,"review_1ca9aaf183856fcc19dc934a :: After having taken a Denali flight in 2001, I decided I wanted to do a repeat flight out of Talkeetna on my recent visit to Anchorage, Alaska for an airport conference.  With the l...",True,sentiwordnet_score
