word,frequency,review_count,example_context
what,340,283,review_0711f8313927cd22c4a60167 :: This was one of the highlights of our trip k2 were awesome what an amazing thing to do was land on the glacier  thanks again mark and debora andrews...
by,337,279,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
can,322,268,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
just,319,236,"review_5f25933d61b76b7852dc85ff :: We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from t..."
will,313,252,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
when,262,218,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
could,260,220,"review_0da11c2491c16de35e73db28 :: A wonderful trip in Maui. I’m so glad to see the most interesting places including Molokai sea cliffs, Lanai shipwreck and the Molokini. The weather is windy, but it is not a probl..."
more,245,205,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
some,242,206,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
or,237,194,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2..."
your,233,176,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
which,231,189,"review_d579c7ce2ec144775d909031 :: My family and I booked a package tour with Friday Harbor Seaplanes and Western Prince Explorer Whale Watching. We all had a great and comfortable time on the flight, which felt saf..."
off,218,190,"review_3cfb0433f33054f57b4a3f37 :: This tour actually was our back-up choice, and I have to say I was very pleased. The views of practically virgin forest and mountains were breathtaking. Taking a ride in a piece of..."
me,217,149,"review_a5656605bf7e6118c9e9cc30 :: I'm a local, and I won this flight off of the radio.
Making reservations was a breeze, they had plenty of seats available. Their webcam made it easy for me to monitor the weather b..."
only,216,191,"review_2a67dff0977ab1e1a6ec02e2 :: Kauai really can only be appreciated in its entirety from the air.  Ellen's ""Wings Over Kauai"" accomplishes the mission with safety, competence, and a keen appreciation for the cus..."
again,210,199,"review_3cfb0433f33054f57b4a3f37 :: This tour actually was our back-up choice, and I have to say I was very pleased. The views of practically virgin forest and mountains were breathtaking. Taking a ride in a piece of..."
no,210,170,"review_a2a33015403c8473896fcc4d :: There was ""no"" favorite part, the trip exceeded all expectations. Lindsey and her staff were very professional. Steve, our pilot, was informative with his narrations and provided a..."
talkeetna,207,153,"review_3a961452dee0d8ae36cc41e3 :: We had such a great experience with Talkeetna Air Taxi. Highly recommend. Our pilot,Chris, was top notch!..."
his,200,162,"review_4c604ac573a5ee974b8076dc :: My friends and I -(4) were picked up at the Sedona airport by Colby, our pilot.
He stayed with us throughout the whole experience and we couldn´t have hoped for a more pleasant, go..."
than,195,175,"review_2a67dff0977ab1e1a6ec02e2 :: Kauai really can only be appreciated in its entirety from the air.  Ellen's ""Wings Over Kauai"" accomplishes the mission with safety, competence, and a keen appreciation for the cus..."
their,187,151,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
before,186,160,"review_d579c7ce2ec144775d909031 :: My family and I booked a package tour with Friday Harbor Seaplanes and Western Prince Explorer Whale Watching. We all had a great and comfortable time on the flight, which felt saf..."
every,182,167,"review_2bc589c7c891c8ca33ba00e8 :: We had an amazing adventure. Eric made us feel comfortable & showed us some of the most beautiful sights of Maui, Lanai, Molokai! Loved every minute!!!🤙🌴☀️..."
most,182,166,"review_0da11c2491c16de35e73db28 :: A wonderful trip in Maui. I’m so glad to see the most interesting places including Molokai sea cliffs, Lanai shipwreck and the Molokini. The weather is windy, but it is not a probl..."
other,175,152,"review_028c21bc90a0dfe1f6761d46 :: We chose plane due to size of the Grand Canyon. Very happy with the choice as plane gives better coverage. Yes you can get helicopter rides covering same distance, which are 2x the..."
who,172,148,"review_c707a808f642abfa36f36c84 :: Me,my wife and my 10 year old daughter booked a plane ride with Maui Plane Rides from New York for the second leg of our Hawaii trip.The plan was that my daughter could learn how t..."
been,168,142,review_d7363ca04bb287d27e5ef437 :: We had a great flight - very smooth and comfortable.  My husband took lots of amazing pictures and we learned a lot about Kauai.  We saw many areas we wouldn't have been able to se...
then,164,123,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
must,159,148,"review_6452ff39710f49ed945a7407 :: You must take a tour over Denali with K2.  Excellent service, smiling friendly and helpful. Patrick was our pilot and he did a super job of pointing everything out and educating us..."
after,150,122,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
them,146,131,"review_a5656605bf7e6118c9e9cc30 :: I'm a local, and I won this flight off of the radio.
Making reservations was a breeze, they had plenty of seats available. Their webcam made it easy for me to monitor the weather b..."
through,144,123,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
eric,143,115,"review_2bc589c7c891c8ca33ba00e8 :: We had an amazing adventure. Eric made us feel comfortable & showed us some of the most beautiful sights of Maui, Lanai, Molokai! Loved every minute!!!🤙🌴☀️..."
because,138,113,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2..."
she,133,89,"review_88502161ff9ad68f73b4c322 :: Took the Canyon Adventure tour that consisted of a plane ride early AM over the canyon, walk into Antelope Slot, and float ride down the Colorado River.  Expensive, but hands down ..."
while,133,118,review_598a68c9f23d23e090c4ac0b :: A great way to get back to the city while enjoying the views and luckily for us spotting a whale or two!...
any,129,119,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2..."
both,123,112,"review_3fabab1c18329fdb94e0581c :: The day before my Air Ventures Hi flight, I had an amazing conversation with a helicopter tour across the street. I was the 1st for the next tour which required 6 passengers. No on..."
once,122,110,"review_8137a9327b436108570eb059 :: This was definitely one of those once in a lifetime experiences.  The staff at the hangar was awesome, our pilot was awesome, the glacier landing was awesome...."
don,121,106,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
during,119,104,"review_d579c7ce2ec144775d909031 :: My family and I booked a package tour with Friday Harbor Seaplanes and Western Prince Explorer Whale Watching. We all had a great and comfortable time on the flight, which felt saf..."
how,119,106,"review_88502161ff9ad68f73b4c322 :: Took the Canyon Adventure tour that consisted of a plane ride early AM over the canyon, walk into Antelope Slot, and float ride down the Colorado River.  Expensive, but hands down ..."
such,115,104,"review_e998df6ff2009a4d62092ba1 :: Wonderful!!  First timers and this was the trip if on a short time limit.  Pricey, but there’s a lot of logistics going on to get everything coordinated.  Perfect time of year to g..."
two,115,100,review_598a68c9f23d23e090c4ac0b :: A great way to get back to the city while enjoying the views and luckily for us spotting a whale or two!...
didn,107,89,"review_a5656605bf7e6118c9e9cc30 :: I'm a local, and I won this flight off of the radio.
Making reservations was a breeze, they had plenty of seats available. Their webcam made it easy for me to monitor the weather b..."
where,103,92,review_3c89be8e6d65c50813baebd9 :: Do not leave Alaska without going on a flightseeing tour with K2 Aviation!  We did a 7 day Alaskan Cruise followed by 4 additional days driving around Alaska and this was the highl...
ve,102,92,review_7bc82d15aec5fa59a5c358d0 :: You've got to give this a try. Kevin made sure we had a great time. He is not only a great pilot and tour guide but will also give you any island information you need. Skip the hel...
being,101,91,"review_0328629dc3c9cd6b2e373080 :: This was a 10 out of 10 experience! Our pilot, Sol, is a native to the area, very experienced, and he had some great stories to tell while we were flying over the Misty Fjords. I c..."
into,99,91,review_aca56d56abe7689fe282c16c :: My girlfriend and I thought this would be the first thing to do before engaging in any activities on the ground.  This tour was amazing and worth every penny!  Even with some cloud...
another,98,90,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
too,98,91,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2..."
few,97,87,review_6670c79b00ad8815fd89f5fb :: My wife and I had a fabulous flight with Captain Harry in the Waco biplane. It was a really comfortable flight and a super memorable way to see Kauai with views that few get the ch...
down,94,88,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
am,88,77,"review_88502161ff9ad68f73b4c322 :: Took the Canyon Adventure tour that consisted of a plane ride early AM over the canyon, walk into Antelope Slot, and float ride down the Colorado River.  Expensive, but hands down ..."
above,85,79,"review_57b9e9bbf71390b43b540049 :: The flight was excellent. We were in the air more than one hour! You should see Kauai from above, it was amazing...."
doing,81,73,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
maui,74,60,"review_0da11c2491c16de35e73db28 :: A wonderful trip in Maui. I’m so glad to see the most interesting places including Molokai sea cliffs, Lanai shipwreck and the Molokini. The weather is windy, but it is not a probl..."
hawaii,73,59,"review_c707a808f642abfa36f36c84 :: Me,my wife and my 10 year old daughter booked a plane ride with Maui Plane Rides from New York for the second leg of our Hawaii trip.The plan was that my daughter could learn how t..."
mt,72,59,"review_3736353b5f070e2620e01919 :: We did the glacier landing tour, which was pretty cool and a good length of time. The pilot was very informative while we flew and answered all of our questions while we hung out o..."
each,71,63,"review_3736353b5f070e2620e01919 :: We did the glacier landing tour, which was pretty cool and a good length of time. The pilot was very informative while we flew and answered all of our questions while we hung out o..."
re,68,61,"review_fddeddd070695dbffc97ba33 :: My husband and I did the Cessna tour today with Wings Over Kauai. This is an amazing trip - we saw waterfalls, canyons, coastline and parts of the island that you can't see from th..."
mckinley,67,57,review_3c89be8e6d65c50813baebd9 :: Do not leave Alaska without going on a flightseeing tour with K2 Aviation!  We did a 7 day Alaskan Cruise followed by 4 additional days driving around Alaska and this was the highl...
since,64,55,"review_5f25933d61b76b7852dc85ff :: We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from t..."
couldn,63,55,"review_4c604ac573a5ee974b8076dc :: My friends and I -(4) were picked up at the Sedona airport by Colby, our pilot.
He stayed with us throughout the whole experience and we couldn´t have hoped for a more pleasant, go..."
her,62,51,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2..."
same,59,52,"review_3cc4ed7d33bbae3a208bc0a9 :: These guys were great! Super competent, professional and fun. It was clear that this was at the same time a very well organization but also light hearted and relaxed...."
fjord,57,38,"review_5f25933d61b76b7852dc85ff :: We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from t..."
him,57,50,"review_0328629dc3c9cd6b2e373080 :: This was a 10 out of 10 experience! Our pilot, Sol, is a native to the area, very experienced, and he had some great stories to tell while we were flying over the Misty Fjords. I c..."
wasn,56,50,"review_a5656605bf7e6118c9e9cc30 :: I'm a local, and I won this flight off of the radio.
Making reservations was a breeze, they had plenty of seats available. Their webcam made it easy for me to monitor the weather b..."
though,55,54,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2..."
should,54,50,"review_57b9e9bbf71390b43b540049 :: The flight was excellent. We were in the air more than one hour! You should see Kauai from above, it was amazing...."
these,50,47,"review_3cc4ed7d33bbae3a208bc0a9 :: These guys were great! Super competent, professional and fun. It was clear that this was at the same time a very well organization but also light hearted and relaxed...."
itself,48,46,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
steve,48,33,"review_5f25933d61b76b7852dc85ff :: We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from t..."
chris,47,34,"review_3a961452dee0d8ae36cc41e3 :: We had such a great experience with Talkeetna Air Taxi. Highly recommend. Our pilot,Chris, was top notch!..."
josh,47,36,"review_4e0c84b1fe480dcc319f91b4 :: My family of 5 recently took an AirVan ride touring the island of Kauai. We got there early, and were offered books to peruse while we waited. Josh was our pilot. He was very knowl..."
those,46,44,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
having,45,44,review_aca56d56abe7689fe282c16c :: My girlfriend and I thought this would be the first thing to do before engaging in any activities on the ground.  This tour was amazing and worth every penny!  Even with some cloud...
here,45,41,"review_aeffe92844e0341d0482bf45 :: A truly exceptional experience to fly above one of out planet's greatest wonders.
They are a highly professional team and courteous to boot.
With trepidation I embarked on the jour..."
harry,44,33,review_6670c79b00ad8815fd89f5fb :: My wife and I had a fabulous flight with Captain Harry in the Waco biplane. It was a really comfortable flight and a super memorable way to see Kauai with views that few get the ch...
ll,44,42,"review_bcf320da42532060b35e73fc :: Absolutely incredible experience flying over the stunning landscapes of Kauai! From breathtaking views of the Na Pali Coast to the vibrant greenery of Waimea Canyon, every moment o..."
without,44,44,review_6670c79b00ad8815fd89f5fb :: My wife and I had a fabulous flight with Captain Harry in the Waco biplane. It was a really comfortable flight and a super memorable way to see Kauai with views that few get the ch...
now,43,40,"review_e95947a30a92f66dfcbf6859 :: My husband was so excited about this flight as he has his Pilot's License, but I have never had the nerve to fly with him in a light aircraft before now. Bruce, who flew the little..."
kevin,40,25,review_7bc82d15aec5fa59a5c358d0 :: You've got to give this a try. Kevin made sure we had a great time. He is not only a great pilot and tour guide but will also give you any island information you need. Skip the hel...
ruth,39,36,review_71d3b5c406bc5de406a1061a :: My sister and I took a flight tour to the Ruth Glacier with Talkeetna Air Taxi during our recent trip to Alaska. We had booked in advance but the day of our flight was rained out. ...
own,38,35,"review_aeffe92844e0341d0482bf45 :: A truly exceptional experience to fly above one of out planet's greatest wonders.
They are a highly professional team and courteous to boot.
With trepidation I embarked on the jour..."
san,38,28,"review_f4d85892d3e54dcafe0d10fd :: The folks at Friday Harbor Seaplanes were friendly, communicative, and easy peasy to book, board etc. I would absolutely use them again for a trip to the San Juan's ... no doubt ab..."
won,38,38,"review_a5656605bf7e6118c9e9cc30 :: I'm a local, and I won this flight off of the radio.
Making reservations was a breeze, they had plenty of seats available. Their webcam made it easy for me to monitor the weather b..."
might,37,34,"review_3fabab1c18329fdb94e0581c :: The day before my Air Ventures Hi flight, I had an amazing conversation with a helicopter tour across the street. I was the 1st for the next tour which required 6 passengers. No on..."
three,37,34,"review_6d4db7769c6c8818002f8065 :: I chose this because we had a party of six including three generations. Though the helicopters go lower and closer, we loved the bird’s eye view and smooth ride. The pilot was grea..."
may,35,34,review_4d4339f31cc7c17df6da55a5 :: Great way to see the napali coast and other highlights from the island. Bruce does a great job explaining the history of the island and answering any questions you may have. He has...
throughout,35,34,"review_4c604ac573a5ee974b8076dc :: My friends and I -(4) were picked up at the Sedona airport by Colby, our pilot.
He stayed with us throughout the whole experience and we couldn´t have hoped for a more pleasant, go..."
beyond,34,34,"review_aeffe92844e0341d0482bf45 :: A truly exceptional experience to fly above one of out planet's greatest wonders.
They are a highly professional team and courteous to boot.
With trepidation I embarked on the jour..."
headphone,34,33,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
near,34,32,review_69d2ee2c90b82e6f3a13ef09 :: They were able to take me last minute and the flight was spectacular as was the weather.   Very competent and obviously experience pilot (and I am one) took us safely very near the...
although,33,31,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
waimea,33,32,"review_3fabab1c18329fdb94e0581c :: The day before my Air Ventures Hi flight, I had an amazing conversation with a helicopter tour across the street. I was the 1st for the next tour which required 6 passengers. No on..."
until,32,32,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
between,31,29,"review_9bc58b345f1e58cd7137b462 :: Flight onto Denali, it was truly amazing! Mike, our pilot was so accommodating, went in between the clouds for us to get a look at Denali and how many people can say they saw the v..."
westwind,29,20,"review_055ba5640d4297742f5c58ba :: We did a tour of the grand canyon via plane, then took a helicopter down into the canyon, did a boat ride on the river then skywalk and had lunch. Our pilot Wyatt was wonderful. On..."
francisco,28,18,review_8d4ddb6f94926e611f27073f :: I took the 30 minute San Francisco Bay tour on August 28th at 3:15.  It was a spectacular day with some fog around the Golden Gate Bridge.  We flew around and over every major tour...
marcus,28,18,"review_fddeddd070695dbffc97ba33 :: My husband and I did the Cessna tour today with Wings Over Kauai. This is an amazing trip - we saw waterfalls, canyons, coastline and parts of the island that you can't see from th..."
four,27,26,"review_e24794314fee6c7b8585e9cf :: We had a great time on this adventure! Flew with another couple, and the four of us fit well into a small 7 seater plane. Tim was our pilot and guide, a great guy with tons of expe..."
ketchikan,27,23,"review_5f25933d61b76b7852dc85ff :: We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from t..."
doe,26,23,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
mahalo,26,24,"review_3fabab1c18329fdb94e0581c :: The day before my Air Ventures Hi flight, I had an amazing conversation with a helicopter tour across the street. I was the 1st for the next tour which required 6 passengers. No on..."
myself,26,24,"review_2a67dff0977ab1e1a6ec02e2 :: Kauai really can only be appreciated in its entirety from the air.  Ellen's ""Wings Over Kauai"" accomplishes the mission with safety, competence, and a keen appreciation for the cus..."
colorado,25,22,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
seawind,25,16,"review_5f25933d61b76b7852dc85ff :: We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from t..."
