word,chinese_translation,affect_type,frequency,review_count,example_context
inspired,灵感大发 / 深受震撼的,E1_State (Direct Internal Affective State),5,5,review_7e1965ab9e7219480bcfc869 :: My cousin and I flew to a remote lake with K2’s Beaver on floats. The weather wasn’t great at our scheduled departure time so we delayed our trip. Jen was very friendly in making s...
intrusive,突兀扰人的 / 煞风景的,E2_Appraisal (Stimulus/Service Attribute),5,5,"review_3c17998e1f55e06446f35026 :: First off let me say that taking an air tour in a small airplane is much better than doing it in a helicopter. It's quieter, smoother and much less intrusive to the spirit of Mana...."
moving,令人动容感人的,E2_Appraisal (Stimulus/Service Attribute),5,4,"review_3c3c26b554a263c0b5b10b29 :: All I can say is Wow!!!!  I was amazed when I viewed the canyon from the South Rim, but I was blown away from what I saw on this tour.   The majesty of the canyon is brought to the..."
astonishing,令人惊叹的,E2_Appraisal (Stimulus/Service Attribute),3,3,"review_7bbe5f17c5ccf78fd605ad3d :: From the front reception area to preparing for take off to our amazing pilot from the Arctic, this tour was astonishing. We were blessed with a beautiful sunny day with big white p..."
bothering,打扰令人烦心的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_4527b031d210aa6a5f73a0b7 :: There are 2 companies side by side that offer this, we went with Air Adventures do to availability (the other co I found first but they were booked .. this co was rated exactly the..."
exhilaration,极度兴奋快感,E1_State (Direct Internal Affective State),1,1,review_23bc28108b7fc9fb77931ab6 :: From the shuttle driver the book..In procedure to the professionalism of the pilot and the beautiful scenery and the exhilaration of landing on the glacier this is a must do tour...
frightening,令人惊恐吓人的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_ad4c129d7431549c0c82f1a8 :: Three of us signed up for the plane ride about a month in advance. There were really high winds that day (40 mph+), but the company didn't cancel so we went for the ride. 15 minute..."
intimidating,令人胆怯令人畏惧的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_366a0217246d209bb9329b77 :: How do you describe something that takes your words away and leaves you speechless?  This was meant to be a Floatplane and Alaskan Bear excursion.  We definitely saw the floatplane...
irritated,感到恼火烦躁的,E1_State (Direct Internal Affective State),1,1,review_b226b58865dcbe2109b81484 :: We recently took a flight seeing trip to Misty Fjords with Taquan Air.  We chose this company because of the B1G1 free coupon offered in the Toursaver coupon book.  I really didn't...
overwhelmed,被震撼/感动深深淹没的,E1_State (Direct Internal Affective State),1,1,review_b0feded8c30b74f0a67e42f9 :: We absolutely loved our sunset trip. I was overwhelmed with how much the lady was willing to help me set up our trip. I had lots of scheduling issues and they saved the day!...
pumped,兴奋激动的 / 跃跃欲试,E1_State (Direct Internal Affective State),1,1,review_ed11136814c2ac8d48de6594 :: My husband and I were so pumped with our private Cessna adventure with Kevin as our pilot!  The flight was beautiful and informative and a super value - probably our favorite excur...
quaint,古朴宜人的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_6b17f5b0218c6e596e18af08 :: Took a noon flight to Friday harbor. Great flight great views!!  Smooth ride.  Friday harbor was lovely.  Quaint shops and restaurants. Took an afternoon flight back.  Also great f...
quell,镇定 / 平息（恐惧）,E1_State (Direct Internal Affective State),1,1,"review_f5388b1e976e59c78115bdce :: We came for a flight seeing tour of Denali but due to weather weren’t able to fly that day. I wish I had known to check my email on the morning of the trip, it would have saved me ..."
regrettably,遗憾地 / 抱歉,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_aa76425694a5e2a07140dc28 :: We were scheduled to fly over Denali, but weather did not cooperate and pilots had to regrettably cancel flights.  The folks at K2 were very apologetic and understood our disappoin..."
relieved,宽慰的 / 松了一口气,E1_State (Direct Internal Affective State),1,1,"review_0fd62b59dfddedcc4ce37b1b :: We arrived in good time and after  paying and being weighed for the correct distribution within the helicopter, we sat and waited for the 3 other passengers. The area you sit and w..."
soothing,舒缓抚慰人心的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_06c317e4d5d8ceacebdaa76d :: The scenery was amazing!  There is so much natural beauty in Kauai and this is a great and special way to see it.  Some of the interior parts of Kauai are only visible by air, as t..."
weird,古怪令人不安的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_25709817e43e27ba434614d8 :: Beautiful views from a perspective we hadn’t seen before. Pilot was great, especially with the weird winds that day. Staff helpful and friendly...."
whelmed,被深深震撼淹没的,E1_State (Direct Internal Affective State),1,1,review_73ea364d5cf3ab4aeb05cc52 :: Only negative in th whole trip was the back 2 seats. It was very cramped for me. But the views over whelmed the tight squeeze...
wicked,太棒了 / 绝妙的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_2ab683db4e0f4e9f1312b993 :: The day started out cloudy, so my first original flight was delayed until conditions cleared up. Which they did because they want you to have the best experience, and I was happy t..."
wondrous,惊叹奇妙的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_d8bcef3b73276930469f2a1e :: We had gone to Denali National Park the day before and got a glimpse of this spectacular mountain. But we had also booked a flight seeing tour with TAT to get a closer look. This w...
worthful,物有所值的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_49d6bd5b0908e91752ac4a6c :: Flying over the Denali National Park and landing on the glacier close to highest mountain of North America is definitely a lifetime experience.

The trip is very expensive but wort..."
zing,刺激快感,E1_State (Direct Internal Affective State),1,1,"review_1e0c948582ed23b06a40f486 :: So glad i decided to do this tour at the last minute ! It was A-MA-ZING !!! The pilot was awesome ! Friendly staff :)  Highly recommend when in Talkeetna. 
Bucketlist checked :)..."
