word,canonical_lemma,frequency_21215,chinese_translation,strict_raw_category_id,strict_raw_category_name
cheaper,cheaper,208,更实惠的 / 较便宜的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
phenomenal,phenomenal,200,现象级震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fine,fine,190,良好的 / 优秀的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
reasonable,reasonable,179,合理的 / 公道的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
relaxed,relaxed,159,放松的 / 从容的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
perfectly,perfectly,155,完美地 / 无可挑剔地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
pleasure,pleasure,153,乐趣 / 愉悦,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
scared,scared,144,感到恐惧害怕的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
smoother,smoother,143,更平稳的 / 更顺畅的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
safely,safely,132,安全平稳地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
exactly,exactly,130,精准地 / 正是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
impressive,impressive,130,令人印象深刻的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
humor,humor,125,幽默感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
dream,dream,124,梦寐以求的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
sorry,sorry,123,感到抱歉遗憾的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
relaxing,relaxing,122,令人放松惬意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
wonder,wonder,121,惊奇 / 赞叹,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
amazed,amazed,120,感到吃惊惊叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
thrilled,thrilled,113,极度兴奋的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
honestly,honestly,111,老实说 / 真诚地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
willing,willing,108,乐意的 / 愿意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
smoothest,smoothest,105,最平稳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
positive,positive,101,积极正面的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
reassuring,reassuring,97,令人安心放心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
concern,concern,96,担忧 / 关切（焦虑感）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
luckily,luckily,96,幸运地 / 幸亏,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
poor,poor,95,贫乏的 / 差劲的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
scary,scary,94,令人害怕的 / 吓人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
enthusiastic,enthusiastic,93,热情的 / 充满激情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
exhilarating,exhilarating,90,令人极为兴奋刺激的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
rushed,rushed,85,仓促的 / 匆忙的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
simple,simple,84,简单明了的 / 省心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
capable,capable,84,有能力的 / 熟练精湛的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
prone,prone,84,易患（晕机）的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
wonders,wonder,83,惊奇 / 奇观,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
safer,safer,77,更安全的 / 更安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
neat,neat,76,整洁的 / 干练的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
worthwhile,worthwhile,75,值得的 / 划算的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
coolest,coolest,75,最酷爽震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
promptly,promptly,74,及时迅速地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
concerns,concerns,73,担忧 / 关切,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
greatest,greatest,73,最伟大的 / 极佳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
ideal,ideal,72,理想的 / 完美的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fears,fears,64,恐惧 / 忧虑,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
tremendous,tremendous,64,震撼巨大的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
conscious,conscious,63,有意识的 / 讲究的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
dramatic,dramatic,61,戏剧性的 / 震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
moving,moving,61,令人动容感人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
complimentary,complimentary,59,赞赏的 / 赠送贴心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
nerves,nerves,59,紧张感 / 不安神经,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unreal,unreal,59,如梦似幻的 / 震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
flawless,flawless,58,无瑕的 / 完美的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fortunately,fortunately,58,幸运的是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
glorious,glorious,56,壮丽辉煌的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
caring,caring,53,体贴入微关怀的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
trouble,trouble,52,麻烦 / 困扰,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
gentle,gentle,52,平稳柔和的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
strong,strong,52,强烈的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
nicer,nicer,51,更美好/更亲切的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hoping,hoping,50,期盼 / 希望,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
happier,happier,50,更快乐的 / 更满意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
queasy,queasy,49,恶心反胃的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
seamless,seamless,49,流畅无缝无摩擦的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
genuinely,genuinely,48,真诚地 / 确实,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
warmly,warmly,46,温暖地 / 热情地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
sensitive,sensitive,46,敏感的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
easier,easier,46,更容易的 / 更省心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
relax,relax,45,放松 / 放轻松,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
terrified,terrified,45,极度惊恐的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
loud,loud,45,吵闹的 / 噪音大的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
encouraged,encouraged,44,深受鼓舞的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
quieter,quieter,44,更安静宁静的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
beautifully,beautifully,43,优美地 / 出色地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
calming,calming,42,令人平息平稳安心的（Calmness State）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
nicest,nicest,39,最美好的 / 最亲切的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
worst,worst,39,最糟糕的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
handle,handle,39,善于处理 / 掌控感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
enjoyment,enjoyment,39,乐趣 / 享受,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hospitable,hospitable,38,殷勤好客的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
pleasantly,pleasantly,38,令人愉快地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
nicely,nicely,37,很好地 / 优雅地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cared,cared,37,得到无微不至关怀的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hopefully,hopefully,37,怀着希望地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
humour,humour,35,幽默感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hassle,hassle,33,麻烦 / 烦心事,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
reassured,reassured,32,感到安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
upfront,upfront,32,直率透明的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
economical,economical,31,划算实惠的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
kindly,kindly,30,体贴友善地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unbelievably,unbelievably,29,难以置信地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
pure,pure,29,纯粹的 / 纯净震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
interactive,interactive,29,互动性强的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
gladly,gladly,29,乐意地 / 高兴地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
sad,sad,28,悲伤的 / 遗憾痛心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
aside,aside,27,撇开 / 排除,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
comforting,comforting,27,令人感到安慰抚慰的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
regrets,regrets,27,遗憾 / 后悔,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
basic,basic,26,基础的 / 简陋的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bump,bump,25,颠簸不适的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
talkative,talkative,23,健谈热情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
calmed,calmed,22,心情平静安稳下来的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
talented,talented,22,才华横溢精湛的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
lasting,lasting,22,持久的 / 深刻的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
favourite,favourite,22,最喜爱的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bummed,bummed,21,感到扫兴遗憾失落的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
mild,mild,21,轻微适度的（颠簸/舒适）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unbeatable,unbeatable,21,无可比拟的 / 无敌的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
astonishing,astonishing,20,令人惊叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
spiritual,spiritual,20,精神神圣的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
mood,mood,20,心情 / 情绪,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
comfy,comfy,19,舒适惬意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
awestruck,awestruck,19,充满敬畏震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
touching,touching,19,令人动容流泪的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
easiest,easiest,18,最省心的 / 最容易的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
chill,chill,18,惬意轻松的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
amazement,amazement,18,惊叹 / 惊奇,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
astounding,astounding,18,令人无比震撼惊叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
haha,haha,18,哈哈（欢快情绪）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
smart,smart,18,聪慧的 / 明智的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
keen,keen,18,热情的 / 敏锐的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
wondered,wonder,18,感到惊奇惊叹 (动词变体),2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hopes,hopes,17,期盼 / 希望,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cordial,cordial,17,热情亲切礼貌的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
warmth,warmth,15,温暖安心感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unprofessional,unprofessional,15,不专业的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bubbly,bubbly,15,活泼热情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
trustworthy,trustworthy,14,值得信赖靠谱的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
satisfaction,satisfaction,14,满意感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
marvellous,marvellous,14,令人叹为观止的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
frustrating,frustrating,14,令人挫败的 / 烦人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bothered,bothered,14,困扰的 / 烦心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
vibrant,vibrant,13,生机勃勃色彩斑斓的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
safest,safest,13,最安全平稳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
worldly,worldly,13,超凡脱俗的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
tricky,tricky,13,棘手不安的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bored,bored,12,感到无聊厌烦的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
soaking,soaking,12,沉浸于（soaking in view）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
superbly,superbly,12,出类拔萃完美地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
slick,slick,11,熟练专业/光滑的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cheesy,cheesy,11,俗气的 / 劣质的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
rewarding,rewarding,11,非常有成就感/物超所值的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
superlative,superlative,11,顶级极致赞赏的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
satisfying,satisfying,11,令人称心满意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
mesmerized,mesmerized,10,被深深吸引迷住的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
stability,stability,10,平稳安心感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
friendlier,friendlier,10,更加亲切友好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
emotional,emotional,10,情感上的 / 动情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cheerfully,cheerfully,9,欢快愉悦地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
automatically,automatically,9,自动地 / 自然而然,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
awkward,awkward,9,尴尬的 / 别扭的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
stuffed,stuffed,9,塞满的 / 憋闷不适的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
effortless,effortless,9,轻松平稳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hassles,hassles,9,烦心事 / 摩擦,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unspoiled,unspoiled,9,未经破坏原始纯粹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
yummy,yummy,8,美味愉悦的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
spoiled,spoiled,8,好心情被破坏毁掉的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
shocked,shocked,8,感到震惊惊吓的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
annoyed,annoyed,8,感到烦恼的 / 恼火的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
exhilerating,exhilarating,7,令人兴奋刺激酣畅地（错别字变体）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
alas,alas,7,唉 / 遗憾的是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
captivated,captivated,7,被深深吸引着迷的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
classy,classy,7,高端优雅的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
curious,curious,7,好奇求知的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
enthusiastically,enthusiastically,7,热情高涨地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
rudely,rudely,7,粗鲁地 / 无礼地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
gushing,gushing,7,滔滔不绝赞赞称道的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hesitating,hesitating,7,犹豫顾虑（心理活动）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
suffered,suffered,7,遭受身体/晕眩痛苦,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
relieved,relieved,7,宽慰的 / 松了一口气,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
strange,strange,7,怪异不安的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
enthralled,enthralled,6,被深深吸引迷住的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
discouraged,discouraged,6,感到灰心气馁的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
casual,casual,6,随和轻松的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fascinated,fascinated,6,深深入迷为之倾倒的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
broad,broad,6,宽广的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
appropriately,appropriately,6,恰当地 / 贴心地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
calmer,calmer,6,更平静安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
frightening,frightening,6,令人惊恐吓人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
warmest,warmest,6,最暖心亲切的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
inspirational,inspirational,6,鼓舞人心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
wowed,wowed,5,被深深惊叹震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
stressful,stressful,5,令人压力重重焦虑的（Stress/Anxiety State）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
overwhelmingly,overwhelmingly,5,压倒性震撼地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
envy,envy,5,羡慕 / 嫉妒,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
comforted,comforted,5,感到安慰安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
intimidating,intimidating,5,令人胆怯令人畏惧的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
