word,canonical_lemma,chinese_translation,frequency_21215,review_count_21215,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative,nrc_unmapped
unbelievable,unbelievable,难以置信的 / 震撼的,302,298,0,0,0,0,0,0,0,0,0,1,0
funny,funny,幽默风趣的,301,299,0,0,0,0,0,0,0,0,0,0,1
plenty,plenty,丰富的 / 充足的,298,280,0,0,0,0,0,0,0,0,0,0,1
hard,hard,困难的 / 艰辛的,297,285,0,0,0,0,0,0,0,0,0,0,1
regret,regret,遗憾 / 后悔,293,288,0,0,0,0,0,1,0,0,0,1,0
magnificent,magnificent,壮丽的 / 宏伟震撼的（Awe）,282,272,0,1,0,0,1,0,1,1,1,0,0
exceptional,exceptional,卓越的 / 杰出的（顶级评价）,276,271,0,0,0,0,0,0,0,0,0,0,1
sick,sick,晕机的 / 身体不适的,274,240,0,0,1,0,0,1,0,0,0,1,0
lovely,lovely,令人愉悦的 / 可爱的,266,248,0,1,0,0,1,1,1,1,1,0,0
terrific,terrific,极好的 / 太棒了,260,247,0,0,0,0,0,1,0,0,0,0,0
calm,calm,镇定 / 平息情绪的,259,251,0,0,0,0,0,0,0,0,1,0,0
impressed,impressed,感到深深被折服/留下深刻印象,255,248,0,0,0,0,0,0,0,0,0,0,1
unfortunately,unfortunately,不幸的是 / 遗憾的是,240,230,0,0,0,0,0,0,0,0,0,0,1
fortunate,fortunate,幸运的 / 幸运地,235,231,0,0,0,0,0,0,0,0,1,0,0
efficient,efficient,高效省心的,215,211,0,1,0,0,0,0,0,1,1,0,0
welcome,welcome,受欢迎的 / 感受温暖的,212,208,0,0,0,0,0,0,0,0,0,0,1
entertaining,entertaining,引人入胜生动有趣的,210,208,0,1,0,0,1,0,0,0,1,0,0
inspiring,inspiring,令人启发震慑的,210,209,0,0,0,0,0,0,0,0,0,0,1
cheaper,cheaper,更实惠的 / 较便宜的,208,204,0,0,0,0,0,0,0,0,0,0,1
phenomenal,phenomenal,现象级震撼的,200,198,0,0,0,0,0,0,0,0,0,0,1
superb,superb,极好精湛的,196,189,0,0,0,0,0,0,0,0,1,0,0
surprised,surprised,感到惊喜惊讶的,196,194,0,0,0,0,0,0,1,0,0,0,0
surprise,surprise,惊喜 / 意料之外的喜悦,195,181,0,0,0,1,1,0,1,0,1,0,0
fine,fine,良好的 / 优秀的,190,174,0,0,0,0,0,0,0,0,0,0,1
brilliant,brilliant,璀璨的 / 出色的,184,169,0,1,0,0,1,0,0,1,1,0,0
forward,forward,期待（look forward）,183,178,0,0,0,0,0,0,0,0,1,0,0
reasonable,reasonable,合理的 / 公道的,179,179,0,0,0,0,0,0,0,0,0,0,1
ready,ready,准备就绪的 / 心安的,171,168,0,1,0,0,0,0,0,0,0,0,0
excited,excited,兴奋的 / 激动的,167,160,0,1,0,0,1,0,1,1,1,0,0
majestic,majestic,雄伟的 / 壮丽的,165,165,0,1,0,0,1,0,1,1,1,0,0
competent,competent,称职的 / 有能力的,163,163,0,0,0,0,0,0,0,1,1,0,0
quiet,quiet,宁静的 / 幽雅安静的,161,159,0,0,0,0,0,1,0,0,1,0,0
hope,hope,希望 / 期盼,159,158,0,1,0,0,1,0,1,1,1,0,0
relaxed,relaxed,放松的 / 从容的,159,158,0,0,0,0,0,0,0,0,0,0,1
concerned,concern,感到担心的,155,151,0,0,0,1,0,1,0,0,0,0,0
perfectly,perfectly,完美地 / 无可挑剔地,155,149,0,0,0,0,0,0,0,0,0,0,1
interested,interested,感兴趣的 / 充满好奇的,153,146,0,0,1,0,0,1,0,0,1,0,0
pleasure,pleasure,乐趣 / 愉悦,153,149,0,0,0,0,0,0,0,0,0,0,1
magical,magical,神奇的 / 魔幻般的,152,149,0,1,0,0,1,0,1,0,1,0,0
afraid,afraid,害怕的 / 恐惧的,150,141,0,0,0,1,0,0,0,0,0,1,0
worried,worried,感到担心的,149,146,0,0,0,0,0,1,0,0,0,1,0
scared,scared,感到恐惧害怕的,144,137,0,0,0,0,0,0,0,0,0,0,1
fully,fully,完全地 / 充分地,143,137,0,0,0,0,0,0,0,1,1,0,0
smoother,smoother,更平稳的 / 更顺畅的,143,143,0,0,0,0,0,0,0,0,0,0,1
wrong,wrong,出差错的 / 错误的（负面体验）,137,132,0,0,0,0,0,0,0,0,0,1,0
cheap,cheap,便宜的 / 廉价的,134,132,0,0,0,0,0,0,0,0,0,1,0
blessed,blessed,感到有福的 / 幸运的,133,131,0,0,0,0,1,0,0,0,1,0,0
pleased,pleased,感到满意的,132,129,0,0,0,0,1,0,0,0,1,0,0
safely,safely,安全平稳地,132,129,0,0,0,0,0,0,0,0,0,0,1
exactly,exactly,精准地 / 正是,130,126,0,0,0,0,0,0,0,0,0,0,1
impressive,impressive,令人印象深刻的,130,129,0,0,0,0,0,0,0,0,0,0,1
thrill,thrill,刺激 / 震慑感,129,126,0,1,0,1,1,0,1,0,1,0,0
thrilling,thrilling,令人惊险刺激酣畅的,126,123,0,1,0,0,1,0,1,0,1,0,0
humor,humor,幽默感,125,124,0,0,0,0,0,0,0,0,0,0,1
dream,dream,梦寐以求的,124,118,0,0,0,0,0,0,0,0,0,0,1
sorry,sorry,感到抱歉遗憾的,123,123,0,0,0,0,0,0,0,0,0,0,1
relaxing,relaxing,令人放松惬意的,122,119,0,0,0,0,0,0,0,0,0,0,1
comfort,comfort,舒适 / 宽慰安心,121,116,0,1,0,0,1,0,0,1,1,0,0
disappoint,disappoint,使失望,121,119,1,0,1,0,0,1,0,0,0,1,0
wonder,wonder,惊奇 / 赞叹,121,117,0,0,0,0,0,0,0,0,0,0,1
amazed,amazed,感到吃惊惊叹的,120,119,0,0,0,0,0,0,0,0,0,0,1
fear,fear,恐惧 / 害怕,120,116,1,0,0,1,0,0,0,0,0,1,0
unable,unable,无法的 / 无能为力的,114,110,0,0,0,0,0,1,0,0,0,1,0
thrilled,thrilled,极度兴奋的,113,112,0,0,0,0,0,0,0,0,0,0,1
confidence,confidence,信心 / 确信,112,109,0,0,0,1,1,0,0,1,1,0,0
difficult,difficult,困难的 / 令人头疼的,112,111,0,0,0,1,0,0,0,0,0,0,0
expert,expert,专家级的 / 娴熟的,112,106,0,0,0,0,0,0,0,1,1,0,0
honestly,honestly,老实说 / 真诚地,111,109,0,0,0,0,0,0,0,0,0,0,1
confident,confident,自信的 / 确信的,109,109,0,0,0,0,1,0,0,1,1,0,0
willing,willing,乐意的 / 愿意的,108,104,0,0,0,0,0,0,0,0,0,0,1
worry,worry,担心 / 忧虑感,106,103,0,1,0,1,0,1,0,0,0,1,0
smoothest,smoothest,最平稳的,105,105,0,0,0,0,0,0,0,0,0,0,1
positive,positive,积极正面的,101,98,0,0,0,0,0,0,0,0,0,0,1
surreal,surreal,超现实的 / 梦幻般的,98,98,0,0,0,0,0,0,0,0,0,0,1
reassuring,reassuring,令人安心放心的,97,96,0,0,0,0,0,0,0,0,0,0,1
sweet,sweet,甜蜜的 / 甜美的,97,93,0,1,0,0,1,0,1,1,1,0,0
concern,concern,担忧 / 关切（焦虑感）,96,91,0,0,0,0,0,0,0,0,0,0,1
luckily,luckily,幸运地 / 幸亏,96,93,0,0,0,0,0,0,0,0,0,0,1
poor,poor,贫乏的 / 差劲的,95,91,0,0,0,0,0,0,0,0,0,0,1
scary,scary,令人害怕的 / 吓人的,94,94,0,0,0,0,0,0,0,0,0,0,1
enthusiastic,enthusiastic,热情的 / 充满激情的,93,90,0,0,0,0,0,0,0,0,0,0,1
apprehensive,apprehensive,忧虑的 / 不安的,92,91,0,1,0,1,0,0,0,0,0,1,0
exhilarating,exhilarating,令人极为兴奋刺激的,90,89,0,0,0,0,0,0,0,0,0,0,1
honest,honest,诚实的 / 坦诚的,88,81,1,0,1,1,1,1,0,1,1,0,0
inaccessible,inaccessible,难以到达的 / 偏远秘境感,86,85,0,0,0,0,0,0,0,0,0,1,0
lucked,lucky,幸运地 (动词变体),86,86,0,0,0,0,1,0,1,0,1,0,0
rushed,rushed,仓促的 / 匆忙的,85,79,0,0,0,0,0,0,0,0,0,0,1
capable,capable,有能力的 / 熟练精湛的,84,83,0,0,0,0,0,0,0,0,0,0,1
prone,prone,易患（晕机）的,84,84,0,0,0,0,0,0,0,0,0,0,1
simple,simple,简单明了的 / 省心的,84,83,0,0,0,0,0,0,0,0,0,0,1
fascinating,fascinating,令人入迷极具吸引力的,83,82,0,0,0,0,0,0,0,0,1,0,0
wonders,wonder,惊奇 / 奇观,83,82,0,0,0,0,0,0,0,0,0,0,1
delightful,delightful,令人欢欣的,80,79,0,1,0,0,1,0,0,1,1,0,0
grateful,grateful,感激的 / 感恩的,80,78,0,0,0,0,0,0,0,0,1,0,0
advantage,advantage,优势 / 极佳点,78,78,0,0,0,0,0,0,0,0,1,0,0
assured,assured,安抚 / 确信,78,76,0,0,0,0,0,0,0,1,1,0,0
famous,famous,著名的 / 享誉的,77,71,0,0,0,0,0,0,0,0,1,0,0
pride,pride,自豪 / 骄傲,77,76,0,0,0,0,1,0,0,0,1,0,0
safer,safer,更安全的 / 更安心的,77,77,0,0,0,0,0,0,0,0,0,0,1
neat,neat,整洁的 / 干练的,76,75,0,0,0,0,0,0,0,0,0,0,1
stable,stable,平稳安心的,75,75,0,0,0,0,0,0,0,1,1,0,0
worthwhile,worthwhile,值得的 / 划算的,75,74,0,0,0,0,0,0,0,0,0,0,1
coolest,coolest,最酷爽震撼的,75,75,0,0,0,0,0,0,0,0,0,0,1
promptly,promptly,及时迅速地,74,73,0,0,0,0,0,0,0,0,0,0,1
concerns,concerns,担忧 / 关切,73,71,0,0,0,0,0,0,0,0,0,0,1
greatest,greatest,最伟大的 / 极佳的,73,71,0,0,0,0,0,0,0,0,0,0,1
ideal,ideal,理想的 / 完美的,72,66,0,0,0,0,0,0,0,0,0,0,1
peaceful,peaceful,平和宁静的,72,71,0,1,0,0,1,0,1,1,1,0,0
understanding,understanding,体谅的 / 理解的,70,70,0,0,0,0,0,0,0,1,1,0,0
impossible,impossible,不可能的 / 难以置信的,65,65,0,0,0,0,0,1,0,0,0,1,0
fears,fears,恐惧 / 忧虑,64,61,0,0,0,0,0,0,0,0,0,0,1
passion,passion,热情 / 激情,64,60,0,1,0,0,1,0,0,1,1,0,0
tremendous,tremendous,震撼巨大的,64,64,0,0,0,0,0,0,0,0,0,0,1
conscious,conscious,有意识的 / 讲究的,63,63,0,0,0,0,0,0,0,0,0,0,1
pristine,pristine,原始纯净的,62,61,0,0,0,0,0,0,0,0,1,0,0
dramatic,dramatic,戏剧性的 / 震撼的,61,58,0,0,0,0,0,0,0,0,0,0,1
extraordinary,extraordinary,非凡的 / 卓越的,61,60,0,0,0,0,0,0,0,0,1,0,0
gracious,gracious,亲切和蔼的,61,60,0,0,0,0,0,0,0,0,1,0,0
moving,moving,令人动容感人的,61,59,0,0,0,0,0,0,0,0,0,0,1
passionate,passionate,充满激情的,61,60,0,1,0,0,1,0,0,1,1,0,0
considerate,considerate,体贴周到的,60,60,0,0,0,0,0,0,0,1,1,0,0
entertained,entertained,感到深受愉悦娱乐的,60,60,0,0,0,0,1,0,0,0,1,0,0
joy,joy,喜悦 / 快乐,60,60,0,0,0,0,1,0,0,0,1,0,0
complimentary,complimentary,赞赏的 / 赠送贴心的,59,56,0,0,0,0,0,0,0,0,0,0,1
convenient,convenient,便捷省心的,59,59,0,0,0,0,0,0,0,0,1,0,0
excitement,excitement,兴奋 / 激动情绪,59,57,0,1,0,0,1,0,1,0,1,0,0
intimate,intimate,温馨亲切的,59,58,0,1,0,0,1,0,0,1,1,0,0
nerves,nerves,紧张感 / 不安神经,59,57,0,0,0,0,0,0,0,0,0,0,1
unreal,unreal,如梦似幻的 / 震撼的,59,56,0,0,0,0,0,0,0,0,0,0,1
fortunately,fortunately,幸运的是,58,58,0,0,0,0,0,0,0,0,0,0,1
disappointing,disappointing,令人失望的,58,57,0,0,0,0,0,1,0,0,0,1,0
flawless,flawless,无瑕的 / 完美的,58,58,0,0,0,0,0,0,0,0,0,0,1
lush,lush,郁郁葱葱宜人的,57,56,0,0,1,0,0,1,0,0,0,1,0
negative,negative,负面体验 / 消极评价,57,54,0,0,0,0,0,1,0,0,0,1,0
thankful,thankful,感激的 / 感恩的,57,57,0,0,0,0,1,0,0,0,1,0,0
thoughtful,thoughtful,贴心周到的,57,57,0,0,0,0,0,0,0,1,1,0,0
glorious,glorious,壮丽辉煌的,56,55,0,0,0,0,0,0,0,0,0,0,1
uncomfortable,uncomfortable,感到不适的 / 不安的,56,54,0,0,0,0,0,0,0,0,0,1,0
fair,fair,公道的 / 划算的,55,55,0,0,0,0,0,0,0,0,1,0,0
noisy,noisy,喧闹吵杂的,55,54,1,0,0,0,0,0,0,0,0,1,0
cherish,cherish,珍视 / 珍惜铭记,54,53,0,1,0,0,1,0,1,1,1,0,0
genuine,genuine,真诚的 / 地道的,54,52,0,0,0,0,0,0,0,1,1,0,0
remarkable,remarkable,卓越令人瞩目的,54,53,0,0,0,0,1,0,1,1,1,0,0
caring,caring,体贴入微关怀的,53,52,0,0,0,0,0,0,0,0,0,0,1
appreciation,appreciation,感激 / 欣赏,52,51,0,0,0,0,1,0,0,1,1,0,0
enthusiasm,enthusiasm,热情 / 积极性,52,52,0,1,0,0,1,0,1,0,1,0,0
gentle,gentle,平稳柔和的,52,50,0,0,0,0,0,0,0,0,0,0,1
strong,strong,强烈的,52,49,0,0,0,0,0,0,0,0,0,0,1
trouble,trouble,麻烦 / 困扰,52,51,0,0,0,0,0,0,0,0,0,0,1
disappointment,disappointment,失望 / 遗憾失落情绪,51,48,0,0,1,0,0,1,0,0,0,1,0
nicer,nicer,更美好/更亲切的,51,51,0,0,0,0,0,0,0,0,0,0,1
happier,happier,更快乐的 / 更满意的,50,49,0,0,0,0,0,0,0,0,0,0,1
hoping,hoping,期盼 / 希望,50,49,0,0,0,0,0,0,0,0,0,0,1
queasy,queasy,恶心反胃的,49,47,0,0,0,0,0,0,0,0,0,0,1
satisfied,satisfied,感到满意的,49,49,0,0,0,0,1,0,0,0,1,0,0
seamless,seamless,流畅无缝无摩擦的,49,48,0,0,0,0,0,0,0,0,0,0,1
delight,delight,欣喜 / 愉快,48,48,0,1,0,0,1,0,0,0,1,0,0
genuinely,genuinely,真诚地 / 确实,48,46,0,0,0,0,0,0,0,0,0,0,1
steady,steady,平稳的 / 稳健的,48,47,0,0,0,0,0,0,1,1,0,0,0
unexpected,unexpected,意想不到的惊喜,46,46,0,1,0,1,1,0,1,0,1,1,0
easier,easier,更容易的 / 更省心的,46,45,0,0,0,0,0,0,0,0,0,0,1
sensitive,sensitive,敏感的,46,44,0,0,0,0,0,0,0,0,0,0,1
warmly,warmly,温暖地 / 热情地,46,46,0,0,0,0,0,0,0,0,0,0,1
terrible,terrible,可怕的 / 糟糕的,46,44,1,0,1,1,0,1,0,0,0,1,0
decent,decent,尚可的 / 体面的,45,42,0,0,0,0,0,0,0,0,1,0,0
friendliness,friendliness,友善 / 亲和力,45,45,0,0,0,0,1,0,0,1,1,0,0
loud,loud,吵闹的 / 噪音大的,45,43,0,0,0,0,0,0,0,0,0,0,1
relax,relax,放松 / 放轻松,45,45,0,0,0,0,0,0,0,0,0,0,1
terrified,terrified,极度惊恐的,45,43,0,0,0,0,0,0,0,0,0,0,1
encouraged,encouraged,深受鼓舞的,44,43,0,0,0,0,0,0,0,0,0,0,1
happily,happily,快乐地 / 欣然,44,43,0,0,0,0,1,0,0,0,1,0,0
quieter,quieter,更安静宁静的,44,44,0,0,0,0,0,0,0,0,0,0,1
beautifully,beautifully,优美地 / 出色地,43,43,0,0,0,0,0,0,0,0,0,0,1
calming,calming,令人平息平稳安心的（Calmness State）,42,39,0,0,0,0,0,0,0,0,0,0,1
adventurous,adventurous,充满冒险刺激感的,41,39,0,0,0,0,0,0,0,0,1,0,0
charming,charming,迷人讨喜的,40,40,0,0,0,0,0,0,0,0,1,0,0
responsive,responsive,积极回应的 / 贴心的,40,40,0,1,0,0,0,0,0,1,1,0,0
touched,touched,深受感动的,40,39,0,0,0,0,0,0,0,0,0,1,0
worst,worst,最糟糕的,39,39,0,0,0,0,0,0,0,0,0,0,1
handle,handle,善于处理 / 掌控感,39,38,0,0,0,0,0,0,0,0,0,0,1
enjoyment,enjoyment,乐趣 / 享受,39,39,0,0,0,0,0,0,0,0,0,0,1
unsafe,unsafe,感觉不安全的 / 担惊受怕的,39,35,0,0,0,1,0,0,0,0,0,1,0
nicest,nicest,最美好的 / 最亲切的,39,39,0,0,0,0,0,0,0,0,0,0,1
greater,greater,更宏大震撼的,38,37,0,0,0,0,0,0,0,0,1,0,0
hospitable,hospitable,殷勤好客的,38,37,0,0,0,0,0,0,0,0,0,0,1
pleasantly,pleasantly,令人愉快地,38,38,0,0,0,0,0,0,0,0,0,0,1
stress,stress,压力 / 紧张感,38,38,0,0,0,0,0,0,0,0,0,1,0
wonderfully,wonderfully,极其出色绝妙地,38,38,0,0,0,0,1,0,1,0,1,0,0
worries,worry,担忧 / 挂虑,38,38,0,1,0,1,0,1,0,0,0,1,0
cared,cared,得到无微不至关怀的,37,37,0,0,0,0,0,0,0,0,0,0,1
delicious,delicious,美味愉悦的,37,35,0,0,0,0,1,0,0,0,1,0,0
hopefully,hopefully,怀着希望地,37,37,0,0,0,0,0,0,0,0,0,0,1
nicely,nicely,很好地 / 优雅地,37,36,0,0,0,0,0,0,0,0,0,0,1
reliable,reliable,可靠的 / 可信赖的,36,36,0,0,0,0,0,0,0,1,1,0,0
marvelous,marvelous,绝妙的 / 令人惊叹的,36,34,0,0,0,0,1,0,0,0,1,0,0
nauseous,nauseous,恶心晕车的,36,33,0,0,1,0,0,1,0,0,0,1,0
surprisingly,surprisingly,出乎意料赞叹地,35,35,0,1,0,0,0,0,1,0,0,0,0
bother,bother,打扰 / 烦扰,35,34,0,0,0,0,0,0,0,0,0,1,0
humorous,humorous,幽默风趣的,35,35,0,0,0,0,1,0,0,0,1,0,0
anxious,anxious,焦虑不安的 / 挂虑的,35,33,0,1,0,1,0,0,0,0,0,1,0
picturesque,picturesque,风景如画的,35,35,0,0,0,0,1,0,0,0,1,0,0
superior,superior,优越顶尖的,35,34,0,0,0,0,0,0,0,0,1,0,0
humour,humour,幽默感,35,34,0,0,0,0,0,0,0,0,0,0,1
anxiety,anxiety,焦虑 / 不安,34,33,1,1,0,1,0,1,0,0,0,1,0
generous,generous,大方的 / 慷慨的,34,34,0,0,0,0,1,0,0,1,1,0,0
romantic,romantic,浪漫惬意的,34,31,0,1,0,0,1,0,0,1,1,0,0
sadly,sadly,令人遗憾地 / 悲伤地,34,32,0,0,0,0,0,1,0,0,0,1,0
worse,worse,更糟糕的,34,31,0,0,0,1,0,1,0,0,0,1,0
airsick,airsick,晕机的,33,32,0,0,0,0,0,0,0,0,0,0,1
hassle,hassle,麻烦 / 烦心事,33,33,0,0,0,0,0,0,0,0,0,0,1
overwhelming,overwhelming,铺天盖地震撼的,33,33,0,0,0,0,0,0,0,0,1,0,0
skillful,skillful,技术精湛的,32,32,0,0,0,0,0,0,0,1,1,0,0
reassured,reassured,感到安心的,32,32,0,0,0,0,0,0,0,0,0,0,1
upfront,upfront,直率透明的,32,32,0,0,0,0,0,0,0,0,0,0,1
turbulent,turbulent,颠簸不安的,32,30,0,0,0,1,0,0,0,0,0,1,0
cute,cute,可爱宜人的,31,30,0,0,0,0,0,0,0,0,1,0,0
economical,economical,划算实惠的,31,31,0,0,0,0,0,0,0,0,0,0,1
breathtakingly,breathtakingly,令人屏息震撼地（Awe/Amazement Emotion）,30,30,0,0,0,0,0,0,0,0,0,0,1
kindly,kindly,体贴友善地,30,29,0,0,0,0,0,0,0,0,0,0,1
gladly,gladly,乐意地 / 高兴地,29,29,0,0,0,0,0,0,0,0,0,0,1
chatty,chatty,健谈热情的,29,29,0,0,0,0,0,0,0,0,0,1,0
convinced,convinced,深信不疑的 / 心服口服,29,29,0,0,0,0,0,0,0,1,0,0,0
delighted,delighted,高高兴兴的,29,29,0,1,0,0,1,0,1,0,1,0,0
pure,pure,纯粹的 / 纯净震撼的,29,29,0,0,0,0,0,0,0,0,0,0,1
stellar,stellar,璀璨顶尖级的,29,28,0,0,0,0,0,0,0,0,1,0,0
unbelievably,unbelievably,难以置信地,29,29,0,0,0,0,0,0,0,0,0,0,1
interactive,interactive,互动性强的,29,29,0,0,0,0,0,0,0,0,0,0,1
boring,boring,令人无聊乏味的,28,27,0,0,0,0,0,0,0,0,0,1,0
sad,sad,悲伤的 / 遗憾痛心的,28,28,0,0,0,0,0,0,0,0,0,0,1
serene,serene,宁静祥和的,28,28,0,0,0,0,0,0,0,1,0,1,0
comforting,comforting,令人感到安慰抚慰的,27,27,0,0,0,0,0,0,0,0,0,0,1
aside,aside,撇开 / 排除,27,27,0,0,0,0,0,0,0,0,0,0,1
eager,eager,热切的 / 渴望的,27,26,0,1,0,0,1,0,1,1,1,0,0
splendor,splendor,壮丽辉煌的奇观,27,27,0,1,0,0,1,0,1,0,1,0,0
regrets,regrets,遗憾 / 后悔,27,27,0,0,0,0,0,0,0,0,0,0,1
peace,peace,宁静 / 和平,27,27,0,1,0,0,1,0,0,1,1,0,0
bang,bang,物超所值（bang for buck）,26,26,1,0,1,1,0,1,1,0,0,1,0
basic,basic,基础的 / 简陋的,26,24,0,0,0,0,0,0,0,0,0,0,1
cramped,cramped,拥挤狭窄不适的,26,25,0,0,0,0,0,0,0,0,0,1,0
hate,hate,憎恨 / 讨厌,26,26,1,0,1,1,0,1,0,0,0,1,0
mesmerizing,mesmerizing,令人目眩神迷为之倾倒的,26,26,0,0,0,0,0,0,0,0,0,0,1
upset,upset,感到沮丧难过的,26,23,1,0,0,0,0,1,0,0,0,1,0
bump,bump,颠簸不适的,25,24,0,0,0,0,0,0,0,0,0,0,1
communicative,communicative,善于沟通的,25,25,0,0,0,0,0,0,0,0,1,0,0
dangerous,dangerous,危险的,25,25,0,0,0,1,0,0,0,0,0,1,0
ill,ill,生病的 / 恶心呕吐的,25,23,1,0,1,1,0,1,0,0,0,1,0
laughing,laughing,欢声笑语 / 开心大笑,25,24,0,0,0,0,1,0,0,0,1,0,0
inclement,inclement,恶劣的气候,24,24,0,0,0,0,0,0,0,0,0,1,0
magnificence,magnificence,壮丽震撼感,24,24,0,1,0,0,1,0,0,1,1,0,0
talkative,talkative,健谈热情的,23,23,0,0,0,0,0,0,0,0,0,0,1
horrible,horrible,极度糟糕可怕的,23,22,1,0,1,1,0,0,0,0,0,1,0
impeccable,impeccable,无可挑剔的,23,23,0,0,0,0,0,0,0,1,1,0,0
tough,tough,严苛倒霉的,22,22,0,0,0,0,0,1,0,0,0,1,0
shining,shining,璀璨夺目的,22,22,0,1,0,0,1,0,0,0,1,0,0
fearful,fearful,恐惧的 / 担心的,22,22,0,0,0,1,0,1,0,0,0,1,0
lasting,lasting,持久的 / 深刻的,22,22,0,0,0,0,0,0,0,0,0,0,1
favourite,favourite,最喜爱的,22,21,0,0,0,0,0,0,0,0,0,0,1
skeptical,skeptical,怀疑的 / 存疑的,22,22,0,0,0,0,0,0,0,0,0,1,0
talented,talented,才华横溢精湛的,22,22,0,0,0,0,0,0,0,0,0,0,1
calmed,calmed,心情平静安稳下来的,22,22,0,0,0,0,0,0,0,0,0,0,1
bummed,bummed,感到扫兴遗憾失落的,21,20,0,0,0,0,0,0,0,0,0,0,1
