word,canonical_lemma,chinese_translation,emotion_category,frequency_21215,review_count_21215,example_context,in_nrc,in_vader
interesting,interesting,引人入胜的 / 趣味盎然的,Unclassified,886,853,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo...",True,True
cool,cool,酷的 / 爽快的,Unclassified,652,606,review_fac81d8d0af6198b7ccb6653 :: Our group of 6 recently took the trip from Scottsdale to the South Rim of the Grand Canyon.  We were all very happy with the experience.  It was apparent from the start that safety...,True,True
special,special,特别的 / 珍贵的,Unclassified,631,574,review_4e35a460b4ec2c815f0fb70b :: We had an amazing time with Westwinds.  Carla was an amazing pilot and a joy to spend time with in the air.  Seeing the Canyon from the air was a special experience and unforgettab...,True,True
lucky,lucky,感到幸运的,Good Fortune / Joy,607,586,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g...",True,True
kind,kind,亲切的 / 友善的,Unclassified,587,565,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from...",True,True
memorable,memorable,令人终生难忘的,Memorability / Joy,580,562,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from...",True,False
happy,happy,高兴的 / 快乐的,Unclassified,555,522,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...,True,True
stunning,stunning,令人目眩震撼的,Unclassified,552,546,"review_745b908a04eb2f42741ae626 :: We stayed in Scottsdale for our vacation and took Westwind from the Deer Valley airport only 20 minutes away. Our family of five (kids 13, 10, 3) had never seen the Grand Canyon. F...",False,True
nervous,nervous,紧张的 / 焦虑不安的,Unclassified,513,486,"review_72e4871b346c17114821b344 :: Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacu...",True,True
fabulous,fabulous,绝妙的 / 极好的,Unclassified,508,486,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo...",False,True
disappointed,disappointed,感到失望的 / 遗憾的,Unclassified,488,475,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...,True,True
outstanding,outstanding,杰出出色的,Unclassified,462,439,"review_8edb6b136dc2a365d2ceec0b :: This was my anniversary gift for my wife and it exceeded every expectation. The staff, pilots and our tour guide on the ground (different company by Westwind coordinates for you) w...",True,True
enjoyable,enjoyable,令人愉快的 / 趣味盎然的,Unclassified,460,446,review_a0a1ef77bac8870d0a16b7cc :: Great customer service highly recommend it pilot was a great guide the whole time a very enjoyable experience for anyone visiting miami....,False,True
unforgettable,unforgettable,令人难忘的 / 铭心的,Unclassified,459,455,"review_8112d0e93d02e5220c82a676 :: Evidently, the view is amazing, but it's the friendliness and top notch customer service that stands out. Pearl is amazing! The whole team go the extra mile to make sure your exper...",False,False
love,love,喜爱 / 极度热爱的,Love / Affection,450,430,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of...",True,True
unique,unique,独一无二的 / 独特的,Unclassified,435,412,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of...",True,False
gorgeous,gorgeous,极其漂亮的 / 绚丽的,Unclassified,414,406,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from...",True,True
scenic,scenic,风景优美的 / 宜人的,Unclassified,400,363,"review_c93167ce3ad55172293950ff :: We did the Grand Canyon air tour with the South Rim hummer tour.  It was all incredible!  Our pilot was great, and there was an audio going the whole flight explaining about all of...",False,False
bad,bad,糟糕的 / 坏的,Unclassified,373,342,"review_278b0c04c816a76305f2d62c :: Westwind is unquestionably one of the best experiences I have had in travel.  We were scheduled to fly to the Grand Canyon on December 28th.  On Christmas Eve, we saw that weather ...",True,True
exciting,exciting,令人兴奋刺激的,Excitement,324,315,review_3927147ea98905ae80f48d37 :: We selected the 30 minute tour for sunset (6:30pm). This was such a cool experience; something different and exciting to do in Miami. Our Pilot was so nice and the ride was extreme...,True,True
incredibly,incredibly,难以置信地 / 极其,Unclassified,315,301,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,False,False
pleasant,pleasant,令人愉快的 / 宜人的,Unclassified,306,294,"review_f12fde9bd79e32ad4e0ad3da :: Great ! 
It was very nice and the most beautiful journey we have ever taken 
The atmosphere was incredible and the pilot was very pleasant 
I advise everyone to try it...",True,True
awe,awe,敬畏 / 震撼,Unclassified,304,303,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...,False,False
unbelievable,unbelievable,难以置信的 / 震撼的,Unclassified,302,298,"review_dfecc79fa219774441487192 :: Jason, the pilot, was fabulous.  Super smooth flight, & the glacier views were unbelievable.  The guided hike was wonderful.  We spotted a black bear.  Lunch was delicious!...",True,True
funny,funny,幽默风趣的,Unclassified,301,299,"review_268dc3f955d7431da158e157 :: This is a very good and funny experience! Very customer services ! 
I recommend very well this activity!...",False,True
plenty,plenty,丰富的 / 充足的,Unclassified,298,280,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ...",False,False
hard,hard,困难的 / 艰辛的,Unclassified,297,285,"review_d885e5c4d3d84166ffc7048f :: Even due to weather, they wont even do a refund or is able to do a voucher for one year. Honestly very upsetting. It was raining really hard and super cloudy and they made no circu...",False,True
regret,regret,遗憾 / 后悔,Regret,293,288,"review_5ee2c32c10d5e50c522ed982 :: Great experience ! Worth the try and you won’t regret it . Diego was awesome , super nice and friendly . The view was amazing and ride was smooth....",True,True
magnificent,magnificent,壮丽的 / 宏伟震撼的（Awe）,Unclassified,282,272,"review_bcd30ed73ff3b95a1128ad4e :: What a beautiful excursion, Elbert and Jason are real professionals. If you want an experience of a lifetime, don't pass up this opportunity to see the magnificent Alaskan mountain...",True,True
exceptional,exceptional,卓越的 / 杰出的（顶级评价）,Unclassified,276,271,"review_ec3e2f83f9281ad77bf33e34 :: From the first interaction on by phone through saying goodbye, everyone involved in this experience was amazing!  Exceptional customer service and a once in a lifetime trip....",False,False
sick,sick,晕机的 / 身体不适的,Unclassified,274,240,review_637b0b43ea5380f9cc4b150c :: I had a great time on the flight. I was able to ride shotgun both ways since I was a solo traveler. Bryce was very knowledgeable about the area and was super sweet when I got air s...,True,True
lovely,lovely,令人愉悦的 / 可爱的,Unclassified,266,248,"review_d4861ff7e19204212047a81e :: This is a must go trip! The experience was top-notch. You will never experience the views of the Grand Canyon or Sedona without a aerial trip. Carla our captain, experience not onl...",True,True
terrific,terrific,极好的 / 太棒了,Unclassified,260,247,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor...",True,True
calm,calm,镇定 / 平息情绪的,Calmness,259,251,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...,True,True
impressed,impressed,感到深深被折服/留下深刻印象,Admiration / Impression,255,248,review_552464983c23bee88efea1ff :: Very impressed with Westwind Tours - the lady who booked my flights is warm and friendly and they called the day before (on Thanksgiving) to re-confirm.  The tour ran smoothly and ...,False,True
unfortunately,unfortunately,不幸的是 / 遗憾的是,Unclassified,240,230,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ...",False,True
fortunate,fortunate,幸运的 / 幸运地,Unclassified,235,231,review_46e6e8cfb174b9002fc4f5ce :: We were so fortunate to take a tour to the Grand Canyon on our recent trip out to Phoenix.  From the initial booking with Lindsey to our wonderful pilot Daniel and tour guide Jeffr...,True,True
efficient,efficient,高效省心的,Unclassified,215,211,"review_9e2eeecffb6e74720d2860cd :: We happened by this on the way to Talkeetna and pulled in. Due to the immaculate condition of the facilities and grounds, we decided on the spot to book a half hour wildlife viewin...",True,True
welcome,welcome,受欢迎的 / 感受温暖的,Unclassified,212,208,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...,False,True
entertaining,entertaining,引人入胜生动有趣的,Unclassified,210,208,review_2cc2081c6f740c887ae3f1af :: I think the best part of our flight was our pilot Leon! So incredibly knowledgeable and entertaining. I truly had the best time. When we landed on the glacier he never rushed us we...,True,True
inspiring,inspiring,令人启发震慑的,Inspiration,210,209,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...,False,True
cheaper,cheaper,更实惠的 / 较便宜的,Unclassified,208,204,review_4054c024c17b512d4bdf9063 :: On two other trips to Alaska I have booked with K2 and had the flights cancelled due to weather.  Please note that this was no problem for me.  They are not going to fly if it is u...,False,False
phenomenal,phenomenal,现象级震撼的,Unclassified,200,198,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor...",False,False
superb,superb,极好精湛的,Unclassified,196,189,review_ac286b6c23e35ea9aba46f6a :: Fantastic service - Leslie in the office is an absolute treasure and our pilot was very professional and obliging. Superb views of the canyon - felt very safe & comfortable. Other ...,True,True
surprised,surprised,感到惊喜惊讶的,Unclassified,196,194,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ...",True,True
surprise,surprise,惊喜 / 意料之外的喜悦,Unclassified,195,181,"review_745b908a04eb2f42741ae626 :: We stayed in Scottsdale for our vacation and took Westwind from the Deer Valley airport only 20 minutes away. Our family of five (kids 13, 10, 3) had never seen the Grand Canyon. F...",True,True
fine,fine,良好的 / 优秀的,Unclassified,190,174,"review_0e8b415ed6e60f63a677db4d :: This was not a bad experience - but it was a little pricey for what you get.

The hotel pick up was fine. The driver was late. I called - repeatedly. Nobody answered. I was worried...",False,True
brilliant,brilliant,璀璨的 / 出色的,Unclassified,184,169,review_5d85427f1f8e53f13fafbcf4 :: We drove past Alaska Bush Plane on our way down to Talkeetna so came across them purely by chance as opposed to researching them first which is what we usually do but what a find t...,True,True
forward,forward,期待（look forward）,Unclassified,183,178,"review_74ff54ac960571d307571620 :: We did a family trip into a great spot in the Talkeetnas. I had flown once before with Elbert for work and had felt really safe with him. That is really important to me, even more ...",True,False
reasonable,reasonable,合理的 / 公道的,Unclassified,179,179,review_e79ad6d1d62ebadf6050b8f0 :: Great trip and all service was well taken care of. Plane views were great and price was extremely reasonable...,False,False
ready,ready,准备就绪的 / 心安的,Unclassified,171,168,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...,True,True
excited,excited,兴奋的 / 激动的,Unclassified,167,160,"review_d9f26eb9528467b776102553 :: When we got there it was sort of confusing on where to go but we were able to find it eventually. We were excited for the tour but as we got in the plane, it was a bit small uncomf...",True,True
majestic,majestic,雄伟的 / 壮丽的,Unclassified,165,165,"review_b5a54095bec550ba7f2ec524 :: We called into the Alaska Bush Float plane office on the off chance that we could take a scenic flight, luck was with us because a pilot was on the spot and in no time we were up, ...",True,False
competent,competent,称职的 / 有能力的,Unclassified,163,163,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from...",True,True
quiet,quiet,宁静的 / 幽雅安静的,Unclassified,161,159,"review_a411dcbbd240b16f9e91d21b :: We had an amazing day with Westwind Air Services.  We loved Phoenix, found it quiet and peaceful and also clean.
We were collected from our hotel and the day was wonderful from tha...",True,False
relaxed,relaxed,放松的 / 从容的,Unclassified,159,158,"review_c7e6af06a116fe685858b33c :: We took the flight over the Grand Canyon to test out a developing air anti collision app . I was a nervous passenger however, I had nothing to worry about thanks to our pilot Ken. ...",False,True
hope,hope,希望 / 期盼,Hope,159,158,"review_3950862ce5847be16e983139 :: Everything about the Grand Canyon Signature Tour was perfect. Lindsay made booking easy and made us comfortable when we arrived. Our pilot Steven was excellent, made us feel comfor...",True,True
perfectly,perfectly,完美地 / 无可挑剔地,Unclassified,155,149,review_46e6e8cfb174b9002fc4f5ce :: We were so fortunate to take a tour to the Grand Canyon on our recent trip out to Phoenix.  From the initial booking with Lindsey to our wonderful pilot Daniel and tour guide Jeffr...,False,True
concerned,concern,感到担心的,Worry / Concern,155,151,"review_a5d5fcee4f490a8707ea25a0 :: We were debating on whether or not to do it due to the price, but ended up feeling like we'd regret it if we did not.  It was an unforgettable experience and so worthwhile! There w...",True,False
interested,interested,感兴趣的 / 充满好奇的,Unclassified,153,146,"review_3329636e3ef62ffb8c289845 :: I really liked it, beautiful views and a professional pilot Giovanni, I recommend it to everyone who is interested in seeing Miami from above...",True,True
pleasure,pleasure,乐趣 / 愉悦,Unclassified,153,149,"review_5b214f13092466c89c4401ef :: The aerial tour of Sedona, Flagstaff and, of course, the Grand Canyon was fabulous. This was further enhanced by the south rim Hummer tour. This was all followed up with a bonus, d...",False,True
magical,magical,神奇的 / 魔幻般的,Unclassified,152,149,review_eac453440577e5d7895dd806 :: This is a must during a trip to the Seattle area.  The operation and staff is excellent and very professional.  You cannot beat the view and it's amazing what you see just a few sh...,True,False
afraid,afraid,害怕的 / 恐惧的,Unclassified,150,141,review_d72411de8fd698a132048a5c :: I took my Husband John on the Adventure Tour to the Grand Canyon and it was absolutely AMAZING!  LINDSEY was so GREAT and answered all my questions and she also has a big heart. I ...,True,False
worried,worried,感到担心的,Unclassified,149,146,review_3905519a1dd7aacea307ddb2 :: My family and I decided to take the longer Denali Flightseeing tour after many phone calls with Alaska Bush Floatplane's office staff. I spoke to both Molly and Nancy on different ...,True,True
scared,scared,感到恐惧害怕的,Fear,144,137,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...,False,True
smoother,smoother,更平稳的 / 更顺畅的,Unclassified,143,143,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...,False,False
fully,fully,完全地 / 充分地,Unclassified,143,137,"review_fb444b09ca144f104f98424a :: Loved my ride with Northwest Seaplanes! 

Check-in was easy, hangar staff was friendly and promptly answered any questions I had regarding the planes. Drinks along with merchandise...",True,False
wrong,wrong,出差错的 / 错误的（负面体验）,Unclassified,137,132,review_823604ab09fa18aaa869f215 :: We accidentally booked our flight on the wrong day but the the pilot Diego and owner Mahamoud helped...,True,True
cheap,cheap,便宜的 / 廉价的,Unclassified,134,132,"review_cfbf25a0b1a3bc09ef2b51e5 :: Michelle took good care of the three of us!  I'm an aviation expert with decades of engineering and mechanical, as well as airlines experience.  This team is bar none the best!  Al...",True,False
blessed,blessed,感到有福的 / 幸运的,Unclassified,133,131,review_018ef245f3a270806d36f185 :: We were blessed with a break in the weather and blue skies. Unfortunately the haze in the high elevation did not allow for us to see Denali but otherwise the views were breathtakin...,True,True
pleased,pleased,感到满意的,Unclassified,132,129,review_ac286b6c23e35ea9aba46f6a :: Fantastic service - Leslie in the office is an absolute treasure and our pilot was very professional and obliging. Superb views of the canyon - felt very safe & comfortable. Other ...,True,True
safely,safely,安全平稳地,Unclassified,132,129,"review_839e0560238a0af9aac3153f :: I am a terrible flier. As in PETRIFIED.  Somehow, though, this clean, well kept little dock caught my eye as my husband and I drove into Talkeetna for one overnight. Despite my fea...",False,True
exactly,exactly,精准地 / 正是,Unclassified,130,126,review_666e1f42eced3751f3747622 :: 5STARS ALL THE WAY: once in a lifetime moment! OK but so this is really a response to another  4 star review that honestly I had a problem with reading because everyone is such a c...,False,False
impressive,impressive,令人印象深刻的,Unclassified,130,129,"review_be6ad7ad8d01cad408067c00 :: We saved driving 2 hours to Anacortes plus another hour ferry ride to go from Seattle to Friday Harbor.  Since we went only for the day, the seaplane was the best, most scenic and ...",False,True
thrill,thrill,刺激 / 震慑感,Unclassified,129,126,review_54dbb6a180df4254e69622b0 :: My husband and I used to fly our own plane so being back in the cockpit was a thrill. The trip to Friday Harbor from Renton Harbor is spectacular. Seeing the Olympic Peninsular mou...,True,True
thrilling,thrilling,令人惊险刺激酣畅的,Excitement / Thrill,126,123,review_c542b91f8f33b62598c7e8e7 :: The whole experience was fabulous from the convenience of short notice booking to the easy check in and ultimately with the flight and our pilot! The facility is welcoming and the ...,True,True
humor,humor,幽默感,Unclassified,125,124,review_c20c8b41bb822484a376265e :: A fantastic trip with views you will never get to see from the ground. Then when you do land at Grand Canyon Village and take the Humvee part of the tour you will be blown away aga...,False,True
dream,dream,梦寐以求的,Unclassified,124,118,review_ef668d028235ca272d5c4969 :: We booked Jason and our guide Tim for a full fly-in fishing day at a high mountain lake.  The experience was one of a kind.  We were the first humans to touch this lake for at leas...,False,True
sorry,sorry,感到抱歉遗憾的,Pity / Regret,123,123,review_ef6e98ea9ae5ecf683f2c34a :: I feel sorry for people who don’t see the Moab area from the air.  It is amazing how different the canyons look from above.  Our Redtail Air Adventures pilot (Dan) did an exception...,False,True
relaxing,relaxing,令人放松惬意的,Relaxation / Calmness,122,119,"review_08f48fdaf869e91746f09240 :: We enjoyed the views very much, our pilot and other staff were very friendly. Very relaxing, never been in a small plane like that before. Ride was very smooth. Pilot pointed out m...",False,True
comfort,comfort,舒适 / 宽慰安心,Unclassified,121,116,"review_7e4c769eacb09e8be1a32d03 :: We have flown with several different services to Roche Harbor on San Juan Island
and we prefer Friday Harbor Seaplanes : the team are all very personable, helpful,
accomodative to ...",True,True
disappoint,disappoint,使失望,Disappointment,121,119,review_6018c2dc358fe6245281efbf :: Awesome experience flying through Miami. Definitely recommend for anyone checking out the city. It will not disappoint. Flight time is 30 minutes but definitely felt way longer tha...,True,True
wonder,wonder,惊奇 / 赞叹,Amazement / Wonder,121,117,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...,False,False
amazed,amazed,感到吃惊惊叹的,Amazement,120,119,"review_8447cef58620bf41f7a0bf9a :: Lindsey and Destiny did an amazing job in the planning of our event. They were so helpful, patient and friendly as they worked through our changes and were very accommodating! The ...",False,True
fear,fear,恐惧 / 害怕,Fear,120,116,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...,True,True
unable,unable,无法的 / 无能为力的,Unclassified,114,110,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,True,False
thrilled,thrilled,极度兴奋的,Unclassified,113,112,"review_bd8c0a2fe49ee9634fbbf7bf :: top notch customer service for an experience that was out of this world. Shane is a fantastic pilot and my kids, 10 and 12, were over the top thrilled with seeing the Cascades wher...",False,True
confidence,confidence,信心 / 确信,Unclassified,112,109,"review_64c85a47e768780264992f7b :: I have traveled much of the world, and the experience of flying past Denali and the other peaks, then landing on the glacier is one of the top five I have had in my life.  The ""lai...",True,True
difficult,difficult,困难的 / 令人头疼的,Unclassified,112,111,"review_5ef922df306a71e19e3c61b6 :: I highly recommend this tour. Despite difficult weather conditions they were able to give us an amazing and safe flight.  Our pilot, Leon was great, we couldn’t have asked for more...",True,True
expert,expert,专家级的 / 娴熟的,Unclassified,112,106,review_a2b3cf2d16dcbbae8fc45f56 :: This was an experience and way more than imagined!  Such an easy day because Westwind Tours took care of everything. Easy flights thanks to Caden and Carla and an amazing experienc...,True,False
honestly,honestly,老实说 / 真诚地,Unclassified,111,109,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,False,True
confident,confident,自信的 / 确信的,Unclassified,109,109,review_488e7f2f65d5a21f1c2e1fc3 :: My husband and I took this tour yesterday and it was fantastic!  Gayle was very helpful when we booked and even called the day before to tell us the what the temperature would be a...,True,True
willing,willing,乐意的 / 愿意的,Unclassified,108,104,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...,False,False
worry,worry,担心 / 忧虑感,Anxiety / Worry,106,103,"review_c7e6af06a116fe685858b33c :: We took the flight over the Grand Canyon to test out a developing air anti collision app . I was a nervous passenger however, I had nothing to worry about thanks to our pilot Ken. ...",True,True
smoothest,smoothest,最平稳的,Unclassified,105,105,"review_5ddfac9805cbd477b8b81816 :: Great experience. Smoothest take off and landing, great mini tour enroute to the islands. Easy navigation to the shuttle at SeaTac....",False,False
positive,positive,积极正面的,Unclassified,101,98,"review_14c77a9024b5a000f3d0a440 :: Unfortunately, this was the one cloudy and overcast day on our trip to Denali.  Would have been so much better on a clear day!  That being said, it wasn't the fault of this company...",False,True
surreal,surreal,超现实的 / 梦幻般的,Unclassified,98,98,"review_874d3d004ca2d69a954110e8 :: Our family took Northwest Seaplanes from Renton to Friday Harbor, then to Nootka Sound, and finally back to Renton.  Shane, our pilot from Renton to Friday Harbor, was excellent, p...",False,False
