user_name,user_location,rating,rating_text,review_title,review_text,trip_type,helpful_votes,published_date,tour_name,has_photo
Adam S,,5,Oct 2023 • Family,Amazing Staff!,We accidentally booked our flight on the wrong day but the the pilot Diego and owner Mahamoud helped,Family,0,2023-10-26,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Oumaima S,,1,Oct 2023 • Couples,HORIBLE,The experience must never be repeated! The ride was dizzying with an incompetent pilot without a co-pilot and the microphone that didn't work and at the exit we paid 90 dollars more. Pure scam,Couples,0,2023-10-16,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Ahmed E,,5,Sep 2023 • Family,Excellent,"Great ! 
It was very nice and the most beautiful journey we have ever taken 
The atmosphere was incredible and the pilot was very pleasant 
I advise everyone to try it",Family,0,2023-10-10,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Margarita G,"Austin, TX",3,Sep 2023 • Family,Nice views,"When we got there it was sort of confusing on where to go but we were able to find it eventually. We were excited for the tour but as we got in the plane, it was a bit small uncomfortable and you can tell the plane was older. Once we were in the air, the doors weren't very stable and i was afraid they would open at any moment. The worst part was probably the fact that there was no sort of A/C or at least a fan inside so it was HOT. The tour overall was nice but i think there should be some upgrades on some of these things.",Family,0,2023-09-26,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Angel D,,5,,Miami!! 2023,The address took me to a building next to them but I was able to find them afterwards. It was great experience overall definitely recommend doing it!,Unknown,0,2023-08-27,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Rebecca R,,5,,Miami from another perspective,"We had a nice and fast check-in, waited for about 10 mins before heading out to the aircraft.  Our pilot Sergio was very kind and explained a lot of the things we saw while flying over Miami. Unfortunately we had to head back to the airport due to an incoming storm. But we are still happy that we had this kind of experience.",Unknown,0,2023-08-12,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Miesha F,,5,Jul 2023 • Couples,Great experience overall,I took my boyfriend for his birthday and we had a lot of fun. It was a little rocky but we came back safe and sound. Only thing that made me nervous was the pilot keep looking at his phone. Im not sure if his phone was guiding him or if he was texting. Would definitely do this again. And I also recommend my friends and family to try it at least once.,Couples,0,2023-07-24,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Lena L,,5,Jul 2023 • Friends,Beautiful,"Thank you for this experience, it was great, beautiful scenery. The duration of 30 is very good to see everything.",Friends,0,2023-07-17,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Candice D,,5,Jul 2023 • Friends,amazing,when we were below the sea it was wonderful and seeing the buildings. it waw an amazing vieux so thank you,Friends,0,2023-07-17,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Marcel,"Celle, Germany",5,,Miami Rundflug,War sehr gut. Brliianter Flug. Wir waren sehr zufrieden. Guter pilot und guter Flug. Sehr angenehm. Gerne wieder. Schöne sicht,Unknown,0,2023-07-14,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Karthik S,,5,Jul 2023 • Couples,Great experience,"The experience was really good and the   pilot was really good. The journey and the view is too good, it's a must have experience",Couples,0,2023-07-11,12-392_Eagles AirLine_attraction_review_2025-02-27,0
ullasini b,,5,,Must have experience in Miami!,"Wonderful experience !!Having to watch spectacular view from private air tour.
Had great fun going through a private tour from eagle tours.",Unknown,0,2023-07-11,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Romeo S,,5,Jul 2023 • Family,Lifetime experience,Its was Amaizing trip and a lifetime experience to see all the Miami south beach from above clearly,Family,0,2023-07-11,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Kilangi M,,5,Jul 2023 • Family,Great Experience,It was a good trip and memorable one to see all the south beach part oF Miami Beach From above clear,Family,0,2023-07-11,12-392_Eagles AirLine_attraction_review_2025-02-27,1
rachida a,,5,Jul 2023 • Family,Une journée magique,"Magnifique expérience. De beaux paysages ,exceptionnel voyage émotionnel à travers ce vol avec un pilote professionnel c était magic",Family,0,2023-07-11,12-392_Eagles AirLine_attraction_review_2025-02-27,1
abdelkader a,,5,Jul 2023 • Family,Excellente expérience,"Nous avons adoré notre activité.  Ce fut une excellente expérience, un bon pilote et tout en douceur",Family,0,2023-07-11,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Kendra D,,5,Jul 2023 • Friends,21st Birthday Trip,Amazing. Exhilarating. We got so many pictures and the view was amazing and it was safe. The pilot was great and we also received polaroid pictures to have as memory. We loved it.,Friends,0,2023-07-08,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Yariana B,,5,,Fun! Warning don’t eat beforehand,"Aside from my nausea, I had great time. Friendly staff, quick and easy. you can take pictures with your headset and it’s great to do with friends. just don’t eat before you board.",Unknown,0,2023-07-08,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Thanairy L,,5,Jun 2023 • Friends,"Good costumers service , nice place","Very beautiful and nice view, we had very excellent flying time , the driver was very respectful kind , it made me feel comfortable , definitely will invite more friends for the tour ⭐️⭐️⭐️⭐️⭐️",Friends,0,2023-06-30,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Cynthia R,,5,Jun 2023 • Friends,Girls trip,It was amazing the guys was really friendly even helping me with my fear of heights will definitely come back !!!,Friends,0,2023-06-30,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Lorine L,,5,Jun 2023 • Family,AMAZING,"Superbe accueil, le personnel est très gentil! une expérience inoubliable 
Je recommande Eagles air tours 😃",Family,0,2023-06-20,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Julie L,,5,Jun 2023 • Family,Amazing,"Une expérience au top, je recommande cette activité ! 
C’était génial ! Et le temps était au rendez vous",Family,0,2023-06-20,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Nicole A,,5,Jun 2023 • Family,ESPERIENZA FANTASTICA,"Esperienza eccezionale, qualità prezzo ottima, consiglio vivamente questa compagnia, anche più di 30 minuti!",Family,0,2023-06-20,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Giorgia R,,5,Jun 2023 • Friends,Bellissima esperienza,"Esperienza bellissima, consigliatissimo per ogni viaggiatore sorvoli Miami beach, perfetto per una bella giornata",Friends,0,2023-06-20,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Daria D,,5,Jun 2023 • Couples,Cool view and experience,"It was very cool tour. Our pilot Giovanni was very professional. We recorded so awesome videos.
I am highly recommend this tour",Couples,0,2023-06-20,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Роберт Д,,5,Jun 2023 • Couples,Good customer service,"I really liked it, beautiful views and a professional pilot Giovanni, I recommend it to everyone who is interested in seeing Miami from above",Couples,0,2023-06-20,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Can C,,5,Jun 2023 • Couples,"Great, awesome views, great customer service!!!","It was one of the best experience i ever had. 
The mist beautiful views, you can catch. 
We will do it again, when we come back to miami.",Couples,0,2023-06-20,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Erick C,,5,Jun 2023 • Friends,Great experience,"Estuvo muy genial la experiencia, yo puedo recomendar para cualquier persona ya que es algo que no se puede realizar con facilidad.",Friends,0,2023-06-19,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Brandon L,"Bogota, Colombia",3,,Buena pero mejorable,"La experiencia es estupenda, estar en el aire en este tipo de aviones es emocionante, pero debe mejorar algunos detalles para que sea una calificación de 5 estrellas. Ya que a pesar de que logras unas bonitas vistas de Miami, la descripción del tour promete sobrevolar por South Beach y Downtown pero el avión no llega hasta allí sino que se ven estas dos zonas a unos 6-8 kilómetros de distancia. 

Aparte de esto, uno de nosotros(éramos 3 pasajeros) tuvo que estar sin audífonos o headset durante el vuelo ya que no había, por lo qué no se escucha muy bien al piloto cuando él hablaba y el ruido era ensordecedor. Igualmente se destaca que el piloto intentó remediar esto al repetir lo que decía para que todos estuviéramos al tanto de sus explicaciones, pero aún así no se entendía mucho por momentos. 

Me gustaría repetir pero con el mejoramiento por parte de la compañía de estos aspectos descritos. Sumado a que no hay una oficina de la compañía en el aeropuerto sino que son los pilotos que están a cargo de atender, brindar documentos y de volar, claramente.",Unknown,0,2023-06-14,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Rawan T,,5,Jun 2023 • Couples,Best airplane tour,"it was more than great trip!! definitely will recommend them everywhere and to everyone! they are the best, we had more than the time we reserved! thank you!",Couples,0,2023-06-08,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Shania R,,5,Jun 2023 • Friends,Best Tour!,"Giovanni was an excellent pilot and guide. He has a vast knowledge of the area, and landed the plane smoothly. I would definitely recommend this tour to anyone!",Friends,0,2023-06-06,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Chris W,,5,Jun 2023 • Couples,30min tour,We arrived at 11:30 we were well served by the team it was a great experience I would suggest to tourists like me. Great views also 100% would recommend:),Couples,0,2023-06-06,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Abderrezak F,,5,,View and quality,Excellent views and nice landing. The staff was incredibly welcoming and helpful. I would definitely come back! Price is good,Unknown,0,2023-06-06,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Daniely S,Contagem,5,Jun 2023,Amazing customer service,"I loved the flight, and I felt very safe, an amazing experience to have the opportunity to see Miami from above.",Unknown,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Ruby O,,5,Jun 2023 • Couples,An experiment of a life time,It was a wonderful flight enjoyed every minute of it would do it again just for fun would love for anyone to try it’s a great experience,Couples,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,1
jorge j,,5,Jun 2023 • Couples,Amazing,Amazing view and very skilled pilot. Beautiful weather very present staff. Definitely an experience of a life !,Couples,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Chason R,,5,Jun 2023 • Friends,Great price great tour!,Great trip and all service was well taken care of. Plane views were great and price was extremely reasonable,Friends,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Franzi,,5,Jun 2023 • Couples,Amazing experience,Amazing experience! We felt very safe and had such a great time during the 30 mins flight. Would do it again!,Couples,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Hendrik A,,5,Jun 2023 • Friends,I can recommend it!,"Very nice trip!  I liked it a lot!  Fantastic overview about Miami South Beach!   
The pilot explains us a lot ,quote nice!",Friends,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Teresa N,,5,Jun 2023 • Friends,Wonderful experience,It was an amazing experience! Absolutely recommended to anyone who wants to explore Miami and see the city from above,Friends,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,0
daniel m,,5,Jun 2023 • Friends,Great flight,"That was a very great experience.
I love it  
Best time ever in Miami 
Jetzt hab ich Hunger für drölf  !!",Friends,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Teresa & Marcel,"Stuttgart, Germany",5,Jun 2023 • Friends,Great flight,War eine super Erfahrung und ist jeden Euro wert! Und fliegt über Miami und hat ein super Blick auf die Stadt!,Friends,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,0
David S,"Stuttgart, Germany",5,,Must do in Miami,"Great experience and really fair price! The booking, the flight and organisation was great. Would definately recommend this!",Unknown,0,2023-06-04,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Neyling J,,5,Jun 2023 • Friends,Excelente servicio del recorrido de 30 minutos,"Es un lugar impresionante, súper recomendado y muy buen servicio. Lo repetiría mil veces más, las vistas impresionante, el piloto, súper atento.",Friends,0,2023-06-03,12-392_Eagles AirLine_attraction_review_2025-02-27,1
urša V,,1,,No human touch - bad experience,"We got food poisoning the day before the scheduled flight. We sent them the email and call to ask them to refund back, since we are in such a condition. They didnt answer at all, they didnt react, they charged and sent us thank you letter. So unprofessional and without any human sense.",Unknown,0,2023-06-02,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Dolapo A,,5,Jun 2023 • Couples,The view was top notch,"This was a great experience, the best recommendation; definitely coming back.

Seeing the Miami view from the top was amazing",Couples,0,2023-06-02,12-392_Eagles AirLine_attraction_review_2025-02-27,0
akua k,,5,Jun 2023 • Friends,Great Experience!,The tour was very nice. The staff were professional and friendly. It was beautiful seeing Miami from a helicopter tour. Definitely recommend.,Friends,0,2023-06-02,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Fadwa S,,5,May 2023,Best experience,"The stuff is so nice even though we came late, the pilote was very professional
Awesome experience 
I highly recommended",Unknown,0,2023-05-30,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Bella C,,5,,Beautiful day and sunny day up in the sky,"Even though we were late,Eduardo and his team still took us up and made our experience unforgettable.highly recommend",Unknown,0,2023-05-30,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Sunshine04843000314,,5,May 2023 • Friends,Must do if you come to Miami!,Excellent flight. Pilot gave good details on facts and information of the city. Very glad me and my friends did this.,Friends,0,2023-05-30,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Alex M,,5,May 2023 • Friends,Miami helicopters tour,The pilot was very professional and made us feel very safe throughout the journey. Can’t complain with the service from the start to the end. Everything was explained well,Friends,0,2023-05-30,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Clarence W,,5,Mar 2023 • Friends,Plan ride,It was an awesome experience definitely recommend it. Our flight was smooth and our pilot was really knowledgeable,Friends,0,2023-05-29,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Emerald Q,,5,May 2023 • Friends,Miami plane tour,Our pilot was very polite and a lot of fun! 10 out of 10 would do it again! Thank you for the great tour,Friends,0,2023-05-29,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Luana N,,5,May 2023 • Couples,Breathtaking experience,"Breathtaking experience!!! We do 100% recommend! 
The tour was amazing and the pilot was very friendly.",Couples,0,2023-05-25,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Andreas W,,5,May 2023 • Couples,100% DO IT,Was really an amazing experience! We did it at 6:30 pm. Great views and sunset! The staff was very very nice and truly did their best to make this an amazing experience!,Couples,0,2023-05-25,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Obeng M,,5,May 2023 • Friends,EXPERIENCE OF A LIFETIME,Awesome experience flying through Miami. Definitely recommend for anyone checking out the city. It will not disappoint. Flight time is 30 minutes but definitely felt way longer than that. View was also spectacular! The pilot gave a great narrative as we flew through the different spots. 10/10!,Friends,0,2023-05-25,12-392_Eagles AirLine_attraction_review_2025-02-27,1
jim j,,5,May 2023 • Friends,Amazing,Absolutely amazing. Good customer service. I’m afraid of heights but the pilot made me feel very safe. I will do this again.,Friends,0,2023-05-25,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Veronika R,,5,May 2023 • Couples,Es war super,Sehr tolle Erfahrung Miami von oben zu sehen. Schöne Fotos gemacht. Super netter Pilot (Giovanni) der auch gut fliegen kann 😉,Couples,0,2023-05-24,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Elmo L,,5,May 2023 • Couples,Awesome,"Awesome experience very fun.pilot was full of knowledge. Flew over the city of Miami , downtown and south beach",Couples,0,2023-05-21,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Johanna O,,5,May 2023 • Couples,Best experience..,It’s was AMAZING!! Definitely recommend.. The pilot Sergio and Manager Omar both were very friendly and professional. I felt so safe as well. Definitely will do it again Hands Down.. Thank you guys,Couples,0,2023-05-21,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Dominique M,,5,May 2023 • Couples,Very good,"This is an amazing experience, great customer service really enjoyed it seeing all of Miami from above highly recommend it.",Couples,0,2023-05-20,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Charline P,,5,May 2023 • Couples,Very customers service,"This is a very good and funny experience! Very customer services ! 
I recommend very well this activity!",Couples,0,2023-05-20,12-392_Eagles AirLine_attraction_review_2025-02-27,0
tori g,,5,May 2023 • Couples,Birthday,"smooth experience, the pilot was great, customer service was great and accommodating. I would highly recommend!",Couples,0,2023-05-20,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Dipti J,,5,May 2023,Great customer service!,Great customer service highly recommend it pilot was a great guide the whole time a very enjoyable experience for anyone visiting miami.,Unknown,0,2023-05-20,12-392_Eagles AirLine_attraction_review_2025-02-27,0
jayu-anirudh,"Mumbai, India",5,,Great customer service,It was awesome experience.  Must to do.  Very very very enjoyable highly recommend for everyone.  Enjoy the ride great views of miami.,Unknown,0,2023-05-20,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Frank A,,5,May 2023 • Friends,Recommend it!,"Today I flew with my friends, We had such a good time! The pilot was very friendly and a good tour guide especially if you’re  not familiar with the area. The pilot was super patient when taking our photo as well 10/10 would recommend to anyone for a fun unique experience! The company also is very communicative and was a very easy process to enjoy!",Friends,0,2023-05-19,12-392_Eagles AirLine_attraction_review_2025-02-27,0
lamianajim,"Casablanca, Morocco",1,Mar 2023 • Couples,"i don,t recomande. liars and thiefs","I don't recommande this company, they charged me too times when i wanted to schedual  for another hour (due to traffic) the tour is less then the time they said it will be. better choose another company.",Couples,0,2023-05-17,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Sunshine55648710580,,5,May 2023 • Couples,"Excellent trip, beautiful city, friendly staff","We enjoyed the views very much, our pilot and other staff were very friendly. Very relaxing, never been in a small plane like that before. Ride was very smooth. Pilot pointed out many interesting things along the way, was very knowledgeable about Miami. We got some ideas on what to do in the next few days from the air, saw the hotel where we would be staying later that day. Plenty of parking for our rental car when we got to the meeting location (it's a small airport). Overall very relaxing. Would recommend.",Couples,0,2023-05-14,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Marco D,,5,May 2023 • Couples,Great experience,Awesome experience recommend it good pilot explaining everything was around us very profesional and carful with everything on the trip,Couples,0,2023-05-12,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Explore814700,,5,,Super nice,"For this price it is definitely worth it
You have a super nice view of all of Miami
especially around 7:30 p.m. it is super nice with the sunset",Unknown,0,2023-05-11,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Laura P,,5,May 2023 • Friends,Great experience!,It was great! Went on the 7:30 flight and saw the sunset…would definitely recommend to choose this one.,Friends,0,2023-05-11,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Patrick N,,5,May 2023 • Friends,Enjoyed the flight,A super trip 👍🏽. Great explanations and a great team. Keep up the good work guys. 🤗 I can only recommend it to take a flight.,Friends,0,2023-05-11,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Matt Y,"Cleveland, OH",5,May 2023 • Couples,Amazing views,30 min flight felt like an hour! Super fun! Will be back next time! Employees were very nice and helpful,Couples,0,2023-05-11,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Reiner M,"Berlin, Deutschland",5,,"Eine tolle Tour, die ich auf jeden Fall empfehlen kann. Unkompliziert, fairer Preis und hat meine Erwartungen übertroffen.","Eine tolle Tour die meine Erwartungen übertroffen hat. Sehr unkompliziert, fairer Preis, nettes Personal, alles top.",Unknown,0,2023-05-07,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Bernard A,,5,May 2023 • Couples,I will recommend Eagle Air tours,"This was amazing, Pilot was nice and showed us the whole downtown. I will do this again any time I come down to Miami.",Couples,0,2023-05-06,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Yailin M,,5,May 2023 • Couples,Miami trip,Super dope… had so much fun … a wonderful experience definitely recommend when coming to miami awsome,Couples,0,2023-05-05,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Sophia O,,5,,Awsome experience,"Great experience gret pilot, it s really woth it . 
I recommand you to try it its really worrh it. I was late to
My appointment but they waited for me really great service",Unknown,0,2023-05-04,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Allard J,"Lloret de Mar, Spain",5,,Prachtige date,"Was top heel mooi ❤️ het liefste hebben 

Hoe wil ik testen:
Testen via google forms via de mail of link 
Testen via de glide app 

Testmethode:
Via split test om te kijken wat de medewerkers willen 

Show en tell 
Powerpoint maken 
MVP 
Waarom deze MVP
Waarom kan je hiermee de killer aannames gaan testen 

Mijn testkaart 
Mijn studiemodel 
Hoe ga ik m'n klant benaderen 
Hoe ga ik het meten

conciërge MVP: omdat ik met de klant alle stappen wil doorlopen zodat ik feedback kan ontvangen en verwerken over wat de medewerkers het liefste hebben",Unknown,0,2023-05-02,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Николай К,"Irving, TX",5,May 2023 • Couples,Perfect birthday present,It was amazing to fly over Miami downtown and South Beach. It is a lifetime memory for sure. Friendly and professional team. Thank you!,Couples,0,2023-05-01,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Idelsy L,,5,May 2023 • Couples,Gorgeous views,Beautiful views of the beach and downtown skyline! Had so much fun. Very romantic. The pilot was very professional.,Couples,0,2023-05-01,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Curious23778098368,,5,May 2023 • Couples,Awesome flight.,"The pilot was amazing, very smooth take off and landing is perfect. Great views and great comments from the pilots on locations.",Couples,0,2023-05-01,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Sherell H,,5,Apr 2023 • Friends,AMAZING !!!!,"This tour was great for our first time ! The pilot was very nice & made us feel super comfortable during the ride .  The city looks beautiful at night, take a late reservation !",Friends,0,2023-04-25,12-392_Eagles AirLine_attraction_review_2025-02-27,1
carlos f,,5,Apr 2023 • Friends,recommend trip,"Great Experience ever, ever . I would highly recommend to everyone . Best experience ever ever, don’t miss on this",Friends,0,2023-04-23,12-392_Eagles AirLine_attraction_review_2025-02-27,0
María G,,5,Apr 2023 • Friends,The best experience!,"I was scared at first, this is my first time and I didn’t know what to expect but it was a great experience and I’d definitely do it again. I’ll come back for sure!",Friends,0,2023-04-23,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Maria Paula B,,5,Apr 2023 • Couples,Amazing!!!!!!!,"Espectacular!!! La vista increíble, Joel nuestro piloto nos explicó todo, muy amable. Súper recomendado :)",Couples,0,2023-04-22,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Elia R,"Gilly, Switzerland",5,Apr 2023 • Friends,Plane tour,"The tour was amazing. I definitly recommend it.
The pilot was very helpful and give really Good informations",Friends,0,2023-04-22,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Jérémy Q,,5,Apr 2023 • Friends,Perfect,"Perfect flight.
A very good experience. 
Comments are awsome.

Excellent vol, très bonne expérience.
Parfait",Friends,0,2023-04-21,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Nataliya K,,5,,Great experience with 30 min private flight over Miami.,Excellent experience! I recommend taking a 30 min flight over Miami. We took it on our first day of visiting the city and it was amazing.,Unknown,0,2023-04-18,12-392_Eagles AirLine_attraction_review_2025-02-27,1
anusha a,,5,Apr 2023 • Couples,Private jet ride,"Its really a great experience.
Pilot is very friendly . He has communicated very well. We flew for 30 minutes. Its worth flying.",Couples,0,2023-04-14,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Explorer,"Miami Beach, FL",1,Apr 2023 • Friends,Negative experince,"I booked this tour as a gift long time ago, but the company cancelled the tour.. Very unprofesional.",Friends,0,2023-04-12,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Sofia F,,5,Apr 2023 • Couples,I HAD SO MUCH FUN!!!,"I HAD SO MUCH FUN! I wanted to do something especial with my boyfriend,I loved this experience.they’re super professional and friendly.it was wonderful tour to see those views,without a doubt i will repeat it .",Couples,0,2023-04-11,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Micheal F,,5,Apr 2023 • Couples,Such a great unique Experience,"It was such a great unique experience, I was looking for something unique to do on the weekend with my girl.so I decided to book a flight tour ,This company provides excellent service, very friendly, very accommodating. I recommend booking with this company if you are looking to see Miami from another perspective .",Couples,0,2023-04-11,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Kat M,,1,Apr 2023,Cancelled our tour,"The cancellation of the tour aside, the conduct of the company was troubling and needs improvement. They lack customer service.",Unknown,0,2023-04-11,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Ge G,,5,,The greatest!!!!,"The greatest experience!!! 
I highly recommend doing this, you won’t be disappointed, we flew at night and really the view was spectacular!!! 

Sergio was our pilot and he was great!!!!",Unknown,0,2023-03-02,12-392_Eagles AirLine_attraction_review_2025-02-27,1
