user_name,kept_in_master_tour,deleted_duplicate_tour,kept_review_title,deleted_review_title,review_text_snippet
193nevilled,"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",10-1549_Marverick Helicopter_attraction_review_2025-02-27,Helicopter Flight,Helicopter Flight,"Try 45 minute helicopter flight by Maverick over the north and south rims of Grand Canyon - fantastic.

Cost you say! Yes helicopter flights are usual"
1Traveling2000,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,"Great company, great experience","Great company, great experience","My wife and I were very happy with every aspect of our morning with Wings Over Kauai.  The pickup location was convenient to our cruise ship, their gr"
1busyman,30_115_Grand Canyon Landmarks Tour by Airplane with Optional Hummer Tour2025-03-01,8 -690_Grand Canyon Scenic Airlines_2025-02-27,Spend the money,Spend the money,Way to much comprehending needed from the ledge view available by the park services! Spend the money and let thr experts show you natures beauty first
1wanderlost,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,K2- Denali Flyer experience.,K2- Denali Flyer experience.,"Family of 8 travel to Alaska in August 2021.  K2 was able to accommodate us all on the same flight.
Weather was perfect, clear and sunny.  We had the "
2012Anonymous2012,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Fantastic Flight!,Fantastic Flight!,"We loved Wings Over Kauai.  We were looking for a lower-priced option than a helicopter ride to get a nice look at the Na Pali coast and Kauai, and th"
2016Kenny,28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,K2 Aviation,Views like a James Bond movie,Views like a James Bond movie,This is a very well run and professional company.  Our pilot provided a good explanation of what we were seeing and turned the plane around so passeng
20th Anniversary couple,TripadvisorReviewScraper, TripadvisorReviewScraper,Amazing views within a rainbow,Amazing views within a rainbow,"My husband enjoyed being copilot on this airplane. I got to sit in the back of the plane, which allowed us to get different perspectives for videos an"
251scott,TripadvisorReviewScraper, TripadvisorReviewScraper,A flight with a view,A flight with a view,"Flying open air, low and slow is absolutely the best way to see Kauai. My wife and I drove the entire island and would have missed most of its beauty."
254cindy,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Excellent Air Tour!,Excellent Air Tour!,This is a fantastic way to see Kauai and especially the Napali Coast and the waterfalls.  Our family of six loved this airplane ride.  This is definit
269raulg,TripadvisorReviewScraper, TripadvisorReviewScraper,Awesome aerial tour of Kauai,Awesome aerial tour of Kauai,We had a great pilot and saw so many sights that we would have missed otherwise.  Definitely would plan this excursion again!
2dollargeorge,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Wings Over Kauai - A Cut Above,Wings Over Kauai - A Cut Above,"Knowing that my wife, Valerie, wouldn't consider a helicopter experience over the island, (neither would I) I researched WOK and talked her into the f"
310clovera,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,Please don’t miss doing this flight,Please don’t miss doing this flight,"AMAZING !! BEYOND ALL EXPECTATIONS 
The views you will see from the aircraft can’t be described 
The service of the staff is unreal 
Our pilot JOE was"
313acep703,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,Best experience we've had in Alaska!,Best experience we've had in Alaska!,We come up every year just to hang out and relax.  Decided this year to take this flight.  We should have done it years ago.  Scheduling the flight wa
321Gillf321,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,The highlight of my Hawaiian holiday,The highlight of my Hawaiian holiday,This is a must do for anyone visiting the island of Kauai.  The scenery and views that you get from taking this small plane is spectacular.  My friend
333lorac,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Fantastic Experience!,Fantastic Experience!,Kimberly set us up for our 50th anniversary flight and it was something very special.  We chose a clear day when the mountain stood tall and clear and
373george,28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,K2 Aviation,Enthusiastically recommend,Enthusiastically recommend,Experienced pilot. Breathtaking views. We landed on a glacier! Pilot was very knowledgeable and personable.
3anja3,TripadvisorReviewScraper, TripadvisorReviewScraper,Great way to see the whole island!,Great way to see the whole island!,Our pilot Bubbs was fantastic he was very knowledgeable & friendly! We could tell he loves his island! The views were spectacular! We saw waterfalls &
3chihuahuas🍹,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,"WOK, what a class ACT!","WOK, what a class ACT!","Everything from the start of email inquiries about the flight, to the finish chatting after the flight is on a very personal level. No being herded th"
464merlot,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Land on a Glacier!,Land on a Glacier!,One of our top experiences in Alaska! Staff at K2 were efficient and helpful and there was a spot to lock up our backpacks since we could not take the
49Charlie,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Well worth it! But buy the DVD and realize that the cabin is being recorded so have some fun! Make it your adventure vid,Well worth it! But buy the DVD and realize that the cabin is being recorded so have some fun! Make it your adventure vid,"For our flight tour we selected Wings Over Kauai.  Absolutely recommend them to you, we got a good price, had lots of time in the air, circled some hi"
4thelvofbeer,29_110_Mountain Voyager Flightseeing tour from Talkeetna_attraction_product_review_2025-03-01,Talkeetna Air Taxi,This place is number 1 for a reason!,This place is number 1 for a reason!,Absolutely phenomenal flight. Our pilot was Chris and he was great. The photos we took are beautiful but do no justice to the breathtaking views throu
50 State Travler,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Flight with Teens,Flight with Teens,The flight was great and seeing the glaciers from the sky was beautiful.  My husband loved the experience in the small 1965 plane and my teens took to
505Green67,17-653-Taquan Air Tours_attraction_review_2025-02-27,19-75_Misty Fjords National Monument Floatplane Tour_2025-02-27,Best excursion of our life!,Best excursion of our life!,"Very organized excursion, got there quick via coach bus, safety video, then off for what has become my #1 excursion of my life! Chuck was our pilot an"
505bc11,22-151-South Side Explorer with Glacier Landing_attraction_product_review_2025-02-27,Talkeetna Air Taxi,Glacier Landing is a Must Do!,Glacier Landing is a Must Do!,"Our Denali flightseeing with TAT is a must do! We weren't sure whether to do a longer flight without a glacier landing, or a shorter one with a landin"
528M,TripadvisorReviewScraper, TripadvisorReviewScraper,A must to do and must to see,A must to do and must to see,Discovering Kauai from the air is a must to do. I think that the plane option is better than helicopter for many reasons. Sure helicopter is more spec
545shar,"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",10-1549_Marverick Helicopter_attraction_review_2025-02-27,Got there in the end,Got there in the end,Having booked for the Friday we had an expected telephone call to say the flight had been cancelled as a great big snowstorm had hit as far as Vegas .
57Lulu,22-151-South Side Explorer with Glacier Landing_attraction_product_review_2025-02-27,Talkeetna Air Taxi,A good experience,A good experience,"Unfortunately, it was cloudy and drizzling on our day of the scheduled ride and we couldn't do the glacier landing route.  I wanted to write a review "
5Nashes,Grand Denali Flightseeing tour from Talkeetna,Talkeetna Air Taxi,Not to be missed!,Not to be missed!,"An incredible, unforgettable experience!  Clay, our pilot, was the best.  He kept us at ease the whole trip and shared some great stories and informat"
60893Mary,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Beat way to see Kauai,Beat way to see Kauai,"We loved Bruce's tour and the wonderful, safe flight over the island - giving the best view ofnthe NaPali coast- we took a great boat tour too, but th"
612holmes,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Amazing views and experience!,Amazing views and experience!,"What an amazing experience! My family, including an adult son who is a private pilot,
took this flight. From the time we met Bruce, the owner, until w"
632caterinac,"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",10-1549_Marverick Helicopter_attraction_review_2025-02-27,Volando libera,Volando libera,"Esperienza spettacolare ed emozionante , mi sono sentita il cuore battere da una forte e bellissima sensazione di libertà!! consiglio vivamente questa"
659PatDavidson,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Great experience,Great experience,From the time I booked this flight online this was the best experience. We were picked up near our cruise ship. Taken to Lihue airport to start our fi
67brickie,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Amazing Experience  - What a Treat!,Amazing Experience  - What a Treat!,Readying to be picked up by the K-2 shuttle at our hotel (Grand Talkeetna Lodge) we were browsing the gift shop when several people mumbled and looked
703matthewd17,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,A great way to see Kauai.,A great way to see Kauai.,"In a bit over an hour we got a wonderful all over view of the spectacular topography and scenery of Kauai from our very friendly, knowledgable and exp"
704Hokie,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,Incredible,Incredible,There really aren't words to describe just how amazing the scenery and views on this experience were. We packed a ton of activities into two weeks in 
71J,45_15_Seaplane Flight From Miami with Lunch in the florida keys _2025-03-06,46_376_Miami Seaplane Tours_2025-03-06,Sea plane visit to Key West,Sea plane visit to Key West,"This was a great experience,our pilot Adriele was fantastic, friendly and provided excellent commentary for our trip. The dining experience could be i"
724dyanah,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,"the only way to experience Denali, Foraker, and Hunter","the only way to experience Denali, Foraker, and Hunter","Everyone in our party thought this was the highlight of our trip to Talkeetna. Our guide, Patrick, was very knowledgeable and willing to answer any qu"
743jackier,TripadvisorReviewScraper, TripadvisorReviewScraper,Unforgettable air tour,Unforgettable air tour,Eric was an excellent pilot and commentator.  He learned our names and personally interacted with each of us during the flight. We had two children on
757josephd,29_110_Mountain Voyager Flightseeing tour from Talkeetna_attraction_product_review_2025-03-01,Talkeetna Air Taxi,glacier flight and landing,glacier flight and landing,"a truly awe inspiring once in a lifetime experience flying between massive rocks peaks and glaciers. 
then landing in a stunning 35 acre Amphitheatre "
79suzannem79,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,An Alaskan highlight,An Alaskan highlight,I am not a fan of small planes & was a little apprehensive about taking this trip which was an add on tour  to Danali after a cruise. We flew from Anc
7DaveP,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,"Great tour, staff and overview of the island!","Great tour, staff and overview of the island!","My wife and I booked w/ Wings largely based upon the amazing reviews on TripAdvisor; we were not let down! Bruce, Ellen and their staff were courteous"
810Baker,"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",10-1549_Marverick Helicopter_attraction_review_2025-02-27,Amazing Canyon Views,Amazing Canyon Views,"So glad we decided to take this tour!  AMAZING views in the canyon. Our pilot, Vern, was knowledgeable about everything related to the Grand Canyon. A"
827denisssss,"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",10-1549_Marverick Helicopter_attraction_review_2025-02-27,10/10,10/10,Everything was great! It was a great experience and I highly recommend this company. It really worths it.
83mvp,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Don't pass this up,Don't pass this up,One of the activities we most looked forward to on our vacation. We were right on the money. The scenery is breathtaking from the air. There is simply
88lizt,"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",10-1549_Marverick Helicopter_attraction_review_2025-02-27,Checked off the bucket list!,Checked off the bucket list!,"It was truly an amazing experience! Seeing the Grand Canyon from high above is even more awe inspiring than just seeing it from the ground, and our pi"
8moose,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Awesome experience,Awesome experience,"We had the best pilot,Steve, and he was so knowledgeable about the area. The views were amazing! They were so accommodating with my husbands limited m"
907AKJoy,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,Flight seeing tour,Flight seeing tour,We came for a flight seeing tour of Denali but due to weather weren’t able to fly that day. I wish I had known to check my email on the morning of the
93jayhawk,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,A must do...if you even thinking about it - JUST DO IT!,A must do...if you even thinking about it - JUST DO IT!,"Today - May 20, 2015 we took this flight (the Cessna tour).  If you read any of the reviews they will tell you how this is a family run operation, tha"
955daveb955,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Wings Over Kauai vs. Helicopter Tour (ALL DAY LONG!!!),Wings Over Kauai vs. Helicopter Tour (ALL DAY LONG!!!),My wife and I recently visited Kauai for our 20th wedding anniversary and wanted to do something memorable on this beautiful island.  After reading th
A B,22-151-South Side Explorer with Glacier Landing_attraction_product_review_2025-02-27,Talkeetna Air Taxi,Nothing Like It,Nothing Like It,AMAZING!  Glorious views.  Fun flight. Informative pilot. Getting to walk around on a glacier! Did this 10 years ago. Came back w/ my family.
A C,Grand Denali Flightseeing tour from Talkeetna,Talkeetna Air Taxi,unforgettable,unforgettable,"Perfectly clear day, went in mid june on the grand denali tour with glacier landing. The views were unreal and we'd recommend the glacier landing, wor"
A H,32_2137_Maui Plane Rides_2025-03-04,31_745_aMaui -PRIVATE- Air Tour 5 Islands (2-5 people) SEE Even MORE!_2025-03-02,Incredible,Incredible,The flight was safe and the pilot was very knowledgeable. We felt comfortable and got a lot of history. Highly recommend.
A H,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,"Simply, it's a must-do activity on Kauai.","Simply, it's a must-do activity on Kauai.","When you live on Kauai, you have the ability to pick and choose. One of our best choices (other than making the decision to move here) was picking to "
A M,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Couldn't ask for more,Couldn't ask for more,"From our first contact with Ellen, to the completion of our plane trip over the island with Bruce, we couldn't have asked for more!  Not being sure wh"
A Tripadvisor Member,"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",10-1549_Marverick Helicopter_attraction_review_2025-02-27,Two thumbs up,Two thumbs up,我们在大峡谷停留了两个晚上，第二天下午安排了Maverick’s的Canyon Spirit。整体飞行时间大概是45分钟，登机前工作人员给予了比较充分的安全须知说明，包括在柜台时客服还给了我们详细的中文清单须知。因为直升机的空间有限，同时受重量影响，一般任何小包（包括双肩包或手提包）都是不能带的，随
A.Blouin,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,34_566_attraction_review_2025-03-04,Amazing Service and WOW factor!!!,Amazing Service and WOW factor!!!,"Lindsey and Destiny did an amazing job in the planning of our event. They were so helpful, patient and friendly as they worked through our changes and"
AAARGH_OH,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Great overview of the entire island,Great overview of the entire island,"This is a fantastic way to see much of Kauai in a 1 hour flight. The pilot, who grew up on the island and is a native Hawaiian, was very knowledgeable"
ACMC,32_2137_Maui Plane Rides_2025-03-04,31_745_aMaui -PRIVATE- Air Tour 5 Islands (2-5 people) SEE Even MORE!_2025-03-02,Fantastic!,Fantastic!,Highly recommend booking a flight with Eric as a way to kick off your trip to Maui.  We got a beautiful overview of the islands and even saw many whal
ACMik,Grand Denali Flightseeing tour from Talkeetna,Talkeetna Air Taxi,True Denali park experience,True Denali park experience,"I've flown numerous airplanes (and jumped most of them as well) and have to say, that flying with Paul was a great and pleasant experience. These guys"
ACNorm,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Personal-warm great experience-reserve now!,Personal-warm great experience-reserve now!,I am a private pilot from Montreal Canada just wanting to brush up on flying hours in a great distinctive Kauai setting.   Do not hesitate to reserve 
ACR,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Fun Viewing Kauai from the air,Fun Viewing Kauai from the air,We enjoyed our air tour of Kauai flying Wings Over Kauai in their six seater fixed-wing aircraft.  Wings Over guarantees a window seat on the right si
ADH70,TripadvisorReviewScraper, TripadvisorReviewScraper,Amazing,Amazing,"Incredible flight over a real-life Jurassic Park. Absolutely breathtaking views from the plane. It’s hard to describe, and the photos don’t do it just"
ADL,32_2137_Maui Plane Rides_2025-03-04,39_244_Romantic Sunset Champagne -Private- Maui Air Tour Intimate & Spectacular!_2025-03-06,Excellent ride,Excellent ride,"Amazing guide, super knowledgeable and kind.  Thanks for a lovely sunset ride.  Super detailed info about our trip.  Felt so safe and secure too.  Hig"
AGrueller,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Excellent,Excellent,"Service and flight were excellent, Bruce is a great pilot and guide.  A very personal and friendly family run operation and after deciding to book thi"
AJ,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Denali can only be experienced up close…,Denali can only be experienced up close…,"I was skeptical about spending the money for the additional glacier landing, but the sites are just jaw dropping. There is no other way to fully under"
AJ L,28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,K2 Aviation,Awesome Adventure,Awesome Adventure,K2 does a great job working with you and making sure you have the best possible experience. While they cannot control the weather do a good job stayin
AJ.Q,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Don’t miss out on beautiful views!!!,Don’t miss out on beautiful views!!!,Very awesome company!! Would recommend to anyone! Really exciting way to see Alaska! Very cool view of Denali! Everyone wears headphones to hear and t
AJB,17-653-Taquan Air Tours_attraction_review_2025-02-27,19-75_Misty Fjords National Monument Floatplane Tour_2025-02-27,EXCELLENT! GO FLY WITH JAKE,EXCELLENT! GO FLY WITH JAKE,I booked a tour to Misty Fjords. We were greeted by friendly staff and smiles all around. The process was easy and organized. We watched a simple vide
AJSCalifornia,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,No Competition,No Competition,Wings Over Kauai is not only an amazing value but an experience of a lifetime!  My husband and I both felt that it was the best part of our trip.  A f
AK FlyFish Girl,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,The GREAT ONE... Was Definitely GREAT!,The GREAT ONE... Was Definitely GREAT!,HAPPILY checked off an item on my Bucket List!  I have been blessed to get to fly to many areas in Alaska in small airplanes and to enjoy the float pl
AKS227,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Safety and Promptness.,Safety and Promptness.,Our pilot was competent and professional.He gave a running commentary throughout. We felt safe at all times.I would definitely recommend K-2 sightseei
AKTraveler50,28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,K2 Aviation,Glacier Landing!,Glacier Landing!,We had always wanted to do the Ruth Glacier landing so we booked the Denali Grand Tour with the landing on the glacier. We had a great day of clear sk
AKdogs,29_110_Mountain Voyager Flightseeing tour from Talkeetna_attraction_product_review_2025-03-01,Talkeetna Air Taxi,Best flight seeing ever,Best flight seeing ever,I can't put into words how fantastic this was. We were gasping with wonder and delight pretty much the whole time. Pretty sure that if I could have op
AKrocks11,17-653-Taquan Air Tours_attraction_review_2025-02-27,19-75_Misty Fjords National Monument Floatplane Tour_2025-02-27,Bucket list,Bucket list,"Everything from booking, transportation, safety, boarding, etc, went very smoothly.  This is a well run operation with great people, facilities, and p"
AKtravtrio,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,Will definitely return!!!,Will definitely return!!!,"We flew with Dan in the Otter, the last flight of 
the day. His greeting to us was polite & he was an apparent plane guy from the get go. The safety b"
ALEX H,TripadvisorReviewScraper, TripadvisorReviewScraper,Good experience,Good experience,"Great experience nice service. Everything is very smooth. We are a family of six, and we have the entire plane to ourselves."
ALR417,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,34_566_attraction_review_2025-03-04,Perfect day,Perfect day,We were so fortunate to take a tour to the Grand Canyon on our recent trip out to Phoenix.  From the initial booking with Lindsey to our wonderful pil
AM,"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",10-1549_Marverick Helicopter_attraction_review_2025-02-27,A must do for the best view of the Grand Canyon!,A must do for the best view of the Grand Canyon!,"This was a birthday gift for my husband.  We had a perfect morning to view the Grand Canyon, the weather was amazing, our pilot Josh was great...he ca"
AMJ,32_2137_Maui Plane Rides_2025-03-04,31_745_aMaui -PRIVATE- Air Tour 5 Islands (2-5 people) SEE Even MORE!_2025-03-02,Highly recommend!!,Highly recommend!!,"Wonderful exposure with breathtaking views and a knowledgeable, friendly tour guide/pilot, Eric. He was great with my young autistic son, and we all l"
ANSKY “The Bat in the Hat”,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Flight cancelled wildfire smoke,Flight cancelled wildfire smoke,Flight was cancelled due to wildfire smoke and ultimately for safety reasons. I’m leaving this review as a testament that K2 Aviation only flies when 
ANTHONY S,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Must Do,Must Do,"Decided to spend the money on a flight tour of Denali. For a family of 5, it’s quite expensive...but...
worth every penny.  My God, the scenery from a"
AP2019,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,34_566_attraction_review_2025-03-04,Fantastiskt,Fantastiskt,"Bra ordning och service, tydlig kommunikation betr. bokning, bra guider. Piloterna gjorde att man kände sig säker under flygturen. Vyerna var fantasti"
ARJ5488,32_2137_Maui Plane Rides_2025-03-04,31_745_aMaui -PRIVATE- Air Tour 5 Islands (2-5 people) SEE Even MORE!_2025-03-02,Amazing views!,Amazing views!,Was amazing views not to be seen from the ground!  We had an terrific time - loved that my daughter had the opportunity to fly the plane!
ARLB,TripadvisorReviewScraper, TripadvisorReviewScraper,Great tour and company,Great tour and company,Wonderful experience (with the company and the flight)!  I called during a very busy week looking for a flight when everything on the island was booke
ART1962,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Jurassic World meets Awesome World,Jurassic World meets Awesome World,"Flight 11 July 2015 - Didn't tell my 3 kids (ages 28, 22 and 18) we were going on this until we got to the airport and were checking in.  I highly rec"
AVDude,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Great alternative to the $$$$ Helicopter flights.,Great alternative to the $$$$ Helicopter flights.,I took my family on the Wings over Kauai flight and it was a great experience and was about HALF the cost of a helicopter tour. Customer service and f
AWal,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,A must-do tour,A must-do tour,"Though I had some trouble reaching Ellen by email with some questions about booking, we got everything worked out and I booked the flight time of my c"
AYN7,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Wonderful tour!,Wonderful tour!,We highly recommend Wings Over Kauai over helicopter tours.  We had the most wonderful birds eye view of the island in extremely relaxed and stable fl
AZSCOTT,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,K2 Aviation,Highly Recommend!  Was a family favorite experience!,Highly Recommend!  Was a family favorite experience!,We had a wonderful trip to Alaska and this adventure was one of our family's favorites.  We had a clear day so we felt very fortunate to be able to se
Aaron A,32_2137_Maui Plane Rides_2025-03-04,40_174_Maui Circle Island-PRIVATE- Air Tour up to 5 Waterfalls & Lava!_2025-03-06,Best way to see Maui from the air,Best way to see Maui from the air,Great experience and a good value! The kids flew the plane for almost the whole time. Very easy to book and kept to the schedule as planned.
Aaron C,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,Amazing!!!,Amazing!!!,Absolutely a must do.  I would highly recommend including the glacier landing. What impressed us the most was there customer service. My son was very 
Aaron C,32_2137_Maui Plane Rides_2025-03-04,31_745_aMaui -PRIVATE- Air Tour 5 Islands (2-5 people) SEE Even MORE!_2025-03-02,Plan ride,Plan ride,"Trip was great. He took photos, greeted us, and was super easy to book. Everything we saw was amazing and we’re things that you could only see from th"
Aaron C,32_2137_Maui Plane Rides_2025-03-04,31_745_aMaui -PRIVATE- Air Tour 5 Islands (2-5 people) SEE Even MORE!_2025-03-02,Flightseeing Maui,Flightseeing Maui,We enjoyed a wonderful and relaxing afternoon exploring Maui and neighboring islands today! Highly recommend this activity to anyone looking for a uni
Aaron L,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,Fantastic,Fantastic,Wow wow wow wow.  This is a North American bucket list item for sure.  Watched the weather all week and got a million dollar view.  So glad we did thi
Aaron S,Wings Over Kauai Air Tour,Kauai Deluxe Sightseeing Flight,Fantastic way to see the Island and a visiting pilot's dream flight!,Fantastic way to see the Island and a visiting pilot's dream flight!,"A highlight of my time on Kauai! Whenever I travel, I like to explore new places from the air by grabbing a local flight instructor and plane and flyi"
Aaron S,7 -110_Grand Canyon Landmarks Tour by Airplane with Optional Hummer Tour_2025-02-27,30_115_Grand Canyon Landmarks Tour by Airplane with Optional Hummer Tour2025-03-01,Speechless - Absolutely fantastic,Speechless - Absolutely fantastic,"This flight will leave you speechless. It provides incomparable, incredible views of the Grand Canyon.
The flight itself was smooth (despite the thund"
Aaron S,7 -110_Grand Canyon Landmarks Tour by Airplane with Optional Hummer Tour_2025-02-27,8 -690_Grand Canyon Scenic Airlines_2025-02-27,Speechless - Absolutely fantastic,Speechless - Absolutely fantastic,"This flight will leave you speechless. It provides incomparable, incredible views of the Grand Canyon.
The flight itself was smooth (despite the thund"
Aaronak49,K2 Aviation,23_327_Denali Flyer Flightseeing Tour from Talkeetna 2025-02-27,Denali Flyer tour,Denali Flyer tour,Absolutely stunning. The pilot was very experienced and made everyone on board feel safe. My 6 year old boy loved being able to talk to the pilot thro
